No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
1,20221230,AALI,8025.0,0.0,8100.0,7900.0,8025.0,521800.0,0.0,4171432500.0,519.0,8050.0,30400.0,8025.0,4500.0,92900.0,85100.0
1,20230102,AALI,8025.0,0.0,8050.0,8000.0,8050.0,337000.0,25.0,2707387500.0,279.0,8075.0,26700.0,8050.0,39700.0,500.0,25400.0
1,20230103,AALI,8050.0,0.0,8225.0,8025.0,8225.0,1205700.0,175.0,9876195000.0,1068.0,8250.0,58100.0,8225.0,9200.0,16600.0,687600.0
1,20230104,AALI,8225.0,0.0,8375.0,8125.0,8125.0,1040100.0,-100.0,8602100000.0,1041.0,8150.0,8200.0,8125.0,29800.0,249700.0,3300.0
1,20230105,AALI,8125.0,0.0,8175.0,7900.0,7925.0,1232100.0,-200.0,9853995000.0,1485.0,7950.0,27300.0,7925.0,37200.0,243700.0,161600.0
1,20230106,AALI,7925.0,0.0,8075.0,7900.0,8000.0,298200.0,75.0,2392790000.0,638.0,8075.0,19600.0,8000.0,45200.0,25900.0,141800.0
1,20230109,AALI,8000.0,0.0,8075.0,7975.0,8025.0,287500.0,25.0,2306545000.0,548.0,8025.0,20100.0,8000.0,27100.0,13200.0,101200.0
1,20230110,AALI,8025.0,0.0,8075.0,7950.0,8000.0,386600.0,-25.0,3080965000.0,596.0,8000.0,66900.0,7975.0,100.0,32400.0,47200.0
1,20230111,AALI,8000.0,0.0,8000.0,7900.0,7925.0,739500.0,-75.0,5861645000.0,998.0,7925.0,400.0,7900.0,91800.0,154100.0,75500.0
1,20230112,AALI,7925.0,0.0,8025.0,7925.0,7975.0,453400.0,50.0,3623722500.0,819.0,8000.0,100.0,7975.0,49200.0,11400.0,151700.0
1,20230113,AALI,7975.0,0.0,8000.0,7900.0,7925.0,363900.0,-50.0,2890395000.0,566.0,7925.0,49000.0,7900.0,173800.0,39500.0,17400.0
1,20230116,AALI,7925.0,0.0,8025.0,7875.0,8000.0,388500.0,75.0,3105577500.0,476.0,8000.0,11100.0,7975.0,18800.0,14300.0,92800.0
1,20230117,AALI,8000.0,0.0,8075.0,7950.0,8025.0,478100.0,25.0,3841037500.0,784.0,8050.0,21400.0,8025.0,3100.0,71100.0,137300.0
1,20230118,AALI,8025.0,0.0,8125.0,8000.0,8100.0,590000.0,75.0,4758060000.0,778.0,8100.0,99900.0,8075.0,59000.0,61800.0,47000.0
1,20230119,AALI,8100.0,0.0,8175.0,8075.0,8125.0,686700.0,25.0,5587212500.0,940.0,8150.0,45800.0,8125.0,43900.0,61800.0,176700.0
1,20230120,AALI,8125.0,0.0,8175.0,8075.0,8075.0,396200.0,-50.0,3211265000.0,518.0,8100.0,37300.0,8075.0,153400.0,52200.0,9900.0
1,20230124,AALI,8075.0,0.0,8150.0,8050.0,8075.0,369000.0,0.0,2986765000.0,580.0,8100.0,2500.0,8075.0,87900.0,44600.0,72200.0
1,20230125,AALI,8075.0,0.0,8150.0,8075.0,8100.0,499300.0,25.0,4042847500.0,516.0,8125.0,19800.0,8100.0,1500.0,45500.0,138600.0
1,20230126,AALI,8100.0,0.0,8225.0,8050.0,8175.0,755800.0,75.0,6175747500.0,830.0,8200.0,150400.0,8175.0,74200.0,39200.0,262800.0
1,20230127,AALI,8175.0,0.0,8225.0,8175.0,8175.0,640200.0,0.0,5249470000.0,1100.0,8200.0,100.0,8175.0,73400.0,79400.0,165500.0
1,20230130,AALI,8175.0,0.0,8275.0,8125.0,8125.0,593700.0,-50.0,4853220000.0,796.0,8150.0,8800.0,8125.0,119600.0,229500.0,36000.0
1,20230131,AALI,8125.0,0.0,8275.0,8125.0,8225.0,1013000.0,100.0,8332170000.0,1458.0,8250.0,55500.0,8225.0,19800.0,95500.0,491800.0
1,20230201,AALI,8225.0,0.0,8300.0,8200.0,8200.0,595400.0,-25.0,4901797500.0,846.0,8225.0,76300.0,8200.0,114300.0,93000.0,82200.0
1,20230202,AALI,8200.0,0.0,8275.0,8200.0,8250.0,695100.0,50.0,5727522500.0,828.0,8250.0,26400.0,8225.0,14700.0,103700.0,190600.0
1,20230203,AALI,8250.0,0.0,8275.0,8150.0,8150.0,611200.0,-100.0,5004365000.0,1173.0,8175.0,1600.0,8150.0,246300.0,286300.0,177500.0
1,20230206,AALI,8150.0,0.0,8225.0,8125.0,8175.0,635200.0,25.0,5187690000.0,768.0,8175.0,2000.0,8150.0,11400.0,445300.0,206000.0
1,20230207,AALI,8175.0,0.0,8200.0,8125.0,8125.0,582600.0,-50.0,4747320000.0,757.0,8150.0,100.0,8125.0,73400.0,169800.0,128800.0
1,20230208,AALI,8125.0,0.0,8200.0,8125.0,8200.0,395300.0,75.0,3231470000.0,651.0,8200.0,73000.0,8175.0,2500.0,36700.0,192300.0
1,20230209,AALI,8200.0,0.0,8200.0,8125.0,8150.0,465000.0,-50.0,3799827500.0,584.0,8150.0,2400.0,8125.0,81900.0,97000.0,117300.0
1,20230210,AALI,8150.0,0.0,8200.0,8100.0,8200.0,558100.0,50.0,4543815000.0,806.0,8200.0,18800.0,8150.0,2400.0,173800.0,226500.0
1,20230213,AALI,8200.0,0.0,8225.0,8150.0,8175.0,240600.0,-25.0,1964815000.0,457.0,8200.0,34700.0,8175.0,2800.0,110100.0,83400.0
1,20230214,AALI,8175.0,0.0,8200.0,8125.0,8125.0,302900.0,-50.0,2467925000.0,590.0,8175.0,1200.0,8125.0,16700.0,80600.0,53600.0
1,20230215,AALI,8125.0,0.0,8175.0,8100.0,8175.0,225700.0,50.0,1837592500.0,367.0,8175.0,6800.0,8125.0,13100.0,21700.0,30100.0
1,20230216,AALI,8175.0,0.0,8450.0,8150.0,8375.0,1354700.0,200.0,11278330000.0,1404.0,8400.0,71900.0,8375.0,9300.0,91500.0,200800.0
1,20230217,AALI,8375.0,0.0,8450.0,8275.0,8375.0,1159100.0,0.0,9687902500.0,1243.0,8375.0,28200.0,8350.0,3800.0,154200.0,113500.0
1,20230220,AALI,8375.0,0.0,8500.0,8350.0,8375.0,571400.0,0.0,4796927500.0,832.0,8375.0,63700.0,8350.0,95200.0,81600.0,153800.0
1,20230221,AALI,8375.0,0.0,8375.0,8275.0,8275.0,541100.0,-100.0,4494565000.0,654.0,8300.0,9700.0,8275.0,8200.0,143000.0,40400.0
1,20230222,AALI,8275.0,0.0,8350.0,8200.0,8325.0,510400.0,50.0,4219412500.0,810.0,8325.0,4700.0,8300.0,72700.0,84100.0,49000.0
1,20230223,AALI,8325.0,0.0,8400.0,8250.0,8275.0,679100.0,-50.0,5651022500.0,1047.0,8300.0,7500.0,8275.0,2900.0,173400.0,106500.0
1,20230224,AALI,8275.0,0.0,8450.0,8275.0,8375.0,1467700.0,100.0,12303165000.0,1292.0,8375.0,28300.0,8350.0,15900.0,135800.0,434600.0
1,20230227,AALI,8375.0,0.0,8450.0,8350.0,8375.0,966000.0,0.0,8111920000.0,958.0,8375.0,37300.0,8350.0,11000.0,241300.0,95900.0
1,20230228,AALI,8375.0,0.0,8400.0,8300.0,8300.0,1233800.0,-75.0,10300225000.0,1209.0,8375.0,800.0,8300.0,94100.0,518100.0,340100.0
1,20230301,AALI,8300.0,0.0,8425.0,8300.0,8375.0,431100.0,75.0,3611960000.0,901.0,8400.0,80800.0,8375.0,100.0,116800.0,162400.0
1,20230302,AALI,8375.0,0.0,8400.0,8325.0,8375.0,441500.0,0.0,3692777500.0,970.0,8375.0,129500.0,8350.0,1400.0,147700.0,214600.0
1,20230303,AALI,8375.0,0.0,8400.0,8300.0,8350.0,607600.0,-25.0,5082022500.0,797.0,8350.0,129800.0,8325.0,9900.0,129400.0,151300.0
1,20230306,AALI,8350.0,0.0,8350.0,8275.0,8300.0,751000.0,-50.0,6239887500.0,772.0,8300.0,4600.0,8275.0,39500.0,28600.0,162800.0
1,20230307,AALI,8300.0,0.0,8300.0,8100.0,8150.0,929200.0,-150.0,7618262500.0,1198.0,8150.0,51500.0,8125.0,10100.0,38300.0,127200.0
1,20230308,AALI,8150.0,0.0,8150.0,8025.0,8025.0,706600.0,-125.0,5709022500.0,1014.0,8075.0,1100.0,8025.0,80800.0,343000.0,58200.0
1,20230309,AALI,8025.0,0.0,8150.0,8000.0,8050.0,428500.0,25.0,3461555000.0,669.0,8100.0,59300.0,8050.0,140400.0,103300.0,85700.0
1,20230310,AALI,8050.0,0.0,8100.0,8050.0,8100.0,353700.0,50.0,2858117500.0,314.0,8100.0,10500.0,8075.0,36700.0,23000.0,76100.0
1,20230313,AALI,8100.0,0.0,8125.0,8000.0,8125.0,505200.0,25.0,4069085000.0,687.0,8125.0,81500.0,8075.0,1900.0,75200.0,190200.0
1,20230314,AALI,8125.0,0.0,8325.0,8000.0,8000.0,429800.0,-125.0,3451900000.0,715.0,8025.0,198100.0,8000.0,308200.0,89700.0,82600.0
1,20230315,AALI,8000.0,0.0,8075.0,7900.0,7950.0,549800.0,-50.0,4389377500.0,772.0,7975.0,200.0,7950.0,80100.0,55200.0,8200.0
1,20230316,AALI,7950.0,0.0,7975.0,7850.0,7875.0,966600.0,-75.0,7615482500.0,1033.0,7875.0,59000.0,7850.0,132800.0,161700.0,102900.0
1,20230317,AALI,7875.0,0.0,8000.0,7875.0,7875.0,1081100.0,0.0,8536047500.0,661.0,7975.0,5100.0,7875.0,3900.0,869300.0,262900.0
1,20230320,AALI,7875.0,0.0,7975.0,7850.0,7875.0,210100.0,0.0,1656832500.0,407.0,7875.0,19400.0,7850.0,90400.0,31600.0,23100.0
1,20230321,AALI,7875.0,0.0,7925.0,7850.0,7900.0,242200.0,25.0,1913177500.0,278.0,7925.0,14400.0,7900.0,68600.0,20900.0,31200.0
1,20230324,AALI,7900.0,0.0,8000.0,7875.0,7950.0,471000.0,50.0,3740727500.0,605.0,8000.0,30700.0,7950.0,65400.0,24700.0,121800.0
1,20230327,AALI,7950.0,0.0,8075.0,7975.0,8075.0,451200.0,125.0,3624905000.0,659.0,8075.0,14900.0,8025.0,21400.0,114200.0,238800.0
1,20230328,AALI,8075.0,0.0,8100.0,8000.0,8000.0,318600.0,-75.0,2555305000.0,554.0,8025.0,2100.0,8000.0,146100.0,113100.0,48000.0
1,20230329,AALI,8000.0,0.0,8175.0,8000.0,8100.0,767700.0,100.0,6224787500.0,886.0,8125.0,102300.0,8100.0,70200.0,193100.0,85600.0
1,20230330,AALI,8100.0,0.0,8175.0,8075.0,8100.0,357900.0,0.0,2901595000.0,530.0,8125.0,34000.0,8100.0,19400.0,121100.0,6100.0
1,20230331,AALI,8100.0,0.0,8150.0,8075.0,8100.0,307800.0,0.0,2489897500.0,599.0,8100.0,12600.0,8075.0,30300.0,47700.0,12700.0
1,20230403,AALI,8100.0,0.0,8300.0,8000.0,8300.0,1271600.0,200.0,10422775000.0,971.0,8300.0,70500.0,8275.0,1300.0,58600.0,299400.0
1,20230404,AALI,8300.0,0.0,8350.0,8150.0,8275.0,1234100.0,-25.0,10158322500.0,1182.0,8275.0,80000.0,8200.0,1700.0,136800.0,53100.0
1,20230405,AALI,8275.0,0.0,8300.0,8175.0,8200.0,650600.0,-75.0,5347902500.0,804.0,8200.0,5300.0,8175.0,71700.0,100600.0,42700.0
1,20230406,AALI,8200.0,0.0,8275.0,8200.0,8225.0,631100.0,25.0,5197295000.0,833.0,8250.0,42700.0,8225.0,59600.0,48600.0,60800.0
1,20230410,AALI,8225.0,0.0,8350.0,8225.0,8325.0,1134600.0,100.0,9419595000.0,854.0,8350.0,151400.0,8325.0,2300.0,21200.0,190200.0
1,20230411,AALI,8325.0,0.0,8425.0,8250.0,8275.0,1377200.0,-50.0,11433655000.0,1137.0,8300.0,16000.0,8275.0,3900.0,765000.0,26900.0
1,20230412,AALI,8275.0,0.0,8275.0,8175.0,8200.0,1396700.0,-75.0,11465280000.0,1758.0,8225.0,5900.0,8200.0,70700.0,764900.0,6500.0
1,20230413,AALI,8200.0,0.0,8000.0,7825.0,7825.0,3644900.0,-375.0,28699815000.0,3491.0,7925.0,3500.0,7825.0,200100.0,2509000.0,415700.0
1,20230414,AALI,7825.0,0.0,7925.0,7825.0,7850.0,887600.0,25.0,6987197500.0,1130.0,7875.0,5000.0,7850.0,155400.0,329700.0,18000.0
1,20230417,AALI,7850.0,0.0,7925.0,7825.0,7850.0,894200.0,0.0,7030400000.0,1064.0,7875.0,21900.0,7850.0,117200.0,416100.0,36700.0
1,20230418,AALI,7850.0,0.0,7925.0,7850.0,7875.0,934500.0,25.0,7355692500.0,933.0,7900.0,16200.0,7875.0,11400.0,244100.0,28000.0
1,20230426,AALI,7875.0,0.0,7900.0,7650.0,7675.0,3340100.0,-200.0,25708042500.0,3577.0,7700.0,247400.0,7675.0,33600.0,537600.0,294800.0
1,20230427,AALI,7675.0,0.0,7775.0,7600.0,7650.0,2393800.0,-25.0,18340647500.0,1697.0,7700.0,40600.0,7650.0,38700.0,162700.0,167500.0
1,20230428,AALI,7650.0,0.0,7725.0,7650.0,7725.0,1384200.0,75.0,10661985000.0,944.0,7725.0,57600.0,7700.0,1000.0,74800.0,39900.0
1,20230502,AALI,7725.0,0.0,7750.0,7650.0,7700.0,847300.0,-25.0,6516217500.0,965.0,7700.0,431800.0,7675.0,5100.0,227500.0,28800.0
1,20230503,AALI,7700.0,0.0,7725.0,7650.0,7675.0,747000.0,-25.0,5735502500.0,583.0,7700.0,41500.0,7675.0,1300.0,167700.0,19600.0
1,20230504,AALI,7675.0,0.0,7700.0,7550.0,7550.0,1564000.0,-125.0,11901387500.0,1734.0,7575.0,3300.0,7550.0,162800.0,322800.0,31900.0
1,20230505,AALI,7550.0,0.0,7575.0,7400.0,7500.0,1709600.0,-50.0,12752352500.0,1826.0,7500.0,58000.0,7450.0,1000.0,112700.0,17500.0
1,20230508,AALI,7500.0,0.0,7650.0,7500.0,7600.0,995900.0,100.0,7566200000.0,840.0,7625.0,24700.0,7600.0,16300.0,188200.0,6100.0
1,20230509,AALI,7600.0,0.0,7675.0,7625.0,7625.0,703900.0,25.0,5382020000.0,741.0,7650.0,14100.0,7625.0,103700.0,148500.0,38600.0
1,20230510,AALI,7625.0,0.0,7700.0,7625.0,7675.0,638200.0,50.0,4895765000.0,537.0,7675.0,21500.0,7650.0,40300.0,110200.0,185500.0
1,20230511,AALI,7675.0,0.0,7700.0,7600.0,7625.0,455000.0,-50.0,3463927500.0,629.0,7650.0,76900.0,7625.0,1800.0,141900.0,22300.0
1,20230512,AALI,7625.0,0.0,7650.0,7575.0,7600.0,543200.0,-25.0,4129630000.0,636.0,7625.0,82500.0,7575.0,48200.0,194300.0,16100.0
1,20230515,AALI,7600.0,0.0,7625.0,7525.0,7600.0,666200.0,0.0,5038075000.0,757.0,7600.0,48300.0,7575.0,20100.0,195600.0,16300.0
1,20230516,AALI,7600.0,0.0,7600.0,7450.0,7475.0,1044800.0,-125.0,7832155000.0,1363.0,7500.0,7900.0,7475.0,14000.0,388600.0,11900.0
1,20230517,AALI,7475.0,0.0,7525.0,7375.0,7375.0,815700.0,-100.0,6051252500.0,1035.0,7400.0,300.0,7375.0,74100.0,294700.0,39800.0
1,20230519,AALI,7375.0,0.0,7450.0,7350.0,7400.0,772000.0,25.0,5707890000.0,1085.0,7450.0,10900.0,7400.0,73500.0,318600.0,86400.0
