No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
2,20221230,ABBA,152.0,0.0,159.0,150.0,151.0,8817500.0,-1.0,1362577600.0,4256.0,152.0,58000.0,151.0,105500.0,0.0,0.0
2,20230102,ABBA,151.0,0.0,153.0,151.0,151.0,1414100.0,0.0,213990300.0,254.0,152.0,160700.0,151.0,469000.0,7200.0,0.0
2,20230103,ABBA,151.0,0.0,156.0,151.0,153.0,6045500.0,2.0,929478100.0,756.0,154.0,255400.0,153.0,202100.0,0.0,6300.0
2,20230104,ABBA,153.0,0.0,155.0,150.0,151.0,2426000.0,-2.0,366965300.0,343.0,152.0,56200.0,151.0,60500.0,0.0,0.0
2,20230105,ABBA,151.0,0.0,152.0,142.0,142.0,6758300.0,-9.0,984425500.0,740.0,143.0,75000.0,142.0,239600.0,6300.0,130000.0
2,20230106,ABBA,142.0,0.0,144.0,141.0,142.0,1825300.0,0.0,260108000.0,312.0,143.0,199700.0,142.0,54700.0,0.0,90900.0
2,20230109,ABBA,142.0,0.0,146.0,133.0,137.0,20320900.0,-5.0,2849910400.0,8704.0,137.0,438400.0,136.0,11300.0,0.0,16200.0
2,20230110,ABBA,137.0,0.0,138.0,128.0,129.0,5290500.0,-8.0,694348600.0,619.0,130.0,404200.0,129.0,98900.0,0.0,1200.0
2,20230111,ABBA,129.0,0.0,130.0,120.0,125.0,3025300.0,-4.0,380543500.0,416.0,126.0,436200.0,125.0,178900.0,0.0,126400.0
2,20230112,ABBA,125.0,0.0,128.0,117.0,126.0,5411300.0,1.0,673304600.0,537.0,127.0,105000.0,126.0,25900.0,0.0,307300.0
2,20230113,ABBA,126.0,0.0,127.0,120.0,123.0,7210800.0,-3.0,886654300.0,639.0,124.0,12800.0,123.0,512100.0,0.0,228500.0
2,20230116,ABBA,123.0,0.0,131.0,123.0,130.0,9088100.0,7.0,1164898600.0,740.0,131.0,109500.0,130.0,6700.0,500.0,301200.0
