No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
5,20221230,ACES,496.0,0.0,510.0,494.0,496.0,87030700.0,0.0,43425715100.0,8519.0,496.0,1091000.0,494.0,314400.0,25074100.0,32156800.0
5,20230102,ACES,496.0,0.0,510.0,496.0,510.0,44100900.0,14.0,22203467300.0,5548.0,510.0,3401900.0,505.0,1231800.0,2823300.0,2547900.0
5,20230103,ACES,510.0,0.0,550.0,510.0,510.0,258616600.0,0.0,136698125000.0,20664.0,515.0,412500.0,510.0,1150000.0,87239300.0,12941500.0
5,20230104,ACES,510.0,0.0,525.0,500.0,500.0,75552600.0,-10.0,38391119500.0,5473.0,505.0,680100.0,500.0,472900.0,25024000.0,3315900.0
5,20230105,ACES,500.0,0.0,505.0,484.0,488.0,88532700.0,-12.0,43806238900.0,9273.0,488.0,1092500.0,486.0,760900.0,13790500.0,28738000.0
5,20230106,ACES,488.0,0.0,500.0,480.0,490.0,73117700.0,2.0,35967833800.0,4995.0,492.0,240200.0,490.0,527000.0,28881100.0,22764500.0
5,20230109,ACES,490.0,0.0,505.0,490.0,492.0,86978200.0,2.0,43217165800.0,5243.0,494.0,31100.0,492.0,4002300.0,22464100.0,19683600.0
5,20230110,ACES,492.0,0.0,498.0,470.0,482.0,89618500.0,-10.0,43163298200.0,9347.0,482.0,1115600.0,480.0,1558000.0,32237600.0,12843100.0
5,20230111,ACES,482.0,0.0,484.0,450.0,450.0,111007500.0,-32.0,50921161200.0,10780.0,450.0,3852500.0,0.0,0.0,15216100.0,17252800.0
5,20230112,ACES,450.0,0.0,470.0,442.0,466.0,74315500.0,16.0,34254673600.0,7759.0,466.0,1492600.0,464.0,346800.0,21280100.0,31210000.0
5,20230113,ACES,466.0,0.0,470.0,444.0,450.0,74401500.0,-16.0,33912446400.0,9769.0,452.0,162200.0,450.0,717700.0,17996100.0,5793100.0
5,20230116,ACES,450.0,0.0,456.0,440.0,440.0,49556600.0,-10.0,22128218800.0,6505.0,442.0,718300.0,440.0,1225900.0,7957700.0,4697600.0
5,20230117,ACES,440.0,0.0,446.0,432.0,436.0,87149100.0,-4.0,38247536600.0,9909.0,440.0,689900.0,436.0,13300.0,38276900.0,16457200.0
5,20230118,ACES,436.0,0.0,446.0,436.0,440.0,70712500.0,4.0,31219479400.0,6683.0,442.0,278500.0,440.0,154200.0,38258300.0,16761600.0
5,20230119,ACES,440.0,0.0,442.0,426.0,430.0,135425900.0,-10.0,58506134400.0,9699.0,432.0,275600.0,430.0,4735400.0,43943500.0,29598300.0
5,20230120,ACES,430.0,0.0,458.0,430.0,458.0,119546700.0,28.0,53468794200.0,10549.0,458.0,1775600.0,456.0,5153900.0,12544400.0,34648000.0
5,20230124,ACES,458.0,0.0,478.0,444.0,450.0,113112300.0,-8.0,51023524200.0,7394.0,450.0,1690500.0,448.0,1679300.0,55260000.0,18082900.0
5,20230125,ACES,450.0,0.0,454.0,446.0,450.0,72083500.0,0.0,32489164800.0,3868.0,450.0,447100.0,448.0,2295800.0,20974600.0,13793800.0
5,20230126,ACES,450.0,0.0,488.0,452.0,486.0,404595000.0,36.0,191441001800.0,18915.0,486.0,3758500.0,484.0,1368800.0,158313500.0,93802500.0
5,20230127,ACES,486.0,0.0,520.0,484.0,496.0,497226800.0,10.0,249702016800.0,25187.0,496.0,16444500.0,494.0,11896500.0,139576800.0,73770800.0
5,20230130,ACES,496.0,0.0,510.0,494.0,498.0,109911800.0,2.0,54902132300.0,7659.0,498.0,28100.0,496.0,6244300.0,22862500.0,7301100.0
5,20230131,ACES,498.0,0.0,515.0,490.0,490.0,181620600.0,-8.0,90943499500.0,10689.0,490.0,4426300.0,488.0,621700.0,47670100.0,46478500.0
5,20230201,ACES,490.0,490.0,505.0,476.0,480.0,179826800.0,-10.0,87794022000.0,15044.0,482.0,514700.0,480.0,1051600.0,32071900.0,16966600.0
5,20230202,ACES,480.0,482.0,505.0,482.0,494.0,223496700.0,14.0,110430224900.0,12822.0,496.0,894100.0,494.0,9067100.0,21435300.0,51625600.0
5,20230203,ACES,494.0,500.0,500.0,486.0,492.0,127686400.0,-2.0,62767567200.0,7537.0,494.0,901100.0,492.0,34700.0,25527400.0,19400600.0
5,20230206,ACES,492.0,494.0,510.0,490.0,498.0,120873600.0,6.0,60193871800.0,7260.0,500.0,5496900.0,498.0,3992300.0,29917600.0,18899300.0
5,20230207,ACES,498.0,500.0,500.0,488.0,490.0,94617200.0,-8.0,46726359000.0,5929.0,492.0,32200.0,490.0,633300.0,24668700.0,5694800.0
5,20230208,ACES,490.0,492.0,505.0,492.0,496.0,77274400.0,6.0,38372704000.0,6442.0,498.0,715900.0,496.0,3022200.0,14207400.0,9690300.0
5,20230209,ACES,496.0,498.0,520.0,494.0,510.0,231173800.0,14.0,117496442400.0,12180.0,515.0,4217400.0,510.0,2233900.0,18502200.0,49965100.0
5,20230210,ACES,510.0,515.0,515.0,492.0,505.0,182389700.0,-5.0,91269055100.0,10342.0,510.0,4283100.0,505.0,3626300.0,56631100.0,23672100.0
5,20230213,ACES,505.0,505.0,545.0,500.0,545.0,229281900.0,40.0,121488301500.0,14715.0,545.0,838600.0,540.0,6832700.0,17471400.0,43030500.0
5,20230214,ACES,545.0,550.0,565.0,530.0,540.0,163928500.0,-5.0,89629620500.0,12425.0,545.0,2197100.0,540.0,16705900.0,38136800.0,15771800.0
5,20230215,ACES,540.0,545.0,550.0,540.0,545.0,60986500.0,5.0,33203888000.0,5759.0,545.0,1053600.0,540.0,3840800.0,18518600.0,3340800.0
5,20230216,ACES,545.0,545.0,560.0,540.0,555.0,124258700.0,10.0,68760532000.0,8828.0,555.0,480400.0,550.0,6649400.0,32129300.0,2314300.0
5,20230217,ACES,555.0,560.0,565.0,530.0,540.0,136642100.0,-15.0,74016268000.0,10236.0,540.0,1185400.0,535.0,6280900.0,46426500.0,2179700.0
5,20230220,ACES,540.0,540.0,550.0,530.0,540.0,80457800.0,0.0,43633284000.0,5600.0,545.0,1343000.0,540.0,1126400.0,9315700.0,25610400.0
5,20230221,ACES,540.0,545.0,555.0,540.0,545.0,58313900.0,5.0,32025897000.0,3844.0,550.0,1170100.0,545.0,3676900.0,10413500.0,10638700.0
5,20230222,ACES,545.0,540.0,545.0,520.0,525.0,83208600.0,-20.0,44219548500.0,5905.0,530.0,1323000.0,525.0,2601300.0,18810700.0,4047800.0
5,20230223,ACES,525.0,530.0,535.0,500.0,510.0,98468200.0,-15.0,50664895500.0,7728.0,510.0,149700.0,505.0,2541000.0,21874800.0,18252300.0
5,20230224,ACES,510.0,515.0,535.0,510.0,515.0,68401600.0,5.0,35713524500.0,5056.0,520.0,1951000.0,515.0,1079300.0,9842900.0,12644600.0
5,20230227,ACES,515.0,515.0,525.0,500.0,510.0,63765200.0,-5.0,32576929000.0,5263.0,515.0,1746400.0,510.0,1246700.0,11398800.0,3021400.0
5,20230228,ACES,510.0,510.0,515.0,500.0,505.0,52001900.0,-5.0,26399307000.0,4601.0,510.0,3066300.0,505.0,7354600.0,13984400.0,1441300.0
5,20230301,ACES,505.0,505.0,515.0,505.0,505.0,41437700.0,0.0,21049851000.0,3487.0,510.0,2905800.0,505.0,6536600.0,6958200.0,1629300.0
