No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
18,20221230,AHAP,78.0,0.0,82.0,77.0,77.0,15604000.0,-1.0,1246500600.0,11245.0,78.0,100000.0,77.0,1111000.0,23400.0,0.0
18,20230102,AHAP,77.0,0.0,79.0,77.0,78.0,1974700.0,1.0,153199800.0,234.0,79.0,549700.0,78.0,200.0,0.0,0.0
18,20230103,AHAP,78.0,0.0,79.0,74.0,76.0,9112700.0,-2.0,690298000.0,452.0,77.0,141500.0,76.0,729400.0,0.0,0.0
18,20230104,AHAP,76.0,0.0,79.0,71.0,71.0,52648900.0,-5.0,3897725700.0,13384.0,71.0,1424100.0,0.0,0.0,0.0,0.0
18,20230105,AHAP,71.0,0.0,71.0,67.0,67.0,10534800.0,-4.0,708847200.0,388.0,67.0,2467600.0,0.0,0.0,0.0,0.0
18,20230106,AHAP,67.0,0.0,78.0,63.0,64.0,86771300.0,-3.0,5782043000.0,3457.0,65.0,41100.0,64.0,293800.0,0.0,0.0
18,20230109,AHAP,64.0,0.0,68.0,64.0,65.0,10137400.0,1.0,667782300.0,424.0,65.0,207600.0,64.0,751200.0,0.0,0.0
18,20230110,AHAP,65.0,0.0,67.0,63.0,64.0,9548900.0,-1.0,620367400.0,5550.0,64.0,743000.0,63.0,970300.0,0.0,0.0
18,20230111,AHAP,64.0,0.0,64.0,60.0,60.0,9076700.0,-4.0,555837500.0,398.0,61.0,22200.0,60.0,11600.0,0.0,0.0
18,20230112,AHAP,60.0,0.0,60.0,57.0,58.0,14571600.0,-2.0,850793900.0,327.0,59.0,261200.0,58.0,5357100.0,150000.0,0.0
18,20230113,AHAP,58.0,0.0,61.0,58.0,58.0,4217400.0,0.0,248496400.0,275.0,59.0,245000.0,58.0,1234500.0,0.0,0.0
18,20230116,AHAP,58.0,0.0,61.0,58.0,59.0,3839100.0,1.0,228338200.0,299.0,60.0,269900.0,59.0,274000.0,0.0,0.0
18,20230117,AHAP,59.0,0.0,60.0,57.0,59.0,2452600.0,0.0,143025200.0,213.0,59.0,374000.0,58.0,776900.0,0.0,0.0
18,20230118,AHAP,59.0,0.0,62.0,58.0,59.0,2610400.0,0.0,155105500.0,205.0,60.0,278000.0,59.0,366100.0,262600.0,0.0
18,20230119,AHAP,59.0,0.0,62.0,59.0,59.0,6262800.0,0.0,376206400.0,1961.0,60.0,163000.0,59.0,830300.0,0.0,0.0
18,20230120,AHAP,59.0,0.0,61.0,59.0,60.0,1477400.0,1.0,88439400.0,151.0,61.0,835400.0,60.0,1458400.0,0.0,0.0
18,20230124,AHAP,60.0,0.0,69.0,60.0,66.0,26090400.0,6.0,1682097000.0,7088.0,67.0,246000.0,66.0,4800.0,0.0,0.0
18,20230125,AHAP,66.0,0.0,68.0,64.0,65.0,6637500.0,-1.0,435011900.0,655.0,67.0,1167100.0,65.0,898900.0,0.0,0.0
18,20230126,AHAP,65.0,0.0,66.0,63.0,64.0,5215900.0,-1.0,334080600.0,293.0,65.0,229600.0,64.0,2600.0,0.0,0.0
18,20230127,AHAP,64.0,0.0,66.0,63.0,64.0,2512100.0,0.0,161693400.0,208.0,64.0,211100.0,63.0,1110600.0,0.0,0.0
18,20230130,AHAP,64.0,0.0,65.0,61.0,62.0,4424900.0,-2.0,275676000.0,237.0,63.0,1741500.0,62.0,225100.0,0.0,0.0
18,20230131,AHAP,62.0,0.0,63.0,62.0,62.0,701600.0,0.0,43610000.0,113.0,63.0,224000.0,62.0,480300.0,0.0,0.0
18,20230201,AHAP,62.0,0.0,63.0,60.0,61.0,3543400.0,-1.0,216150400.0,221.0,62.0,568700.0,61.0,496800.0,0.0,0.0
18,20230202,AHAP,61.0,0.0,63.0,60.0,60.0,1813000.0,-1.0,110812100.0,177.0,61.0,893400.0,60.0,4101400.0,0.0,0.0
18,20230203,AHAP,60.0,0.0,62.0,60.0,61.0,2093300.0,1.0,128020100.0,176.0,62.0,225700.0,61.0,549500.0,0.0,0.0
18,20230206,AHAP,61.0,0.0,63.0,61.0,62.0,1584500.0,1.0,97544300.0,181.0,62.0,324800.0,61.0,445700.0,0.0,0.0
18,20230207,AHAP,62.0,0.0,65.0,61.0,63.0,6674500.0,1.0,422618200.0,1970.0,64.0,334000.0,63.0,135700.0,0.0,0.0
18,20230208,AHAP,63.0,0.0,78.0,63.0,76.0,95580000.0,13.0,6977491300.0,6691.0,77.0,974500.0,76.0,237400.0,7500.0,40400.0
18,20230209,AHAP,76.0,0.0,82.0,72.0,74.0,33640700.0,-2.0,2619585600.0,3188.0,74.0,50400.0,73.0,1007600.0,2900.0,0.0
18,20230210,AHAP,74.0,0.0,81.0,73.0,76.0,18517900.0,2.0,1422619800.0,1554.0,77.0,412700.0,76.0,619000.0,0.0,100.0
18,20230213,AHAP,76.0,0.0,86.0,76.0,81.0,48699900.0,5.0,3982721000.0,3506.0,81.0,808700.0,80.0,337000.0,0.0,100.0
18,20230214,AHAP,81.0,0.0,83.0,76.0,79.0,13719300.0,-2.0,1069857700.0,1334.0,80.0,431400.0,79.0,1730600.0,0.0,146000.0
18,20230215,AHAP,79.0,0.0,81.0,76.0,76.0,15847000.0,-3.0,1241412800.0,1228.0,76.0,634600.0,75.0,637000.0,0.0,100.0
18,20230216,AHAP,76.0,0.0,76.0,73.0,75.0,7124700.0,-1.0,529731700.0,876.0,75.0,608000.0,74.0,1352700.0,0.0,0.0
18,20230217,AHAP,75.0,0.0,75.0,70.0,71.0,22940300.0,-4.0,1644215000.0,1302.0,72.0,771200.0,71.0,348200.0,0.0,0.0
18,20230220,AHAP,71.0,0.0,72.0,67.0,68.0,9481500.0,-3.0,657782800.0,689.0,69.0,15300.0,68.0,840500.0,0.0,18600.0
18,20230221,AHAP,68.0,0.0,71.0,68.0,70.0,4293100.0,2.0,300220200.0,480.0,71.0,497900.0,70.0,123300.0,18600.0,4400.0
18,20230222,AHAP,70.0,0.0,72.0,68.0,69.0,2857100.0,-1.0,199615100.0,444.0,70.0,287200.0,69.0,91700.0,4400.0,0.0
18,20230223,AHAP,69.0,0.0,70.0,68.0,69.0,3309500.0,0.0,226739100.0,275.0,69.0,37100.0,68.0,735700.0,200.0,0.0
18,20230224,AHAP,69.0,0.0,71.0,68.0,69.0,3203700.0,0.0,222870400.0,305.0,69.0,14000.0,68.0,2091900.0,0.0,0.0
18,20230227,AHAP,69.0,0.0,75.0,68.0,69.0,17437300.0,0.0,1236881500.0,1002.0,70.0,429200.0,69.0,123400.0,0.0,0.0
18,20230228,AHAP,69.0,0.0,78.0,69.0,72.0,4328000.0,3.0,308703600.0,429.0,72.0,684100.0,71.0,248000.0,0.0,0.0
18,20230301,AHAP,72.0,0.0,73.0,71.0,71.0,2848000.0,-1.0,204759400.0,276.0,72.0,83000.0,71.0,3959500.0,0.0,0.0
18,20230302,AHAP,71.0,0.0,75.0,70.0,75.0,8072300.0,4.0,589223800.0,768.0,75.0,971600.0,74.0,55000.0,0.0,0.0
18,20230303,AHAP,75.0,0.0,76.0,73.0,74.0,3249500.0,-1.0,239215800.0,328.0,74.0,387300.0,73.0,177500.0,0.0,26600.0
18,20230306,AHAP,74.0,0.0,76.0,69.0,69.0,14518100.0,-5.0,1023385000.0,721.0,69.0,218100.0,0.0,0.0,0.0,0.0
18,20230307,AHAP,69.0,0.0,74.0,66.0,69.0,8075000.0,0.0,562246200.0,593.0,70.0,83600.0,69.0,213300.0,0.0,0.0
18,20230308,AHAP,69.0,0.0,70.0,66.0,67.0,7044500.0,-2.0,474482300.0,537.0,68.0,1012000.0,67.0,494500.0,0.0,0.0
18,20230309,AHAP,67.0,0.0,69.0,66.0,66.0,2194100.0,-1.0,146512100.0,201.0,67.0,89900.0,66.0,883800.0,0.0,0.0
18,20230310,AHAP,66.0,0.0,69.0,66.0,66.0,5731900.0,0.0,383961500.0,316.0,66.0,52400.0,65.0,1297800.0,0.0,0.0
18,20230313,AHAP,66.0,0.0,67.0,64.0,66.0,3561300.0,0.0,233851500.0,187.0,67.0,504600.0,66.0,15100.0,0.0,0.0
18,20230314,AHAP,66.0,0.0,67.0,62.0,62.0,13107500.0,-4.0,819620700.0,463.0,62.0,417000.0,0.0,0.0,0.0,0.0
