No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
25,20221230,ALDO,820.0,0.0,805.0,800.0,805.0,65600.0,-15.0,52642000.0,15.0,810.0,500.0,800.0,100300.0,0.0,0.0
25,20230102,ALDO,805.0,0.0,805.0,800.0,800.0,181300.0,-5.0,145089500.0,21.0,805.0,259800.0,800.0,87900.0,0.0,0.0
25,20230103,ALDO,800.0,0.0,800.0,795.0,800.0,97600.0,0.0,78079500.0,35.0,800.0,24100.0,795.0,67100.0,0.0,0.0
25,20230104,ALDO,800.0,0.0,810.0,795.0,795.0,326400.0,-5.0,260180500.0,41.0,800.0,168800.0,795.0,128900.0,0.0,0.0
25,20230105,ALDO,795.0,0.0,800.0,785.0,800.0,483800.0,5.0,384416500.0,89.0,800.0,13000.0,795.0,900.0,0.0,0.0
25,20230106,ALDO,800.0,0.0,800.0,785.0,800.0,172100.0,0.0,136617500.0,49.0,800.0,38000.0,785.0,67300.0,0.0,0.0
25,20230109,ALDO,800.0,0.0,810.0,785.0,785.0,101500.0,-15.0,80572500.0,31.0,785.0,17000.0,780.0,41200.0,0.0,0.0
25,20230110,ALDO,785.0,0.0,800.0,770.0,800.0,192800.0,15.0,151521500.0,52.0,800.0,20700.0,785.0,11700.0,0.0,0.0
25,20230111,ALDO,800.0,0.0,800.0,785.0,800.0,70200.0,0.0,55727000.0,32.0,800.0,74600.0,790.0,61400.0,0.0,0.0
25,20230112,ALDO,800.0,0.0,800.0,780.0,795.0,56300.0,-5.0,44959000.0,18.0,795.0,10900.0,790.0,46500.0,0.0,0.0
25,20230113,ALDO,795.0,0.0,800.0,785.0,800.0,56600.0,5.0,44971000.0,23.0,800.0,143000.0,790.0,11600.0,0.0,0.0
25,20230116,ALDO,800.0,0.0,800.0,790.0,795.0,133100.0,-5.0,105921500.0,37.0,795.0,65800.0,790.0,20400.0,0.0,0.0
25,20230117,ALDO,795.0,0.0,800.0,785.0,800.0,116600.0,5.0,91925000.0,30.0,800.0,51300.0,795.0,500.0,0.0,0.0
25,20230118,ALDO,800.0,0.0,805.0,800.0,800.0,100000.0,0.0,80001500.0,14.0,800.0,70700.0,795.0,3300.0,0.0,0.0
25,20230119,ALDO,800.0,0.0,810.0,785.0,800.0,35400.0,0.0,28402000.0,30.0,800.0,9400.0,795.0,8800.0,0.0,0.0
25,20230120,ALDO,800.0,0.0,800.0,780.0,795.0,85900.0,-5.0,68023000.0,42.0,805.0,1000.0,795.0,9700.0,0.0,0.0
25,20230124,ALDO,795.0,0.0,805.0,785.0,800.0,34800.0,5.0,27701500.0,29.0,805.0,81300.0,800.0,23100.0,0.0,0.0
25,20230125,ALDO,800.0,0.0,810.0,790.0,810.0,97600.0,10.0,78454000.0,25.0,810.0,700.0,800.0,3900.0,0.0,0.0
25,20230126,ALDO,810.0,0.0,815.0,805.0,815.0,187400.0,5.0,152676000.0,33.0,820.0,50300.0,810.0,2600.0,0.0,0.0
25,20230127,ALDO,815.0,0.0,835.0,810.0,825.0,126400.0,10.0,104123000.0,49.0,835.0,62700.0,825.0,24600.0,0.0,0.0
25,20230130,ALDO,825.0,0.0,825.0,795.0,815.0,241000.0,-10.0,194152500.0,62.0,815.0,21400.0,805.0,11600.0,0.0,0.0
25,20230131,ALDO,815.0,0.0,815.0,800.0,815.0,106800.0,0.0,85807500.0,36.0,815.0,37400.0,805.0,2100.0,0.0,0.0
25,20230201,ALDO,815.0,0.0,820.0,800.0,810.0,102100.0,-5.0,82292000.0,50.0,810.0,18500.0,800.0,6200.0,0.0,0.0
25,20230202,ALDO,810.0,0.0,815.0,785.0,795.0,286900.0,-15.0,228284000.0,76.0,800.0,20300.0,795.0,100.0,0.0,0.0
25,20230203,ALDO,795.0,0.0,800.0,780.0,795.0,130200.0,0.0,102986500.0,66.0,800.0,25900.0,795.0,4700.0,0.0,0.0
25,20230206,ALDO,795.0,0.0,805.0,790.0,800.0,93800.0,5.0,74738500.0,40.0,805.0,4000.0,800.0,600.0,0.0,0.0
25,20230207,ALDO,800.0,0.0,810.0,780.0,795.0,277600.0,-5.0,219499500.0,53.0,800.0,12700.0,795.0,10000.0,0.0,100.0
25,20230208,ALDO,795.0,0.0,790.0,775.0,780.0,565000.0,-15.0,439732000.0,192.0,790.0,4100.0,780.0,16100.0,0.0,0.0
25,20230209,ALDO,780.0,0.0,780.0,770.0,780.0,95400.0,0.0,73981500.0,39.0,780.0,40500.0,775.0,40800.0,0.0,0.0
25,20230210,ALDO,780.0,0.0,795.0,780.0,790.0,15400.0,10.0,12166500.0,32.0,790.0,59100.0,785.0,600.0,0.0,0.0
25,20230213,ALDO,790.0,0.0,795.0,775.0,775.0,98700.0,-15.0,77255500.0,52.0,790.0,22400.0,775.0,149700.0,0.0,0.0
25,20230214,ALDO,775.0,0.0,780.0,725.0,780.0,392500.0,5.0,296049000.0,123.0,780.0,7700.0,770.0,4900.0,0.0,0.0
25,20230215,ALDO,780.0,0.0,780.0,760.0,775.0,122500.0,-5.0,94115000.0,78.0,775.0,2100.0,760.0,31100.0,0.0,0.0
25,20230216,ALDO,775.0,0.0,790.0,770.0,780.0,31200.0,5.0,24229500.0,32.0,780.0,22200.0,770.0,1900.0,0.0,0.0
25,20230217,ALDO,780.0,0.0,785.0,775.0,775.0,24900.0,-5.0,19481500.0,20.0,785.0,20200.0,775.0,4100.0,0.0,0.0
25,20230220,ALDO,775.0,0.0,785.0,755.0,765.0,149000.0,-10.0,115105000.0,71.0,785.0,2300.0,765.0,17400.0,0.0,0.0
25,20230221,ALDO,765.0,0.0,780.0,765.0,780.0,39200.0,15.0,30174000.0,15.0,780.0,3700.0,775.0,7100.0,0.0,0.0
25,20230222,ALDO,780.0,0.0,805.0,775.0,800.0,213300.0,20.0,169678500.0,109.0,800.0,11300.0,795.0,1300.0,0.0,0.0
25,20230223,ALDO,800.0,0.0,805.0,775.0,785.0,226200.0,-15.0,178764500.0,57.0,785.0,100.0,780.0,15200.0,0.0,0.0
25,20230224,ALDO,785.0,0.0,800.0,770.0,770.0,281600.0,-15.0,219273000.0,71.0,770.0,117700.0,765.0,106600.0,0.0,0.0
25,20230227,ALDO,770.0,0.0,790.0,765.0,785.0,124700.0,15.0,97437500.0,42.0,785.0,18000.0,780.0,54000.0,0.0,0.0
25,20230228,ALDO,785.0,0.0,800.0,780.0,800.0,94700.0,15.0,74459500.0,26.0,800.0,18500.0,785.0,10500.0,0.0,0.0
25,20230301,ALDO,800.0,0.0,800.0,780.0,780.0,40300.0,-20.0,31803000.0,24.0,795.0,2200.0,785.0,300.0,0.0,0.0
25,20230302,ALDO,780.0,0.0,800.0,780.0,800.0,48600.0,20.0,38153000.0,17.0,800.0,25800.0,795.0,200.0,0.0,0.0
25,20230303,ALDO,800.0,0.0,800.0,760.0,770.0,540700.0,-30.0,417877000.0,88.0,780.0,62500.0,770.0,10000.0,0.0,0.0
25,20230306,ALDO,770.0,0.0,785.0,770.0,780.0,57400.0,10.0,44826500.0,33.0,785.0,10000.0,775.0,10800.0,0.0,0.0
25,20230307,ALDO,780.0,0.0,790.0,770.0,780.0,58500.0,0.0,45334000.0,33.0,780.0,10700.0,775.0,22100.0,0.0,0.0
25,20230308,ALDO,780.0,0.0,780.0,760.0,780.0,68100.0,0.0,52551000.0,18.0,780.0,10900.0,775.0,27300.0,0.0,0.0
25,20230309,ALDO,780.0,0.0,780.0,760.0,770.0,79400.0,-10.0,61321000.0,47.0,775.0,20400.0,770.0,47700.0,0.0,0.0
25,20230310,ALDO,770.0,0.0,780.0,765.0,775.0,2200.0,5.0,1698000.0,6.0,780.0,11800.0,775.0,1000.0,0.0,0.0
25,20230313,ALDO,775.0,0.0,775.0,740.0,740.0,786500.0,-35.0,592529000.0,89.0,760.0,19300.0,740.0,91800.0,0.0,0.0
25,20230314,ALDO,740.0,0.0,775.0,740.0,740.0,254800.0,0.0,189107000.0,59.0,740.0,28300.0,735.0,2500.0,0.0,0.0
25,20230315,ALDO,740.0,0.0,740.0,710.0,735.0,78300.0,-5.0,57240500.0,48.0,740.0,1400.0,735.0,17700.0,0.0,0.0
25,20230316,ALDO,735.0,0.0,745.0,720.0,725.0,134100.0,-10.0,97271000.0,36.0,735.0,200.0,725.0,6500.0,0.0,0.0
25,20230317,ALDO,725.0,0.0,765.0,725.0,725.0,88000.0,0.0,64907000.0,46.0,735.0,1100.0,725.0,200.0,0.0,0.0
25,20230320,ALDO,725.0,0.0,765.0,720.0,740.0,331200.0,15.0,243571000.0,62.0,765.0,16600.0,740.0,26700.0,0.0,0.0
25,20230321,ALDO,740.0,0.0,770.0,740.0,755.0,61600.0,15.0,46776500.0,31.0,760.0,3500.0,755.0,27500.0,0.0,0.0
25,20230324,ALDO,755.0,0.0,780.0,755.0,770.0,219400.0,15.0,167481500.0,47.0,775.0,12300.0,770.0,7700.0,0.0,21700.0
25,20230327,ALDO,770.0,0.0,770.0,740.0,750.0,261100.0,-20.0,198299500.0,52.0,770.0,31700.0,750.0,1700.0,10200.0,12500.0
25,20230328,ALDO,750.0,0.0,775.0,745.0,765.0,54100.0,15.0,40981500.0,50.0,765.0,14700.0,750.0,15800.0,0.0,3100.0
25,20230329,ALDO,765.0,0.0,765.0,750.0,750.0,46200.0,-15.0,34902000.0,27.0,750.0,1100.0,745.0,1600.0,8200.0,10100.0
25,20230330,ALDO,750.0,0.0,765.0,740.0,740.0,13000.0,-10.0,9720000.0,29.0,740.0,900.0,735.0,15400.0,0.0,0.0
25,20230331,ALDO,740.0,0.0,740.0,720.0,725.0,201200.0,-15.0,146828000.0,53.0,730.0,32700.0,725.0,42700.0,0.0,11800.0
25,20230403,ALDO,725.0,0.0,700.0,675.0,685.0,1533500.0,-40.0,1043137500.0,234.0,690.0,49700.0,685.0,5200.0,0.0,32400.0
25,20230404,ALDO,685.0,0.0,750.0,655.0,745.0,385700.0,60.0,268699500.0,112.0,745.0,2900.0,725.0,135100.0,0.0,0.0
25,20230405,ALDO,745.0,0.0,750.0,705.0,720.0,126700.0,-25.0,91763000.0,64.0,720.0,4300.0,715.0,57400.0,0.0,0.0
25,20230406,ALDO,720.0,0.0,720.0,700.0,715.0,148400.0,-5.0,104083000.0,52.0,715.0,11500.0,700.0,48200.0,0.0,0.0
25,20230410,ALDO,715.0,0.0,745.0,700.0,740.0,92600.0,25.0,67029500.0,56.0,740.0,4500.0,705.0,1000.0,8100.0,0.0
25,20230411,ALDO,740.0,0.0,745.0,715.0,740.0,93200.0,0.0,67679500.0,59.0,740.0,84400.0,715.0,57300.0,0.0,0.0
25,20230412,ALDO,740.0,0.0,745.0,705.0,735.0,239000.0,-5.0,170781500.0,67.0,735.0,4000.0,715.0,100.0,0.0,0.0
25,20230413,ALDO,735.0,0.0,735.0,700.0,705.0,258500.0,-30.0,181693500.0,95.0,705.0,6800.0,700.0,6800.0,0.0,12600.0
25,20230414,ALDO,705.0,0.0,710.0,695.0,705.0,68100.0,0.0,47934000.0,36.0,705.0,4700.0,700.0,2300.0,0.0,0.0
25,20230417,ALDO,705.0,0.0,705.0,685.0,705.0,335500.0,0.0,233088500.0,75.0,705.0,32400.0,685.0,26500.0,0.0,0.0
25,20230418,ALDO,705.0,0.0,705.0,675.0,695.0,264900.0,-10.0,182244000.0,90.0,695.0,7200.0,675.0,31200.0,2600.0,0.0
25,20230426,ALDO,695.0,0.0,700.0,680.0,695.0,36000.0,0.0,24906500.0,48.0,695.0,11900.0,690.0,200.0,0.0,4500.0
25,20230427,ALDO,695.0,0.0,695.0,675.0,695.0,28300.0,0.0,19259500.0,32.0,695.0,1000.0,685.0,1300.0,0.0,0.0
25,20230428,ALDO,695.0,0.0,695.0,670.0,690.0,93900.0,-5.0,63623000.0,57.0,690.0,3900.0,675.0,5000.0,0.0,0.0
25,20230502,ALDO,690.0,0.0,680.0,675.0,680.0,17700.0,-10.0,12007000.0,23.0,680.0,44100.0,675.0,1000.0,0.0,0.0
25,20230503,ALDO,680.0,0.0,680.0,635.0,635.0,1518900.0,-45.0,971547500.0,307.0,635.0,272300.0,0.0,0.0,0.0,10400.0
25,20230504,ALDO,635.0,0.0,665.0,605.0,640.0,515600.0,5.0,319656500.0,124.0,640.0,15100.0,635.0,29100.0,0.0,5200.0
25,20230505,ALDO,640.0,0.0,645.0,615.0,635.0,59000.0,-5.0,36852500.0,35.0,635.0,15000.0,630.0,1300.0,0.0,8300.0
