No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
28,20240207,ALII,272.0,0.0,340.0,268.0,340.0,422592300.0,68.0,134711015000.0,21071.0,0.0,0.0,340.0,185439400.0,1228600.0,121464000.0
28,20240212,ALII,340.0,0.0,424.0,342.0,400.0,806981400.0,60.0,315655280600.0,63051.0,402.0,1239900.0,400.0,9952600.0,7786300.0,123913000.0
28,20240213,ALII,400.0,0.0,440.0,396.0,408.0,293488700.0,8.0,122936694200.0,28238.0,408.0,978900.0,406.0,203500.0,14476100.0,16120800.0
28,20240215,ALII,408.0,0.0,426.0,348.0,394.0,131206300.0,-14.0,51351549800.0,11695.0,394.0,27600.0,392.0,281000.0,4031500.0,7875600.0
28,20240216,ALII,394.0,0.0,414.0,386.0,412.0,38019600.0,18.0,15332437400.0,4440.0,414.0,1187800.0,412.0,1503600.0,2571200.0,2411500.0
28,20240219,ALII,412.0,0.0,510.0,388.0,505.0,219116300.0,93.0,100767571200.0,26058.0,510.0,697800.0,505.0,7920700.0,17231100.0,15017100.0
28,20240220,ALII,505.0,0.0,630.0,492.0,630.0,244416500.0,125.0,137552556600.0,32339.0,0.0,0.0,630.0,9085900.0,13970400.0,8652400.0
28,20240221,ALII,630.0,0.0,785.0,620.0,745.0,295316700.0,115.0,212099857500.0,47561.0,750.0,3160200.0,745.0,275400.0,9690700.0,13214500.0
28,20240222,ALII,745.0,0.0,865.0,745.0,815.0,216860700.0,70.0,177256370000.0,37821.0,820.0,594800.0,815.0,1600300.0,5866100.0,17555800.0
28,20240223,ALII,815.0,0.0,895.0,725.0,770.0,194422000.0,-45.0,161355619000.0,33398.0,775.0,308000.0,770.0,5425700.0,6583300.0,12660000.0
28,20240226,ALII,770.0,0.0,845.0,770.0,835.0,85200700.0,65.0,69856427000.0,14037.0,840.0,466200.0,835.0,13512600.0,4731600.0,5294500.0
28,20240227,ALII,835.0,0.0,870.0,785.0,820.0,82191300.0,-15.0,68164390500.0,13949.0,820.0,99300.0,815.0,126500.0,3516700.0,5915200.0
28,20240228,ALII,820.0,0.0,845.0,750.0,770.0,45399800.0,-50.0,36211365000.0,9484.0,770.0,377700.0,765.0,1084600.0,2723300.0,5005500.0
28,20240229,ALII,770.0,0.0,810.0,580.0,675.0,161928900.0,-95.0,110163212000.0,23661.0,675.0,61000.0,670.0,245500.0,11686400.0,17220800.0
28,20240301,ALII,675.0,0.0,710.0,510.0,510.0,147051500.0,-165.0,84066329000.0,20101.0,515.0,19400.0,510.0,11743400.0,7220900.0,16051300.0
28,20240304,ALII,510.0,0.0,555.0,430.0,430.0,165226600.0,-80.0,79988341700.0,21683.0,432.0,548900.0,430.0,5490000.0,7066300.0,8748500.0
28,20240305,ALII,430.0,0.0,530.0,424.0,525.0,188899800.0,95.0,91719109000.0,25510.0,530.0,783600.0,525.0,1085300.0,11960600.0,9430000.0
28,20240306,ALII,525.0,0.0,540.0,484.0,490.0,79396800.0,-35.0,40145844900.0,13408.0,490.0,245300.0,488.0,340800.0,6124500.0,3349600.0
28,20240307,ALII,490.0,0.0,520.0,474.0,505.0,46252900.0,15.0,23058631900.0,7919.0,505.0,673700.0,500.0,119200.0,4650800.0,1244300.0
28,20240308,ALII,505.0,0.0,510.0,482.0,484.0,19789600.0,-21.0,9709892300.0,3630.0,486.0,49000.0,484.0,1613800.0,1909700.0,1303000.0
28,20240313,ALII,484.0,0.0,490.0,448.0,452.0,28504200.0,-32.0,13101318000.0,4888.0,452.0,3067100.0,450.0,966700.0,1872600.0,1011500.0
28,20240314,ALII,452.0,0.0,498.0,452.0,484.0,45053600.0,32.0,21591730400.0,8781.0,486.0,682800.0,484.0,49400.0,6963700.0,2261400.0
28,20240315,ALII,484.0,0.0,488.0,454.0,460.0,20346400.0,-24.0,9500247000.0,3824.0,460.0,20400.0,458.0,1101800.0,3411900.0,1420400.0
28,20240318,ALII,460.0,0.0,460.0,434.0,440.0,19263600.0,-20.0,8543757600.0,3518.0,442.0,2000.0,440.0,1616900.0,3323600.0,1051800.0
28,20240319,ALII,440.0,0.0,466.0,442.0,466.0,20661000.0,26.0,9389431000.0,3881.0,468.0,218900.0,466.0,3387200.0,3350600.0,2611300.0
28,20240320,ALII,466.0,0.0,476.0,446.0,446.0,39165600.0,-20.0,18093799800.0,5883.0,450.0,3000.0,446.0,91100.0,6238200.0,1820900.0
28,20240321,ALII,446.0,0.0,454.0,440.0,440.0,9050200.0,-6.0,4032230800.0,1652.0,444.0,4000.0,440.0,1344900.0,488400.0,1409300.0
28,20240322,ALII,440.0,0.0,458.0,438.0,440.0,13767500.0,0.0,6108594400.0,1600.0,442.0,64000.0,440.0,300.0,260400.0,2709600.0
28,20240325,ALII,440.0,0.0,440.0,394.0,400.0,45247900.0,-40.0,18349473400.0,4175.0,402.0,154800.0,400.0,1383700.0,2072100.0,6435600.0
28,20240326,ALII,400.0,0.0,414.0,394.0,396.0,13131800.0,-4.0,5241674000.0,1697.0,398.0,4500.0,396.0,1373400.0,1729700.0,1987900.0
28,20240327,ALII,396.0,0.0,410.0,392.0,394.0,13790700.0,-2.0,5502912600.0,1810.0,396.0,11500.0,394.0,885100.0,3192400.0,1212300.0
28,20240328,ALII,394.0,0.0,410.0,396.0,398.0,8529400.0,4.0,3430576200.0,1464.0,400.0,48300.0,398.0,257800.0,1438400.0,2634800.0
28,20240401,ALII,398.0,0.0,402.0,382.0,382.0,19790200.0,-16.0,7673239000.0,1310.0,384.0,450000.0,382.0,432300.0,3614400.0,3288000.0
28,20240402,ALII,382.0,0.0,402.0,382.0,384.0,8569300.0,2.0,3334563000.0,1528.0,386.0,170800.0,384.0,3900.0,1040600.0,746200.0
28,20240403,ALII,384.0,0.0,386.0,358.0,362.0,22686400.0,-22.0,8315119600.0,1856.0,362.0,44900.0,360.0,285200.0,1563900.0,6502600.0
28,20240404,ALII,362.0,0.0,376.0,348.0,370.0,3869200.0,8.0,1423820800.0,813.0,372.0,179900.0,370.0,700.0,236000.0,1083500.0
28,20240405,ALII,370.0,0.0,382.0,364.0,376.0,3085200.0,6.0,1151480000.0,728.0,376.0,170300.0,374.0,3000.0,196600.0,545400.0
28,20240416,ALII,376.0,0.0,376.0,346.0,358.0,7155000.0,-18.0,2541847000.0,1068.0,360.0,32400.0,358.0,4700.0,781600.0,2792700.0
28,20240417,ALII,358.0,0.0,362.0,342.0,354.0,3683800.0,-4.0,1302821800.0,485.0,354.0,62600.0,352.0,109100.0,208700.0,1152100.0
28,20240418,ALII,354.0,0.0,422.0,350.0,388.0,36840200.0,34.0,14590547400.0,6985.0,388.0,107600.0,386.0,156600.0,8641100.0,3644300.0
28,20240419,ALII,388.0,0.0,396.0,362.0,386.0,17331400.0,-2.0,6564378200.0,2818.0,386.0,270300.0,380.0,10000.0,2617300.0,1988100.0
28,20240422,ALII,386.0,0.0,396.0,372.0,380.0,4332300.0,-6.0,1652592600.0,1232.0,382.0,3300.0,380.0,1126500.0,871200.0,459400.0
28,20240423,ALII,380.0,0.0,418.0,378.0,410.0,23342600.0,30.0,9426405800.0,4792.0,410.0,604500.0,408.0,63100.0,2867400.0,3007300.0
