No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
28,20221230,ALTO,50.0,0.0,50.0,50.0,50.0,1285600.0,0.0,64280000.0,41.0,50.0,50931000.0,0.0,0.0,0.0,120000.0
28,20230102,ALTO,50.0,0.0,50.0,50.0,50.0,407200.0,0.0,20360000.0,50.0,50.0,46247800.0,0.0,0.0,0.0,1000.0
28,20230103,ALTO,50.0,0.0,50.0,50.0,50.0,279400.0,0.0,13970000.0,31.0,50.0,50475700.0,0.0,0.0,0.0,0.0
28,20230104,ALTO,50.0,0.0,50.0,50.0,50.0,364500.0,0.0,18225000.0,36.0,50.0,51097900.0,0.0,0.0,0.0,0.0
28,20230105,ALTO,50.0,0.0,50.0,50.0,50.0,51300.0,0.0,2565000.0,22.0,50.0,52394600.0,0.0,0.0,0.0,0.0
28,20230106,ALTO,50.0,0.0,50.0,50.0,50.0,53400.0,0.0,2670000.0,20.0,50.0,49268900.0,0.0,0.0,0.0,16000.0
28,20230109,ALTO,50.0,0.0,50.0,50.0,50.0,297700.0,0.0,14885000.0,32.0,50.0,52659200.0,0.0,0.0,0.0,0.0
28,20230110,ALTO,50.0,0.0,50.0,50.0,50.0,569200.0,0.0,28460000.0,43.0,50.0,50839200.0,0.0,0.0,0.0,0.0
28,20230111,ALTO,50.0,0.0,50.0,50.0,50.0,38800.0,0.0,1940000.0,13.0,50.0,51906000.0,0.0,0.0,0.0,0.0
28,20230112,ALTO,50.0,0.0,50.0,50.0,50.0,11300.0,0.0,565000.0,19.0,50.0,52209800.0,0.0,0.0,0.0,0.0
28,20230113,ALTO,50.0,0.0,50.0,50.0,50.0,244600.0,0.0,12230000.0,27.0,50.0,51485100.0,0.0,0.0,0.0,0.0
28,20230116,ALTO,50.0,0.0,50.0,50.0,50.0,42200.0,0.0,2110000.0,24.0,50.0,52528700.0,0.0,0.0,0.0,3000.0
28,20230117,ALTO,50.0,0.0,50.0,50.0,50.0,296100.0,0.0,14805000.0,25.0,50.0,53366700.0,0.0,0.0,0.0,0.0
28,20230118,ALTO,50.0,0.0,50.0,50.0,50.0,107500.0,0.0,5375000.0,17.0,50.0,51647100.0,0.0,0.0,0.0,0.0
28,20230119,ALTO,50.0,0.0,50.0,50.0,50.0,33500.0,0.0,1675000.0,17.0,50.0,51741400.0,0.0,0.0,0.0,0.0
28,20230120,ALTO,50.0,0.0,50.0,50.0,50.0,17000.0,0.0,850000.0,17.0,50.0,53376300.0,0.0,0.0,0.0,0.0
28,20230124,ALTO,50.0,0.0,50.0,50.0,50.0,8200.0,0.0,410000.0,12.0,50.0,47232200.0,0.0,0.0,0.0,0.0
28,20230125,ALTO,50.0,0.0,50.0,50.0,50.0,32000.0,0.0,1600000.0,16.0,50.0,47751800.0,0.0,0.0,0.0,0.0
28,20230126,ALTO,50.0,0.0,50.0,50.0,50.0,297700.0,0.0,14885000.0,14.0,50.0,46947700.0,0.0,0.0,0.0,0.0
28,20230127,ALTO,50.0,0.0,50.0,50.0,50.0,2200.0,0.0,110000.0,13.0,50.0,54226400.0,0.0,0.0,0.0,0.0
28,20230130,ALTO,50.0,0.0,50.0,50.0,50.0,622500.0,0.0,31125000.0,27.0,50.0,54238500.0,0.0,0.0,0.0,500000.0
28,20230131,ALTO,50.0,0.0,50.0,50.0,50.0,49800.0,0.0,2490000.0,22.0,50.0,14305700.0,0.0,0.0,0.0,0.0
28,20230201,ALTO,50.0,0.0,50.0,50.0,50.0,650400.0,0.0,32520000.0,45.0,50.0,12264400.0,0.0,0.0,0.0,0.0
28,20230202,ALTO,50.0,0.0,50.0,50.0,50.0,39200.0,0.0,1960000.0,14.0,50.0,12392000.0,0.0,0.0,0.0,0.0
28,20230203,ALTO,50.0,0.0,50.0,50.0,50.0,285300.0,0.0,14265000.0,18.0,50.0,12250400.0,0.0,0.0,0.0,0.0
28,20230206,ALTO,50.0,0.0,50.0,50.0,50.0,91700.0,0.0,4585000.0,22.0,50.0,15485000.0,0.0,0.0,0.0,0.0
28,20230207,ALTO,50.0,0.0,50.0,50.0,50.0,57200.0,0.0,2860000.0,15.0,50.0,11800900.0,0.0,0.0,0.0,0.0
28,20230208,ALTO,50.0,0.0,50.0,50.0,50.0,82500.0,0.0,4125000.0,33.0,50.0,12047900.0,0.0,0.0,0.0,0.0
28,20230209,ALTO,50.0,0.0,50.0,50.0,50.0,67900.0,0.0,3395000.0,16.0,50.0,11704400.0,0.0,0.0,0.0,400.0
28,20230210,ALTO,50.0,0.0,50.0,50.0,50.0,91200.0,0.0,4560000.0,14.0,50.0,10740900.0,0.0,0.0,0.0,0.0
28,20230213,ALTO,50.0,0.0,50.0,50.0,50.0,221200.0,0.0,11060000.0,23.0,50.0,11267300.0,0.0,0.0,0.0,0.0
28,20230214,ALTO,50.0,0.0,50.0,50.0,50.0,345400.0,0.0,17270000.0,24.0,50.0,10853300.0,0.0,0.0,0.0,0.0
28,20230215,ALTO,50.0,0.0,50.0,50.0,50.0,15300.0,0.0,765000.0,20.0,50.0,10882400.0,0.0,0.0,0.0,0.0
28,20230216,ALTO,50.0,0.0,50.0,50.0,50.0,36300.0,0.0,1815000.0,25.0,50.0,10809600.0,0.0,0.0,0.0,0.0
28,20230217,ALTO,50.0,0.0,50.0,50.0,50.0,38200.0,0.0,1910000.0,15.0,50.0,11147800.0,0.0,0.0,0.0,100.0
28,20230220,ALTO,50.0,0.0,50.0,50.0,50.0,24700.0,0.0,1235000.0,18.0,50.0,10794600.0,0.0,0.0,0.0,0.0
28,20230221,ALTO,50.0,0.0,50.0,50.0,50.0,68700.0,0.0,3435000.0,15.0,50.0,11093300.0,0.0,0.0,0.0,0.0
28,20230222,ALTO,50.0,0.0,50.0,50.0,50.0,115400.0,0.0,5770000.0,14.0,50.0,10646700.0,0.0,0.0,0.0,0.0
28,20230223,ALTO,50.0,0.0,50.0,50.0,50.0,62500.0,0.0,3125000.0,11.0,50.0,12948900.0,0.0,0.0,0.0,0.0
28,20230224,ALTO,50.0,0.0,50.0,50.0,50.0,36300.0,0.0,1815000.0,16.0,50.0,10756800.0,0.0,0.0,0.0,0.0
28,20230227,ALTO,50.0,0.0,50.0,50.0,50.0,157300.0,0.0,7865000.0,24.0,50.0,11494200.0,0.0,0.0,0.0,10000.0
28,20230228,ALTO,50.0,0.0,50.0,50.0,50.0,57200.0,0.0,2860000.0,11.0,50.0,10158200.0,0.0,0.0,0.0,49000.0
28,20230301,ALTO,50.0,0.0,50.0,50.0,50.0,415800.0,0.0,20790000.0,19.0,50.0,10335000.0,0.0,0.0,0.0,1500.0
28,20230302,ALTO,50.0,0.0,50.0,50.0,50.0,66000.0,0.0,3300000.0,29.0,50.0,11113400.0,0.0,0.0,0.0,0.0
28,20230303,ALTO,50.0,0.0,50.0,50.0,50.0,11500.0,0.0,575000.0,14.0,50.0,12567400.0,0.0,0.0,0.0,0.0
28,20230306,ALTO,50.0,0.0,50.0,50.0,50.0,12300.0,0.0,615000.0,16.0,50.0,14923000.0,0.0,0.0,0.0,0.0
28,20230307,ALTO,50.0,0.0,50.0,50.0,50.0,9800.0,0.0,490000.0,12.0,50.0,14143500.0,0.0,0.0,0.0,0.0
28,20230308,ALTO,50.0,0.0,50.0,50.0,50.0,4800.0,0.0,240000.0,7.0,50.0,12320700.0,0.0,0.0,0.0,0.0
28,20230309,ALTO,50.0,0.0,50.0,50.0,50.0,113600.0,0.0,5680000.0,18.0,50.0,12417200.0,0.0,0.0,0.0,0.0
28,20230310,ALTO,50.0,0.0,50.0,50.0,50.0,82400.0,0.0,4120000.0,10.0,50.0,11898800.0,0.0,0.0,0.0,0.0
28,20230313,ALTO,50.0,0.0,50.0,50.0,50.0,10400.0,0.0,520000.0,10.0,50.0,12183200.0,0.0,0.0,0.0,0.0
28,20230314,ALTO,50.0,0.0,50.0,50.0,50.0,1300.0,0.0,65000.0,7.0,50.0,12196000.0,0.0,0.0,0.0,0.0
28,20230315,ALTO,50.0,0.0,50.0,50.0,50.0,50000.0,0.0,2500000.0,12.0,50.0,11128100.0,0.0,0.0,0.0,0.0
28,20230316,ALTO,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,2.0,50.0,10839300.0,0.0,0.0,0.0,0.0
28,20230317,ALTO,50.0,0.0,50.0,50.0,50.0,900.0,0.0,45000.0,6.0,50.0,11419900.0,0.0,0.0,0.0,0.0
28,20230320,ALTO,50.0,0.0,50.0,50.0,50.0,2500.0,0.0,125000.0,5.0,50.0,11128300.0,0.0,0.0,0.0,0.0
28,20230321,ALTO,50.0,0.0,50.0,50.0,50.0,408600.0,0.0,20430000.0,6.0,50.0,10639600.0,0.0,0.0,0.0,0.0
28,20230324,ALTO,50.0,0.0,50.0,50.0,50.0,131600.0,0.0,6580000.0,14.0,50.0,11110700.0,0.0,0.0,0.0,23500.0
28,20230327,ALTO,50.0,0.0,50.0,50.0,50.0,35400.0,0.0,1770000.0,14.0,50.0,11787100.0,0.0,0.0,0.0,0.0
28,20230328,ALTO,50.0,0.0,50.0,50.0,50.0,425700.0,0.0,21285000.0,26.0,50.0,11276500.0,0.0,0.0,0.0,0.0
28,20230329,ALTO,50.0,0.0,50.0,50.0,50.0,1900.0,0.0,95000.0,9.0,50.0,11980600.0,0.0,0.0,0.0,0.0
28,20230330,ALTO,50.0,0.0,50.0,50.0,50.0,53600.0,0.0,2680000.0,7.0,50.0,11787000.0,0.0,0.0,0.0,0.0
28,20230331,ALTO,50.0,0.0,50.0,50.0,50.0,9000.0,0.0,450000.0,10.0,50.0,11601700.0,0.0,0.0,0.0,0.0
28,20230403,ALTO,50.0,0.0,50.0,50.0,50.0,16100.0,0.0,805000.0,7.0,50.0,11517500.0,0.0,0.0,0.0,0.0
28,20230404,ALTO,50.0,0.0,50.0,50.0,50.0,3300.0,0.0,165000.0,7.0,50.0,9976600.0,0.0,0.0,0.0,0.0
28,20230405,ALTO,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,9705100.0,0.0,0.0,0.0,0.0
28,20230406,ALTO,50.0,0.0,50.0,50.0,50.0,21100.0,0.0,1055000.0,6.0,50.0,10312200.0,0.0,0.0,0.0,0.0
28,20230410,ALTO,50.0,0.0,50.0,50.0,50.0,3300.0,0.0,165000.0,8.0,50.0,11040700.0,0.0,0.0,0.0,0.0
28,20230411,ALTO,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,10447800.0,0.0,0.0,0.0,0.0
28,20230412,ALTO,50.0,0.0,50.0,50.0,50.0,11200.0,0.0,560000.0,4.0,50.0,9864900.0,0.0,0.0,0.0,0.0
28,20230413,ALTO,50.0,0.0,50.0,50.0,50.0,10400.0,0.0,520000.0,4.0,50.0,12591800.0,0.0,0.0,0.0,0.0
28,20230414,ALTO,50.0,0.0,50.0,50.0,50.0,22200.0,0.0,1110000.0,4.0,50.0,12002400.0,0.0,0.0,0.0,20000.0
28,20230417,ALTO,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,3.0,50.0,13312500.0,0.0,0.0,0.0,0.0
28,20230418,ALTO,50.0,0.0,50.0,50.0,50.0,1200.0,0.0,60000.0,5.0,50.0,11354500.0,0.0,0.0,0.0,0.0
28,20230426,ALTO,50.0,0.0,50.0,50.0,50.0,4800.0,0.0,240000.0,7.0,50.0,14938600.0,0.0,0.0,0.0,0.0
28,20230427,ALTO,50.0,0.0,50.0,50.0,50.0,6100.0,0.0,305000.0,8.0,50.0,14214200.0,0.0,0.0,0.0,0.0
28,20230428,ALTO,50.0,0.0,50.0,50.0,50.0,900.0,0.0,45000.0,4.0,50.0,14105400.0,0.0,0.0,0.0,0.0
28,20230502,ALTO,50.0,0.0,50.0,50.0,50.0,3053700.0,0.0,152685000.0,61.0,50.0,10949300.0,0.0,0.0,0.0,0.0
28,20230503,ALTO,50.0,0.0,50.0,50.0,50.0,107700.0,0.0,5385000.0,16.0,50.0,11638900.0,0.0,0.0,0.0,0.0
28,20230504,ALTO,50.0,0.0,50.0,50.0,50.0,20600.0,0.0,1030000.0,21.0,50.0,11545400.0,0.0,0.0,0.0,0.0
28,20230505,ALTO,50.0,0.0,50.0,50.0,50.0,2300.0,0.0,115000.0,8.0,50.0,12868600.0,0.0,0.0,0.0,0.0
28,20230508,ALTO,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,9.0,50.0,14157600.0,0.0,0.0,0.0,0.0
28,20230509,ALTO,50.0,0.0,50.0,50.0,50.0,3300.0,0.0,165000.0,7.0,50.0,14190800.0,0.0,0.0,0.0,0.0
28,20230510,ALTO,50.0,0.0,50.0,50.0,50.0,2000.0,0.0,100000.0,6.0,50.0,13770600.0,0.0,0.0,0.0,0.0
28,20230511,ALTO,50.0,0.0,50.0,50.0,50.0,16800.0,0.0,840000.0,13.0,50.0,10099900.0,0.0,0.0,0.0,15000.0
28,20230512,ALTO,50.0,0.0,50.0,50.0,50.0,2300.0,0.0,115000.0,4.0,50.0,12710400.0,0.0,0.0,0.0,0.0
28,20230515,ALTO,50.0,0.0,50.0,50.0,50.0,5700.0,0.0,285000.0,8.0,50.0,11945700.0,0.0,0.0,0.0,0.0
28,20230516,ALTO,50.0,0.0,50.0,50.0,50.0,1500.0,0.0,75000.0,4.0,50.0,11023400.0,0.0,0.0,0.0,0.0
28,20230517,ALTO,50.0,0.0,50.0,50.0,50.0,49900.0,0.0,2495000.0,10.0,50.0,11314800.0,0.0,0.0,0.0,1000.0
28,20230519,ALTO,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,3.0,50.0,11135300.0,0.0,0.0,0.0,0.0
28,20230522,ALTO,50.0,0.0,50.0,50.0,50.0,23900.0,0.0,1195000.0,9.0,50.0,12621500.0,0.0,0.0,0.0,0.0
28,20230523,ALTO,50.0,0.0,50.0,50.0,50.0,700.0,0.0,35000.0,6.0,50.0,13007200.0,0.0,0.0,0.0,0.0
28,20230524,ALTO,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,4.0,50.0,10823000.0,0.0,0.0,0.0,0.0
28,20230525,ALTO,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,4.0,50.0,11203900.0,0.0,0.0,0.0,0.0
28,20230526,ALTO,50.0,0.0,50.0,50.0,50.0,2800.0,0.0,140000.0,11.0,50.0,11508600.0,0.0,0.0,0.0,0.0
28,20230529,ALTO,50.0,0.0,50.0,50.0,50.0,2300.0,0.0,115000.0,10.0,50.0,12242400.0,0.0,0.0,0.0,0.0
