No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
34,20230707,AMMN,1695.0,0.0,1820.0,1700.0,1755.0,411565100.0,60.0,719125322500.0,44476.0,1755.0,3275600.0,1750.0,5285000.0,1348500.0,13138300.0
34,20230710,AMMN,1755.0,0.0,1765.0,1745.0,1750.0,59010700.0,-5.0,103498637000.0,7276.0,1755.0,179500.0,1750.0,182100.0,342900.0,1806500.0
34,20230711,AMMN,1750.0,0.0,1760.0,1750.0,1750.0,34028600.0,0.0,59649464500.0,3141.0,1755.0,970800.0,1750.0,3881600.0,179700.0,20725200.0
34,20230712,AMMN,1750.0,0.0,1765.0,1750.0,1765.0,27860100.0,15.0,48979834000.0,2536.0,1765.0,4030500.0,1760.0,1582000.0,42100.0,11701000.0
34,20230713,AMMN,1765.0,0.0,1765.0,1750.0,1760.0,41745700.0,-5.0,73358360000.0,1964.0,1765.0,2334300.0,1760.0,898200.0,190200.0,13657000.0
34,20230714,AMMN,1760.0,0.0,1795.0,1755.0,1780.0,36126300.0,20.0,64078449000.0,2312.0,1785.0,924400.0,1780.0,324400.0,289100.0,5399000.0
34,20230717,AMMN,1780.0,0.0,1805.0,1780.0,1800.0,42037800.0,20.0,75336277500.0,2279.0,1805.0,2322700.0,1800.0,597900.0,515400.0,580900.0
34,20230718,AMMN,1800.0,0.0,1935.0,1800.0,1875.0,64315500.0,75.0,117763999000.0,5044.0,1875.0,153800.0,1870.0,148100.0,56400.0,21183100.0
34,20230720,AMMN,1875.0,0.0,1915.0,1825.0,1845.0,38857400.0,-30.0,72198056500.0,4628.0,1850.0,714700.0,1845.0,491200.0,10312200.0,200900.0
34,20230721,AMMN,1845.0,0.0,1885.0,1840.0,1875.0,33106100.0,30.0,61821806500.0,2406.0,1875.0,227500.0,1870.0,310500.0,19110100.0,1005700.0
34,20230724,AMMN,1875.0,0.0,2030.0,1860.0,2010.0,58408400.0,135.0,112052393500.0,5551.0,2020.0,54700.0,2010.0,5300.0,13756100.0,1818700.0
34,20230725,AMMN,2010.0,0.0,2310.0,1960.0,2300.0,78275300.0,290.0,169215862500.0,15546.0,2300.0,1572900.0,2290.0,218800.0,5343000.0,2483400.0
34,20230726,AMMN,2300.0,0.0,2410.0,2220.0,2280.0,57626800.0,-20.0,133048843000.0,11377.0,2290.0,1477200.0,2280.0,32600.0,2520400.0,3839600.0
34,20230727,AMMN,2280.0,0.0,2480.0,2250.0,2470.0,65302700.0,190.0,153376079000.0,9872.0,2470.0,420200.0,2460.0,563000.0,1344800.0,1819400.0
34,20230728,AMMN,2470.0,0.0,2810.0,2460.0,2660.0,94264400.0,190.0,247142328000.0,18400.0,2660.0,45800.0,2650.0,477100.0,2705800.0,3370900.0
34,20230731,AMMN,2660.0,0.0,2850.0,2680.0,2810.0,72440600.0,150.0,200444023000.0,14109.0,2810.0,386800.0,2800.0,303000.0,4204000.0,2235000.0
34,20230801,AMMN,2810.0,0.0,3230.0,2390.0,2800.0,179828300.0,-10.0,519959555000.0,40865.0,2800.0,1246000.0,2790.0,10000.0,11406000.0,23803900.0
34,20230802,AMMN,2800.0,0.0,2950.0,2550.0,2830.0,142828200.0,30.0,396177891000.0,26418.0,2840.0,643200.0,2830.0,1028700.0,3530000.0,41847400.0
34,20230803,AMMN,2830.0,0.0,2880.0,2790.0,2830.0,51237100.0,0.0,145750240000.0,5583.0,2840.0,988100.0,2830.0,957800.0,755600.0,17558500.0
34,20230804,AMMN,2830.0,0.0,2940.0,2830.0,2870.0,53097600.0,40.0,153270339000.0,6503.0,2880.0,406000.0,2870.0,878100.0,4643400.0,1037900.0
34,20230807,AMMN,2870.0,0.0,2950.0,2850.0,2930.0,45436600.0,60.0,132600354000.0,6012.0,2930.0,994500.0,2920.0,45100.0,2352600.0,1000100.0
34,20230808,AMMN,2930.0,0.0,2970.0,2920.0,2960.0,54717400.0,30.0,161188504000.0,3999.0,2970.0,2918100.0,2960.0,469700.0,848400.0,18404500.0
34,20230809,AMMN,2960.0,0.0,3020.0,2960.0,3000.0,55024200.0,40.0,164661130000.0,6429.0,3010.0,627200.0,3000.0,209200.0,7641200.0,1811700.0
34,20230810,AMMN,3000.0,0.0,3040.0,2800.0,3000.0,54338800.0,0.0,162421732000.0,5424.0,3000.0,454000.0,2990.0,907800.0,4305600.0,9909500.0
34,20230811,AMMN,3000.0,0.0,3020.0,2990.0,3000.0,27254100.0,0.0,81895476000.0,2967.0,3010.0,63600.0,3000.0,1109700.0,677300.0,2399400.0
34,20230814,AMMN,3000.0,0.0,3080.0,3000.0,3080.0,37538100.0,80.0,114357007000.0,4832.0,3080.0,311800.0,3070.0,10100.0,4135800.0,4578200.0
34,20230815,AMMN,3080.0,0.0,3200.0,3070.0,3190.0,48297700.0,110.0,151509847000.0,6760.0,3190.0,151500.0,3180.0,100600.0,7594500.0,2295500.0
34,20230816,AMMN,3190.0,0.0,3300.0,3170.0,3300.0,52448700.0,110.0,169917416000.0,8074.0,3310.0,591600.0,3300.0,426500.0,9385500.0,5754300.0
34,20230818,AMMN,3300.0,0.0,3380.0,3300.0,3350.0,39653600.0,50.0,132848626000.0,5799.0,3360.0,264800.0,3350.0,2005000.0,11002100.0,3269600.0
34,20230821,AMMN,3350.0,0.0,3440.0,3340.0,3440.0,42819200.0,90.0,145141674000.0,5514.0,3440.0,3721700.0,3430.0,199500.0,4777500.0,6442000.0
34,20230822,AMMN,3440.0,0.0,3610.0,3430.0,3610.0,77881500.0,170.0,275449095000.0,9370.0,3620.0,1783900.0,3610.0,349200.0,10987700.0,8732400.0
34,20230823,AMMN,3610.0,0.0,3840.0,3610.0,3830.0,71234600.0,220.0,267340665000.0,12177.0,3840.0,401100.0,3830.0,897500.0,23026400.0,4738700.0
34,20230824,AMMN,3830.0,0.0,4020.0,3540.0,3950.0,102057200.0,120.0,397810549000.0,20325.0,3950.0,20400.0,3940.0,187400.0,14189500.0,22444700.0
34,20230825,AMMN,3950.0,0.0,4140.0,3930.0,4140.0,64624300.0,190.0,262466582000.0,10921.0,4150.0,283400.0,4140.0,896700.0,9227700.0,8431900.0
34,20230828,AMMN,4140.0,0.0,4290.0,4090.0,4280.0,65825700.0,140.0,278263290000.0,13007.0,4290.0,248800.0,4280.0,270500.0,25987400.0,16496100.0
34,20230829,AMMN,4280.0,0.0,4470.0,4250.0,4470.0,95744500.0,190.0,419737608000.0,20496.0,4480.0,458000.0,4470.0,354300.0,18913000.0,7207500.0
34,20230830,AMMN,4470.0,0.0,4540.0,4390.0,4500.0,100315000.0,30.0,449066212000.0,20376.0,4500.0,196600.0,4490.0,729700.0,11429500.0,13677300.0
