No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
41,20221230,APIC,1120.0,0.0,1130.0,1120.0,1130.0,4168900.0,10.0,4684390000.0,208.0,1130.0,965200.0,1125.0,81600.0,162200.0,0.0
41,20230102,APIC,1130.0,0.0,1145.0,1130.0,1140.0,4638300.0,10.0,5263990000.0,205.0,1140.0,354400.0,1135.0,103000.0,100.0,473400.0
41,20230103,APIC,1140.0,0.0,1145.0,1130.0,1135.0,1701300.0,-5.0,1930286000.0,87.0,1135.0,235600.0,1130.0,219600.0,1500.0,67200.0
41,20230104,APIC,1135.0,0.0,1135.0,1125.0,1130.0,2711800.0,-5.0,3062326000.0,140.0,1130.0,128200.0,1125.0,114800.0,103500.0,6500.0
41,20230105,APIC,1130.0,0.0,1130.0,1115.0,1125.0,2316200.0,-5.0,2605861000.0,230.0,1125.0,65700.0,1120.0,115900.0,784500.0,45300.0
41,20230106,APIC,1125.0,0.0,1125.0,1115.0,1120.0,2343400.0,-5.0,2629618500.0,152.0,1120.0,100700.0,1115.0,317000.0,302500.0,0.0
41,20230109,APIC,1120.0,0.0,1130.0,1115.0,1125.0,2672000.0,5.0,3002540000.0,185.0,1125.0,197100.0,1120.0,34600.0,471900.0,1800.0
41,20230110,APIC,1125.0,0.0,1130.0,1120.0,1125.0,2079600.0,0.0,2334566500.0,137.0,1125.0,147600.0,1120.0,396000.0,186400.0,0.0
41,20230111,APIC,1125.0,0.0,1125.0,1115.0,1120.0,2583400.0,-5.0,2899678000.0,165.0,1120.0,81700.0,1115.0,338700.0,516900.0,1500.0
41,20230112,APIC,1120.0,0.0,1130.0,1120.0,1130.0,1815800.0,10.0,2040173000.0,99.0,1130.0,941300.0,1125.0,84800.0,146600.0,26100.0
41,20230113,APIC,1130.0,0.0,1135.0,1125.0,1130.0,2918200.0,0.0,3301471500.0,101.0,1130.0,185400.0,1125.0,344100.0,189500.0,0.0
41,20230116,APIC,1130.0,0.0,1140.0,1130.0,1130.0,2314500.0,0.0,2618178500.0,220.0,1130.0,40600.0,1125.0,315700.0,4900.0,90600.0
41,20230117,APIC,1130.0,0.0,1135.0,1130.0,1130.0,1993500.0,0.0,2258338000.0,147.0,1140.0,1290400.0,1130.0,308500.0,446400.0,77200.0
41,20230118,APIC,1130.0,0.0,1135.0,1120.0,1120.0,2937900.0,-10.0,3305808500.0,306.0,1125.0,283100.0,1115.0,529600.0,737700.0,120000.0
41,20230119,APIC,1120.0,0.0,1125.0,1120.0,1125.0,2599400.0,5.0,2917252000.0,196.0,1125.0,76200.0,1120.0,109200.0,193700.0,21400.0
41,20230120,APIC,1125.0,0.0,1135.0,1120.0,1135.0,1688900.0,10.0,1906881500.0,130.0,1135.0,127600.0,1130.0,36800.0,201300.0,5800.0
41,20230124,APIC,1135.0,0.0,1145.0,1130.0,1140.0,1985500.0,5.0,2260254000.0,292.0,1145.0,389600.0,1140.0,359100.0,153700.0,13800.0
