No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
50,20240401,AREA,131.0,0.0,171.0,116.0,139.0,700397300.0,8.0,102113801600.0,73264.0,139.0,1328300.0,138.0,318900.0,36550000.0,35919400.0
50,20240402,AREA,139.0,0.0,147.0,105.0,108.0,195863000.0,-31.0,23523897600.0,19406.0,108.0,3341900.0,107.0,508400.0,17623200.0,17321700.0
50,20240403,AREA,108.0,0.0,113.0,96.0,100.0,76796400.0,-8.0,7876323100.0,7864.0,100.0,49800.0,99.0,621600.0,476800.0,350000.0
50,20240404,AREA,100.0,0.0,117.0,100.0,116.0,115448200.0,16.0,12926499400.0,9676.0,116.0,1951700.0,115.0,531100.0,2100.0,34400.0
50,20240405,AREA,116.0,0.0,125.0,110.0,113.0,25798900.0,-3.0,2920229300.0,2353.0,114.0,855900.0,113.0,106500.0,7600.0,0.0
50,20240416,AREA,113.0,0.0,116.0,106.0,111.0,23738500.0,-2.0,2640505200.0,2311.0,112.0,25300.0,111.0,68100.0,2000.0,28900.0
50,20240417,AREA,111.0,0.0,113.0,109.0,111.0,24029900.0,0.0,2663953800.0,1536.0,112.0,1182400.0,111.0,267500.0,21100.0,27700.0
50,20240418,AREA,111.0,0.0,148.0,110.0,131.0,338272800.0,20.0,44999614600.0,28512.0,132.0,144700.0,131.0,582500.0,6499800.0,5936000.0
50,20240419,AREA,131.0,0.0,133.0,118.0,120.0,62234300.0,-11.0,7684982300.0,6159.0,121.0,90300.0,120.0,270000.0,0.0,23900.0
50,20240422,AREA,120.0,0.0,127.0,120.0,124.0,23863400.0,4.0,2946028800.0,2923.0,125.0,282700.0,124.0,617600.0,482600.0,660300.0
50,20240423,AREA,124.0,0.0,126.0,120.0,123.0,14732500.0,-1.0,1793782000.0,1645.0,124.0,273500.0,123.0,21500.0,76300.0,240000.0
50,20240424,AREA,123.0,0.0,129.0,108.0,122.0,63346200.0,-1.0,7709052600.0,3701.0,123.0,10800.0,122.0,423200.0,806400.0,1818500.0
50,20240425,AREA,122.0,0.0,126.0,111.0,113.0,43274600.0,-9.0,4977624600.0,3478.0,114.0,87600.0,113.0,3000.0,1989200.0,3081300.0
50,20240426,AREA,113.0,0.0,113.0,106.0,109.0,22105600.0,-4.0,2415766300.0,1670.0,109.0,48400.0,107.0,52000.0,820300.0,264500.0
50,20240429,AREA,109.0,0.0,116.0,108.0,112.0,12014400.0,3.0,1354619600.0,1371.0,113.0,2926000.0,112.0,332700.0,1854800.0,59500.0
50,20240430,AREA,112.0,0.0,116.0,112.0,113.0,7558800.0,1.0,863254300.0,665.0,114.0,40700.0,113.0,140100.0,39100.0,402200.0
50,20240502,AREA,113.0,0.0,115.0,101.0,103.0,26948300.0,-10.0,2852611900.0,1946.0,104.0,1852600.0,103.0,448700.0,1250100.0,950500.0
50,20240503,AREA,103.0,0.0,107.0,103.0,105.0,21405100.0,2.0,2241818900.0,1071.0,106.0,1361900.0,105.0,51900.0,529900.0,483800.0
50,20240506,AREA,105.0,0.0,125.0,105.0,123.0,78954800.0,18.0,9179105000.0,6569.0,124.0,1327700.0,123.0,1828600.0,2689900.0,2964300.0
50,20240507,AREA,123.0,0.0,131.0,120.0,123.0,27617200.0,0.0,3454348900.0,3047.0,124.0,20600.0,123.0,585900.0,1635500.0,1775700.0
50,20240508,AREA,123.0,0.0,136.0,125.0,136.0,51280000.0,13.0,6790705200.0,5004.0,136.0,521000.0,135.0,64000.0,659900.0,2984500.0
50,20240513,AREA,136.0,0.0,139.0,128.0,133.0,21979200.0,-3.0,2917881500.0,1896.0,134.0,40100.0,133.0,734400.0,1186000.0,297700.0
50,20240514,AREA,133.0,0.0,143.0,135.0,142.0,49316900.0,9.0,6849559600.0,4403.0,142.0,974100.0,141.0,38000.0,1686600.0,2347800.0
50,20240515,AREA,142.0,0.0,146.0,139.0,142.0,34060300.0,0.0,4856171300.0,2432.0,143.0,180500.0,142.0,228300.0,1790000.0,3152600.0
50,20240516,AREA,142.0,0.0,145.0,133.0,142.0,23171200.0,0.0,3259035400.0,1844.0,142.0,15000.0,141.0,112900.0,478000.0,2340000.0
50,20240517,AREA,142.0,0.0,186.0,141.0,141.0,107619100.0,-1.0,16879274700.0,10693.0,141.0,120000.0,140.0,436900.0,6678700.0,12719400.0
50,20240520,AREA,141.0,0.0,169.0,141.0,168.0,72201600.0,27.0,11494267700.0,9279.0,169.0,144700.0,168.0,1006500.0,4595900.0,10231100.0
50,20240521,AREA,168.0,0.0,173.0,145.0,150.0,36159300.0,-18.0,5686508900.0,5208.0,151.0,15900.0,150.0,453600.0,8790500.0,1909900.0
50,20240522,AREA,150.0,0.0,162.0,143.0,153.0,29619800.0,3.0,4631584200.0,3700.0,154.0,7300.0,153.0,164000.0,3606300.0,1691900.0
50,20240527,AREA,153.0,0.0,158.0,152.0,156.0,13922400.0,3.0,2154966000.0,1612.0,157.0,109400.0,156.0,169000.0,1874700.0,1501400.0
50,20240528,AREA,156.0,0.0,166.0,156.0,163.0,37863800.0,7.0,6118770900.0,3655.0,163.0,351000.0,162.0,136800.0,5026400.0,2325900.0
50,20240529,AREA,163.0,0.0,175.0,163.0,166.0,68887700.0,3.0,11593623900.0,5901.0,167.0,29300.0,166.0,157800.0,7270000.0,2496000.0
50,20240530,AREA,166.0,0.0,167.0,154.0,160.0,13584600.0,-6.0,2161058800.0,1788.0,161.0,21000.0,160.0,37900.0,1380500.0,1519400.0
50,20240531,AREA,160.0,0.0,166.0,120.0,120.0,34941300.0,-40.0,5154544100.0,3423.0,130.0,200.0,120.0,2415600.0,2819200.0,3630200.0
