No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
49,20221230,ARKO,630.0,0.0,630.0,620.0,625.0,6017300.0,-5.0,3778729000.0,387.0,625.0,100900.0,620.0,603400.0,685000.0,208700.0
49,20230102,ARKO,625.0,0.0,625.0,610.0,625.0,3200800.0,0.0,1975415500.0,312.0,625.0,369500.0,620.0,3800.0,319300.0,5600.0
49,20230103,ARKO,625.0,0.0,635.0,610.0,610.0,8947700.0,-15.0,5573632000.0,958.0,610.0,1900.0,605.0,216300.0,1353900.0,171600.0
49,20230104,ARKO,610.0,0.0,610.0,590.0,590.0,4398800.0,-20.0,2635728000.0,602.0,590.0,85700.0,585.0,571800.0,576000.0,130400.0
49,20230105,ARKO,590.0,0.0,590.0,565.0,565.0,3591000.0,-25.0,2066118000.0,484.0,565.0,500.0,560.0,135400.0,657000.0,5400.0
49,20230106,ARKO,565.0,0.0,595.0,560.0,565.0,5526000.0,0.0,3205471500.0,605.0,575.0,4000.0,565.0,26700.0,798600.0,65600.0
49,20230109,ARKO,565.0,0.0,565.0,545.0,555.0,3134500.0,-10.0,1734122000.0,414.0,555.0,86500.0,550.0,46200.0,434100.0,6000.0
49,20230110,ARKO,555.0,0.0,555.0,545.0,555.0,1793100.0,0.0,986408500.0,236.0,555.0,262300.0,545.0,142800.0,110300.0,2900.0
49,20230111,ARKO,555.0,0.0,555.0,545.0,550.0,1144600.0,-5.0,628992000.0,236.0,550.0,106400.0,545.0,320000.0,108900.0,16200.0
49,20230112,ARKO,550.0,0.0,550.0,545.0,550.0,2004000.0,0.0,1099177000.0,332.0,550.0,308700.0,545.0,265000.0,299800.0,5700.0
49,20230113,ARKO,550.0,0.0,550.0,545.0,550.0,742600.0,0.0,406802500.0,119.0,550.0,319000.0,545.0,162700.0,93900.0,2400.0
49,20230116,ARKO,550.0,0.0,550.0,545.0,550.0,588900.0,0.0,321695500.0,135.0,550.0,523700.0,545.0,26600.0,53800.0,10000.0
49,20230117,ARKO,550.0,0.0,550.0,545.0,550.0,622000.0,0.0,339276000.0,177.0,550.0,507200.0,545.0,270600.0,28000.0,0.0
49,20230118,ARKO,550.0,0.0,560.0,535.0,545.0,1425500.0,-5.0,774843000.0,245.0,545.0,386900.0,540.0,124000.0,92800.0,5700.0
49,20230119,ARKO,545.0,0.0,555.0,520.0,520.0,4310800.0,-25.0,2302628500.0,470.0,520.0,57200.0,515.0,260200.0,352700.0,109000.0
49,20230120,ARKO,520.0,0.0,535.0,515.0,525.0,3267100.0,5.0,1723792000.0,319.0,525.0,226600.0,520.0,856300.0,302800.0,20000.0
49,20230124,ARKO,525.0,0.0,530.0,498.0,500.0,6752600.0,-25.0,3428817000.0,999.0,500.0,462900.0,498.0,89500.0,728100.0,500.0
49,20230125,ARKO,500.0,0.0,500.0,468.0,488.0,10358900.0,-12.0,4979262200.0,1090.0,488.0,51000.0,486.0,15100.0,81800.0,0.0
49,20230126,ARKO,488.0,0.0,500.0,488.0,498.0,1905500.0,10.0,945634200.0,309.0,498.0,262000.0,496.0,104400.0,698000.0,1000.0
49,20230127,ARKO,498.0,0.0,615.0,496.0,600.0,17583600.0,102.0,10261967900.0,2340.0,600.0,70200.0,595.0,285800.0,2194300.0,211000.0
49,20230130,ARKO,600.0,0.0,610.0,580.0,585.0,5465100.0,-15.0,3242520000.0,1044.0,585.0,5400.0,580.0,306500.0,629500.0,0.0
