No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
59,20221230,ASII,5650.0,5675.0,5750.0,5650.0,5700.0,36384500.0,50.0,207706815000.0,3858.0,5725.0,604000.0,5700.0,583000.0,17538100.0,3239200.0
59,20230102,ASII,5700.0,5725.0,5725.0,5625.0,5700.0,13300500.0,0.0,75318865000.0,3212.0,5700.0,1560200.0,5675.0,6900.0,8575600.0,2293000.0
59,20230103,ASII,5700.0,5675.0,5700.0,5625.0,5650.0,23044800.0,-50.0,130315665000.0,3864.0,5675.0,273600.0,5650.0,151500.0,5108000.0,1127700.0
59,20230104,ASII,5650.0,5650.0,5700.0,5625.0,5675.0,32580000.0,25.0,184290665000.0,6507.0,5675.0,797000.0,5650.0,197500.0,20829200.0,23018300.0
59,20230105,ASII,5675.0,5650.0,5700.0,5375.0,5375.0,106047000.0,-300.0,578966585000.0,20761.0,5400.0,32600.0,5375.0,2577200.0,64429800.0,50373800.0
59,20230106,ASII,5375.0,5400.0,5525.0,5350.0,5450.0,59754600.0,75.0,325479512500.0,12614.0,5450.0,5422900.0,5425.0,607600.0,42732300.0,42046100.0
59,20230109,ASII,5450.0,5500.0,5500.0,5275.0,5350.0,63478600.0,-100.0,339894102500.0,14874.0,5375.0,386300.0,5350.0,188700.0,37605900.0,30039000.0
59,20230110,ASII,5350.0,5375.0,5375.0,5275.0,5325.0,54318300.0,-25.0,289211020000.0,9107.0,5350.0,190500.0,5325.0,296000.0,40523400.0,37190900.0
59,20230111,ASII,5325.0,5325.0,5350.0,5200.0,5225.0,64233300.0,-100.0,337197275000.0,10217.0,5250.0,188300.0,5225.0,10986400.0,50026900.0,35317300.0
59,20230112,ASII,5225.0,5200.0,5375.0,5200.0,5350.0,58566700.0,125.0,310968875000.0,7675.0,5375.0,745000.0,5350.0,5996700.0,28799200.0,31221700.0
59,20230113,ASII,5350.0,5375.0,5500.0,5300.0,5450.0,52061200.0,100.0,281188900000.0,8197.0,5450.0,853600.0,5425.0,1294800.0,29153900.0,30145500.0
59,20230116,ASII,5450.0,5525.0,5600.0,5475.0,5600.0,43513600.0,150.0,241658575000.0,7571.0,5600.0,1332000.0,5575.0,78800.0,29145500.0,27508000.0
59,20230117,ASII,5600.0,5600.0,5650.0,5500.0,5550.0,66999600.0,-50.0,374016885000.0,9276.0,5575.0,53600.0,5550.0,3677200.0,44664800.0,34637500.0
59,20230118,ASII,5550.0,5550.0,5650.0,5550.0,5650.0,28126900.0,100.0,157709982500.0,5560.0,5650.0,1752100.0,5625.0,1200.0,16248800.0,18368400.0
59,20230119,ASII,5650.0,5650.0,5875.0,5650.0,5850.0,88542700.0,200.0,514809832500.0,13910.0,5875.0,2676800.0,5850.0,710500.0,37392200.0,62790400.0
59,20230120,ASII,5850.0,5875.0,5900.0,5775.0,5900.0,49292700.0,50.0,288862185000.0,6844.0,5925.0,1175000.0,5900.0,14800.0,26660500.0,22656000.0
59,20230124,ASII,5900.0,5900.0,5950.0,5850.0,5925.0,25154300.0,25.0,148501377500.0,7156.0,5925.0,156100.0,5900.0,93300.0,14494500.0,12808800.0
59,20230125,ASII,5925.0,5900.0,5950.0,5850.0,5950.0,15295500.0,25.0,90480845000.0,3503.0,5950.0,423600.0,5925.0,31400.0,7394800.0,8929000.0
