No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
66,20221230,ASSA,770.0,0.0,785.0,760.0,775.0,2435000.0,5.0,1889476000.0,655.0,775.0,55400.0,770.0,377100.0,98800.0,189000.0
66,20230102,ASSA,775.0,0.0,780.0,765.0,770.0,798500.0,-5.0,616416500.0,425.0,775.0,30000.0,770.0,402900.0,51800.0,169400.0
66,20230103,ASSA,770.0,0.0,790.0,760.0,770.0,2318900.0,0.0,1791908500.0,924.0,775.0,35000.0,770.0,3000.0,129900.0,213400.0
66,20230104,ASSA,770.0,0.0,780.0,755.0,755.0,2426700.0,-15.0,1854422500.0,736.0,755.0,45500.0,750.0,180600.0,414000.0,36400.0
66,20230105,ASSA,755.0,0.0,765.0,705.0,705.0,5798700.0,-50.0,4207843500.0,1504.0,705.0,141400.0,0.0,0.0,1759700.0,102200.0
66,20230106,ASSA,705.0,0.0,740.0,680.0,730.0,4991600.0,25.0,3586086000.0,1177.0,730.0,46600.0,725.0,130000.0,1504800.0,461000.0
66,20230109,ASSA,730.0,0.0,755.0,700.0,720.0,2498800.0,-10.0,1840499500.0,937.0,730.0,33000.0,720.0,59800.0,468100.0,429000.0
66,20230110,ASSA,720.0,0.0,725.0,680.0,700.0,3821300.0,-20.0,2661906500.0,1073.0,700.0,18500.0,695.0,178500.0,1622700.0,234300.0
66,20230111,ASSA,700.0,0.0,745.0,685.0,725.0,4447400.0,25.0,3169711500.0,1114.0,730.0,44400.0,725.0,1500.0,394700.0,672300.0
66,20230112,ASSA,725.0,0.0,740.0,725.0,730.0,3757300.0,5.0,2746116500.0,635.0,730.0,133600.0,725.0,181300.0,306100.0,725900.0
66,20230113,ASSA,730.0,0.0,735.0,710.0,715.0,1192000.0,-15.0,858314500.0,707.0,720.0,9100.0,715.0,119500.0,266400.0,182500.0
66,20230116,ASSA,715.0,0.0,750.0,715.0,740.0,6551500.0,25.0,4841876500.0,1036.0,745.0,906400.0,740.0,4800.0,540100.0,531300.0
66,20230117,ASSA,740.0,0.0,765.0,720.0,725.0,7291100.0,-15.0,5391550000.0,1197.0,725.0,30300.0,720.0,362100.0,470300.0,421700.0
66,20230118,ASSA,725.0,0.0,740.0,715.0,725.0,1310000.0,0.0,955447000.0,365.0,730.0,43900.0,725.0,295600.0,142800.0,407800.0
66,20230119,ASSA,725.0,0.0,740.0,725.0,730.0,1541800.0,5.0,1127906000.0,481.0,735.0,30500.0,730.0,14300.0,90000.0,571200.0
66,20230120,ASSA,730.0,0.0,740.0,725.0,730.0,912500.0,0.0,666361500.0,415.0,730.0,147600.0,725.0,91500.0,84800.0,270500.0
66,20230124,ASSA,730.0,0.0,775.0,725.0,770.0,19922100.0,40.0,15066908500.0,5032.0,770.0,18000.0,765.0,49500.0,855800.0,2269200.0
