No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
72,20221230,AYLS,105.0,0.0,112.0,101.0,101.0,26210000.0,-4.0,2790398300.0,3337.0,101.0,442700.0,100.0,378100.0,0.0,0.0
72,20230102,AYLS,101.0,0.0,106.0,97.0,102.0,12536500.0,1.0,1278986300.0,1540.0,102.0,216200.0,101.0,266900.0,65200.0,15500.0
72,20230103,AYLS,102.0,0.0,102.0,98.0,100.0,6181200.0,-2.0,617533000.0,745.0,100.0,291300.0,99.0,459200.0,115500.0,0.0
72,20230104,AYLS,100.0,0.0,101.0,94.0,97.0,11868800.0,-3.0,1164992900.0,1262.0,97.0,307400.0,96.0,523800.0,0.0,59700.0
72,20230105,AYLS,97.0,0.0,98.0,91.0,91.0,9054300.0,-6.0,839190800.0,1104.0,91.0,1644600.0,0.0,0.0,59700.0,0.0
72,20230106,AYLS,91.0,0.0,90.0,85.0,86.0,12235200.0,-5.0,1048153700.0,1165.0,86.0,283600.0,85.0,1063700.0,13900.0,0.0
72,20230109,AYLS,86.0,0.0,88.0,80.0,84.0,8003200.0,-2.0,674594200.0,529.0,85.0,69600.0,84.0,1981400.0,286100.0,0.0
72,20230110,AYLS,84.0,0.0,91.0,81.0,81.0,9000800.0,-3.0,756850500.0,881.0,82.0,73900.0,81.0,169000.0,0.0,0.0
72,20230111,AYLS,81.0,0.0,84.0,80.0,80.0,6759700.0,-1.0,552598100.0,624.0,81.0,10000.0,80.0,4924100.0,0.0,0.0
72,20230112,AYLS,80.0,0.0,86.0,79.0,81.0,9368000.0,1.0,761838800.0,668.0,81.0,360700.0,80.0,372900.0,0.0,0.0
72,20230113,AYLS,81.0,0.0,82.0,79.0,81.0,5737900.0,0.0,462282900.0,384.0,81.0,95800.0,80.0,237300.0,0.0,0.0
72,20230116,AYLS,81.0,0.0,83.0,76.0,79.0,11598700.0,-2.0,924325200.0,1070.0,80.0,56900.0,79.0,8500.0,0.0,0.0
72,20230117,AYLS,79.0,0.0,80.0,77.0,79.0,3986100.0,0.0,313551200.0,422.0,79.0,42900.0,78.0,485700.0,0.0,0.0
72,20230118,AYLS,79.0,0.0,87.0,79.0,85.0,27885300.0,6.0,2352019300.0,2516.0,85.0,67200.0,84.0,118700.0,0.0,2800.0
72,20230119,AYLS,85.0,0.0,95.0,82.0,89.0,53152600.0,4.0,4802748600.0,5412.0,90.0,323100.0,89.0,665100.0,2800.0,0.0
72,20230120,AYLS,89.0,0.0,92.0,86.0,88.0,11745200.0,-1.0,1041956300.0,1416.0,88.0,359100.0,87.0,457600.0,0.0,0.0
72,20230124,AYLS,88.0,0.0,91.0,86.0,89.0,9247500.0,1.0,818595200.0,1188.0,90.0,245700.0,89.0,320300.0,0.0,83000.0
72,20230125,AYLS,89.0,0.0,95.0,88.0,93.0,15754100.0,4.0,1450347600.0,1988.0,94.0,405200.0,93.0,398600.0,0.0,0.0
72,20230126,AYLS,93.0,0.0,96.0,89.0,90.0,11581600.0,-3.0,1064250200.0,1447.0,91.0,24700.0,90.0,353600.0,0.0,500.0
72,20230127,AYLS,90.0,0.0,92.0,88.0,89.0,6283400.0,-1.0,564490000.0,702.0,90.0,577800.0,89.0,378000.0,300.0,0.0
72,20230130,AYLS,89.0,0.0,90.0,87.0,87.0,3050000.0,-2.0,268221300.0,526.0,87.0,50400.0,86.0,132700.0,266100.0,0.0
72,20230131,AYLS,87.0,0.0,88.0,82.0,83.0,5977700.0,-4.0,503903600.0,807.0,84.0,148800.0,83.0,688800.0,50400.0,0.0
72,20230201,AYLS,83.0,0.0,90.0,82.0,87.0,10375900.0,4.0,897669800.0,1812.0,88.0,23000.0,87.0,582100.0,0.0,0.0
72,20230202,AYLS,87.0,0.0,94.0,84.0,91.0,20404800.0,4.0,1820074300.0,1919.0,92.0,231500.0,91.0,49300.0,0.0,0.0
72,20230203,AYLS,91.0,0.0,92.0,89.0,89.0,5696100.0,-2.0,512663100.0,720.0,90.0,86600.0,89.0,92900.0,0.0,0.0
72,20230206,AYLS,89.0,0.0,90.0,86.0,89.0,7678000.0,0.0,677701000.0,554.0,90.0,453000.0,89.0,2451500.0,0.0,0.0
72,20230207,AYLS,89.0,0.0,92.0,87.0,89.0,6437700.0,0.0,572802900.0,499.0,90.0,148600.0,89.0,852800.0,0.0,0.0
72,20230208,AYLS,89.0,0.0,91.0,88.0,90.0,13036700.0,1.0,1170026900.0,623.0,90.0,252900.0,89.0,653800.0,0.0,0.0
72,20230209,AYLS,90.0,0.0,94.0,87.0,93.0,14990200.0,3.0,1359463400.0,904.0,94.0,388300.0,93.0,2721400.0,5500.0,200000.0
72,20230210,AYLS,93.0,0.0,109.0,95.0,96.0,92935300.0,3.0,9461609200.0,8640.0,97.0,103600.0,96.0,155500.0,200000.0,700000.0
72,20230213,AYLS,96.0,0.0,98.0,90.0,90.0,8005900.0,-6.0,727257700.0,981.0,90.0,913500.0,0.0,0.0,500000.0,0.0
