No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
74,20221230,BACA,131.0,0.0,133.0,130.0,131.0,3769600.0,0.0,495322800.0,361.0,131.0,606900.0,130.0,3966200.0,0.0,825200.0
74,20230102,BACA,131.0,0.0,138.0,131.0,133.0,28686100.0,2.0,3868642000.0,1982.0,134.0,98700.0,133.0,579900.0,1420800.0,1056200.0
74,20230103,BACA,133.0,0.0,136.0,130.0,131.0,13979200.0,-2.0,1844646900.0,713.0,132.0,26700.0,131.0,1174600.0,2569400.0,962600.0
74,20230104,BACA,131.0,0.0,133.0,130.0,130.0,8692900.0,-1.0,1135197200.0,484.0,131.0,245600.0,130.0,1199700.0,1538700.0,63900.0
74,20230105,BACA,130.0,0.0,132.0,129.0,130.0,17292500.0,0.0,2249466400.0,467.0,131.0,1135000.0,130.0,2760900.0,2508700.0,0.0
74,20230106,BACA,130.0,0.0,131.0,129.0,130.0,8925400.0,0.0,1161324800.0,258.0,131.0,429000.0,130.0,733800.0,38400.0,50000.0
74,20230109,BACA,130.0,0.0,133.0,129.0,130.0,13768000.0,0.0,1788606800.0,451.0,131.0,1419500.0,130.0,3136100.0,519900.0,161500.0
74,20230110,BACA,130.0,0.0,131.0,129.0,130.0,5377500.0,0.0,699031300.0,301.0,131.0,4785400.0,130.0,1259700.0,119000.0,37600.0
74,20230111,BACA,130.0,0.0,132.0,130.0,131.0,3998500.0,1.0,521623500.0,341.0,131.0,966700.0,130.0,1962700.0,337200.0,209000.0
74,20230112,BACA,131.0,0.0,132.0,129.0,130.0,3623400.0,-1.0,472094200.0,212.0,131.0,252800.0,130.0,1455200.0,99800.0,1400.0
74,20230113,BACA,130.0,0.0,131.0,130.0,130.0,9387900.0,0.0,1220634200.0,344.0,131.0,468200.0,130.0,1564200.0,468200.0,1700.0
74,20230116,BACA,130.0,0.0,131.0,129.0,130.0,4387300.0,0.0,571089000.0,214.0,131.0,369300.0,130.0,2754700.0,171900.0,317500.0
74,20230117,BACA,130.0,0.0,131.0,129.0,130.0,5146800.0,0.0,669715700.0,253.0,131.0,368600.0,130.0,1387400.0,100.0,147500.0
74,20230118,BACA,130.0,0.0,131.0,130.0,130.0,1385300.0,0.0,180629800.0,121.0,131.0,818400.0,130.0,2155100.0,0.0,167100.0
74,20230119,BACA,130.0,0.0,134.0,130.0,134.0,5091500.0,4.0,673685600.0,546.0,134.0,2301700.0,132.0,16800.0,0.0,276700.0
74,20230120,BACA,134.0,0.0,139.0,129.0,131.0,65172800.0,-3.0,8745795700.0,24689.0,132.0,313500.0,131.0,1267300.0,61800.0,330500.0
74,20230124,BACA,131.0,0.0,133.0,130.0,130.0,10498700.0,-1.0,1369337000.0,532.0,131.0,31700.0,130.0,1222500.0,0.0,174700.0
74,20230125,BACA,130.0,0.0,134.0,130.0,131.0,9374700.0,1.0,1228837700.0,669.0,131.0,4200.0,130.0,2347300.0,253900.0,422800.0
74,20230126,BACA,131.0,0.0,132.0,129.0,131.0,7095800.0,0.0,925406000.0,416.0,131.0,135600.0,130.0,2919800.0,0.0,400800.0
74,20230127,BACA,131.0,0.0,132.0,130.0,131.0,6174000.0,0.0,807816200.0,381.0,131.0,251600.0,130.0,2622900.0,40400.0,322100.0
