No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
83,20240215,BAIK,278.0,0.0,346.0,210.0,210.0,239082700.0,-68.0,57789695600.0,36680.0,210.0,25903200.0,0.0,0.0,1010300.0,5226400.0
83,20240216,BAIK,210.0,0.0,190.0,158.0,158.0,229233300.0,-52.0,38345577600.0,30877.0,158.0,16351400.0,0.0,0.0,854000.0,50000.0
83,20240219,BAIK,158.0,0.0,160.0,140.0,146.0,113429800.0,-12.0,16589003900.0,17462.0,146.0,17800.0,145.0,5841100.0,169200.0,60000.0
83,20240220,BAIK,146.0,0.0,155.0,131.0,132.0,447464700.0,-14.0,63227628200.0,87374.0,132.0,2209600.0,131.0,16099200.0,10478300.0,10508500.0
83,20240221,BAIK,132.0,0.0,139.0,122.0,123.0,292790200.0,-9.0,37847223300.0,68665.0,123.0,3823700.0,122.0,57478900.0,21126300.0,21136300.0
83,20240222,BAIK,123.0,0.0,133.0,105.0,107.0,295925100.0,-16.0,35296356500.0,47599.0,108.0,36200.0,107.0,4331500.0,38679500.0,39044100.0
83,20240223,BAIK,107.0,0.0,113.0,95.0,101.0,80912400.0,-6.0,8224034100.0,7179.0,102.0,535000.0,101.0,959700.0,385700.0,349900.0
83,20240226,BAIK,101.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,20240227,BAIK,101.0,0.0,111.0,92.0,100.0,105158900.0,-1.0,10669775700.0,10103.0,101.0,145200.0,100.0,657300.0,1560100.0,1500900.0
83,20240228,BAIK,100.0,0.0,104.0,84.0,100.0,52913900.0,0.0,5349133100.0,4918.0,101.0,420800.0,100.0,18294100.0,141100.0,617500.0
83,20240229,BAIK,100.0,0.0,103.0,97.0,98.0,27013500.0,-2.0,2683744500.0,2260.0,98.0,6900.0,97.0,979500.0,581600.0,435200.0
83,20240301,BAIK,98.0,0.0,112.0,95.0,97.0,175283400.0,-1.0,18229482100.0,22953.0,97.0,229100.0,96.0,987600.0,9193400.0,9096500.0
83,20240304,BAIK,97.0,0.0,98.0,93.0,94.0,24727800.0,-3.0,2359174500.0,2562.0,95.0,151200.0,94.0,105800.0,2971100.0,2984300.0
83,20240305,BAIK,94.0,0.0,95.0,70.0,90.0,21571100.0,-4.0,1967633700.0,2387.0,91.0,34700.0,90.0,2016600.0,169000.0,57800.0
83,20240306,BAIK,90.0,0.0,98.0,91.0,92.0,20393400.0,2.0,1893861000.0,2105.0,93.0,236300.0,92.0,1731300.0,304500.0,550100.0
83,20240307,BAIK,92.0,0.0,93.0,90.0,92.0,10230400.0,0.0,934450900.0,1418.0,92.0,76100.0,91.0,710000.0,198900.0,100000.0
