No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
78,20221230,BAPA,98.0,0.0,101.0,95.0,95.0,23905000.0,-3.0,2330193000.0,2273.0,95.0,50100.0,94.0,810800.0,151900.0,45800.0
78,20230102,BAPA,95.0,0.0,95.0,92.0,94.0,6593900.0,-1.0,614176900.0,693.0,94.0,235500.0,93.0,59400.0,0.0,0.0
78,20230103,BAPA,94.0,0.0,95.0,92.0,92.0,2951400.0,-2.0,274638100.0,394.0,93.0,81200.0,92.0,1221000.0,0.0,9200.0
78,20230104,BAPA,92.0,0.0,94.0,92.0,93.0,3419800.0,1.0,318059100.0,467.0,93.0,45800.0,92.0,778100.0,700.0,0.0
78,20230105,BAPA,93.0,0.0,94.0,87.0,87.0,7856200.0,-6.0,699497600.0,1060.0,88.0,5000.0,87.0,1538500.0,8500.0,0.0
78,20230106,BAPA,87.0,0.0,89.0,81.0,86.0,3845300.0,-1.0,327155900.0,607.0,86.0,6300.0,85.0,226600.0,104600.0,70200.0
78,20230109,BAPA,86.0,0.0,96.0,88.0,88.0,28386400.0,2.0,2609583500.0,2490.0,88.0,275900.0,87.0,83500.0,0.0,0.0
78,20230110,BAPA,88.0,0.0,88.0,82.0,82.0,6849200.0,-6.0,572187300.0,886.0,82.0,128900.0,0.0,0.0,0.0,0.0
78,20230111,BAPA,82.0,0.0,85.0,77.0,83.0,4998400.0,1.0,407423900.0,557.0,84.0,28700.0,83.0,790500.0,0.0,0.0
78,20230112,BAPA,83.0,0.0,92.0,84.0,84.0,16686900.0,1.0,1473584100.0,1781.0,85.0,96300.0,84.0,93000.0,0.0,1700.0
78,20230113,BAPA,84.0,0.0,87.0,83.0,86.0,2721400.0,2.0,232112800.0,421.0,86.0,418900.0,85.0,10000.0,0.0,0.0
78,20230116,BAPA,86.0,0.0,86.0,84.0,85.0,1352100.0,-1.0,115188700.0,253.0,86.0,259200.0,85.0,942800.0,0.0,0.0
78,20230117,BAPA,85.0,0.0,88.0,85.0,85.0,2373300.0,0.0,204049900.0,366.0,86.0,56600.0,85.0,8600.0,0.0,0.0
78,20230118,BAPA,85.0,0.0,86.0,81.0,83.0,5240900.0,-2.0,435406800.0,850.0,84.0,44400.0,83.0,207300.0,0.0,0.0
78,20230119,BAPA,83.0,0.0,93.0,82.0,84.0,35082800.0,1.0,3066019900.0,3115.0,85.0,318800.0,84.0,9454700.0,0.0,20200.0
78,20230120,BAPA,84.0,0.0,86.0,83.0,84.0,4826500.0,0.0,405151600.0,493.0,84.0,558000.0,83.0,735800.0,0.0,0.0
78,20230124,BAPA,84.0,0.0,89.0,82.0,83.0,6262800.0,-1.0,525011100.0,726.0,84.0,665900.0,83.0,93700.0,0.0,0.0
78,20230125,BAPA,83.0,0.0,85.0,82.0,83.0,3820800.0,0.0,318889100.0,387.0,84.0,290700.0,83.0,156800.0,0.0,0.0
78,20230126,BAPA,83.0,0.0,86.0,82.0,84.0,4291300.0,1.0,362010900.0,451.0,85.0,617100.0,84.0,206800.0,0.0,2000.0
78,20230127,BAPA,84.0,0.0,87.0,83.0,83.0,8390300.0,-1.0,710513900.0,981.0,84.0,153000.0,83.0,406200.0,0.0,0.0
78,20230130,BAPA,83.0,0.0,84.0,79.0,81.0,2550500.0,-2.0,211009900.0,295.0,82.0,3800.0,81.0,498800.0,0.0,0.0
78,20230131,BAPA,81.0,0.0,93.0,80.0,84.0,24562800.0,3.0,2131869000.0,2297.0,85.0,176100.0,84.0,54668900.0,0.0,0.0
78,20230201,BAPA,84.0,0.0,96.0,85.0,92.0,49140400.0,8.0,4513613100.0,4771.0,92.0,1178100.0,91.0,954500.0,20600.0,600000.0
78,20230202,BAPA,92.0,0.0,93.0,86.0,88.0,9724900.0,-4.0,857441600.0,1144.0,88.0,137000.0,87.0,1037600.0,0.0,0.0
78,20230203,BAPA,88.0,0.0,92.0,87.0,90.0,8847100.0,2.0,795199600.0,905.0,91.0,215200.0,90.0,2135600.0,0.0,0.0
78,20230206,BAPA,90.0,0.0,93.0,90.0,93.0,10556100.0,3.0,972905800.0,1286.0,93.0,563600.0,92.0,2023000.0,0.0,1550000.0
78,20230207,BAPA,93.0,0.0,95.0,92.0,93.0,8767400.0,0.0,815771100.0,998.0,94.0,1763700.0,93.0,3324600.0,254600.0,1505300.0
78,20230208,BAPA,93.0,0.0,94.0,92.0,92.0,2992500.0,-1.0,276964700.0,444.0,93.0,793500.0,92.0,1871800.0,1300.0,0.0
78,20230209,BAPA,92.0,0.0,95.0,92.0,94.0,5045400.0,2.0,473067000.0,1110.0,94.0,604800.0,93.0,1326900.0,255000.0,400000.0
78,20230210,BAPA,94.0,0.0,95.0,92.0,93.0,4194700.0,-1.0,390665600.0,540.0,93.0,1006000.0,92.0,1143600.0,0.0,400000.0
78,20230213,BAPA,93.0,0.0,94.0,87.0,87.0,10620000.0,-6.0,960663900.0,1155.0,87.0,20800.0,0.0,0.0,5300.0,0.0
78,20230214,BAPA,87.0,0.0,89.0,86.0,87.0,2550100.0,0.0,222311700.0,306.0,88.0,188000.0,87.0,386900.0,0.0,0.0
78,20230215,BAPA,87.0,0.0,88.0,85.0,86.0,1563800.0,-1.0,135287700.0,298.0,87.0,359400.0,86.0,30800.0,0.0,0.0
78,20230216,BAPA,86.0,0.0,89.0,86.0,89.0,1869900.0,3.0,164013500.0,260.0,89.0,497500.0,87.0,47000.0,0.0,0.0
78,20230217,BAPA,89.0,0.0,90.0,87.0,87.0,1417400.0,-2.0,125092400.0,239.0,89.0,230700.0,87.0,253500.0,0.0,0.0
78,20230220,BAPA,87.0,0.0,89.0,86.0,86.0,1051700.0,-1.0,92037000.0,282.0,87.0,4000.0,86.0,127200.0,0.0,0.0
78,20230221,BAPA,86.0,0.0,88.0,86.0,86.0,556100.0,0.0,47987600.0,144.0,87.0,156100.0,86.0,94300.0,0.0,100.0
78,20230222,BAPA,86.0,0.0,89.0,86.0,88.0,1214100.0,2.0,106385000.0,226.0,88.0,24500.0,87.0,19400.0,0.0,0.0
78,20230223,BAPA,88.0,0.0,88.0,86.0,87.0,1178200.0,-1.0,102633000.0,145.0,88.0,247900.0,87.0,100.0,0.0,0.0
78,20230224,BAPA,87.0,0.0,88.0,86.0,87.0,271600.0,0.0,23608500.0,100.0,88.0,143900.0,87.0,386300.0,0.0,0.0
78,20230227,BAPA,87.0,0.0,88.0,85.0,87.0,589200.0,0.0,51084700.0,107.0,87.0,7800.0,86.0,503400.0,0.0,0.0
78,20230228,BAPA,87.0,0.0,87.0,85.0,85.0,857600.0,-2.0,73550700.0,220.0,86.0,102400.0,85.0,604500.0,0.0,0.0
78,20230301,BAPA,85.0,0.0,86.0,85.0,86.0,1067000.0,1.0,91212900.0,167.0,87.0,209400.0,86.0,347800.0,0.0,0.0
78,20230302,BAPA,86.0,0.0,89.0,85.0,86.0,1980400.0,0.0,172199700.0,456.0,86.0,21400.0,85.0,526800.0,0.0,0.0
78,20230303,BAPA,86.0,0.0,86.0,82.0,84.0,1352300.0,-2.0,114068900.0,326.0,84.0,128900.0,83.0,206600.0,0.0,0.0
78,20230306,BAPA,84.0,0.0,85.0,80.0,82.0,2941000.0,-2.0,239089600.0,364.0,82.0,58100.0,81.0,216200.0,0.0,0.0
78,20230307,BAPA,82.0,0.0,84.0,78.0,79.0,4606800.0,-3.0,374499200.0,4130.0,80.0,309900.0,79.0,135900.0,0.0,0.0
78,20230308,BAPA,79.0,0.0,82.0,75.0,79.0,2149700.0,0.0,170667400.0,454.0,80.0,538200.0,79.0,425800.0,0.0,0.0
78,20230309,BAPA,79.0,0.0,86.0,77.0,86.0,10993300.0,7.0,918501500.0,3934.0,87.0,373300.0,86.0,19199200.0,0.0,0.0
