No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
92,20240610,BATR,110.0,0.0,148.0,103.0,120.0,1294170600.0,10.0,161881669900.0,95751.0,121.0,2883200.0,120.0,122366500.0,5421500.0,13985100.0
92,20240611,BATR,120.0,0.0,131.0,110.0,112.0,347882000.0,-8.0,41946153800.0,31100.0,113.0,2475300.0,112.0,6969600.0,18754000.0,17414600.0
92,20240612,BATR,112.0,0.0,119.0,90.0,97.0,277370300.0,-15.0,28191109500.0,19581.0,97.0,36200.0,96.0,593400.0,16100900.0,15400700.0
92,20240613,BATR,97.0,0.0,106.0,97.0,102.0,134453100.0,5.0,13633641600.0,10308.0,103.0,845300.0,102.0,2527700.0,950900.0,287300.0
92,20240614,BATR,102.0,0.0,103.0,89.0,89.0,81490400.0,-13.0,7627077000.0,7173.0,89.0,117200.0,88.0,91785300.0,483300.0,459500.0
92,20240619,BATR,89.0,0.0,91.0,76.0,84.0,113424900.0,-5.0,9458277400.0,6583.0,84.0,2173400.0,83.0,5084400.0,6321300.0,183700.0
92,20240620,BATR,84.0,0.0,97.0,86.0,93.0,99455400.0,9.0,9105993400.0,8740.0,94.0,570100.0,93.0,1600000.0,2453900.0,741000.0
92,20240621,BATR,93.0,0.0,95.0,83.0,91.0,40603500.0,-2.0,3716125900.0,2913.0,92.0,89000.0,91.0,200000.0,453100.0,1535000.0
92,20240624,BATR,91.0,0.0,93.0,82.0,90.0,10810200.0,-1.0,985534700.0,1609.0,91.0,307200.0,90.0,1662100.0,93100.0,158100.0
92,20240625,BATR,90.0,0.0,93.0,88.0,89.0,14668400.0,-1.0,1320818600.0,1233.0,90.0,168200.0,89.0,603900.0,68600.0,646500.0
92,20240626,BATR,89.0,0.0,93.0,86.0,89.0,24208400.0,0.0,2147483900.0,1686.0,90.0,67700.0,89.0,412800.0,567600.0,202100.0
92,20240627,BATR,89.0,0.0,99.0,80.0,90.0,125984500.0,1.0,11990945700.0,5918.0,91.0,40500.0,89.0,15467300.0,1012400.0,1146300.0
92,20240628,BATR,90.0,0.0,97.0,90.0,92.0,21381600.0,2.0,1974066000.0,1708.0,92.0,102200.0,91.0,1114400.0,221000.0,533000.0
92,20240701,BATR,92.0,0.0,93.0,86.0,90.0,19416700.0,-2.0,1733452000.0,2131.0,90.0,946400.0,89.0,86700.0,70100.0,0.0
