No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
83,20221230,BBCA,8575.0,8575.0,8650.0,8550.0,8550.0,44681400.0,-25.0,383448697500.0,9649.0,8575.0,486600.0,8550.0,617300.0,35380100.0,27032100.0
83,20230102,BBCA,8550.0,8575.0,8600.0,8500.0,8550.0,11409600.0,0.0,97436830000.0,6698.0,8550.0,346300.0,8525.0,1168800.0,2076000.0,3022800.0
83,20230103,BBCA,8550.0,8550.0,8600.0,8525.0,8550.0,27425000.0,0.0,234780462500.0,6729.0,8575.0,502100.0,8550.0,14000.0,20004900.0,13779600.0
83,20230104,BBCA,8550.0,8525.0,8575.0,8350.0,8350.0,90993200.0,-200.0,766974082500.0,26206.0,8375.0,4000.0,8350.0,3936600.0,76845000.0,37963900.0
83,20230105,BBCA,8350.0,8350.0,8375.0,8150.0,8250.0,128838500.0,-100.0,1061378975000.0,44691.0,8250.0,1673100.0,8225.0,72000.0,92434800.0,60302100.0
83,20230106,BBCA,8250.0,8100.0,8325.0,8100.0,8300.0,69286600.0,50.0,570990955000.0,16548.0,8325.0,1202700.0,8300.0,29800.0,53905200.0,44905500.0
83,20230109,BBCA,8300.0,8325.0,8450.0,8325.0,8450.0,86930600.0,150.0,729729475000.0,14724.0,8475.0,1088400.0,8450.0,378500.0,64795600.0,75466900.0
83,20230110,BBCA,8450.0,8400.0,8425.0,8150.0,8175.0,89322900.0,-275.0,734098795000.0,26210.0,8200.0,155900.0,8175.0,436300.0,61855800.0,34464500.0
83,20230111,BBCA,8175.0,8050.0,8150.0,8000.0,8125.0,119320800.0,-50.0,964527810000.0,26465.0,8150.0,618000.0,8125.0,874200.0,96302700.0,54251000.0
83,20230112,BBCA,8125.0,8150.0,8275.0,8125.0,8175.0,91113300.0,50.0,745778885000.0,17142.0,8200.0,266800.0,8175.0,1426600.0,69293200.0,44643200.0
83,20230113,BBCA,8175.0,8150.0,8175.0,8025.0,8050.0,119788700.0,-125.0,967545450000.0,22088.0,8075.0,254100.0,8050.0,168900.0,92513100.0,57256000.0
