No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
84,20221230,BBHI,1785.0,0.0,1840.0,1765.0,1765.0,1659100.0,-20.0,2991940500.0,800.0,1765.0,335500.0,1760.0,22600.0,114100.0,217200.0
84,20230102,BBHI,1765.0,0.0,1795.0,1740.0,1775.0,415600.0,10.0,734546500.0,399.0,1775.0,23200.0,1760.0,100.0,4700.0,9100.0
84,20230103,BBHI,1775.0,0.0,1795.0,1760.0,1775.0,291100.0,0.0,517835500.0,334.0,1775.0,13700.0,1770.0,100.0,23300.0,49400.0
84,20230104,BBHI,1775.0,0.0,1795.0,1750.0,1760.0,342100.0,-15.0,603351500.0,390.0,1760.0,2900.0,1755.0,900.0,145000.0,138800.0
84,20230105,BBHI,1760.0,0.0,1765.0,1665.0,1685.0,2065100.0,-75.0,3482653000.0,843.0,1685.0,1500.0,1675.0,19800.0,148100.0,13200.0
84,20230106,BBHI,1685.0,0.0,1705.0,1640.0,1695.0,587500.0,10.0,995348500.0,341.0,1700.0,6500.0,1695.0,24200.0,9300.0,4900.0
84,20230109,BBHI,1695.0,0.0,1730.0,1700.0,1710.0,393900.0,15.0,674584500.0,319.0,1710.0,2000.0,1705.0,400.0,46900.0,62700.0
84,20230110,BBHI,1710.0,0.0,1720.0,1645.0,1645.0,689500.0,-65.0,1146598500.0,548.0,1650.0,10000.0,1645.0,1200.0,324800.0,23800.0
84,20230111,BBHI,1645.0,0.0,1665.0,1615.0,1635.0,451900.0,-10.0,739829000.0,394.0,1640.0,9500.0,1635.0,14300.0,0.0,100.0
84,20230112,BBHI,1635.0,0.0,1720.0,1620.0,1675.0,983000.0,40.0,1657607000.0,948.0,1680.0,2400.0,1675.0,6100.0,73000.0,16500.0
84,20230113,BBHI,1675.0,0.0,1710.0,1650.0,1655.0,434400.0,-20.0,725847500.0,378.0,1660.0,1700.0,1655.0,26700.0,8900.0,0.0
84,20230116,BBHI,1655.0,0.0,1680.0,1655.0,1670.0,298000.0,15.0,496634000.0,214.0,1670.0,27500.0,1665.0,500.0,0.0,38800.0
84,20230117,BBHI,1670.0,0.0,1705.0,1650.0,1690.0,531800.0,20.0,895374500.0,417.0,1690.0,54200.0,1685.0,3200.0,400.0,143100.0
84,20230118,BBHI,1690.0,0.0,1695.0,1660.0,1685.0,289500.0,-5.0,485521500.0,291.0,1685.0,100.0,1680.0,35300.0,42200.0,64100.0
84,20230119,BBHI,1685.0,0.0,1715.0,1685.0,1700.0,637700.0,15.0,1082685500.0,416.0,1700.0,42700.0,1695.0,163500.0,100000.0,13800.0
84,20230120,BBHI,1700.0,0.0,1715.0,1680.0,1700.0,533400.0,0.0,907837000.0,317.0,1705.0,8700.0,1700.0,192000.0,7500.0,39900.0
84,20230124,BBHI,1700.0,0.0,1750.0,1700.0,1720.0,476300.0,20.0,822830500.0,566.0,1725.0,13500.0,1720.0,1400.0,51700.0,41900.0
84,20230125,BBHI,1720.0,0.0,1795.0,1700.0,1760.0,1202900.0,40.0,2118241000.0,921.0,1760.0,30700.0,1755.0,1300.0,7000.0,84200.0
84,20230126,BBHI,1760.0,0.0,1870.0,1760.0,1830.0,2459600.0,70.0,4497347500.0,1272.0,1835.0,7100.0,1830.0,17200.0,101000.0,43100.0
84,20230127,BBHI,1830.0,0.0,1885.0,1795.0,1800.0,972500.0,-30.0,1778751000.0,721.0,1800.0,18800.0,1795.0,7500.0,28000.0,150200.0
84,20230130,BBHI,1800.0,0.0,1830.0,1785.0,1785.0,702200.0,-15.0,1256738500.0,314.0,1790.0,8200.0,1785.0,103000.0,41600.0,13100.0
84,20230131,BBHI,1785.0,0.0,1820.0,1775.0,1775.0,389100.0,-10.0,697947000.0,329.0,1775.0,5900.0,1770.0,12600.0,53400.0,0.0
84,20230201,BBHI,1775.0,0.0,1795.0,1700.0,1715.0,2693100.0,-60.0,4668727500.0,824.0,1720.0,2200.0,1715.0,11600.0,50600.0,119700.0
84,20230202,BBHI,1715.0,0.0,1850.0,1720.0,1810.0,2249900.0,95.0,4056545000.0,1189.0,1815.0,30200.0,1810.0,538700.0,147200.0,52400.0
84,20230203,BBHI,1810.0,0.0,1870.0,1785.0,1790.0,1870600.0,-20.0,3411846500.0,1046.0,1790.0,25900.0,1785.0,92800.0,44900.0,126600.0
84,20230206,BBHI,1790.0,0.0,1790.0,1720.0,1750.0,642000.0,-40.0,1125246500.0,410.0,1755.0,1600.0,1750.0,10500.0,18000.0,48300.0
84,20230207,BBHI,1750.0,0.0,1780.0,1730.0,1740.0,542100.0,-10.0,952011000.0,464.0,1745.0,1500.0,1740.0,20300.0,84000.0,17800.0
84,20230208,BBHI,1740.0,0.0,1760.0,1720.0,1730.0,497600.0,-10.0,860481500.0,310.0,1735.0,10900.0,1730.0,4200.0,23600.0,2900.0
84,20230209,BBHI,1730.0,0.0,1745.0,1705.0,1705.0,651600.0,-25.0,1122348000.0,405.0,1710.0,6600.0,1705.0,48100.0,28800.0,61900.0
84,20230210,BBHI,1705.0,0.0,1705.0,1620.0,1670.0,3044600.0,-35.0,5016223000.0,895.0,1670.0,76600.0,1635.0,500.0,105200.0,76600.0
84,20230213,BBHI,1670.0,0.0,1680.0,1635.0,1640.0,829500.0,-30.0,1371050000.0,434.0,1645.0,4300.0,1640.0,26800.0,69000.0,2100.0
84,20230214,BBHI,1640.0,0.0,1670.0,1635.0,1640.0,490800.0,0.0,810327500.0,345.0,1640.0,63600.0,1635.0,23000.0,50700.0,52200.0
84,20230215,BBHI,1640.0,0.0,1675.0,1630.0,1655.0,649000.0,15.0,1073632500.0,447.0,1655.0,14800.0,1650.0,14800.0,58000.0,20600.0
84,20230216,BBHI,1655.0,0.0,1700.0,1645.0,1645.0,1556800.0,-10.0,2601360500.0,813.0,1650.0,104300.0,1645.0,125600.0,214400.0,255800.0
84,20230217,BBHI,1645.0,0.0,1665.0,1625.0,1630.0,998100.0,-15.0,1633605500.0,473.0,1635.0,21800.0,1630.0,14100.0,37200.0,2100.0
84,20230220,BBHI,1630.0,0.0,1630.0,1600.0,1620.0,413100.0,-10.0,668022000.0,348.0,1625.0,11800.0,1620.0,14900.0,33600.0,7200.0
84,20230221,BBHI,1620.0,0.0,1640.0,1610.0,1620.0,527200.0,0.0,853386500.0,360.0,1625.0,5400.0,1620.0,93300.0,99300.0,7500.0
84,20230222,BBHI,1620.0,0.0,1625.0,1600.0,1615.0,707700.0,-5.0,1137479000.0,333.0,1620.0,12800.0,1615.0,37800.0,49500.0,0.0
84,20230223,BBHI,1615.0,0.0,1615.0,1600.0,1605.0,528800.0,-10.0,847800000.0,360.0,1610.0,26700.0,1605.0,5300.0,24700.0,10200.0
84,20230224,BBHI,1605.0,0.0,1620.0,1600.0,1605.0,185800.0,0.0,298103000.0,212.0,1610.0,500.0,1605.0,50800.0,10000.0,0.0
84,20230227,BBHI,1605.0,0.0,1640.0,1605.0,1610.0,464100.0,5.0,751151500.0,291.0,1610.0,25000.0,1605.0,89300.0,14600.0,25100.0
84,20230228,BBHI,1610.0,0.0,1620.0,1600.0,1600.0,645900.0,-10.0,1035860500.0,223.0,1615.0,1300.0,1600.0,587500.0,3800.0,0.0
84,20230301,BBHI,1600.0,0.0,1630.0,1600.0,1620.0,643000.0,20.0,1036124500.0,329.0,1620.0,193600.0,1615.0,100.0,65000.0,9900.0
