No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
101,20221230,BEKS,50.0,0.0,50.0,50.0,50.0,27000.0,0.0,1350000.0,25.0,50.0,167880300.0,0.0,0.0,0.0,0.0
101,20230102,BEKS,50.0,0.0,50.0,50.0,50.0,1376800.0,0.0,68840000.0,69.0,50.0,156992900.0,0.0,0.0,0.0,244800.0
101,20230103,BEKS,50.0,0.0,50.0,50.0,50.0,49100.0,0.0,2455000.0,50.0,50.0,220940500.0,0.0,0.0,0.0,0.0
101,20230104,BEKS,50.0,0.0,50.0,50.0,50.0,1954700.0,0.0,97735000.0,50.0,50.0,217890800.0,0.0,0.0,0.0,0.0
101,20230105,BEKS,50.0,0.0,50.0,50.0,50.0,88800.0,0.0,4440000.0,44.0,50.0,237529300.0,0.0,0.0,0.0,0.0
102,20230106,BEKS,50.0,0.0,50.0,50.0,50.0,709400.0,0.0,35470000.0,60.0,50.0,232915400.0,0.0,0.0,0.0,0.0
102,20230109,BEKS,50.0,0.0,50.0,50.0,50.0,378800.0,0.0,18940000.0,26.0,50.0,221084100.0,0.0,0.0,0.0,0.0
102,20230110,BEKS,50.0,0.0,50.0,50.0,50.0,38900.0,0.0,1945000.0,30.0,50.0,225801300.0,0.0,0.0,0.0,0.0
102,20230111,BEKS,50.0,0.0,50.0,50.0,50.0,620400.0,0.0,31020000.0,23.0,50.0,226465800.0,0.0,0.0,0.0,0.0
102,20230112,BEKS,50.0,0.0,50.0,50.0,50.0,230500.0,0.0,11525000.0,23.0,50.0,221791100.0,0.0,0.0,0.0,0.0
102,20230113,BEKS,50.0,0.0,50.0,50.0,50.0,42400.0,0.0,2120000.0,18.0,50.0,220922000.0,0.0,0.0,0.0,0.0
102,20230116,BEKS,50.0,0.0,50.0,50.0,50.0,334400.0,0.0,16720000.0,48.0,50.0,230769800.0,0.0,0.0,0.0,0.0
102,20230117,BEKS,50.0,0.0,50.0,50.0,50.0,109100.0,0.0,5455000.0,21.0,50.0,236537000.0,0.0,0.0,0.0,0.0
102,20230118,BEKS,50.0,0.0,50.0,50.0,50.0,267200.0,0.0,13360000.0,34.0,50.0,236163400.0,0.0,0.0,0.0,0.0
102,20230119,BEKS,50.0,0.0,50.0,50.0,50.0,133800.0,0.0,6690000.0,29.0,50.0,225159900.0,0.0,0.0,0.0,0.0
102,20230120,BEKS,50.0,0.0,50.0,50.0,50.0,621300.0,0.0,31065000.0,44.0,50.0,230866000.0,0.0,0.0,0.0,0.0
102,20230124,BEKS,50.0,0.0,50.0,50.0,50.0,97200.0,0.0,4860000.0,32.0,50.0,212777100.0,0.0,0.0,0.0,0.0
102,20230125,BEKS,50.0,0.0,50.0,50.0,50.0,202600.0,0.0,10130000.0,44.0,50.0,213638700.0,0.0,0.0,0.0,300.0
102,20230126,BEKS,50.0,0.0,50.0,50.0,50.0,387900.0,0.0,19395000.0,51.0,50.0,212591300.0,0.0,0.0,0.0,0.0
