No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
104,20221230,BESS,170.0,0.0,174.0,168.0,170.0,87200.0,0.0,14886200.0,83.0,170.0,81100.0,169.0,26800.0,0.0,0.0
104,20230102,BESS,170.0,0.0,171.0,170.0,170.0,45400.0,0.0,7726600.0,43.0,170.0,10900.0,169.0,11800.0,0.0,0.0
104,20230103,BESS,170.0,0.0,175.0,172.0,172.0,208300.0,2.0,35934400.0,86.0,175.0,110400.0,172.0,103800.0,0.0,0.0
104,20230104,BESS,172.0,0.0,175.0,171.0,173.0,116800.0,1.0,20112400.0,66.0,173.0,58300.0,172.0,200.0,0.0,0.0
104,20230105,BESS,173.0,0.0,174.0,167.0,172.0,182300.0,-1.0,31226700.0,85.0,172.0,62200.0,167.0,2400.0,0.0,0.0
105,20230106,BESS,172.0,0.0,172.0,167.0,168.0,96000.0,-4.0,16171400.0,62.0,169.0,3900.0,168.0,8000.0,0.0,0.0
105,20230109,BESS,168.0,0.0,172.0,165.0,167.0,168300.0,-1.0,28515800.0,90.0,168.0,1600.0,167.0,1300.0,0.0,0.0
105,20230110,BESS,167.0,0.0,175.0,168.0,169.0,298000.0,2.0,50742700.0,159.0,171.0,16700.0,169.0,7600.0,0.0,0.0
105,20230111,BESS,169.0,0.0,171.0,168.0,169.0,185900.0,0.0,31356600.0,48.0,171.0,49200.0,170.0,2000.0,0.0,0.0
105,20230112,BESS,169.0,0.0,169.0,160.0,165.0,287300.0,-4.0,47511200.0,125.0,166.0,4800.0,165.0,6900.0,0.0,0.0
105,20230113,BESS,165.0,0.0,169.0,163.0,164.0,106500.0,-1.0,17568200.0,80.0,164.0,75000.0,163.0,1400.0,0.0,0.0
105,20230116,BESS,164.0,0.0,168.0,158.0,164.0,2224600.0,0.0,365155300.0,192.0,164.0,43300.0,159.0,4600.0,0.0,0.0
105,20230117,BESS,164.0,0.0,170.0,154.0,170.0,714700.0,6.0,115761600.0,201.0,170.0,11800.0,160.0,1600.0,0.0,0.0
105,20230118,BESS,170.0,0.0,169.0,163.0,166.0,177000.0,-4.0,29411900.0,104.0,166.0,1800.0,165.0,10800.0,0.0,0.0
105,20230119,BESS,166.0,0.0,175.0,163.0,170.0,365400.0,4.0,60866300.0,171.0,171.0,116400.0,170.0,62600.0,0.0,0.0
105,20230120,BESS,170.0,0.0,173.0,166.0,167.0,92800.0,-3.0,15608300.0,68.0,168.0,25600.0,167.0,1200.0,0.0,0.0
105,20230124,BESS,167.0,0.0,167.0,164.0,166.0,330600.0,-1.0,54608400.0,109.0,166.0,9500.0,164.0,10000.0,0.0,0.0
105,20230125,BESS,166.0,0.0,170.0,165.0,166.0,403500.0,0.0,66951900.0,78.0,166.0,151800.0,165.0,9300.0,0.0,0.0
105,20230126,BESS,166.0,0.0,170.0,160.0,170.0,771600.0,4.0,127248500.0,214.0,170.0,37700.0,167.0,4700.0,0.0,0.0
105,20230127,BESS,170.0,0.0,180.0,169.0,174.0,1256800.0,4.0,220670000.0,479.0,174.0,12000.0,173.0,10100.0,0.0,0.0
105,20230130,BESS,174.0,0.0,184.0,174.0,180.0,801300.0,6.0,143958100.0,322.0,180.0,300.0,175.0,19600.0,0.0,0.0
105,20230131,BESS,180.0,0.0,220.0,181.0,202.0,13174400.0,22.0,2680647800.0,3926.0,202.0,207800.0,200.0,1400.0,0.0,18000.0
105,20230201,BESS,202.0,0.0,206.0,188.0,188.0,3198000.0,-14.0,608009300.0,959.0,188.0,175300.0,0.0,0.0,0.0,0.0
105,20230202,BESS,188.0,0.0,188.0,176.0,181.0,2058700.0,-7.0,370213400.0,741.0,182.0,9200.0,181.0,9400.0,0.0,0.0
105,20230203,BESS,181.0,0.0,185.0,179.0,182.0,278900.0,1.0,50582200.0,251.0,182.0,34100.0,180.0,15300.0,0.0,0.0
105,20230206,BESS,182.0,0.0,185.0,176.0,177.0,702500.0,-5.0,125455500.0,343.0,178.0,100.0,177.0,18500.0,0.0,0.0
105,20230207,BESS,177.0,0.0,180.0,174.0,180.0,696600.0,3.0,123555000.0,209.0,180.0,87600.0,178.0,200.0,0.0,20000.0
105,20230208,BESS,180.0,0.0,181.0,174.0,178.0,625700.0,-2.0,111406400.0,212.0,178.0,20700.0,177.0,37300.0,0.0,10000.0
105,20230209,BESS,178.0,0.0,181.0,177.0,179.0,397900.0,1.0,71539000.0,150.0,180.0,54900.0,179.0,79000.0,30000.0,0.0
105,20230210,BESS,179.0,0.0,181.0,173.0,176.0,288200.0,-3.0,50548600.0,238.0,177.0,49300.0,176.0,100.0,0.0,100.0
105,20230213,BESS,176.0,0.0,176.0,169.0,169.0,559200.0,-7.0,95773800.0,214.0,170.0,5000.0,169.0,27900.0,0.0,0.0
105,20230214,BESS,169.0,0.0,173.0,163.0,168.0,369000.0,-1.0,61669800.0,258.0,169.0,22500.0,168.0,3500.0,0.0,0.0
105,20230215,BESS,168.0,0.0,174.0,166.0,168.0,784300.0,0.0,133540000.0,251.0,168.0,18900.0,167.0,6300.0,0.0,0.0
105,20230216,BESS,168.0,0.0,171.0,168.0,169.0,203600.0,1.0,34526400.0,93.0,169.0,27600.0,168.0,23500.0,0.0,0.0
105,20230217,BESS,169.0,0.0,184.0,169.0,176.0,2338300.0,7.0,411395300.0,642.0,176.0,18000.0,175.0,53700.0,0.0,0.0
