No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
117,20221230,BIRD,1405.0,0.0,1430.0,1400.0,1410.0,3348000.0,5.0,4737447500.0,928.0,1415.0,15000.0,1410.0,552200.0,53300.0,289500.0
117,20230102,BIRD,1410.0,0.0,1460.0,1415.0,1445.0,1827800.0,35.0,2636141500.0,850.0,1445.0,139300.0,1440.0,9000.0,11600.0,213700.0
117,20230103,BIRD,1445.0,0.0,1465.0,1420.0,1425.0,3579100.0,-20.0,5157710000.0,592.0,1425.0,46700.0,1420.0,75400.0,32900.0,231200.0
117,20230104,BIRD,1425.0,0.0,1440.0,1330.0,1370.0,11273000.0,-55.0,15553292500.0,4266.0,1370.0,865300.0,1360.0,20000.0,1229200.0,725400.0
117,20230105,BIRD,1370.0,0.0,1375.0,1330.0,1335.0,4283300.0,-35.0,5763860500.0,1377.0,1335.0,143000.0,1330.0,124200.0,124300.0,715400.0
118,20230106,BIRD,1335.0,0.0,1385.0,1330.0,1385.0,2549900.0,50.0,3496045000.0,979.0,1385.0,285500.0,1380.0,11000.0,49500.0,1102900.0
118,20230109,BIRD,1385.0,0.0,1405.0,1380.0,1395.0,2124500.0,10.0,2963168000.0,612.0,1395.0,47400.0,1380.0,165400.0,176700.0,366300.0
118,20230110,BIRD,1395.0,0.0,1400.0,1360.0,1390.0,961200.0,-5.0,1323755000.0,604.0,1390.0,12700.0,1380.0,27300.0,225300.0,312900.0
118,20230111,BIRD,1390.0,0.0,1405.0,1365.0,1395.0,3862300.0,5.0,5387819000.0,1140.0,1400.0,47000.0,1395.0,27300.0,904400.0,294700.0
118,20230112,BIRD,1395.0,0.0,1425.0,1385.0,1390.0,870000.0,-5.0,1215198000.0,480.0,1395.0,1000.0,1390.0,282600.0,101000.0,296500.0
118,20230113,BIRD,1390.0,0.0,1420.0,1390.0,1410.0,1544600.0,20.0,2174072500.0,560.0,1410.0,174700.0,1400.0,166400.0,190400.0,453000.0
118,20230116,BIRD,1410.0,0.0,1425.0,1405.0,1410.0,704600.0,0.0,996721000.0,505.0,1410.0,240400.0,1405.0,153600.0,91600.0,98100.0
118,20230117,BIRD,1410.0,0.0,1425.0,1400.0,1405.0,1069800.0,-5.0,1511107000.0,582.0,1410.0,40400.0,1405.0,69800.0,115100.0,199300.0
118,20230118,BIRD,1405.0,0.0,1445.0,1405.0,1440.0,9347600.0,35.0,13437591500.0,1263.0,1440.0,291600.0,1435.0,141700.0,622000.0,1374200.0
