No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
119,20221230,BJBR,1345.0,0.0,1350.0,1340.0,1345.0,652900.0,0.0,876754000.0,366.0,1350.0,112000.0,1345.0,900.0,30700.0,5000.0
119,20230102,BJBR,1345.0,0.0,1355.0,1345.0,1350.0,558000.0,5.0,753188000.0,352.0,1355.0,399000.0,1350.0,79900.0,65000.0,6500.0
119,20230103,BJBR,1350.0,0.0,1355.0,1345.0,1355.0,945200.0,5.0,1276680500.0,359.0,1355.0,1453200.0,1350.0,163200.0,86800.0,25900.0
119,20230104,BJBR,1355.0,0.0,1355.0,1350.0,1350.0,2437900.0,-5.0,3298068000.0,423.0,1350.0,173500.0,1345.0,247000.0,139900.0,56600.0
119,20230105,BJBR,1350.0,0.0,1350.0,1335.0,1340.0,3152800.0,-10.0,4226140500.0,934.0,1340.0,243800.0,1335.0,381700.0,438800.0,337400.0
120,20230106,BJBR,1340.0,0.0,1345.0,1330.0,1345.0,1748300.0,5.0,2338008000.0,477.0,1345.0,84200.0,1340.0,134200.0,64600.0,39100.0
120,20230109,BJBR,1345.0,0.0,1350.0,1335.0,1345.0,1340900.0,0.0,1802103500.0,495.0,1345.0,23600.0,1340.0,566800.0,234700.0,264600.0
120,20230110,BJBR,1345.0,0.0,1350.0,1335.0,1335.0,1655700.0,-10.0,2214329500.0,716.0,1340.0,6000.0,1335.0,441500.0,325600.0,101700.0
120,20230111,BJBR,1335.0,0.0,1340.0,1325.0,1335.0,2123600.0,0.0,2831072000.0,965.0,1340.0,213000.0,1335.0,4300.0,385600.0,265600.0
120,20230112,BJBR,1335.0,0.0,1350.0,1335.0,1350.0,1897600.0,15.0,2553291000.0,901.0,1350.0,792400.0,1345.0,10600.0,358700.0,483500.0
120,20230113,BJBR,1350.0,0.0,1350.0,1340.0,1345.0,1030300.0,-5.0,1384261000.0,673.0,1345.0,40600.0,1340.0,144600.0,241800.0,104900.0
120,20230116,BJBR,1345.0,0.0,1355.0,1340.0,1355.0,1556900.0,10.0,2100822000.0,579.0,1355.0,1668900.0,1350.0,50400.0,234900.0,401300.0
120,20230117,BJBR,1355.0,0.0,1355.0,1340.0,1340.0,3157900.0,-15.0,4253987000.0,944.0,1355.0,1686400.0,1340.0,831600.0,1915000.0,172500.0
120,20230118,BJBR,1340.0,0.0,1350.0,1335.0,1340.0,2915300.0,0.0,3911160000.0,1068.0,1345.0,1900.0,1340.0,76400.0,2534000.0,300400.0
120,20230119,BJBR,1340.0,0.0,1355.0,1340.0,1350.0,1302700.0,10.0,1758405000.0,526.0,1355.0,1663800.0,1350.0,154600.0,32700.0,584600.0
120,20230120,BJBR,1350.0,0.0,1355.0,1350.0,1355.0,1120400.0,5.0,1515679500.0,442.0,1355.0,958800.0,1350.0,445000.0,128100.0,327900.0
120,20230124,BJBR,1355.0,0.0,1360.0,1345.0,1350.0,2766800.0,-5.0,3738661000.0,972.0,1350.0,322000.0,1345.0,881600.0,1965800.0,156200.0
120,20230125,BJBR,1350.0,0.0,1355.0,1350.0,1350.0,3112000.0,0.0,4202129000.0,784.0,1355.0,73200.0,1350.0,5200.0,2651800.0,143700.0
