No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
120,20221230,BJTM,710.0,0.0,710.0,705.0,710.0,3165900.0,0.0,2244526000.0,647.0,710.0,677500.0,705.0,3794500.0,18200.0,3100.0
120,20230102,BJTM,710.0,0.0,710.0,705.0,710.0,2281300.0,0.0,1614357500.0,728.0,710.0,764700.0,705.0,4868600.0,131800.0,23100.0
120,20230103,BJTM,710.0,0.0,715.0,705.0,710.0,3469400.0,0.0,2470632500.0,773.0,715.0,179200.0,710.0,1942500.0,244800.0,79600.0
120,20230104,BJTM,710.0,0.0,715.0,710.0,710.0,1699800.0,0.0,1208519500.0,468.0,715.0,2273900.0,710.0,2364000.0,17200.0,2600.0
120,20230105,BJTM,710.0,0.0,715.0,705.0,705.0,5884500.0,-5.0,4167226500.0,1250.0,710.0,5126500.0,705.0,2061200.0,670400.0,95800.0
121,20230106,BJTM,705.0,0.0,710.0,700.0,705.0,3505000.0,0.0,2466648000.0,1124.0,705.0,2496300.0,700.0,6883700.0,203900.0,0.0
121,20230109,BJTM,705.0,0.0,710.0,700.0,705.0,5181900.0,0.0,3654957500.0,1071.0,710.0,773100.0,705.0,982800.0,372600.0,0.0
121,20230110,BJTM,705.0,0.0,710.0,700.0,705.0,4335200.0,0.0,3055912500.0,1022.0,705.0,580400.0,700.0,5622200.0,458300.0,100.0
121,20230111,BJTM,705.0,0.0,710.0,700.0,705.0,5381700.0,0.0,3791849000.0,1139.0,710.0,718500.0,705.0,400.0,1446500.0,232100.0
121,20230112,BJTM,705.0,0.0,710.0,705.0,710.0,1715700.0,5.0,1213677000.0,626.0,710.0,828800.0,705.0,1627500.0,361500.0,20200.0
121,20230113,BJTM,710.0,0.0,715.0,705.0,710.0,3118800.0,0.0,2209041000.0,996.0,710.0,468300.0,705.0,1833800.0,906800.0,141600.0
121,20230116,BJTM,710.0,0.0,715.0,705.0,710.0,2509900.0,0.0,1780026000.0,859.0,715.0,1176000.0,710.0,40900.0,376700.0,71800.0
121,20230117,BJTM,710.0,0.0,715.0,705.0,710.0,2369100.0,0.0,1686170000.0,832.0,715.0,1180200.0,710.0,354700.0,927800.0,11900.0
121,20230118,BJTM,710.0,0.0,715.0,710.0,710.0,2235200.0,0.0,1588265500.0,915.0,715.0,1536800.0,710.0,575800.0,882800.0,37700.0
121,20230119,BJTM,710.0,0.0,720.0,710.0,720.0,4780700.0,10.0,3419655000.0,905.0,720.0,2642700.0,715.0,431900.0,1793600.0,69200.0
121,20230120,BJTM,720.0,0.0,720.0,715.0,720.0,3992000.0,0.0,2863819000.0,1027.0,720.0,1435400.0,715.0,1436400.0,620100.0,0.0
121,20230124,BJTM,720.0,0.0,720.0,715.0,720.0,2055100.0,0.0,1477114500.0,773.0,720.0,341700.0,715.0,3449200.0,35100.0,17200.0
121,20230125,BJTM,720.0,0.0,725.0,715.0,720.0,1786800.0,0.0,1291277500.0,664.0,725.0,1317500.0,720.0,1442100.0,34200.0,0.0
