No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
123,20221230,BKSW,100.0,0.0,103.0,100.0,102.0,2826800.0,2.0,289266800.0,169.0,102.0,176700.0,101.0,55300.0,0.0,0.0
123,20230102,BKSW,102.0,0.0,107.0,102.0,103.0,4263600.0,1.0,444432000.0,424.0,104.0,22100.0,103.0,7800.0,0.0,0.0
123,20230103,BKSW,103.0,0.0,104.0,102.0,102.0,1233500.0,-1.0,126224600.0,134.0,103.0,25000.0,102.0,751200.0,0.0,0.0
123,20230104,BKSW,102.0,0.0,109.0,102.0,105.0,1677200.0,3.0,176222300.0,247.0,105.0,300.0,104.0,53100.0,0.0,0.0
123,20230105,BKSW,105.0,0.0,106.0,100.0,101.0,3656500.0,-4.0,371563800.0,268.0,102.0,174900.0,101.0,95400.0,0.0,0.0
124,20230106,BKSW,101.0,0.0,102.0,100.0,100.0,1713700.0,-1.0,172473800.0,122.0,101.0,303800.0,100.0,367000.0,0.0,0.0
124,20230109,BKSW,100.0,0.0,101.0,96.0,98.0,761100.0,-2.0,74714200.0,229.0,99.0,224300.0,98.0,31800.0,0.0,0.0
124,20230110,BKSW,98.0,0.0,101.0,96.0,97.0,1397500.0,-1.0,135927000.0,214.0,98.0,195000.0,96.0,69400.0,0.0,0.0
124,20230111,BKSW,97.0,0.0,100.0,96.0,96.0,804100.0,-1.0,77910000.0,146.0,97.0,14100.0,96.0,73500.0,0.0,0.0
124,20230112,BKSW,96.0,0.0,98.0,95.0,97.0,591000.0,1.0,57018800.0,180.0,98.0,162700.0,97.0,103300.0,0.0,0.0
124,20230113,BKSW,97.0,0.0,99.0,95.0,95.0,398900.0,-2.0,38345200.0,157.0,97.0,188100.0,95.0,316100.0,0.0,0.0
124,20230116,BKSW,95.0,0.0,97.0,94.0,96.0,1288700.0,1.0,123008800.0,116.0,97.0,140500.0,96.0,50900.0,0.0,0.0
124,20230117,BKSW,96.0,0.0,97.0,94.0,95.0,949600.0,-1.0,90435100.0,150.0,96.0,5500.0,95.0,504100.0,500000.0,0.0
124,20230118,BKSW,95.0,0.0,95.0,94.0,95.0,854100.0,0.0,80733700.0,201.0,95.0,873800.0,94.0,508600.0,0.0,0.0
124,20230119,BKSW,95.0,0.0,97.0,94.0,96.0,974300.0,1.0,92841900.0,96.0,97.0,479300.0,96.0,950200.0,200000.0,0.0
124,20230120,BKSW,96.0,0.0,100.0,95.0,99.0,2817900.0,3.0,274769700.0,355.0,99.0,127700.0,98.0,10400.0,300000.0,0.0
124,20230124,BKSW,99.0,0.0,99.0,95.0,95.0,10125300.0,-4.0,972276000.0,342.0,97.0,100.0,95.0,359400.0,0.0,0.0
124,20230125,BKSW,95.0,0.0,97.0,95.0,96.0,3998300.0,1.0,385529100.0,125.0,97.0,312400.0,96.0,11800.0,0.0,500.0
124,20230126,BKSW,96.0,0.0,98.0,96.0,96.0,1762900.0,0.0,170307800.0,144.0,98.0,86000.0,96.0,200500.0,0.0,0.0
124,20230127,BKSW,96.0,0.0,97.0,96.0,97.0,3006200.0,1.0,289169100.0,128.0,97.0,3772200.0,96.0,28600.0,0.0,0.0
124,20230130,BKSW,97.0,0.0,97.0,96.0,97.0,473500.0,0.0,45576600.0,87.0,97.0,279000.0,96.0,9100.0,0.0,0.0
124,20230131,BKSW,97.0,0.0,97.0,96.0,97.0,512200.0,0.0,49240200.0,91.0,97.0,106900.0,96.0,1153500.0,0.0,0.0
124,20230201,BKSW,97.0,0.0,99.0,96.0,96.0,1017500.0,-1.0,98183800.0,151.0,97.0,4700.0,96.0,1034100.0,0.0,0.0
124,20230202,BKSW,96.0,0.0,100.0,95.0,97.0,6504000.0,1.0,643415700.0,187.0,98.0,78200.0,97.0,41400.0,519300.0,0.0
124,20230203,BKSW,97.0,0.0,98.0,96.0,97.0,993400.0,0.0,95887800.0,123.0,98.0,120800.0,97.0,27500.0,0.0,0.0
124,20230206,BKSW,97.0,0.0,97.0,95.0,97.0,558700.0,0.0,53850000.0,94.0,97.0,75900.0,96.0,381100.0,0.0,0.0
124,20230207,BKSW,97.0,0.0,98.0,96.0,96.0,1351600.0,-1.0,130770600.0,98.0,97.0,41900.0,96.0,23200.0,0.0,0.0
124,20230208,BKSW,96.0,0.0,102.0,96.0,101.0,7802800.0,5.0,778998100.0,310.0,102.0,523800.0,101.0,497300.0,0.0,200.0
