No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
141,20250710,BLOG,250.0,312.0,312.0,312.0,312.0,727800.0,62.0,227073600.0,2652.0,0.0,0.0,312.0,353308300.0,800.0,0.0
141,20250711,BLOG,312.0,390.0,390.0,390.0,390.0,2036000.0,78.0,794040000.0,5271.0,0.0,0.0,390.0,156771700.0,1400.0,0.0
141,20250714,BLOG,390.0,486.0,486.0,486.0,486.0,26228500.0,96.0,12747051000.0,12013.0,0.0,0.0,486.0,70317500.0,3300.0,4194400.0
141,20250715,BLOG,486.0,605.0,605.0,515.0,605.0,81518000.0,119.0,48381825500.0,40671.0,0.0,0.0,605.0,27029600.0,4247700.0,1594100.0
141,20250716,BLOG,605.0,700.0,755.0,695.0,755.0,65058000.0,150.0,47972640500.0,30159.0,0.0,0.0,755.0,28302300.0,23400.0,1558300.0
141,20250717,BLOG,755.0,855.0,930.0,770.0,805.0,260580500.0,50.0,217659271000.0,88445.0,810.0,1410800.0,805.0,954300.0,3507800.0,3072300.0
141,20250718,BLOG,805.0,825.0,835.0,700.0,720.0,89447300.0,-85.0,68061404000.0,43068.0,725.0,285300.0,720.0,769800.0,2426300.0,936000.0
141,20250721,BLOG,720.0,710.0,710.0,615.0,615.0,127074500.0,-105.0,81101432500.0,35762.0,615.0,1318600.0,0.0,0.0,9125400.0,10290600.0
141,20250722,BLOG,615.0,615.0,675.0,540.0,595.0,150513500.0,-20.0,91498281500.0,31808.0,595.0,454400.0,590.0,234400.0,14206000.0,17891300.0
141,20250723,BLOG,595.0,595.0,610.0,545.0,555.0,33940100.0,-40.0,19316806000.0,9739.0,555.0,79100.0,550.0,838400.0,1837600.0,1872100.0
141,20250724,BLOG,555.0,535.0,605.0,520.0,545.0,43551600.0,-10.0,24619678500.0,10228.0,550.0,31100.0,545.0,382000.0,3184800.0,2926300.0
141,20250725,BLOG,545.0,545.0,580.0,545.0,550.0,13504200.0,5.0,7536998500.0,3996.0,555.0,202000.0,550.0,327300.0,477300.0,305900.0
141,20250728,BLOG,550.0,555.0,570.0,545.0,550.0,9479800.0,0.0,5254675000.0,3392.0,555.0,477600.0,550.0,12400.0,102500.0,238600.0
141,20250729,BLOG,550.0,550.0,555.0,510.0,520.0,16664700.0,-30.0,8768271000.0,5652.0,525.0,558600.0,520.0,5200.0,1758000.0,354700.0
141,20250730,BLOG,520.0,525.0,525.0,488.0,488.0,24243400.0,-32.0,12074319200.0,6933.0,488.0,154200.0,486.0,357000.0,1506800.0,878100.0
141,20250731,BLOG,488.0,488.0,492.0,450.0,456.0,27002900.0,-32.0,12683788800.0,6184.0,458.0,23600.0,456.0,200.0,1802500.0,2664400.0
141,20250801,BLOG,456.0,466.0,510.0,466.0,492.0,37642700.0,36.0,18338446700.0,7605.0,494.0,45500.0,492.0,79300.0,2188000.0,4172600.0
141,20250804,BLOG,492.0,492.0,520.0,482.0,490.0,16802100.0,-2.0,8399685100.0,4660.0,492.0,10500.0,490.0,6600.0,1219800.0,964900.0
