No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
124,20221230,BLTA,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,1.0,50.0,60700200.0,0.0,0.0,0.0,0.0
124,20230102,BLTA,50.0,0.0,50.0,50.0,50.0,3100.0,0.0,155000.0,8.0,50.0,66059000.0,0.0,0.0,0.0,0.0
124,20230103,BLTA,50.0,0.0,50.0,50.0,50.0,5500.0,0.0,275000.0,4.0,50.0,80356100.0,0.0,0.0,0.0,0.0
124,20230104,BLTA,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,2.0,50.0,85796000.0,0.0,0.0,0.0,0.0
124,20230105,BLTA,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,79216300.0,0.0,0.0,0.0,0.0
125,20230106,BLTA,50.0,0.0,50.0,50.0,50.0,3000.0,0.0,150000.0,2.0,50.0,74381400.0,0.0,0.0,0.0,0.0
125,20230109,BLTA,50.0,0.0,50.0,50.0,50.0,61000.0,0.0,3050000.0,4.0,50.0,62189700.0,0.0,0.0,0.0,0.0
125,20230110,BLTA,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,3.0,50.0,63271600.0,0.0,0.0,0.0,0.0
125,20230111,BLTA,50.0,0.0,50.0,50.0,50.0,4300.0,0.0,215000.0,2.0,50.0,51694300.0,0.0,0.0,0.0,0.0
125,20230112,BLTA,50.0,0.0,50.0,50.0,50.0,4700.0,0.0,235000.0,3.0,50.0,52014800.0,0.0,0.0,0.0,0.0
125,20230113,BLTA,50.0,0.0,50.0,50.0,50.0,5400.0,0.0,270000.0,4.0,50.0,73268700.0,0.0,0.0,0.0,0.0
125,20230116,BLTA,50.0,0.0,50.0,50.0,50.0,800.0,0.0,40000.0,3.0,50.0,56579400.0,0.0,0.0,0.0,0.0
125,20230117,BLTA,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,2.0,50.0,81143800.0,0.0,0.0,0.0,0.0
125,20230118,BLTA,50.0,0.0,50.0,50.0,50.0,5400.0,0.0,270000.0,1.0,50.0,56832600.0,0.0,0.0,0.0,0.0
125,20230119,BLTA,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,2.0,50.0,57676500.0,0.0,0.0,0.0,0.0
125,20230120,BLTA,50.0,0.0,50.0,50.0,50.0,4500.0,0.0,225000.0,7.0,50.0,57915600.0,0.0,0.0,0.0,0.0
125,20230124,BLTA,50.0,0.0,50.0,50.0,50.0,1234400.0,0.0,61720000.0,7.0,50.0,79027900.0,0.0,0.0,0.0,0.0
125,20230125,BLTA,50.0,0.0,50.0,50.0,50.0,2500.0,0.0,125000.0,5.0,50.0,78340400.0,0.0,0.0,0.0,0.0
125,20230126,BLTA,50.0,0.0,50.0,50.0,50.0,8300.0,0.0,415000.0,4.0,50.0,76211400.0,0.0,0.0,0.0,0.0
125,20230127,BLTA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,59437700.0,0.0,0.0,0.0,0.0
125,20230130,BLTA,50.0,0.0,50.0,50.0,50.0,2600.0,0.0,130000.0,2.0,50.0,83774800.0,0.0,0.0,0.0,0.0
125,20230131,BLTA,50.0,0.0,50.0,50.0,50.0,4600.0,0.0,230000.0,2.0,50.0,72083000.0,0.0,0.0,0.0,0.0
125,20230201,BLTA,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,1.0,50.0,63060100.0,0.0,0.0,0.0,0.0
125,20230202,BLTA,50.0,0.0,50.0,50.0,50.0,3300.0,0.0,165000.0,5.0,50.0,67075800.0,0.0,0.0,0.0,0.0
125,20230203,BLTA,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,82117500.0,0.0,0.0,0.0,100.0
125,20230206,BLTA,50.0,0.0,50.0,50.0,50.0,10100.0,0.0,505000.0,2.0,50.0,85515500.0,0.0,0.0,0.0,0.0
125,20230207,BLTA,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,1.0,50.0,86548700.0,0.0,0.0,0.0,0.0
125,20230208,BLTA,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,81419500.0,0.0,0.0,0.0,0.0
125,20230209,BLTA,50.0,0.0,50.0,50.0,50.0,6300.0,0.0,315000.0,4.0,50.0,77021000.0,0.0,0.0,0.0,0.0
125,20230210,BLTA,50.0,0.0,50.0,50.0,50.0,1400.0,0.0,70000.0,6.0,50.0,63449000.0,0.0,0.0,0.0,0.0
125,20230213,BLTA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,79380300.0,0.0,0.0,0.0,0.0
125,20230214,BLTA,50.0,0.0,50.0,50.0,50.0,1300.0,0.0,65000.0,3.0,50.0,77674500.0,0.0,0.0,0.0,0.0
125,20230215,BLTA,50.0,0.0,50.0,50.0,50.0,81500.0,0.0,4075000.0,3.0,50.0,65884800.0,0.0,0.0,0.0,0.0
125,20230216,BLTA,50.0,0.0,50.0,50.0,50.0,4100.0,0.0,205000.0,2.0,50.0,81461100.0,0.0,0.0,0.0,0.0
125,20230217,BLTA,50.0,0.0,50.0,50.0,50.0,7900.0,0.0,395000.0,4.0,50.0,81274400.0,0.0,0.0,0.0,0.0
125,20230220,BLTA,50.0,0.0,50.0,50.0,50.0,15900.0,0.0,795000.0,4.0,50.0,77606800.0,0.0,0.0,0.0,0.0
125,20230221,BLTA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,84882100.0,0.0,0.0,0.0,0.0
125,20230222,BLTA,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,63569000.0,0.0,0.0,0.0,0.0
125,20230223,BLTA,50.0,0.0,50.0,50.0,50.0,2300.0,0.0,115000.0,3.0,50.0,62539900.0,0.0,0.0,0.0,0.0
125,20230224,BLTA,50.0,0.0,50.0,50.0,50.0,3200.0,0.0,160000.0,3.0,50.0,81300200.0,0.0,0.0,0.0,0.0
125,20230227,BLTA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,1.0,50.0,81728900.0,0.0,0.0,0.0,0.0
125,20230228,BLTA,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,1.0,50.0,78484500.0,0.0,0.0,0.0,0.0
125,20230301,BLTA,50.0,0.0,50.0,50.0,50.0,900.0,0.0,45000.0,1.0,50.0,83610400.0,0.0,0.0,0.0,0.0
125,20230302,BLTA,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,3.0,50.0,81359300.0,0.0,0.0,0.0,0.0
126,20230303,BLTA,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,82594700.0,0.0,0.0,0.0,0.0
126,20230306,BLTA,50.0,0.0,50.0,50.0,50.0,10400.0,0.0,520000.0,4.0,50.0,84816300.0,0.0,0.0,0.0,0.0
126,20230307,BLTA,50.0,0.0,50.0,50.0,50.0,3300.0,0.0,165000.0,3.0,50.0,88837300.0,0.0,0.0,0.0,0.0
126,20230308,BLTA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,70989200.0,0.0,0.0,0.0,0.0
126,20230309,BLTA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,89397600.0,0.0,0.0,0.0,0.0
126,20230310,BLTA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,88788600.0,0.0,0.0,0.0,0.0
126,20230313,BLTA,50.0,0.0,50.0,50.0,50.0,7100.0,0.0,355000.0,2.0,50.0,72241600.0,0.0,0.0,0.0,0.0
126,20230314,BLTA,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,53312600.0,0.0,0.0,0.0,0.0
126,20230315,BLTA,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,2.0,50.0,89072900.0,0.0,0.0,0.0,0.0
126,20230316,BLTA,50.0,0.0,50.0,50.0,50.0,1100.0,0.0,55000.0,2.0,50.0,66269600.0,0.0,0.0,0.0,0.0
126,20230317,BLTA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,1.0,50.0,70750600.0,0.0,0.0,0.0,0.0
126,20230320,BLTA,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,1.0,50.0,71679800.0,0.0,0.0,0.0,0.0
126,20230321,BLTA,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,63534800.0,0.0,0.0,0.0,0.0
126,20230324,BLTA,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,72606900.0,0.0,0.0,0.0,0.0
