No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
127,20221230,BMAS,1095.0,0.0,1120.0,1090.0,1090.0,17200.0,-5.0,18795500.0,13.0,1115.0,1100.0,1095.0,2500.0,0.0,0.0
127,20230102,BMAS,1090.0,0.0,1115.0,1090.0,1100.0,159600.0,10.0,173970000.0,33.0,1100.0,400.0,1090.0,30700.0,0.0,0.0
127,20230103,BMAS,1100.0,0.0,1115.0,1090.0,1100.0,83500.0,0.0,91036500.0,22.0,1100.0,31900.0,1090.0,10100.0,0.0,700.0
127,20230104,BMAS,1100.0,0.0,1100.0,1095.0,1095.0,57200.0,-5.0,62845000.0,23.0,1100.0,32200.0,1095.0,700.0,300.0,0.0
127,20230105,BMAS,1095.0,0.0,1095.0,1070.0,1090.0,80400.0,-5.0,86823000.0,33.0,1100.0,51600.0,1075.0,1000.0,0.0,0.0
128,20230106,BMAS,1090.0,0.0,1090.0,1080.0,1090.0,33900.0,0.0,36728500.0,13.0,1090.0,40300.0,1080.0,4400.0,0.0,0.0
128,20230109,BMAS,1090.0,0.0,1080.0,1050.0,1050.0,94900.0,-40.0,100758000.0,36.0,1080.0,26200.0,1050.0,4500.0,0.0,600.0
128,20230110,BMAS,1050.0,0.0,1120.0,1045.0,1080.0,91300.0,30.0,98191000.0,38.0,1070.0,5000.0,1055.0,200.0,0.0,600.0
128,20230111,BMAS,1080.0,0.0,1120.0,1070.0,1120.0,182900.0,40.0,202311500.0,56.0,1125.0,1600.0,1120.0,33500.0,2100.0,0.0
128,20230112,BMAS,1120.0,0.0,1160.0,1120.0,1150.0,173400.0,30.0,196085500.0,79.0,1160.0,16400.0,1150.0,46700.0,800.0,0.0
128,20230113,BMAS,1150.0,0.0,1250.0,1160.0,1250.0,478500.0,100.0,588043500.0,232.0,1255.0,100.0,1250.0,18300.0,1800.0,0.0
128,20230116,BMAS,1250.0,0.0,1295.0,1255.0,1255.0,220800.0,5.0,277891000.0,90.0,1260.0,10000.0,1255.0,88700.0,0.0,0.0
128,20230117,BMAS,1255.0,0.0,1280.0,1200.0,1270.0,140900.0,15.0,174731500.0,67.0,1270.0,68200.0,1265.0,10000.0,0.0,6000.0
128,20230118,BMAS,1270.0,0.0,1275.0,1230.0,1255.0,139900.0,-15.0,174852000.0,44.0,1255.0,33800.0,1235.0,600.0,0.0,0.0
128,20230119,BMAS,1255.0,0.0,1235.0,1190.0,1230.0,114400.0,-25.0,137192000.0,48.0,1230.0,3000.0,1200.0,700.0,0.0,2000.0
128,20230120,BMAS,1230.0,0.0,1200.0,1160.0,1190.0,153200.0,-40.0,182066500.0,61.0,1200.0,2500.0,1190.0,12900.0,0.0,2800.0
128,20230124,BMAS,1190.0,0.0,1195.0,1170.0,1170.0,22000.0,-20.0,25844000.0,13.0,1190.0,3000.0,1170.0,10200.0,0.0,0.0
128,20230125,BMAS,1170.0,0.0,1185.0,1150.0,1150.0,62100.0,-20.0,71436500.0,45.0,1150.0,3000.0,1145.0,500.0,400.0,0.0
128,20230126,BMAS,1150.0,0.0,1180.0,1150.0,1150.0,6100.0,0.0,7038000.0,12.0,1180.0,3600.0,1150.0,10000.0,0.0,200.0
128,20230127,BMAS,1150.0,0.0,1215.0,1150.0,1215.0,139200.0,65.0,166137000.0,99.0,1220.0,5200.0,1215.0,232200.0,200.0,0.0
