No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
129,20230111,BMBL,188.0,0.0,188.0,170.0,170.0,21448200.0,-18.0,3688908900.0,3123.0,170.0,41556200.0,0.0,0.0,111200.0,1600.0
129,20230112,BMBL,170.0,0.0,153.0,153.0,153.0,7673200.0,-17.0,1173999600.0,1459.0,153.0,59828500.0,0.0,0.0,21700.0,100.0
129,20230113,BMBL,153.0,0.0,138.0,138.0,138.0,4988300.0,-15.0,688385400.0,955.0,138.0,36880600.0,0.0,0.0,0.0,0.0
129,20230116,BMBL,138.0,0.0,136.0,125.0,125.0,130093300.0,-13.0,16491737400.0,11892.0,125.0,7760900.0,0.0,0.0,110900.0,20000.0
129,20230117,BMBL,125.0,0.0,130.0,113.0,113.0,44880100.0,-12.0,5237902200.0,5852.0,113.0,6449600.0,0.0,0.0,0.0,2800.0
129,20230118,BMBL,113.0,0.0,110.0,102.0,102.0,77331300.0,-11.0,7960184400.0,7811.0,103.0,60600.0,102.0,6577800.0,16100.0,7000.0
129,20230119,BMBL,102.0,0.0,110.0,95.0,102.0,47857800.0,0.0,4965947800.0,5152.0,102.0,642600.0,99.0,9000.0,543100.0,400000.0
129,20230120,BMBL,102.0,0.0,103.0,97.0,103.0,13776500.0,1.0,1381970400.0,2056.0,103.0,1658400.0,102.0,20700.0,10600.0,0.0
129,20230124,BMBL,103.0,0.0,103.0,98.0,102.0,10274800.0,-1.0,1034012300.0,3026.0,102.0,70400.0,101.0,18500.0,0.0,0.0
129,20230125,BMBL,102.0,0.0,104.0,99.0,100.0,6783800.0,-2.0,685297700.0,1535.0,100.0,7800.0,99.0,434300.0,0.0,0.0
129,20230126,BMBL,100.0,0.0,102.0,99.0,100.0,2603300.0,0.0,259869200.0,776.0,101.0,223200.0,100.0,261000.0,0.0,20000.0
129,20230127,BMBL,100.0,0.0,101.0,98.0,99.0,3601600.0,-1.0,357846200.0,784.0,100.0,251600.0,99.0,131400.0,0.0,0.0
129,20230130,BMBL,99.0,0.0,100.0,90.0,90.0,12911800.0,-9.0,1186162900.0,2152.0,90.0,1226800.0,0.0,0.0,0.0,0.0
129,20230131,BMBL,90.0,0.0,90.0,81.0,81.0,18306800.0,-9.0,1506390700.0,2111.0,81.0,1117900.0,0.0,0.0,0.0,10000.0
129,20230201,BMBL,81.0,0.0,84.0,73.0,77.0,19232300.0,-4.0,1492896800.0,1786.0,78.0,407900.0,77.0,1300.0,0.0,0.0
129,20230202,BMBL,77.0,0.0,80.0,70.0,75.0,8171700.0,-2.0,626460300.0,1132.0,75.0,598700.0,74.0,174600.0,0.0,0.0
129,20230203,BMBL,75.0,0.0,78.0,68.0,70.0,16630000.0,-5.0,1199432300.0,2710.0,71.0,140500.0,70.0,412100.0,0.0,0.0
129,20230206,BMBL,70.0,0.0,72.0,66.0,67.0,6700900.0,-3.0,453033500.0,910.0,67.0,47000.0,66.0,81600.0,7400.0,13000.0
129,20230207,BMBL,67.0,0.0,73.0,61.0,72.0,40414200.0,5.0,2854380900.0,3167.0,73.0,148300.0,72.0,10970600.0,0.0,270800.0
129,20230208,BMBL,72.0,0.0,76.0,67.0,68.0,13126500.0,-4.0,940299300.0,2918.0,68.0,188600.0,67.0,124500.0,14900.0,0.0
129,20230209,BMBL,68.0,0.0,70.0,63.0,64.0,13035500.0,-4.0,842048000.0,786.0,65.0,103200.0,64.0,273300.0,0.0,0.0
129,20230210,BMBL,64.0,0.0,66.0,61.0,65.0,5469400.0,1.0,350563400.0,959.0,66.0,169600.0,65.0,4400.0,0.0,0.0
129,20230213,BMBL,65.0,0.0,66.0,63.0,65.0,1924400.0,0.0,123941000.0,323.0,65.0,339500.0,64.0,10000.0,0.0,0.0
129,20230214,BMBL,65.0,0.0,65.0,59.0,65.0,1871200.0,0.0,118266000.0,533.0,65.0,250200.0,64.0,66100.0,0.0,20000.0
129,20230215,BMBL,65.0,0.0,68.0,63.0,66.0,7532700.0,1.0,496232200.0,1223.0,66.0,13000.0,65.0,1161800.0,0.0,0.0
129,20230216,BMBL,66.0,0.0,66.0,64.0,65.0,5190900.0,-1.0,336945200.0,675.0,65.0,278100.0,64.0,221000.0,0.0,0.0
129,20230217,BMBL,65.0,0.0,65.0,63.0,63.0,1939700.0,-2.0,123679500.0,232.0,64.0,1301500.0,63.0,839100.0,2400.0,0.0
129,20230220,BMBL,63.0,0.0,64.0,62.0,63.0,734800.0,0.0,46100500.0,251.0,64.0,471700.0,63.0,160600.0,0.0,0.0
129,20230221,BMBL,63.0,0.0,64.0,62.0,62.0,777600.0,-1.0,48616000.0,220.0,63.0,92300.0,62.0,20369600.0,0.0,0.0
129,20230222,BMBL,62.0,0.0,62.0,61.0,62.0,754200.0,0.0,46398200.0,251.0,63.0,286600.0,62.0,95700.0,0.0,0.0
129,20230223,BMBL,62.0,0.0,63.0,60.0,60.0,572400.0,-2.0,34869200.0,203.0,61.0,194600.0,60.0,490100.0,0.0,100.0
129,20230224,BMBL,60.0,0.0,61.0,57.0,58.0,2534700.0,-2.0,148773300.0,397.0,58.0,139700.0,57.0,540400.0,0.0,0.0
129,20230227,BMBL,58.0,0.0,61.0,55.0,59.0,4341800.0,1.0,255075900.0,1537.0,59.0,97500.0,58.0,1012500.0,0.0,0.0
129,20230228,BMBL,59.0,0.0,63.0,56.0,61.0,3917800.0,2.0,235260200.0,924.0,61.0,209100.0,60.0,52300.0,20000.0,0.0
129,20230301,BMBL,61.0,0.0,62.0,59.0,60.0,945400.0,-1.0,56757500.0,275.0,61.0,264100.0,60.0,1000.0,0.0,0.0
129,20230302,BMBL,60.0,0.0,62.0,57.0,59.0,1160800.0,-1.0,68420300.0,401.0,60.0,132500.0,59.0,1200.0,0.0,0.0
130,20230303,BMBL,59.0,0.0,60.0,57.0,57.0,588900.0,-2.0,34425800.0,343.0,58.0,1000.0,57.0,357100.0,0.0,0.0
