No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
129,20221230,BMRI,9975.0,10000.0,10050.0,9925.0,9925.0,20327900.0,-50.0,202901835000.0,4358.0,9950.0,14500.0,9925.0,908000.0,15344000.0,16913900.0
129,20230102,BMRI,9925.0,9925.0,9975.0,9875.0,9875.0,3533200.0,-50.0,34944800000.0,2967.0,9875.0,130200.0,9850.0,604800.0,1476300.0,619200.0
129,20230103,BMRI,9875.0,9850.0,9975.0,9850.0,9950.0,6908100.0,75.0,68564790000.0,2428.0,9950.0,32300.0,9925.0,79900.0,4092100.0,4095600.0
129,20230104,BMRI,9950.0,10025.0,10075.0,9975.0,10025.0,19287900.0,75.0,193510980000.0,5814.0,10025.0,159400.0,10000.0,600.0,9649200.0,15406800.0
129,20230105,BMRI,10025.0,10050.0,10050.0,9725.0,9825.0,42472900.0,-200.0,418456862500.0,9008.0,9850.0,641400.0,9825.0,39800.0,33713500.0,24023200.0
130,20230106,BMRI,9825.0,9725.0,9800.0,9600.0,9800.0,22048500.0,-25.0,214902737500.0,6668.0,9800.0,932100.0,9775.0,2961900.0,16480500.0,15749900.0
130,20230109,BMRI,9800.0,9750.0,9850.0,9600.0,9725.0,33628600.0,-75.0,326656530000.0,6923.0,9725.0,1297900.0,9700.0,1200.0,27770200.0,20752200.0
130,20230110,BMRI,9725.0,9500.0,9550.0,9175.0,9275.0,96000800.0,-450.0,894916927500.0,16369.0,9300.0,73300.0,9275.0,20800.0,75145200.0,55200900.0
131,20230111,BMRI,9275.0,9075.0,9175.0,8900.0,8950.0,112971100.0,-325.0,1017848950000.0,18460.0,8950.0,2537600.0,8925.0,238300.0,96895400.0,62578600.0
131,20230112,BMRI,8950.0,9000.0,9450.0,9000.0,9200.0,102808800.0,250.0,949453845000.0,14932.0,9225.0,317300.0,9200.0,394100.0,77887400.0,66061500.0
131,20230113,BMRI,9200.0,9125.0,9225.0,9050.0,9175.0,53744200.0,-25.0,491299132500.0,7510.0,9175.0,44000.0,9150.0,200800.0,42948300.0,23049100.0
131,20230116,BMRI,9175.0,9100.0,9350.0,9100.0,9300.0,66245600.0,125.0,611461787500.0,6134.0,9325.0,113500.0,9300.0,52300.0,56337600.0,47481300.0
131,20230117,BMRI,9300.0,9400.0,9825.0,9375.0,9750.0,73119000.0,450.0,705601812500.0,12103.0,9775.0,50200.0,9750.0,49400.0,46405500.0,55198700.0
131,20230118,BMRI,9750.0,9650.0,9775.0,9500.0,9550.0,47935500.0,-200.0,459772117500.0,8795.0,9575.0,22900.0,9550.0,305700.0,39939700.0,28679600.0
131,20230119,BMRI,9550.0,9600.0,9825.0,9525.0,9750.0,35116200.0,200.0,341402357500.0,6473.0,9775.0,46000.0,9750.0,400.0,24051700.0,21697100.0
131,20230120,BMRI,9750.0,9850.0,10000.0,9800.0,9975.0,40049100.0,225.0,397794152500.0,6953.0,9975.0,281700.0,9950.0,16600.0,28215900.0,19511800.0
131,20230124,BMRI,9975.0,9850.0,9975.0,9800.0,9900.0,16350500.0,-75.0,161756635000.0,5342.0,9900.0,502200.0,9850.0,15500.0,11288000.0,10090700.0
