No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
134,20221230,BNGA,1185.0,0.0,1195.0,1175.0,1185.0,1817200.0,0.0,2150704500.0,429.0,1185.0,310200.0,1180.0,94700.0,263300.0,2800.0
134,20230102,BNGA,1185.0,0.0,1185.0,1175.0,1180.0,1712900.0,-5.0,2020347000.0,537.0,1180.0,37000.0,1175.0,560000.0,669200.0,0.0
134,20230103,BNGA,1180.0,0.0,1185.0,1165.0,1165.0,4356300.0,-15.0,5110665500.0,1143.0,1170.0,9300.0,1165.0,580300.0,2251600.0,5400.0
134,20230104,BNGA,1165.0,0.0,1175.0,1145.0,1155.0,6830900.0,-10.0,7896560500.0,1498.0,1155.0,70200.0,1150.0,334700.0,902900.0,606700.0
134,20230105,BNGA,1155.0,0.0,1155.0,1120.0,1125.0,7715900.0,-30.0,8767293000.0,1775.0,1130.0,469300.0,1125.0,222400.0,1286900.0,239400.0
135,20230106,BNGA,1125.0,0.0,1150.0,1115.0,1145.0,2858500.0,20.0,3249492000.0,709.0,1150.0,122000.0,1145.0,43300.0,89300.0,176100.0
135,20230109,BNGA,1145.0,0.0,1165.0,1140.0,1145.0,2105000.0,0.0,2426622500.0,739.0,1150.0,1000.0,1145.0,29700.0,197000.0,5000.0
135,20230110,BNGA,1145.0,0.0,1155.0,1120.0,1130.0,3018900.0,-15.0,3416163500.0,1000.0,1135.0,456800.0,1130.0,11100.0,290700.0,14300.0
136,20230111,BNGA,1130.0,0.0,1135.0,1115.0,1125.0,5534100.0,-5.0,6213898000.0,1096.0,1125.0,3768100.0,1120.0,388600.0,467000.0,285900.0
136,20230112,BNGA,1125.0,0.0,1150.0,1120.0,1150.0,2761200.0,25.0,3154663500.0,619.0,1155.0,171600.0,1150.0,133300.0,89600.0,42500.0
136,20230113,BNGA,1150.0,0.0,1155.0,1135.0,1145.0,1103200.0,-5.0,1260393500.0,402.0,1145.0,38200.0,1140.0,53400.0,143200.0,2700.0
136,20230116,BNGA,1145.0,0.0,1160.0,1140.0,1160.0,1612500.0,15.0,1857082000.0,652.0,1160.0,309600.0,1155.0,39500.0,378600.0,34100.0
136,20230117,BNGA,1160.0,0.0,1160.0,1150.0,1155.0,2065100.0,-5.0,2381504000.0,554.0,1155.0,325300.0,1150.0,1241400.0,825500.0,67500.0
136,20230118,BNGA,1155.0,0.0,1160.0,1145.0,1155.0,1773800.0,0.0,2043354000.0,436.0,1155.0,75200.0,1150.0,63800.0,1225500.0,8900.0
136,20230119,BNGA,1155.0,0.0,1165.0,1150.0,1160.0,1955400.0,5.0,2264537000.0,363.0,1160.0,124100.0,1155.0,156300.0,70000.0,40700.0
136,20230120,BNGA,1160.0,0.0,1180.0,1160.0,1175.0,3947500.0,15.0,4611564000.0,625.0,1175.0,284100.0,1170.0,53600.0,2422600.0,102900.0
136,20230124,BNGA,1175.0,0.0,1180.0,1165.0,1175.0,1106100.0,0.0,1296791000.0,471.0,1175.0,104100.0,1170.0,22300.0,101300.0,112500.0
136,20230125,BNGA,1175.0,0.0,1180.0,1165.0,1175.0,2784000.0,0.0,3260750500.0,580.0,1175.0,29100.0,1170.0,21200.0,768900.0,2900.0
136,20230126,BNGA,1175.0,0.0,1185.0,1170.0,1175.0,2437500.0,0.0,2864705500.0,817.0,1180.0,64700.0,1175.0,6500.0,668800.0,14100.0
136,20230127,BNGA,1175.0,0.0,1195.0,1175.0,1175.0,5581200.0,0.0,6594377500.0,728.0,1180.0,1000.0,1175.0,724800.0,4016500.0,548500.0
136,20230130,BNGA,1175.0,0.0,1185.0,1165.0,1180.0,4722700.0,5.0,5554526000.0,729.0,1180.0,379300.0,1175.0,216700.0,1640600.0,259100.0
136,20230131,BNGA,1180.0,0.0,1185.0,1175.0,1180.0,1632500.0,0.0,1927105000.0,445.0,1180.0,11100.0,1175.0,887900.0,1300.0,140800.0
136,20230201,BNGA,1180.0,0.0,1205.0,1180.0,1200.0,5788600.0,20.0,6907681000.0,874.0,1200.0,180000.0,1195.0,234400.0,8200.0,1578400.0
136,20230202,BNGA,1200.0,0.0,1220.0,1195.0,1220.0,4525000.0,20.0,5468258500.0,745.0,1220.0,1497400.0,1205.0,10500.0,476600.0,15100.0
136,20230203,BNGA,1220.0,0.0,1220.0,1195.0,1200.0,4963800.0,-20.0,5983318000.0,1094.0,1200.0,22100.0,1195.0,247600.0,814700.0,40000.0
136,20230206,BNGA,1200.0,0.0,1225.0,1185.0,1205.0,7049800.0,5.0,8509857500.0,1304.0,1205.0,149300.0,1200.0,8200.0,319100.0,770500.0
136,20230207,BNGA,1205.0,0.0,1225.0,1205.0,1225.0,6762100.0,20.0,8216236500.0,1097.0,1225.0,601000.0,1220.0,60100.0,19500.0,1171000.0
136,20230208,BNGA,1225.0,0.0,1245.0,1220.0,1230.0,8175100.0,5.0,10074715500.0,2406.0,1230.0,43500.0,1225.0,236000.0,531700.0,659000.0
136,20230209,BNGA,1230.0,0.0,1255.0,1230.0,1240.0,6572100.0,10.0,8172956500.0,931.0,1245.0,457300.0,1240.0,17800.0,71300.0,924500.0
136,20230210,BNGA,1240.0,0.0,1245.0,1220.0,1230.0,5198900.0,-10.0,6385416000.0,923.0,1235.0,161200.0,1230.0,199500.0,477300.0,649100.0
136,20230213,BNGA,1230.0,0.0,1250.0,1225.0,1230.0,9532500.0,0.0,11790595000.0,1307.0,1230.0,601600.0,1225.0,347800.0,5316000.0,2142100.0
136,20230214,BNGA,1230.0,0.0,1240.0,1220.0,1225.0,6526400.0,-5.0,8018496000.0,897.0,1225.0,69800.0,1220.0,851200.0,4685000.0,1336300.0
136,20230215,BNGA,1225.0,0.0,1230.0,1215.0,1220.0,3993400.0,-5.0,4876971000.0,743.0,1225.0,90700.0,1220.0,435600.0,600500.0,163300.0
136,20230216,BNGA,1220.0,0.0,1245.0,1225.0,1230.0,10230500.0,10.0,12625894000.0,1014.0,1235.0,249600.0,1230.0,1231900.0,5027100.0,1300600.0
136,20230217,BNGA,1230.0,0.0,1245.0,1220.0,1235.0,5048100.0,5.0,6223449500.0,762.0,1240.0,200100.0,1235.0,1217600.0,96400.0,353700.0
136,20230220,BNGA,1235.0,0.0,1270.0,1240.0,1250.0,13233100.0,15.0,16572414000.0,1896.0,1255.0,176000.0,1250.0,1421800.0,178800.0,5894800.0
136,20230221,BNGA,1250.0,0.0,1270.0,1245.0,1250.0,7595300.0,0.0,9519358500.0,1344.0,1250.0,1077300.0,1245.0,1176300.0,4468600.0,1636200.0
136,20230222,BNGA,1250.0,0.0,1255.0,1225.0,1235.0,6020800.0,-15.0,7444109500.0,1356.0,1235.0,4400.0,1230.0,1256900.0,52100.0,1745700.0
136,20230223,BNGA,1235.0,0.0,1250.0,1230.0,1245.0,3238700.0,10.0,4017255500.0,786.0,1245.0,848000.0,1240.0,1412300.0,191600.0,1042600.0
136,20230224,BNGA,1245.0,0.0,1250.0,1240.0,1245.0,3262800.0,0.0,4062542000.0,789.0,1245.0,324500.0,1240.0,1225600.0,821100.0,237800.0
136,20230227,BNGA,1245.0,0.0,1255.0,1240.0,1240.0,3830100.0,-5.0,4765356500.0,832.0,1245.0,153300.0,1240.0,1924000.0,1852900.0,354800.0
136,20230228,BNGA,1240.0,0.0,1245.0,1220.0,1240.0,9630500.0,0.0,11867231000.0,2084.0,1245.0,202900.0,1240.0,30100.0,1397100.0,3974200.0
136,20230301,BNGA,1240.0,0.0,1250.0,1230.0,1235.0,4839800.0,-5.0,5990201500.0,1167.0,1240.0,413500.0,1235.0,65800.0,3274900.0,3161200.0
136,20230302,BNGA,1235.0,0.0,1240.0,1230.0,1240.0,1486200.0,5.0,1838841000.0,476.0,1240.0,3214200.0,1235.0,74700.0,677300.0,77100.0
