No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
138,20221230,BOGA,1290.0,0.0,1295.0,1275.0,1295.0,60715000.0,5.0,77777283000.0,936.0,1295.0,782700.0,1290.0,380600.0,182100.0,400.0
138,20230102,BOGA,1295.0,0.0,1300.0,1280.0,1295.0,60647000.0,0.0,78033121000.0,663.0,1300.0,337100.0,1295.0,140900.0,300.0,3500.0
138,20230103,BOGA,1295.0,0.0,1305.0,1290.0,1295.0,53852700.0,0.0,69932358500.0,805.0,1300.0,300000.0,1295.0,101000.0,2200.0,1450600.0
138,20230104,BOGA,1295.0,0.0,1300.0,1280.0,1290.0,54970000.0,-5.0,70675989500.0,1047.0,1290.0,232200.0,1285.0,55000.0,133800.0,0.0
138,20230105,BOGA,1290.0,0.0,1295.0,1260.0,1270.0,62672100.0,-20.0,79907998500.0,1164.0,1270.0,18600.0,1265.0,305000.0,2500400.0,1040100.0
139,20230106,BOGA,1270.0,0.0,1270.0,1250.0,1260.0,61938200.0,-10.0,77991867500.0,857.0,1260.0,150000.0,1255.0,209100.0,1385600.0,900.0
139,20230109,BOGA,1260.0,0.0,1265.0,1250.0,1260.0,64223800.0,0.0,80618316000.0,913.0,1260.0,432300.0,1255.0,298800.0,1144400.0,0.0
139,20230110,BOGA,1260.0,0.0,1260.0,1245.0,1250.0,67292100.0,-10.0,84222141000.0,1096.0,1250.0,443400.0,1245.0,339500.0,1099400.0,594300.0
140,20230111,BOGA,1250.0,0.0,1250.0,1230.0,1240.0,70586200.0,-10.0,87329623500.0,1005.0,1240.0,360300.0,1235.0,306500.0,936100.0,37100.0
140,20230112,BOGA,1240.0,0.0,1255.0,1235.0,1255.0,69182000.0,15.0,86412641500.0,958.0,1255.0,54400.0,1250.0,379900.0,1454600.0,9500.0
140,20230113,BOGA,1255.0,0.0,1270.0,1255.0,1265.0,64527700.0,10.0,81431696500.0,864.0,1265.0,855400.0,1260.0,49300.0,19500.0,163600.0
140,20230116,BOGA,1265.0,0.0,1285.0,1260.0,1275.0,61409300.0,10.0,78113161500.0,842.0,1275.0,108500.0,1270.0,485200.0,40900.0,100.0
140,20230117,BOGA,1275.0,0.0,1290.0,1270.0,1280.0,67667300.0,5.0,86645734500.0,1314.0,1280.0,1186000.0,1275.0,125100.0,268000.0,0.0
140,20230118,BOGA,1280.0,0.0,1285.0,1260.0,1280.0,70997300.0,0.0,90009019500.0,1321.0,1280.0,431300.0,1275.0,91300.0,237600.0,1417000.0
140,20230119,BOGA,1280.0,0.0,1280.0,1260.0,1265.0,65665500.0,-15.0,83085573000.0,937.0,1265.0,454300.0,1260.0,266700.0,11400.0,1165100.0
140,20230120,BOGA,1265.0,0.0,1270.0,1250.0,1260.0,72941400.0,-5.0,91675153000.0,1182.0,1260.0,20100.0,1255.0,139300.0,196000.0,1400.0
