No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
139,20221230,BOLA,224.0,0.0,230.0,224.0,224.0,752500.0,0.0,170825600.0,100.0,226.0,595500.0,224.0,386900.0,0.0,0.0
139,20230102,BOLA,224.0,0.0,230.0,222.0,222.0,259700.0,-2.0,58041000.0,82.0,224.0,22400.0,222.0,199100.0,0.0,0.0
139,20230103,BOLA,222.0,0.0,226.0,222.0,226.0,474800.0,4.0,106125800.0,103.0,228.0,11600.0,226.0,118500.0,0.0,0.0
139,20230104,BOLA,226.0,0.0,232.0,222.0,222.0,1093900.0,-4.0,247141800.0,109.0,224.0,500600.0,222.0,18700.0,0.0,0.0
139,20230105,BOLA,222.0,0.0,230.0,212.0,218.0,1675400.0,-4.0,363108600.0,218.0,218.0,48500.0,216.0,100.0,0.0,0.0
140,20230106,BOLA,218.0,0.0,222.0,214.0,214.0,532400.0,-4.0,114863400.0,99.0,216.0,50000.0,214.0,137500.0,0.0,0.0
140,20230109,BOLA,214.0,0.0,218.0,200.0,206.0,2985500.0,-8.0,611988400.0,349.0,208.0,16200.0,206.0,16300.0,132400.0,0.0
140,20230110,BOLA,206.0,0.0,210.0,202.0,204.0,384900.0,-2.0,79135800.0,83.0,208.0,22100.0,204.0,13000.0,0.0,0.0
141,20230111,BOLA,204.0,0.0,214.0,202.0,208.0,666700.0,4.0,137176800.0,120.0,208.0,24400.0,206.0,10100.0,0.0,0.0
141,20230112,BOLA,208.0,0.0,214.0,208.0,214.0,511800.0,6.0,107532800.0,119.0,214.0,21100.0,210.0,700.0,0.0,0.0
141,20230113,BOLA,214.0,0.0,216.0,210.0,210.0,215600.0,-4.0,45446000.0,77.0,212.0,11700.0,208.0,79200.0,0.0,0.0
141,20230116,BOLA,210.0,0.0,220.0,208.0,218.0,1823300.0,8.0,395621400.0,124.0,220.0,38100.0,218.0,37500.0,0.0,0.0
141,20230117,BOLA,218.0,0.0,220.0,214.0,214.0,536700.0,-4.0,116432200.0,129.0,214.0,12800.0,212.0,103900.0,0.0,0.0
141,20230118,BOLA,214.0,0.0,218.0,214.0,214.0,247200.0,0.0,53205200.0,78.0,218.0,10600.0,214.0,32900.0,0.0,0.0
141,20230119,BOLA,214.0,0.0,222.0,204.0,212.0,699900.0,-2.0,150690800.0,147.0,216.0,17000.0,212.0,67300.0,0.0,0.0
141,20230120,BOLA,212.0,0.0,218.0,212.0,218.0,185200.0,6.0,39873600.0,85.0,218.0,88200.0,216.0,500.0,17600.0,0.0
141,20230124,BOLA,218.0,0.0,224.0,218.0,222.0,416100.0,4.0,92090000.0,155.0,222.0,140700.0,220.0,147100.0,40400.0,0.0
141,20230125,BOLA,222.0,0.0,242.0,218.0,240.0,3014700.0,18.0,689872000.0,490.0,240.0,77800.0,238.0,33200.0,19600.0,0.0
141,20230126,BOLA,240.0,0.0,244.0,228.0,236.0,1689700.0,-4.0,392601400.0,296.0,236.0,99900.0,234.0,250000.0,100.0,100.0
141,20230127,BOLA,236.0,0.0,238.0,228.0,238.0,1373000.0,2.0,322104200.0,156.0,238.0,547300.0,234.0,3500.0,0.0,0.0
141,20230130,BOLA,238.0,0.0,240.0,230.0,234.0,676600.0,-4.0,158053800.0,125.0,234.0,12700.0,232.0,1300.0,0.0,0.0
141,20230131,BOLA,234.0,0.0,232.0,224.0,226.0,543700.0,-8.0,123918800.0,127.0,228.0,131600.0,226.0,2200.0,0.0,0.0
