No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
147,20221230,BRMS,164.0,0.0,166.0,159.0,159.0,135972600.0,-5.0,21969632600.0,2869.0,160.0,10379500.0,159.0,5999600.0,28512600.0,4215600.0
147,20230102,BRMS,159.0,0.0,163.0,159.0,160.0,71224200.0,1.0,11450329700.0,1841.0,161.0,31305400.0,160.0,8915800.0,1509000.0,1973500.0
147,20230103,BRMS,160.0,0.0,171.0,159.0,167.0,484680600.0,7.0,81241140400.0,9548.0,168.0,17525600.0,167.0,7640700.0,6349800.0,44963500.0
147,20230104,BRMS,167.0,0.0,169.0,162.0,162.0,228414400.0,-5.0,37896842100.0,4719.0,162.0,7270200.0,161.0,9064500.0,25372800.0,7192000.0
147,20230105,BRMS,162.0,0.0,165.0,151.0,152.0,535938800.0,-10.0,82676437200.0,7954.0,153.0,1351000.0,152.0,24439900.0,18538600.0,25083100.0
148,20230106,BRMS,152.0,0.0,154.0,147.0,152.0,75497200.0,0.0,11506956800.0,2136.0,153.0,2098900.0,152.0,10049200.0,8775000.0,17834600.0
148,20230109,BRMS,152.0,0.0,161.0,151.0,153.0,435007400.0,1.0,68057274000.0,5996.0,154.0,1088300.0,153.0,214600.0,12610100.0,48016700.0
148,20230110,BRMS,153.0,0.0,159.0,153.0,158.0,253711300.0,5.0,39886662300.0,3606.0,158.0,6669500.0,157.0,10202800.0,9236900.0,51625100.0
149,20230111,BRMS,158.0,0.0,162.0,152.0,158.0,261284400.0,0.0,41150693900.0,4185.0,158.0,9096700.0,157.0,7905100.0,16557500.0,26653000.0
149,20230112,BRMS,158.0,0.0,160.0,155.0,155.0,169429700.0,-3.0,26665843900.0,3218.0,156.0,110600.0,155.0,9858100.0,2841800.0,19542300.0
149,20230113,BRMS,155.0,0.0,159.0,156.0,157.0,126911400.0,2.0,19974215900.0,2064.0,158.0,10365800.0,157.0,2105700.0,828600.0,5757800.0
149,20230116,BRMS,157.0,0.0,188.0,154.0,187.0,1265654300.0,30.0,218301378300.0,29864.0,187.0,57996800.0,186.0,41624900.0,20119400.0,82996600.0
149,20230117,BRMS,187.0,0.0,195.0,180.0,180.0,1660717200.0,-7.0,310471498400.0,35608.0,180.0,32434800.0,179.0,14628800.0,129571500.0,68058700.0
149,20230118,BRMS,180.0,0.0,184.0,174.0,182.0,707560000.0,2.0,126783131500.0,14021.0,182.0,391700.0,181.0,32564000.0,60552600.0,69309400.0
149,20230119,BRMS,182.0,0.0,188.0,180.0,182.0,555180000.0,0.0,101661506400.0,9417.0,183.0,9967700.0,182.0,114152000.0,90704100.0,39129600.0
149,20230120,BRMS,182.0,0.0,188.0,182.0,186.0,448293900.0,4.0,82965361200.0,8228.0,186.0,2693600.0,185.0,41573600.0,34464400.0,51355300.0
149,20230124,BRMS,186.0,0.0,202.0,186.0,199.0,1649114700.0,13.0,323750805500.0,29427.0,200.0,15346700.0,199.0,25977500.0,65585200.0,186864300.0
149,20230125,BRMS,199.0,0.0,202.0,195.0,197.0,498902700.0,-2.0,98786314000.0,9579.0,197.0,12130600.0,196.0,13845300.0,58206100.0,15561200.0
