No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
149,20221230,BRPT,765.0,770.0,785.0,755.0,755.0,89333800.0,-10.0,68958963000.0,4757.0,760.0,43800.0,755.0,404900.0,13637400.0,11586600.0
149,20230102,BRPT,755.0,760.0,765.0,750.0,765.0,49940800.0,10.0,37877603500.0,3908.0,765.0,47600.0,760.0,44500.0,2469100.0,2177900.0
149,20230103,BRPT,765.0,765.0,820.0,765.0,810.0,99175000.0,45.0,78739668500.0,7104.0,810.0,1103300.0,805.0,261700.0,2052700.0,40363100.0
149,20230104,BRPT,810.0,810.0,815.0,790.0,795.0,45979800.0,-15.0,36767950000.0,4508.0,795.0,786000.0,790.0,5298700.0,5362800.0,1842900.0
149,20230105,BRPT,795.0,795.0,805.0,780.0,785.0,70716600.0,-10.0,55745573500.0,5337.0,785.0,52400.0,780.0,1901000.0,11203300.0,11700000.0
150,20230106,BRPT,785.0,785.0,820.0,785.0,820.0,86324400.0,35.0,69564299500.0,5995.0,820.0,3496500.0,815.0,172000.0,6748000.0,22973000.0
150,20230109,BRPT,820.0,820.0,830.0,800.0,815.0,77159900.0,-5.0,62701076000.0,7014.0,815.0,239600.0,810.0,10700.0,7901900.0,10788900.0
150,20230110,BRPT,815.0,815.0,825.0,805.0,820.0,67607500.0,5.0,54927009500.0,5973.0,820.0,2631700.0,815.0,81500.0,8676000.0,14065100.0
151,20230111,BRPT,820.0,820.0,825.0,800.0,815.0,83535200.0,-5.0,67953878000.0,4923.0,815.0,425000.0,810.0,66900.0,9877700.0,16432500.0
151,20230112,BRPT,815.0,815.0,825.0,800.0,805.0,91946000.0,-10.0,74774600000.0,6012.0,810.0,102600.0,805.0,133100.0,3480500.0,14492600.0
151,20230113,BRPT,805.0,805.0,840.0,805.0,840.0,88872300.0,35.0,73420250000.0,5784.0,840.0,3883100.0,835.0,1900.0,3547400.0,25209200.0
151,20230116,BRPT,840.0,835.0,840.0,820.0,840.0,77334200.0,0.0,64130340500.0,4946.0,840.0,2609500.0,835.0,97200.0,11797600.0,7843300.0
151,20230117,BRPT,840.0,835.0,845.0,830.0,835.0,65705300.0,-5.0,54943545500.0,6663.0,835.0,830800.0,830.0,1003700.0,4778200.0,15551200.0
151,20230118,BRPT,835.0,835.0,850.0,820.0,850.0,65396200.0,15.0,54257944500.0,4548.0,850.0,1201900.0,840.0,6400.0,10521500.0,14342900.0
151,20230119,BRPT,850.0,840.0,845.0,830.0,840.0,73165000.0,-10.0,61190917500.0,5700.0,840.0,502300.0,835.0,584200.0,8492100.0,10014200.0
151,20230120,BRPT,840.0,845.0,850.0,835.0,835.0,67523900.0,-5.0,56760741000.0,5198.0,840.0,1011500.0,835.0,287200.0,9028000.0,10880300.0
151,20230124,BRPT,835.0,835.0,835.0,825.0,835.0,48453800.0,0.0,40321220000.0,3370.0,835.0,925500.0,830.0,83700.0,2504000.0,2924000.0
151,20230125,BRPT,835.0,835.0,845.0,825.0,840.0,65491800.0,5.0,54912766000.0,4955.0,840.0,1500600.0,835.0,152400.0,2375400.0,8218300.0
151,20230126,BRPT,840.0,840.0,845.0,830.0,845.0,56030300.0,5.0,46938939500.0,3778.0,845.0,1128300.0,840.0,100300.0,7596300.0,5190000.0
151,20230127,BRPT,845.0,845.0,850.0,835.0,840.0,70938700.0,-5.0,59823712500.0,5088.0,845.0,1251800.0,840.0,109500.0,9608100.0,10463600.0
151,20230130,BRPT,840.0,845.0,870.0,840.0,855.0,94095900.0,15.0,80424685500.0,7578.0,855.0,1330500.0,850.0,112000.0,15685100.0,23849200.0
151,20230131,BRPT,855.0,850.0,850.0,825.0,825.0,78572200.0,-30.0,65497076000.0,5961.0,825.0,498600.0,820.0,6689600.0,43831000.0,21825900.0
151,20230201,BRPT,825.0,825.0,835.0,820.0,825.0,68276800.0,0.0,56587933500.0,7105.0,830.0,160800.0,825.0,296500.0,6263500.0,9527500.0
151,20230202,BRPT,825.0,830.0,840.0,825.0,835.0,69210400.0,10.0,57596544000.0,5013.0,835.0,590500.0,830.0,30300.0,7291600.0,9822400.0
151,20230203,BRPT,835.0,835.0,840.0,820.0,830.0,63393000.0,-5.0,52577633500.0,4095.0,830.0,580500.0,825.0,284600.0,5254000.0,7490800.0
151,20230206,BRPT,830.0,830.0,835.0,815.0,825.0,41467800.0,-5.0,34279775000.0,3558.0,825.0,84900.0,820.0,58600.0,8950800.0,7522000.0
151,20230207,BRPT,825.0,830.0,850.0,820.0,850.0,72351200.0,25.0,60379406000.0,5096.0,850.0,3138000.0,845.0,6300.0,6137500.0,29665700.0
151,20230208,BRPT,850.0,850.0,860.0,845.0,860.0,57155600.0,10.0,48760389500.0,4398.0,860.0,4846800.0,855.0,114800.0,8083400.0,12478400.0
151,20230209,BRPT,860.0,860.0,860.0,840.0,840.0,71287200.0,-20.0,60512827000.0,5446.0,845.0,212800.0,840.0,744900.0,8655000.0,13556900.0
151,20230210,BRPT,840.0,840.0,855.0,825.0,855.0,74744600.0,15.0,62673748500.0,5544.0,855.0,470500.0,850.0,23700.0,7006600.0,15640700.0
151,20230213,BRPT,855.0,855.0,855.0,835.0,845.0,60464500.0,-10.0,51020458500.0,3904.0,845.0,101100.0,840.0,905400.0,4648000.0,4088800.0
151,20230214,BRPT,845.0,845.0,860.0,840.0,855.0,70981300.0,10.0,60258189500.0,4750.0,855.0,155800.0,850.0,23200.0,3589300.0,16115700.0
151,20230215,BRPT,855.0,855.0,860.0,840.0,860.0,51350500.0,5.0,43674672000.0,3574.0,860.0,5317100.0,855.0,500.0,3384100.0,6430300.0
151,20230216,BRPT,860.0,860.0,890.0,845.0,890.0,88248100.0,30.0,76537756500.0,6807.0,890.0,2716400.0,885.0,922300.0,8830500.0,22393700.0
151,20230217,BRPT,890.0,890.0,900.0,875.0,895.0,86876900.0,5.0,77345807000.0,7268.0,895.0,612700.0,890.0,334100.0,15113400.0,33740000.0
151,20230220,BRPT,895.0,900.0,915.0,880.0,915.0,90211700.0,20.0,81143040500.0,6779.0,915.0,461600.0,910.0,26100.0,15405000.0,33895500.0
151,20230221,BRPT,915.0,920.0,930.0,905.0,920.0,94107700.0,5.0,86412228000.0,7035.0,920.0,493700.0,915.0,122500.0,22463200.0,37029500.0
151,20230222,BRPT,920.0,915.0,920.0,900.0,910.0,80199500.0,-10.0,73100810000.0,6597.0,910.0,471500.0,905.0,658400.0,16073000.0,28005900.0
151,20230223,BRPT,910.0,910.0,940.0,905.0,940.0,93405500.0,30.0,86697394500.0,7764.0,940.0,552400.0,935.0,327800.0,15406100.0,40539700.0
151,20230224,BRPT,940.0,940.0,960.0,935.0,935.0,93355100.0,-5.0,88052004500.0,6608.0,935.0,571500.0,930.0,2165500.0,10727100.0,28930600.0
151,20230227,BRPT,935.0,935.0,950.0,915.0,935.0,80546800.0,0.0,74976397500.0,4897.0,935.0,578600.0,930.0,10000.0,11213900.0,27262200.0
151,20230228,BRPT,935.0,935.0,995.0,920.0,935.0,347126500.0,0.0,327511766500.0,9611.0,940.0,2030000.0,935.0,2502400.0,236838800.0,256482700.0
151,20230301,BRPT,935.0,945.0,945.0,870.0,870.0,148675700.0,-65.0,133707805000.0,13146.0,870.0,12706900.0,0.0,0.0,46818000.0,12588000.0
151,20230302,BRPT,870.0,850.0,865.0,810.0,815.0,138032600.0,-55.0,114171236500.0,11824.0,820.0,593300.0,815.0,1046300.0,29165200.0,18012000.0
152,20230303,BRPT,815.0,815.0,835.0,800.0,820.0,95003200.0,5.0,77452399000.0,7151.0,820.0,483200.0,815.0,134500.0,20890400.0,11969600.0
152,20230306,BRPT,820.0,820.0,825.0,800.0,800.0,64877800.0,-20.0,52548340500.0,5269.0,805.0,127500.0,800.0,10730200.0,15820900.0,5403100.0
