No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
151,20221230,BSDE,930.0,0.0,935.0,920.0,920.0,9343700.0,-10.0,8622484000.0,733.0,920.0,1652700.0,915.0,2396300.0,2328400.0,3501900.0
151,20230102,BSDE,920.0,0.0,925.0,915.0,915.0,3452900.0,-5.0,3171720000.0,665.0,920.0,50100.0,915.0,1926100.0,0.0,10100.0
151,20230103,BSDE,915.0,0.0,920.0,910.0,915.0,12524300.0,0.0,11492685500.0,681.0,920.0,334600.0,915.0,451000.0,3457600.0,324300.0
151,20230104,BSDE,915.0,0.0,925.0,905.0,910.0,4677100.0,-5.0,4250168000.0,941.0,910.0,236900.0,905.0,504900.0,518200.0,359600.0
151,20230105,BSDE,910.0,0.0,920.0,885.0,885.0,14172800.0,-25.0,12708767000.0,2442.0,890.0,139600.0,885.0,22900.0,2907800.0,2748100.0
152,20230106,BSDE,885.0,0.0,905.0,880.0,905.0,5028800.0,20.0,4508512000.0,1340.0,905.0,450300.0,900.0,71600.0,314600.0,1072700.0
152,20230109,BSDE,905.0,0.0,915.0,900.0,915.0,4429300.0,10.0,4032913500.0,957.0,915.0,331200.0,910.0,2900.0,213800.0,2408600.0
152,20230110,BSDE,915.0,0.0,915.0,900.0,915.0,8444900.0,0.0,7655632000.0,881.0,915.0,422700.0,905.0,18700.0,289800.0,5614800.0
153,20230111,BSDE,915.0,0.0,920.0,905.0,905.0,4755200.0,-10.0,4312028000.0,529.0,910.0,189000.0,905.0,364500.0,85900.0,2399900.0
153,20230112,BSDE,905.0,0.0,920.0,900.0,910.0,7099300.0,5.0,6488718500.0,1012.0,910.0,392000.0,905.0,2456300.0,256000.0,1587300.0
153,20230113,BSDE,910.0,0.0,920.0,905.0,910.0,2946300.0,0.0,2694402000.0,436.0,915.0,1600.0,910.0,2272700.0,183500.0,262700.0
153,20230116,BSDE,910.0,0.0,920.0,910.0,915.0,1611700.0,5.0,1474164500.0,314.0,920.0,2007000.0,915.0,15000.0,20300.0,652400.0
153,20230117,BSDE,915.0,0.0,920.0,900.0,905.0,12793900.0,-10.0,11592590500.0,750.0,910.0,3529900.0,905.0,44200.0,588700.0,4738700.0
153,20230118,BSDE,905.0,0.0,915.0,880.0,915.0,7455800.0,10.0,6778865500.0,650.0,915.0,385900.0,910.0,500.0,812600.0,4689800.0
153,20230119,BSDE,915.0,0.0,925.0,905.0,905.0,15342000.0,-10.0,14002767000.0,1141.0,910.0,217200.0,905.0,2077600.0,173400.0,2447700.0
153,20230120,BSDE,905.0,0.0,915.0,895.0,905.0,17571700.0,0.0,15887773500.0,989.0,910.0,304400.0,905.0,631800.0,592900.0,5126000.0
153,20230124,BSDE,905.0,0.0,910.0,905.0,905.0,2413800.0,0.0,2187842500.0,702.0,910.0,867500.0,905.0,301000.0,5200.0,432600.0
153,20230125,BSDE,905.0,0.0,910.0,900.0,905.0,3400300.0,0.0,3080229000.0,666.0,910.0,492700.0,905.0,24900.0,103100.0,32500.0
153,20230126,BSDE,905.0,0.0,925.0,905.0,920.0,9726400.0,15.0,8880264000.0,810.0,925.0,679300.0,920.0,203500.0,2902000.0,432600.0
153,20230127,BSDE,920.0,0.0,960.0,910.0,945.0,39632700.0,25.0,37382772000.0,3780.0,950.0,1279600.0,945.0,216900.0,2254100.0,2802600.0
153,20230130,BSDE,945.0,0.0,950.0,930.0,930.0,7737900.0,-15.0,7223239500.0,1288.0,935.0,130100.0,930.0,118500.0,775100.0,533900.0
153,20230131,BSDE,930.0,0.0,945.0,925.0,935.0,12013600.0,5.0,11217131500.0,1367.0,940.0,18600.0,935.0,932700.0,2972900.0,8600700.0
153,20230201,BSDE,935.0,0.0,955.0,930.0,930.0,5022400.0,-5.0,4698889500.0,1254.0,935.0,105300.0,930.0,6081400.0,2439900.0,955500.0
153,20230202,BSDE,930.0,0.0,960.0,930.0,955.0,18312000.0,25.0,17430182500.0,1902.0,955.0,3318600.0,950.0,194200.0,151100.0,5597600.0
153,20230203,BSDE,955.0,0.0,985.0,950.0,980.0,42434700.0,25.0,41295273000.0,3071.0,980.0,595100.0,975.0,3743200.0,490600.0,5838600.0
153,20230206,BSDE,980.0,0.0,980.0,960.0,965.0,11854800.0,-15.0,11470788500.0,2004.0,970.0,333100.0,965.0,88000.0,1385400.0,2048600.0
153,20230207,BSDE,965.0,0.0,975.0,965.0,965.0,3789400.0,0.0,3672178500.0,832.0,965.0,223600.0,960.0,749700.0,748600.0,302100.0
153,20230208,BSDE,965.0,0.0,975.0,955.0,970.0,5577000.0,5.0,5379720000.0,2095.0,970.0,294600.0,965.0,17900.0,357800.0,1850500.0
153,20230209,BSDE,970.0,0.0,975.0,960.0,960.0,5321400.0,-10.0,5140544000.0,2476.0,965.0,21000.0,960.0,118800.0,1344700.0,1162300.0
153,20230210,BSDE,960.0,0.0,965.0,945.0,960.0,7647100.0,0.0,7294248500.0,1457.0,960.0,431300.0,955.0,266100.0,921300.0,1918800.0
153,20230213,BSDE,960.0,0.0,970.0,950.0,960.0,3790000.0,0.0,3633149000.0,1551.0,960.0,16600.0,955.0,192500.0,643200.0,1054400.0
153,20230214,BSDE,960.0,0.0,965.0,950.0,950.0,4758900.0,-10.0,4553767000.0,2734.0,960.0,586200.0,950.0,916100.0,56400.0,518800.0
153,20230215,BSDE,950.0,0.0,960.0,935.0,935.0,13348800.0,-15.0,12564437500.0,1450.0,940.0,5754400.0,935.0,427900.0,3102900.0,3790300.0
153,20230216,BSDE,935.0,0.0,950.0,930.0,935.0,10901600.0,0.0,10203566500.0,2076.0,935.0,7882800.0,930.0,2147000.0,825800.0,1165700.0
153,20230217,BSDE,935.0,0.0,935.0,925.0,930.0,7086600.0,-5.0,6595305000.0,886.0,930.0,6527900.0,925.0,3385700.0,20000.0,1543900.0
153,20230220,BSDE,930.0,0.0,940.0,925.0,930.0,18828800.0,0.0,17575539500.0,2312.0,935.0,128900.0,930.0,191100.0,5600.0,4230800.0
153,20230221,BSDE,930.0,0.0,950.0,930.0,940.0,3405300.0,10.0,3205366000.0,1752.0,940.0,616400.0,935.0,745600.0,51300.0,58100.0
153,20230222,BSDE,940.0,0.0,940.0,930.0,930.0,5221100.0,-10.0,4869818000.0,3964.0,935.0,114400.0,930.0,603100.0,915300.0,1340100.0
153,20230223,BSDE,930.0,0.0,950.0,925.0,945.0,5189700.0,15.0,4877176000.0,2801.0,945.0,470200.0,940.0,259300.0,1258300.0,796300.0
153,20230224,BSDE,945.0,0.0,950.0,935.0,940.0,3881700.0,-5.0,3657814500.0,3392.0,940.0,59900.0,935.0,1348200.0,933600.0,1004800.0
