No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
152,20221230,BSIM,850.0,0.0,870.0,845.0,845.0,7200.0,-5.0,6205500.0,16.0,850.0,37400.0,845.0,2900.0,0.0,0.0
152,20230102,BSIM,845.0,0.0,880.0,850.0,850.0,15500.0,5.0,13228500.0,10.0,870.0,900.0,850.0,102000.0,0.0,13100.0
152,20230103,BSIM,850.0,0.0,870.0,850.0,855.0,9700.0,5.0,8305000.0,12.0,855.0,29600.0,850.0,1700.0,0.0,5800.0
152,20230104,BSIM,855.0,0.0,855.0,850.0,850.0,45600.0,-5.0,38762000.0,9.0,855.0,100.0,850.0,100800.0,0.0,45200.0
152,20230105,BSIM,850.0,0.0,855.0,850.0,850.0,35100.0,0.0,29839500.0,16.0,855.0,200.0,850.0,166800.0,100.0,34900.0
153,20230106,BSIM,850.0,0.0,865.0,850.0,865.0,34500.0,15.0,29352000.0,14.0,865.0,3200.0,850.0,80000.0,0.0,32700.0
153,20230109,BSIM,865.0,0.0,860.0,850.0,855.0,34800.0,-10.0,29871500.0,18.0,855.0,2100.0,850.0,100.0,0.0,27700.0
153,20230110,BSIM,855.0,0.0,865.0,850.0,850.0,15800.0,-5.0,13432500.0,15.0,855.0,40000.0,850.0,35400.0,0.0,15200.0
154,20230111,BSIM,850.0,0.0,865.0,800.0,860.0,720000.0,10.0,582205000.0,48.0,860.0,1900.0,810.0,10000.0,400.0,719100.0
154,20230112,BSIM,860.0,0.0,860.0,850.0,850.0,33500.0,-10.0,28502000.0,15.0,860.0,10100.0,850.0,51900.0,0.0,28400.0
154,20230113,BSIM,850.0,0.0,850.0,850.0,850.0,65400.0,0.0,55590000.0,22.0,865.0,14800.0,850.0,1000.0,0.0,62800.0
154,20230116,BSIM,850.0,0.0,860.0,850.0,850.0,8800.0,0.0,7483500.0,7.0,860.0,2100.0,850.0,316200.0,0.0,8200.0
154,20230117,BSIM,850.0,0.0,855.0,850.0,855.0,4600.0,5.0,3913000.0,7.0,865.0,1300.0,855.0,1500.0,0.0,4000.0
154,20230118,BSIM,855.0,0.0,860.0,850.0,850.0,5500.0,-5.0,4678000.0,7.0,860.0,600.0,850.0,315400.0,0.0,5200.0
154,20230119,BSIM,850.0,0.0,870.0,850.0,870.0,13700.0,20.0,11693500.0,9.0,870.0,3100.0,850.0,5500.0,0.0,11000.0
154,20230120,BSIM,870.0,0.0,870.0,820.0,850.0,8400.0,-20.0,7168500.0,18.0,850.0,8200.0,820.0,600.0,0.0,0.0
154,20230124,BSIM,850.0,0.0,860.0,850.0,855.0,19100.0,5.0,16303500.0,33.0,855.0,9500.0,850.0,10200.0,0.0,10800.0
154,20230125,BSIM,855.0,0.0,850.0,815.0,850.0,122200.0,-5.0,103786000.0,24.0,850.0,10100.0,820.0,10500.0,2000.0,95900.0
154,20230126,BSIM,850.0,0.0,850.0,850.0,850.0,41100.0,0.0,34935000.0,18.0,855.0,2000.0,850.0,59800.0,0.0,41000.0
154,20230127,BSIM,850.0,0.0,880.0,850.0,875.0,32500.0,25.0,28390000.0,13.0,875.0,11600.0,850.0,21300.0,0.0,2000.0
154,20230130,BSIM,875.0,0.0,885.0,850.0,850.0,35000.0,-25.0,30039000.0,27.0,855.0,100.0,850.0,48900.0,600.0,22700.0
154,20230131,BSIM,850.0,0.0,870.0,850.0,850.0,10400.0,0.0,8844000.0,6.0,860.0,200.0,850.0,62100.0,0.0,10100.0
154,20230201,BSIM,850.0,0.0,850.0,850.0,850.0,34500.0,0.0,29325000.0,13.0,875.0,4300.0,850.0,28900.0,0.0,26800.0
