No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
160,20221230,BTPS,2800.0,0.0,2830.0,2760.0,2790.0,3136900.0,-10.0,8743414000.0,953.0,2790.0,168500.0,2780.0,700.0,2037200.0,678400.0
160,20230102,BTPS,2790.0,0.0,2860.0,2760.0,2830.0,2866300.0,40.0,8111094000.0,1144.0,2830.0,30200.0,2810.0,6600.0,1664000.0,408300.0
160,20230103,BTPS,2830.0,0.0,2890.0,2800.0,2800.0,6708500.0,-30.0,19172608000.0,2486.0,2800.0,37400.0,2790.0,56000.0,4982000.0,4176000.0
160,20230104,BTPS,2800.0,0.0,2860.0,2790.0,2790.0,4905400.0,-10.0,13809181000.0,1367.0,2800.0,500.0,2790.0,192000.0,2089100.0,2547400.0
160,20230105,BTPS,2790.0,0.0,2840.0,2670.0,2670.0,6668000.0,-120.0,18150026000.0,2958.0,2680.0,9600.0,2670.0,72100.0,2735500.0,3006700.0
161,20230106,BTPS,2670.0,0.0,2710.0,2600.0,2620.0,10090400.0,-50.0,26654716000.0,3896.0,2640.0,6300.0,2620.0,111100.0,8137600.0,1889100.0
161,20230109,BTPS,2620.0,0.0,2660.0,2570.0,2580.0,7627200.0,-40.0,19843617000.0,2972.0,2590.0,1100.0,2580.0,112200.0,5859000.0,1333500.0
161,20230110,BTPS,2580.0,0.0,2600.0,2520.0,2520.0,6630900.0,-60.0,16881676000.0,2571.0,2540.0,2000.0,2520.0,234200.0,4801900.0,1700900.0
162,20230111,BTPS,2520.0,0.0,2570.0,2450.0,2500.0,8197700.0,-20.0,20537656000.0,2852.0,2520.0,300.0,2500.0,84700.0,6523000.0,2900100.0
162,20230112,BTPS,2500.0,0.0,2580.0,2500.0,2520.0,7014900.0,20.0,17862057000.0,3484.0,2540.0,100500.0,2520.0,1493600.0,6109000.0,2510300.0
162,20230113,BTPS,2520.0,0.0,2670.0,2520.0,2660.0,6417800.0,140.0,16671221000.0,2139.0,2660.0,74100.0,2650.0,3500.0,3422900.0,2002600.0
162,20230116,BTPS,2660.0,0.0,2670.0,2580.0,2610.0,6324000.0,-50.0,16480229000.0,1676.0,2610.0,94500.0,2600.0,128600.0,5678100.0,3181700.0
162,20230117,BTPS,2610.0,0.0,2650.0,2600.0,2620.0,5333600.0,10.0,14017401000.0,2143.0,2630.0,400.0,2620.0,394300.0,4176200.0,3562400.0
162,20230118,BTPS,2620.0,0.0,2670.0,2600.0,2620.0,7000400.0,0.0,18381833000.0,1714.0,2630.0,23300.0,2620.0,8700.0,4444600.0,5319800.0
162,20230119,BTPS,2620.0,0.0,2640.0,2570.0,2570.0,5344500.0,-50.0,13815839000.0,2311.0,2580.0,5400.0,2570.0,54600.0,2458600.0,1398400.0
162,20230120,BTPS,2570.0,0.0,2590.0,2540.0,2570.0,6245000.0,0.0,16014370000.0,2355.0,2580.0,4200.0,2570.0,121100.0,3892200.0,2405300.0
162,20230124,BTPS,2570.0,0.0,2610.0,2570.0,2610.0,2290700.0,40.0,5931241000.0,1167.0,2610.0,14200.0,2600.0,6100.0,1208400.0,546300.0
162,20230125,BTPS,2610.0,0.0,2630.0,2580.0,2610.0,2580700.0,0.0,6722512000.0,1024.0,2610.0,272200.0,2600.0,16700.0,2122700.0,1026900.0
162,20230126,BTPS,2610.0,0.0,2640.0,2600.0,2620.0,4500300.0,10.0,11800934000.0,1618.0,2630.0,8400.0,2620.0,8100.0,3045200.0,1919400.0
162,20230127,BTPS,2620.0,0.0,2710.0,2630.0,2670.0,6282000.0,50.0,16812524000.0,2761.0,2680.0,63200.0,2670.0,210600.0,1860800.0,1317200.0
162,20230130,BTPS,2670.0,0.0,2720.0,2570.0,2590.0,9633900.0,-80.0,25313373000.0,4044.0,2600.0,1600.0,2580.0,180700.0,5957600.0,1052500.0
162,20230131,BTPS,2590.0,0.0,2620.0,2560.0,2560.0,4174600.0,-30.0,10741808000.0,2273.0,2570.0,12500.0,2560.0,69900.0,3236300.0,943700.0
162,20230201,BTPS,2560.0,0.0,2650.0,2560.0,2640.0,10632300.0,80.0,27796226000.0,3593.0,2640.0,651600.0,2630.0,233500.0,7792100.0,7713000.0
162,20230202,BTPS,2640.0,0.0,2660.0,2610.0,2620.0,3191800.0,-20.0,8387382000.0,1331.0,2630.0,49500.0,2620.0,106000.0,1218600.0,956000.0
162,20230203,BTPS,2620.0,0.0,2660.0,2610.0,2630.0,9694900.0,10.0,25505126000.0,2780.0,2630.0,76300.0,2620.0,431400.0,4266600.0,5886500.0
162,20230206,BTPS,2630.0,0.0,2650.0,2560.0,2580.0,6900200.0,-50.0,17951089000.0,2865.0,2580.0,239700.0,2570.0,731700.0,4781700.0,2346200.0
162,20230207,BTPS,2580.0,0.0,2610.0,2560.0,2580.0,10357900.0,0.0,26903020000.0,2087.0,2590.0,111100.0,2580.0,298900.0,5907700.0,7336900.0
162,20230208,BTPS,2580.0,0.0,2610.0,2560.0,2580.0,7169000.0,0.0,18550613000.0,1958.0,2580.0,34000.0,2570.0,16100.0,2649500.0,4280200.0
162,20230209,BTPS,2580.0,0.0,2610.0,2580.0,2590.0,4846700.0,10.0,12564002000.0,1976.0,2590.0,375700.0,2580.0,584100.0,2843800.0,1994300.0
162,20230210,BTPS,2590.0,0.0,2660.0,2560.0,2580.0,14572300.0,-10.0,37931167000.0,3372.0,2590.0,19000.0,2580.0,225600.0,8526800.0,3541400.0
162,20230213,BTPS,2580.0,0.0,2630.0,2510.0,2540.0,16633400.0,-40.0,42208944000.0,5981.0,2540.0,27200.0,2530.0,141000.0,8334800.0,4299400.0
162,20230214,BTPS,2540.0,0.0,2560.0,2480.0,2490.0,17535400.0,-50.0,43883718000.0,6066.0,2490.0,138800.0,2480.0,380300.0,10981600.0,5068100.0
162,20230215,BTPS,2490.0,0.0,2540.0,2400.0,2430.0,22915300.0,-60.0,55640092000.0,6539.0,2430.0,261600.0,2420.0,473700.0,11315100.0,6657500.0
162,20230216,BTPS,2430.0,0.0,2450.0,2350.0,2390.0,27967800.0,-40.0,66468767000.0,7230.0,2400.0,25200.0,2390.0,41600.0,11434900.0,11180700.0
162,20230217,BTPS,2390.0,0.0,2420.0,2360.0,2420.0,16088800.0,30.0,38587424000.0,4500.0,2420.0,281000.0,2410.0,298000.0,13014100.0,6248400.0
162,20230220,BTPS,2420.0,0.0,2440.0,2370.0,2400.0,24048100.0,-20.0,57691968000.0,4040.0,2410.0,267000.0,2400.0,1260400.0,18680900.0,11364400.0
162,20230221,BTPS,2400.0,0.0,2540.0,2370.0,2390.0,45044300.0,-10.0,110019853000.0,10518.0,2390.0,900.0,2380.0,904500.0,21077300.0,8230300.0
162,20230222,BTPS,2390.0,0.0,2440.0,2350.0,2360.0,25396400.0,-30.0,60197745000.0,5627.0,2370.0,94000.0,2360.0,670500.0,19699400.0,9054000.0
162,20230223,BTPS,2360.0,0.0,2410.0,2370.0,2390.0,11846400.0,30.0,28373689000.0,3338.0,2400.0,178200.0,2390.0,600.0,7582300.0,6886000.0
162,20230224,BTPS,2390.0,0.0,2420.0,2380.0,2400.0,12009600.0,10.0,28809053000.0,2255.0,2410.0,278100.0,2400.0,815500.0,8533000.0,7918500.0
162,20230227,BTPS,2400.0,0.0,2430.0,2380.0,2380.0,8596800.0,-20.0,20634063000.0,2900.0,2390.0,1600.0,2380.0,741300.0,4412100.0,2068500.0
162,20230228,BTPS,2380.0,0.0,2400.0,2290.0,2340.0,27274100.0,-40.0,63674180000.0,6782.0,2340.0,816700.0,2330.0,141500.0,14167100.0,13252600.0
162,20230301,BTPS,2340.0,0.0,2390.0,2300.0,2310.0,15368800.0,-30.0,35964392000.0,4718.0,2320.0,37200.0,2310.0,217600.0,6262900.0,6169700.0
162,20230302,BTPS,2310.0,0.0,2340.0,2300.0,2310.0,7470200.0,0.0,17272638000.0,3045.0,2310.0,465700.0,2300.0,1767200.0,3579000.0,1131100.0
