No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
170,20221230,BYAN,20725.0,0.0,21475.0,19825.0,21000.0,2823700.0,275.0,58890112500.0,5710.0,21000.0,14900.0,20900.0,200.0,589300.0,288700.0
170,20230102,BYAN,21000.0,0.0,21775.0,20875.0,21250.0,1141800.0,250.0,24344160000.0,2986.0,21275.0,4400.0,21250.0,38100.0,304000.0,156000.0
170,20230103,BYAN,21250.0,0.0,21675.0,21175.0,21300.0,814400.0,50.0,17356287500.0,1511.0,21325.0,3300.0,21300.0,600.0,204800.0,38300.0
170,20230104,BYAN,21300.0,0.0,21450.0,21100.0,21125.0,624000.0,-175.0,13274235000.0,1464.0,21125.0,4600.0,21100.0,18500.0,61800.0,75000.0
170,20230105,BYAN,21125.0,0.0,21250.0,19800.0,19975.0,2500600.0,-1150.0,51171912500.0,4058.0,19975.0,10400.0,19950.0,1300.0,912800.0,465700.0
171,20230106,BYAN,19975.0,0.0,21550.0,19825.0,20575.0,1286700.0,600.0,26766910000.0,3321.0,20625.0,2500.0,20575.0,11800.0,104900.0,462500.0
171,20230109,BYAN,20575.0,0.0,21300.0,20025.0,20325.0,997700.0,-250.0,20507410000.0,2303.0,20350.0,500.0,20325.0,47400.0,341000.0,133200.0
171,20230110,BYAN,20325.0,0.0,20700.0,19975.0,20650.0,521800.0,325.0,10682770000.0,1472.0,20650.0,100.0,20600.0,1600.0,97600.0,214700.0
172,20230111,BYAN,20650.0,0.0,21050.0,20500.0,20650.0,571700.0,0.0,11863820000.0,1122.0,20700.0,1000.0,20650.0,9300.0,125900.0,210800.0
172,20230112,BYAN,20650.0,0.0,20725.0,19675.0,19925.0,1064600.0,-725.0,21476540000.0,2297.0,19950.0,700.0,19925.0,300.0,360800.0,131300.0
172,20230113,BYAN,19925.0,0.0,20700.0,20000.0,20150.0,681800.0,225.0,13854947500.0,1469.0,20150.0,12900.0,20100.0,2700.0,113400.0,90700.0
