No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
176,20221230,CASA,715.0,0.0,725.0,705.0,720.0,290377300.0,5.0,206848040000.0,1793.0,720.0,426200.0,715.0,127300.0,2811400.0,10074000.0
176,20230102,CASA,720.0,0.0,735.0,710.0,720.0,240814400.0,0.0,173217548500.0,1944.0,725.0,151400.0,720.0,1234000.0,2056400.0,6254900.0
176,20230103,CASA,720.0,0.0,735.0,710.0,725.0,279787200.0,5.0,202991665500.0,1975.0,725.0,90800.0,720.0,214900.0,6668100.0,12796600.0
176,20230104,CASA,725.0,0.0,725.0,710.0,720.0,276010400.0,-5.0,197748538000.0,1743.0,720.0,17100.0,715.0,425300.0,5556200.0,7546700.0
176,20230105,CASA,720.0,0.0,720.0,700.0,710.0,310705100.0,-10.0,220192293500.0,2530.0,710.0,651900.0,705.0,671700.0,5200400.0,8520500.0
177,20230106,CASA,710.0,0.0,720.0,695.0,710.0,244391300.0,0.0,173194098500.0,1922.0,710.0,200100.0,705.0,190300.0,8003300.0,4832300.0
177,20230109,CASA,710.0,0.0,725.0,695.0,700.0,292100200.0,-10.0,206377389500.0,2363.0,705.0,967600.0,700.0,54300.0,6978600.0,3627800.0
177,20230110,CASA,700.0,0.0,705.0,685.0,705.0,288075900.0,5.0,200181578000.0,1881.0,705.0,328900.0,700.0,220600.0,11179100.0,4760000.0
178,20230111,CASA,705.0,0.0,710.0,690.0,700.0,313799200.0,-5.0,219513599000.0,1657.0,700.0,385900.0,695.0,655900.0,12466700.0,2893300.0
178,20230112,CASA,700.0,0.0,725.0,695.0,715.0,273658500.0,15.0,194598864500.0,1822.0,715.0,16100.0,710.0,249000.0,16674900.0,1712200.0
178,20230113,CASA,715.0,0.0,735.0,710.0,720.0,281080700.0,5.0,202897780500.0,1980.0,720.0,436600.0,715.0,20000.0,5943800.0,4724000.0
178,20230116,CASA,720.0,0.0,725.0,705.0,720.0,347349900.0,0.0,248170139000.0,1247.0,720.0,986900.0,715.0,336900.0,10006400.0,7210900.0
178,20230117,CASA,720.0,0.0,740.0,715.0,730.0,314743300.0,10.0,227537208500.0,2632.0,730.0,57000.0,725.0,205200.0,7437000.0,10351500.0
178,20230118,CASA,730.0,0.0,735.0,710.0,710.0,310850600.0,-20.0,225335901000.0,2348.0,715.0,168400.0,710.0,804400.0,8390300.0,12243500.0
178,20230119,CASA,710.0,0.0,730.0,705.0,730.0,356500000.0,20.0,254256784000.0,2685.0,730.0,434800.0,725.0,5600.0,10956500.0,2384900.0
178,20230120,CASA,730.0,0.0,745.0,720.0,735.0,276515300.0,5.0,202821267500.0,1923.0,735.0,714000.0,730.0,174900.0,10632000.0,3188200.0
178,20230124,CASA,735.0,0.0,740.0,725.0,740.0,81580900.0,5.0,59698130500.0,715.0,740.0,277200.0,735.0,761700.0,415400.0,2045300.0
178,20230125,CASA,740.0,0.0,745.0,725.0,740.0,107332700.0,0.0,78990033500.0,1201.0,745.0,584000.0,740.0,95900.0,2031600.0,7759400.0
178,20230126,CASA,740.0,0.0,755.0,730.0,740.0,84138500.0,0.0,62961478500.0,754.0,740.0,426300.0,735.0,98000.0,2502400.0,3136400.0
178,20230127,CASA,740.0,0.0,750.0,730.0,740.0,107369000.0,0.0,79425551000.0,837.0,740.0,210300.0,735.0,22400.0,1955200.0,4068400.0
178,20230130,CASA,740.0,0.0,750.0,735.0,740.0,96421400.0,0.0,71400900000.0,820.0,740.0,23600.0,735.0,525100.0,856300.0,2448200.0
178,20230131,CASA,740.0,0.0,740.0,725.0,730.0,94430500.0,-10.0,69198049500.0,979.0,735.0,599900.0,725.0,920400.0,354500.0,8983200.0
178,20230201,CASA,730.0,0.0,735.0,715.0,725.0,95958500.0,-5.0,69295939000.0,966.0,730.0,574300.0,725.0,28100.0,3750200.0,1794700.0
178,20230202,CASA,725.0,0.0,730.0,715.0,725.0,99185200.0,0.0,71547804000.0,1209.0,725.0,673200.0,720.0,1019900.0,1659100.0,363600.0
178,20230203,CASA,725.0,0.0,735.0,720.0,725.0,85951100.0,0.0,62482209000.0,1044.0,725.0,68900.0,720.0,40600.0,5277400.0,1937700.0
178,20230206,CASA,725.0,0.0,730.0,720.0,725.0,87033000.0,0.0,63011535500.0,1396.0,730.0,558300.0,720.0,600000.0,917600.0,3911900.0
