No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
177,20221230,CASH,136.0,0.0,145.0,123.0,136.0,1935500.0,0.0,254731400.0,295.0,136.0,476600.0,135.0,72200.0,0.0,0.0
177,20230102,CASH,136.0,0.0,143.0,131.0,135.0,413800.0,-1.0,55441000.0,162.0,135.0,103300.0,133.0,500.0,0.0,0.0
177,20230103,CASH,135.0,0.0,136.0,131.0,134.0,273300.0,-1.0,36291400.0,111.0,135.0,32000.0,134.0,77600.0,0.0,0.0
177,20230104,CASH,134.0,0.0,135.0,128.0,129.0,344000.0,-5.0,45309400.0,80.0,129.0,325700.0,128.0,19500.0,0.0,0.0
177,20230105,CASH,129.0,0.0,134.0,125.0,131.0,321600.0,2.0,41857500.0,76.0,131.0,255100.0,130.0,7400.0,0.0,0.0
178,20230106,CASH,131.0,0.0,132.0,122.0,123.0,449100.0,-8.0,55839300.0,200.0,124.0,50500.0,123.0,6700.0,0.0,0.0
178,20230109,CASH,123.0,0.0,124.0,111.0,117.0,2135200.0,-6.0,243906100.0,269.0,117.0,55200.0,112.0,65200.0,0.0,0.0
178,20230110,CASH,117.0,0.0,117.0,108.0,117.0,177100.0,0.0,19910200.0,77.0,117.0,59000.0,116.0,2800.0,0.0,0.0
179,20230111,CASH,117.0,0.0,126.0,109.0,121.0,459400.0,4.0,54719600.0,132.0,121.0,32800.0,117.0,8700.0,0.0,0.0
179,20230112,CASH,121.0,0.0,127.0,120.0,120.0,589800.0,-1.0,72760400.0,183.0,121.0,800.0,120.0,213000.0,0.0,0.0
179,20230113,CASH,120.0,0.0,129.0,117.0,124.0,150200.0,4.0,18367100.0,96.0,124.0,1300.0,120.0,83300.0,0.0,0.0
179,20230116,CASH,124.0,0.0,124.0,115.0,119.0,290600.0,-5.0,34827300.0,60.0,120.0,72000.0,119.0,2000.0,0.0,0.0
179,20230117,CASH,119.0,0.0,121.0,111.0,118.0,257700.0,-1.0,29552900.0,91.0,118.0,19200.0,113.0,500.0,0.0,0.0
179,20230118,CASH,118.0,0.0,119.0,114.0,118.0,120400.0,0.0,14045300.0,67.0,117.0,22900.0,115.0,4400.0,0.0,0.0
179,20230119,CASH,118.0,0.0,123.0,115.0,118.0,129900.0,0.0,15289700.0,49.0,118.0,33200.0,115.0,8100.0,0.0,0.0
179,20230120,CASH,118.0,0.0,118.0,107.0,110.0,2245300.0,-8.0,242326300.0,164.0,110.0,14600.0,107.0,7500.0,0.0,21900.0
179,20230124,CASH,110.0,0.0,110.0,99.0,99.0,3672200.0,-11.0,370328800.0,289.0,99.0,5500.0,0.0,0.0,0.0,0.0
