No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
187,20221230,CITA,3900.0,0.0,4080.0,3790.0,3870.0,42600.0,-30.0,165624000.0,62.0,3870.0,100.0,3850.0,100.0,0.0,32800.0
187,20230102,CITA,3870.0,0.0,3960.0,3710.0,3820.0,32500.0,-50.0,127338000.0,33.0,3810.0,100.0,3730.0,100.0,0.0,0.0
187,20230103,CITA,3820.0,0.0,3950.0,3770.0,3780.0,14900.0,-40.0,57413000.0,55.0,3840.0,100.0,3780.0,500.0,100.0,0.0
187,20230104,CITA,3780.0,0.0,3890.0,3540.0,3650.0,21500.0,-130.0,78084000.0,73.0,3690.0,100.0,3640.0,15900.0,1400.0,0.0
187,20230105,CITA,3650.0,0.0,3650.0,3400.0,3450.0,36900.0,-200.0,127177000.0,96.0,3490.0,300.0,0.0,0.0,0.0,0.0
189,20230106,CITA,3450.0,0.0,3460.0,3280.0,3460.0,9300.0,10.0,31008000.0,26.0,3460.0,5900.0,3280.0,4200.0,0.0,100.0
190,20230109,CITA,3460.0,0.0,3480.0,3460.0,3460.0,2600.0,0.0,9016000.0,10.0,3410.0,3800.0,3320.0,100.0,0.0,200.0
190,20230110,CITA,3460.0,0.0,3460.0,3340.0,3390.0,7400.0,-70.0,25100000.0,13.0,3390.0,200.0,3340.0,500.0,0.0,0.0
191,20230111,CITA,3390.0,0.0,3390.0,3180.0,3380.0,15100.0,-10.0,49826000.0,53.0,3380.0,200.0,3220.0,100.0,600.0,0.0
191,20230112,CITA,3380.0,0.0,3370.0,3200.0,3370.0,9800.0,-10.0,32222000.0,37.0,3370.0,1600.0,3250.0,1300.0,4000.0,100.0
191,20230113,CITA,3370.0,0.0,3270.0,3200.0,3250.0,8400.0,-120.0,27127000.0,24.0,3250.0,1000.0,3210.0,100.0,0.0,0.0
