No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
190,20221230,CLEO,498.0,0.0,610.0,496.0,555.0,165928200.0,57.0,93858115500.0,14613.0,555.0,449900.0,550.0,1632600.0,20562500.0,4035700.0
190,20230102,CLEO,555.0,0.0,560.0,520.0,530.0,23329700.0,-25.0,12361509000.0,2940.0,530.0,603000.0,525.0,1913300.0,625100.0,487200.0
190,20230103,CLEO,530.0,0.0,535.0,505.0,520.0,17892800.0,-10.0,9275834500.0,2318.0,520.0,106000.0,515.0,114100.0,2116200.0,604800.0
190,20230104,CLEO,520.0,0.0,520.0,492.0,494.0,14033900.0,-26.0,7032088400.0,1833.0,494.0,455600.0,492.0,384600.0,1314100.0,646900.0
190,20230105,CLEO,494.0,0.0,496.0,484.0,486.0,7520100.0,-8.0,3678972000.0,1391.0,486.0,20700.0,484.0,120800.0,1074300.0,469400.0
192,20230106,CLEO,486.0,0.0,490.0,480.0,484.0,4634400.0,-2.0,2245397200.0,924.0,484.0,121900.0,482.0,56100.0,1401500.0,402100.0
193,20230109,CLEO,484.0,0.0,490.0,480.0,490.0,7866200.0,6.0,3827737200.0,1982.0,490.0,148200.0,488.0,117100.0,1814400.0,41300.0
193,20230110,CLEO,490.0,0.0,490.0,458.0,460.0,14562800.0,-30.0,6804419400.0,1997.0,462.0,83000.0,460.0,196100.0,1806400.0,512900.0
194,20230111,CLEO,460.0,0.0,462.0,452.0,454.0,2104600.0,-6.0,957657600.0,775.0,456.0,126300.0,454.0,195000.0,789400.0,225700.0
194,20230112,CLEO,454.0,0.0,476.0,448.0,468.0,6215300.0,14.0,2874230400.0,1121.0,468.0,2900.0,466.0,53200.0,1241800.0,151600.0
194,20230113,CLEO,468.0,0.0,472.0,458.0,458.0,2985300.0,-10.0,1377843000.0,649.0,460.0,34200.0,458.0,1305900.0,810600.0,14700.0
194,20230116,CLEO,458.0,0.0,462.0,454.0,462.0,2156800.0,4.0,991714000.0,617.0,464.0,140400.0,462.0,2705400.0,350800.0,186000.0
194,20230117,CLEO,462.0,0.0,470.0,458.0,468.0,2846300.0,6.0,1321754800.0,827.0,468.0,338700.0,466.0,60000.0,662000.0,431800.0
194,20230118,CLEO,468.0,0.0,468.0,454.0,464.0,3001300.0,-4.0,1383630800.0,847.0,464.0,184500.0,460.0,115000.0,773100.0,11400.0
194,20230119,CLEO,464.0,0.0,466.0,460.0,466.0,2054300.0,2.0,952761000.0,585.0,468.0,91000.0,466.0,146200.0,430500.0,333900.0
194,20230120,CLEO,466.0,0.0,492.0,464.0,486.0,4984800.0,20.0,2386688800.0,1245.0,486.0,217300.0,484.0,44400.0,1063000.0,626000.0
194,20230124,CLEO,486.0,0.0,505.0,468.0,486.0,20746500.0,0.0,10168734300.0,3519.0,486.0,645400.0,484.0,700.0,5051200.0,308800.0
194,20230125,CLEO,486.0,0.0,486.0,470.0,474.0,5038200.0,-12.0,2388151600.0,1311.0,474.0,126100.0,472.0,265700.0,1838500.0,208300.0
194,20230126,CLEO,474.0,0.0,482.0,472.0,474.0,2873600.0,0.0,1365257800.0,766.0,476.0,59300.0,474.0,200800.0,830200.0,319900.0
194,20230127,CLEO,474.0,0.0,476.0,464.0,466.0,2766200.0,-8.0,1298392600.0,906.0,468.0,53000.0,466.0,149800.0,771700.0,93200.0
194,20230130,CLEO,466.0,0.0,470.0,464.0,466.0,1411000.0,0.0,658984200.0,535.0,468.0,50800.0,466.0,62400.0,358500.0,64300.0
194,20230131,CLEO,466.0,0.0,474.0,464.0,466.0,1011500.0,0.0,473188200.0,451.0,468.0,5300.0,466.0,4100.0,131700.0,89400.0
194,20230201,CLEO,466.0,0.0,468.0,462.0,462.0,2154400.0,-4.0,999377400.0,618.0,466.0,129400.0,462.0,751000.0,637600.0,398300.0
194,20230202,CLEO,462.0,0.0,472.0,462.0,468.0,1697900.0,6.0,794203200.0,456.0,468.0,144500.0,466.0,510900.0,819400.0,3300.0
194,20230203,CLEO,468.0,0.0,472.0,464.0,468.0,1976300.0,0.0,925857400.0,516.0,470.0,275700.0,468.0,375300.0,337600.0,6200.0
194,20230206,CLEO,468.0,0.0,470.0,462.0,466.0,1273400.0,-2.0,593923000.0,504.0,468.0,73300.0,466.0,30300.0,233300.0,3000.0
194,20230207,CLEO,466.0,0.0,468.0,462.0,468.0,1000100.0,2.0,465702600.0,359.0,468.0,120600.0,466.0,15600.0,132400.0,800.0
195,20230208,CLEO,468.0,0.0,470.0,464.0,470.0,1003300.0,2.0,469412600.0,356.0,470.0,18100.0,468.0,31900.0,142900.0,100.0
195,20230209,CLEO,470.0,0.0,472.0,466.0,468.0,777600.0,-2.0,364076600.0,286.0,470.0,62400.0,468.0,45800.0,190500.0,0.0
195,20230210,CLEO,468.0,0.0,468.0,460.0,466.0,1661300.0,-2.0,768438000.0,507.0,466.0,108500.0,464.0,200.0,315400.0,0.0
195,20230213,CLEO,466.0,0.0,466.0,460.0,460.0,1417500.0,-6.0,653350400.0,565.0,462.0,149700.0,460.0,458500.0,181200.0,300000.0
195,20230214,CLEO,460.0,0.0,466.0,440.0,462.0,1092500.0,2.0,504205000.0,363.0,464.0,56400.0,462.0,40100.0,129200.0,41300.0
195,20230215,CLEO,462.0,0.0,470.0,456.0,462.0,12008500.0,0.0,5583319600.0,816.0,462.0,252200.0,460.0,452600.0,1348700.0,100.0
195,20230216,CLEO,462.0,0.0,464.0,458.0,460.0,11614600.0,-2.0,5344178800.0,505.0,460.0,112200.0,458.0,372400.0,222500.0,6900.0
195,20230217,CLEO,460.0,0.0,464.0,458.0,462.0,11072200.0,2.0,5113360600.0,402.0,464.0,63700.0,462.0,700.0,120600.0,4000.0
195,20230220,CLEO,462.0,0.0,466.0,456.0,466.0,12608800.0,4.0,5844853400.0,653.0,466.0,31200.0,464.0,37300.0,855900.0,409800.0
195,20230221,CLEO,466.0,0.0,466.0,454.0,458.0,22969600.0,-8.0,10600221000.0,784.0,458.0,500.0,456.0,199500.0,2081400.0,12500.0
195,20230222,CLEO,458.0,0.0,458.0,452.0,456.0,21351200.0,-2.0,9775346200.0,513.0,456.0,131700.0,454.0,371500.0,243300.0,269800.0
195,20230223,CLEO,456.0,0.0,458.0,452.0,458.0,978500.0,2.0,445119000.0,434.0,458.0,139900.0,456.0,34000.0,130800.0,49900.0
195,20230224,CLEO,458.0,0.0,460.0,454.0,460.0,1064600.0,2.0,485736800.0,369.0,460.0,196400.0,458.0,257400.0,113900.0,0.0
195,20230227,CLEO,460.0,0.0,486.0,458.0,478.0,9407600.0,18.0,4477338600.0,2371.0,478.0,126500.0,476.0,85300.0,1129500.0,16900.0
195,20230228,CLEO,478.0,0.0,480.0,468.0,472.0,4157800.0,-6.0,1968257600.0,866.0,474.0,42300.0,472.0,266000.0,456000.0,4700.0
195,20230301,CLEO,472.0,0.0,480.0,470.0,470.0,2256700.0,-2.0,1072537000.0,627.0,472.0,1900.0,470.0,289300.0,247200.0,99700.0
195,20230302,CLEO,470.0,0.0,474.0,464.0,468.0,3375100.0,-2.0,1589414800.0,561.0,468.0,6300.0,466.0,153800.0,371000.0,9800.0
196,20230303,CLEO,468.0,0.0,468.0,460.0,462.0,1844500.0,-6.0,854596600.0,609.0,464.0,15300.0,462.0,5000.0,218300.0,108900.0
196,20230306,CLEO,462.0,0.0,468.0,456.0,466.0,3135600.0,4.0,1444998400.0,610.0,466.0,11000.0,464.0,12200.0,393500.0,139400.0
196,20230307,CLEO,466.0,0.0,468.0,462.0,466.0,802200.0,0.0,371756600.0,307.0,466.0,48100.0,464.0,33300.0,141000.0,87500.0
196,20230308,CLEO,466.0,0.0,464.0,454.0,460.0,2116900.0,-6.0,969219000.0,668.0,462.0,57400.0,460.0,42500.0,429200.0,554500.0
196,20230309,CLEO,460.0,0.0,464.0,456.0,462.0,921900.0,2.0,424767600.0,350.0,462.0,1400.0,460.0,202200.0,153100.0,187100.0
196,20230310,CLEO,462.0,0.0,462.0,454.0,460.0,750700.0,-2.0,344696600.0,250.0,462.0,51900.0,458.0,151900.0,160400.0,246200.0
196,20230313,CLEO,460.0,0.0,462.0,454.0,462.0,787700.0,2.0,361106600.0,268.0,462.0,66200.0,460.0,21900.0,161100.0,163000.0
196,20230314,CLEO,462.0,0.0,462.0,454.0,460.0,1153500.0,-2.0,527443600.0,345.0,460.0,249600.0,458.0,96600.0,245600.0,275800.0
196,20230315,CLEO,460.0,0.0,464.0,456.0,458.0,1038700.0,-2.0,476733600.0,305.0,460.0,227400.0,458.0,63600.0,250500.0,309400.0
196,20230316,CLEO,458.0,0.0,460.0,452.0,456.0,2183400.0,-2.0,992393600.0,450.0,458.0,170300.0,456.0,20600.0,299400.0,422700.0
196,20230317,CLEO,456.0,0.0,460.0,456.0,460.0,954300.0,4.0,437135200.0,224.0,460.0,114600.0,458.0,183600.0,144800.0,216500.0
196,20230320,CLEO,460.0,0.0,462.0,452.0,456.0,950400.0,-4.0,433738400.0,267.0,458.0,1200.0,456.0,63800.0,122800.0,223100.0
196,20230321,CLEO,456.0,0.0,474.0,456.0,470.0,2228900.0,14.0,1036634200.0,484.0,470.0,126900.0,466.0,38500.0,234900.0,412500.0
196,20230324,CLEO,470.0,0.0,474.0,466.0,474.0,1349700.0,4.0,637132000.0,600.0,474.0,143500.0,472.0,81000.0,146300.0,496600.0
196,20230327,CLEO,474.0,0.0,478.0,472.0,472.0,1744200.0,-2.0,827012800.0,558.0,474.0,19900.0,472.0,179700.0,206600.0,442100.0
196,20230328,CLEO,472.0,0.0,478.0,464.0,474.0,1411300.0,2.0,669047600.0,376.0,476.0,39900.0,474.0,64000.0,182200.0,453900.0
196,20230329,CLEO,474.0,0.0,480.0,474.0,476.0,1021300.0,2.0,486488400.0,337.0,478.0,148500.0,476.0,150600.0,197900.0,169600.0
196,20230330,CLEO,476.0,0.0,480.0,474.0,476.0,1428900.0,0.0,681761600.0,517.0,478.0,586600.0,474.0,5600.0,225500.0,393800.0
196,20230331,CLEO,476.0,0.0,478.0,466.0,472.0,1261300.0,-4.0,594909000.0,539.0,474.0,10000.0,472.0,25000.0,121400.0,505800.0
196,20230403,CLEO,472.0,0.0,478.0,466.0,470.0,820300.0,-2.0,385408400.0,459.0,472.0,46000.0,470.0,88800.0,101700.0,277800.0
196,20230404,CLEO,470.0,0.0,474.0,464.0,474.0,11759600.0,4.0,5525140000.0,539.0,476.0,52100.0,474.0,71200.0,278100.0,1091300.0
196,20230405,CLEO,474.0,0.0,478.0,472.0,474.0,4050600.0,0.0,1924802000.0,461.0,476.0,131900.0,474.0,263600.0,517600.0,511100.0
196,20230406,CLEO,474.0,0.0,476.0,470.0,474.0,14857100.0,0.0,7041223800.0,442.0,476.0,257700.0,474.0,647000.0,525600.0,1381300.0
196,20230410,CLEO,474.0,0.0,478.0,472.0,476.0,15666700.0,2.0,7434825000.0,465.0,476.0,98900.0,474.0,3273900.0,761400.0,702700.0
196,20230411,CLEO,476.0,0.0,478.0,472.0,476.0,8725500.0,0.0,4136222600.0,235.0,476.0,110800.0,474.0,93900.0,368900.0,389200.0
196,20230412,CLEO,476.0,0.0,476.0,468.0,470.0,1431400.0,-6.0,675091000.0,514.0,472.0,100.0,470.0,60100.0,276600.0,715200.0
196,20230413,CLEO,470.0,0.0,476.0,464.0,474.0,9552000.0,4.0,4457479200.0,472.0,476.0,126100.0,474.0,164800.0,300400.0,1024100.0
196,20230414,CLEO,474.0,0.0,476.0,466.0,470.0,9420400.0,-4.0,4430273400.0,375.0,470.0,8100.0,468.0,22000.0,443300.0,5300.0
196,20230417,CLEO,470.0,0.0,478.0,468.0,474.0,1131900.0,4.0,536147000.0,344.0,474.0,69800.0,472.0,1200.0,273000.0,581000.0
197,20230418,CLEO,474.0,0.0,484.0,468.0,476.0,2124300.0,2.0,1013139000.0,452.0,478.0,23800.0,476.0,15400.0,340000.0,170100.0
197,20230426,CLEO,476.0,0.0,486.0,468.0,484.0,11756400.0,8.0,5613927200.0,737.0,484.0,80000.0,482.0,2000.0,1004400.0,667200.0
197,20230427,CLEO,484.0,0.0,488.0,478.0,484.0,12289000.0,0.0,5950926000.0,740.0,484.0,27400.0,482.0,62900.0,1232800.0,38100.0
197,20230428,CLEO,484.0,0.0,510.0,482.0,505.0,5520300.0,21.0,2758346900.0,1216.0,505.0,93400.0,500.0,149900.0,659400.0,1363400.0
197,20230502,CLEO,505.0,0.0,540.0,500.0,530.0,10143900.0,25.0,5333117000.0,1831.0,530.0,119300.0,525.0,151500.0,1260000.0,2167000.0
197,20230503,CLEO,530.0,0.0,550.0,510.0,545.0,8568400.0,15.0,4574223500.0,1533.0,545.0,215600.0,540.0,119700.0,889800.0,1081500.0
197,20230504,CLEO,545.0,0.0,585.0,535.0,560.0,20006000.0,15.0,11258119500.0,2432.0,565.0,704100.0,560.0,580200.0,945000.0,4472200.0
197,20230505,CLEO,560.0,0.0,570.0,525.0,525.0,17369000.0,-35.0,9318671500.0,2139.0,530.0,500.0,525.0,985100.0,1196300.0,6351200.0
197,20230508,CLEO,525.0,0.0,545.0,500.0,530.0,5005000.0,5.0,2625765000.0,1109.0,535.0,152600.0,530.0,3800.0,101300.0,985100.0
197,20230509,CLEO,530.0,0.0,550.0,515.0,550.0,3235000.0,20.0,1732119000.0,847.0,550.0,131500.0,545.0,53300.0,119400.0,797000.0
197,20230510,CLEO,550.0,0.0,555.0,540.0,545.0,2887500.0,-5.0,1574332500.0,661.0,550.0,542200.0,545.0,515800.0,103000.0,991000.0
197,20230511,CLEO,545.0,0.0,565.0,540.0,550.0,5355200.0,5.0,2958250000.0,848.0,550.0,40800.0,545.0,341400.0,221400.0,1522400.0
197,20230512,CLEO,550.0,0.0,600.0,545.0,590.0,24150500.0,40.0,14144645500.0,3895.0,595.0,667700.0,590.0,104600.0,1327700.0,2062200.0
197,20230515,CLEO,590.0,0.0,625.0,595.0,620.0,16392700.0,30.0,10072907000.0,3279.0,620.0,1919200.0,615.0,300000.0,718500.0,3097100.0
197,20230516,CLEO,620.0,0.0,630.0,580.0,580.0,11729900.0,-40.0,6995132500.0,2480.0,585.0,11100.0,580.0,818600.0,788100.0,2775600.0
197,20230517,CLEO,580.0,0.0,620.0,565.0,590.0,7099400.0,10.0,4285165500.0,1703.0,595.0,46600.0,590.0,3600.0,621100.0,1222600.0
197,20230519,CLEO,590.0,0.0,605.0,580.0,590.0,3186600.0,0.0,1882011000.0,828.0,595.0,117400.0,590.0,1300.0,221600.0,20000.0
197,20230522,CLEO,590.0,0.0,600.0,575.0,590.0,3707200.0,0.0,2168883000.0,905.0,595.0,113000.0,590.0,405400.0,28300.0,161800.0
197,20230523,CLEO,590.0,0.0,610.0,590.0,605.0,3311400.0,15.0,1993583500.0,1004.0,610.0,332200.0,605.0,6800.0,203600.0,340600.0
197,20230524,CLEO,605.0,0.0,610.0,585.0,585.0,3703800.0,-20.0,2204399500.0,836.0,590.0,1100.0,585.0,45200.0,1499300.0,463400.0
197,20230525,CLEO,585.0,0.0,580.0,560.0,570.0,4352900.0,-15.0,2481982500.0,1269.0,570.0,172400.0,565.0,232000.0,13100.0,529400.0
197,20230526,CLEO,570.0,0.0,585.0,565.0,575.0,2123400.0,5.0,1221428000.0,546.0,575.0,30500.0,570.0,189400.0,4500.0,428600.0
197,20230529,CLEO,575.0,0.0,580.0,535.0,535.0,9131700.0,-40.0,4954531500.0,1515.0,535.0,2537900.0,0.0,0.0,923100.0,152700.0
197,20230530,CLEO,535.0,0.0,540.0,500.0,525.0,7875200.0,-10.0,4068062000.0,1617.0,530.0,82600.0,525.0,56800.0,154100.0,2303300.0
197,20230531,CLEO,525.0,0.0,535.0,510.0,515.0,2671000.0,-10.0,1386773500.0,828.0,515.0,98500.0,510.0,426000.0,257500.0,263900.0
197,20230605,CLEO,515.0,0.0,565.0,505.0,555.0,6625700.0,40.0,3595510500.0,1655.0,555.0,41700.0,550.0,134000.0,717300.0,2181600.0
197,20230606,CLEO,555.0,0.0,570.0,545.0,550.0,5327200.0,-5.0,2974793500.0,1230.0,555.0,2600.0,550.0,51800.0,1633600.0,283400.0
197,20230607,CLEO,550.0,0.0,565.0,545.0,555.0,3757300.0,5.0,2084516500.0,643.0,555.0,1500.0,550.0,27600.0,487900.0,564600.0
197,20230608,CLEO,555.0,0.0,585.0,550.0,580.0,5876000.0,25.0,3374810500.0,1108.0,580.0,242200.0,575.0,34900.0,112700.0,1849600.0
197,20230609,CLEO,580.0,0.0,585.0,555.0,560.0,4495300.0,-20.0,2548193000.0,1163.0,565.0,98300.0,560.0,2200.0,1901900.0,134600.0
197,20230612,CLEO,560.0,0.0,565.0,545.0,550.0,2691100.0,-10.0,1486043500.0,833.0,555.0,286500.0,550.0,111700.0,185000.0,114500.0
197,20230613,CLEO,550.0,0.0,550.0,530.0,540.0,2910300.0,-10.0,1574735000.0,899.0,545.0,28600.0,540.0,3000.0,183500.0,6100.0
197,20230614,CLEO,540.0,0.0,570.0,540.0,570.0,3887900.0,30.0,2162531500.0,925.0,570.0,131300.0,565.0,19100.0,177100.0,651300.0
197,20230615,CLEO,570.0,0.0,575.0,550.0,555.0,4282500.0,-15.0,2403544500.0,1195.0,560.0,103300.0,550.0,332900.0,2247300.0,4400.0
197,20230616,CLEO,555.0,0.0,560.0,540.0,545.0,3051500.0,-10.0,1670115500.0,654.0,545.0,500.0,540.0,328200.0,1115600.0,1400.0
197,20230619,CLEO,545.0,0.0,555.0,540.0,555.0,2659800.0,10.0,1454059500.0,477.0,555.0,34500.0,550.0,20000.0,738600.0,113300.0
197,20230620,CLEO,555.0,0.0,555.0,535.0,535.0,4020400.0,-20.0,2192060000.0,805.0,540.0,40600.0,535.0,74600.0,1290200.0,4300.0
197,20230621,CLEO,535.0,0.0,550.0,535.0,550.0,4191800.0,15.0,2273149000.0,721.0,550.0,254500.0,545.0,4800.0,1313600.0,214900.0
197,20230622,CLEO,550.0,0.0,550.0,540.0,550.0,2687500.0,0.0,1467371500.0,444.0,550.0,218500.0,545.0,35200.0,589600.0,8200.0
197,20230623,CLEO,550.0,0.0,595.0,545.0,590.0,15993600.0,40.0,9263321500.0,3137.0,595.0,387500.0,590.0,385600.0,1595900.0,3479800.0
197,20230626,CLEO,590.0,0.0,605.0,575.0,575.0,8612000.0,-15.0,5073447500.0,2237.0,580.0,6500.0,575.0,55600.0,1950200.0,285200.0
