No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
192,20221230,CMNP,1890.0,0.0,2200.0,1885.0,2190.0,170200.0,300.0,357592000.0,89.0,2190.0,377800.0,2180.0,200.0,1300.0,1000.0
192,20230102,CMNP,2190.0,0.0,2190.0,2040.0,2040.0,12800.0,-150.0,26352000.0,40.0,2040.0,46100.0,0.0,0.0,0.0,0.0
192,20230103,CMNP,2040.0,0.0,2040.0,1900.0,1900.0,60100.0,-140.0,114624000.0,61.0,1945.0,200.0,1900.0,600.0,100.0,0.0
192,20230104,CMNP,1900.0,0.0,1910.0,1850.0,1910.0,10500.0,10.0,19763500.0,30.0,1910.0,2400.0,1860.0,400.0,0.0,100.0
192,20230105,CMNP,1910.0,0.0,2020.0,1860.0,1940.0,38400.0,30.0,74433500.0,85.0,1940.0,900.0,1920.0,100.0,0.0,28000.0
194,20230106,CMNP,1940.0,0.0,1925.0,1880.0,1920.0,6200.0,-20.0,11762500.0,20.0,1920.0,10900.0,1890.0,100.0,0.0,100.0
195,20230109,CMNP,1920.0,0.0,1920.0,1895.0,1900.0,33100.0,-20.0,62925000.0,138.0,1900.0,330700.0,1870.0,1100.0,0.0,31200.0
195,20230110,CMNP,1900.0,0.0,1900.0,1875.0,1885.0,36200.0,-15.0,68317000.0,169.0,1885.0,33800.0,1880.0,1800.0,0.0,32600.0
196,20230111,CMNP,1885.0,0.0,1900.0,1880.0,1880.0,2900.0,-5.0,5457500.0,11.0,1880.0,100.0,1875.0,2000.0,0.0,0.0
196,20230112,CMNP,1880.0,0.0,1875.0,1825.0,1825.0,21600.0,-55.0,39468500.0,22.0,1825.0,4200.0,1820.0,700.0,0.0,0.0
196,20230113,CMNP,1825.0,0.0,1895.0,1860.0,1895.0,3100.0,70.0,5843500.0,9.0,1890.0,3500.0,1835.0,6700.0,0.0,0.0
196,20230116,CMNP,1895.0,0.0,1895.0,1765.0,1870.0,15000.0,-25.0,27880000.0,37.0,1870.0,1900.0,1865.0,100.0,300.0,0.0
196,20230117,CMNP,1870.0,0.0,1995.0,1865.0,1980.0,41900.0,110.0,81147500.0,208.0,1980.0,1000.0,1885.0,100.0,100.0,39200.0
196,20230118,CMNP,1980.0,0.0,1975.0,1920.0,1920.0,5000.0,-60.0,9777500.0,15.0,1930.0,100.0,1910.0,500.0,0.0,2100.0
196,20230119,CMNP,1920.0,0.0,1910.0,1900.0,1900.0,6600.0,-20.0,12541000.0,9.0,1900.0,32400.0,1850.0,800.0,0.0,0.0
196,20230120,CMNP,1900.0,0.0,1945.0,1880.0,1880.0,7800.0,-20.0,14904000.0,17.0,1880.0,4800.0,1870.0,100.0,0.0,0.0
196,20230124,CMNP,1880.0,0.0,1885.0,1880.0,1885.0,4100.0,5.0,7723500.0,18.0,1885.0,12000.0,1880.0,3500.0,0.0,0.0
196,20230125,CMNP,1885.0,0.0,1900.0,1885.0,1890.0,9100.0,5.0,17209000.0,25.0,1900.0,114600.0,1885.0,1700.0,100.0,0.0
196,20230126,CMNP,1890.0,0.0,1890.0,1880.0,1880.0,7000.0,-10.0,13197500.0,15.0,1885.0,4600.0,1880.0,1400.0,0.0,0.0
196,20230127,CMNP,1880.0,0.0,1925.0,1870.0,1925.0,27800.0,45.0,53004000.0,42.0,1925.0,12800.0,1870.0,2600.0,0.0,16800.0
196,20230130,CMNP,1925.0,0.0,1935.0,1880.0,1910.0,30900.0,-15.0,58488500.0,30.0,1910.0,3700.0,1885.0,1500.0,200.0,100.0
196,20230131,CMNP,1910.0,0.0,1915.0,1880.0,1885.0,9500.0,-25.0,17918500.0,32.0,1885.0,14400.0,1880.0,200.0,0.0,0.0
196,20230201,CMNP,1885.0,0.0,1885.0,1850.0,1885.0,20400.0,0.0,38397000.0,24.0,1885.0,1300.0,1860.0,1300.0,0.0,14000.0
196,20230202,CMNP,1885.0,0.0,1900.0,1860.0,1870.0,9700.0,-15.0,18160500.0,27.0,1870.0,12500.0,1865.0,500.0,0.0,300.0
196,20230203,CMNP,1870.0,0.0,1870.0,1855.0,1860.0,23400.0,-10.0,43623000.0,44.0,1860.0,1400.0,1855.0,1700.0,0.0,0.0
196,20230206,CMNP,1860.0,0.0,1865.0,1845.0,1850.0,15100.0,-10.0,27948500.0,25.0,1850.0,2000.0,1840.0,2800.0,0.0,0.0
196,20230207,CMNP,1850.0,0.0,1865.0,1850.0,1855.0,6200.0,5.0,11492500.0,17.0,1865.0,12800.0,1855.0,1000.0,0.0,0.0
197,20230208,CMNP,1855.0,0.0,1865.0,1850.0,1855.0,4500.0,0.0,8351500.0,17.0,1855.0,1900.0,1850.0,500.0,0.0,0.0
