No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
193,20221230,CMNT,890.0,0.0,905.0,890.0,905.0,29105600.0,15.0,26224490500.0,1279.0,905.0,195100.0,900.0,108600.0,357600.0,7800.0
193,20230102,CMNT,905.0,0.0,915.0,895.0,905.0,33742600.0,0.0,30448627500.0,1182.0,905.0,343500.0,900.0,106500.0,377900.0,268600.0
193,20230103,CMNT,905.0,0.0,910.0,895.0,910.0,32616100.0,5.0,29463140000.0,1328.0,910.0,654300.0,905.0,107100.0,187700.0,101000.0
193,20230104,CMNT,910.0,0.0,915.0,890.0,900.0,19013500.0,-10.0,17084553000.0,592.0,900.0,418400.0,895.0,151900.0,2834300.0,8800.0
193,20230105,CMNT,900.0,0.0,900.0,880.0,900.0,29580700.0,0.0,26260881000.0,951.0,900.0,503500.0,895.0,224900.0,997200.0,645900.0
195,20230106,CMNT,900.0,0.0,910.0,890.0,900.0,28621200.0,0.0,25609443500.0,918.0,900.0,566500.0,895.0,124500.0,1112900.0,774200.0
196,20230109,CMNT,900.0,0.0,900.0,890.0,900.0,33049300.0,0.0,29537852500.0,1215.0,900.0,602000.0,895.0,117400.0,791300.0,286400.0
196,20230110,CMNT,900.0,0.0,905.0,890.0,900.0,36540300.0,0.0,32721757500.0,1214.0,900.0,214200.0,895.0,261000.0,850100.0,1877200.0
197,20230111,CMNT,900.0,0.0,910.0,890.0,900.0,33562700.0,0.0,30069666500.0,1113.0,900.0,658000.0,895.0,311600.0,854200.0,774800.0
197,20230112,CMNT,900.0,0.0,905.0,895.0,900.0,28997400.0,0.0,25988020000.0,1102.0,900.0,507200.0,895.0,194900.0,692600.0,41700.0
197,20230113,CMNT,900.0,0.0,905.0,890.0,900.0,29180500.0,0.0,26116538500.0,1025.0,900.0,463600.0,895.0,236700.0,420500.0,13000.0
197,20230116,CMNT,900.0,0.0,900.0,885.0,895.0,28427400.0,-5.0,25230745500.0,780.0,895.0,1194500.0,890.0,140400.0,1600400.0,900.0
197,20230117,CMNT,895.0,0.0,900.0,890.0,895.0,33466700.0,0.0,29857307500.0,826.0,895.0,582900.0,890.0,101700.0,3100.0,217500.0
197,20230118,CMNT,895.0,0.0,900.0,890.0,895.0,34507000.0,0.0,30798181500.0,1107.0,895.0,406300.0,890.0,184500.0,449600.0,175000.0
197,20230119,CMNT,895.0,0.0,915.0,895.0,915.0,47008200.0,20.0,42632172500.0,1547.0,915.0,788800.0,910.0,149100.0,77100.0,1345000.0
197,20230120,CMNT,915.0,0.0,920.0,905.0,915.0,33529900.0,0.0,30625752000.0,914.0,915.0,279900.0,910.0,309100.0,274200.0,434300.0
197,20230124,CMNT,915.0,0.0,925.0,890.0,900.0,33338100.0,-15.0,29963768000.0,1416.0,900.0,349200.0,895.0,131500.0,3843100.0,448800.0
197,20230125,CMNT,900.0,0.0,900.0,880.0,900.0,28530400.0,0.0,25296874000.0,1004.0,900.0,1188800.0,895.0,102300.0,1677100.0,819400.0
197,20230126,CMNT,900.0,0.0,900.0,885.0,900.0,28155300.0,0.0,25212967000.0,706.0,900.0,443100.0,895.0,256700.0,1607800.0,984200.0
197,20230127,CMNT,900.0,0.0,900.0,885.0,895.0,31342600.0,-5.0,27980148500.0,801.0,895.0,586500.0,890.0,50100.0,1769200.0,354400.0
