No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
200,20221230,COCO,262.0,0.0,278.0,262.0,268.0,192000.0,6.0,51352000.0,50.0,268.0,3200.0,266.0,1300.0,0.0,0.0
200,20230102,COCO,268.0,0.0,268.0,262.0,268.0,87600.0,0.0,23164800.0,37.0,268.0,300.0,266.0,900.0,0.0,0.0
200,20230103,COCO,268.0,0.0,270.0,264.0,270.0,22600.0,2.0,6020200.0,18.0,270.0,17500.0,266.0,2700.0,0.0,12300.0
200,20230104,COCO,270.0,0.0,270.0,270.0,270.0,1400.0,0.0,378000.0,11.0,270.0,2400.0,268.0,500.0,0.0,0.0
200,20230105,COCO,270.0,0.0,268.0,262.0,268.0,113700.0,-2.0,30402000.0,25.0,268.0,540700.0,262.0,14300.0,0.0,0.0
202,20230106,COCO,268.0,0.0,266.0,262.0,262.0,40700.0,-6.0,10718400.0,29.0,264.0,8100.0,262.0,1000.0,0.0,0.0
203,20230109,COCO,262.0,0.0,268.0,262.0,264.0,13500.0,2.0,3565000.0,13.0,264.0,8600.0,262.0,200.0,0.0,0.0
203,20230110,COCO,264.0,0.0,264.0,260.0,262.0,35100.0,-2.0,9191200.0,17.0,264.0,22000.0,262.0,5900.0,0.0,0.0
204,20230111,COCO,262.0,0.0,262.0,244.0,244.0,83100.0,-18.0,20765400.0,53.0,244.0,481300.0,0.0,0.0,0.0,0.0
204,20230112,COCO,244.0,0.0,266.0,228.0,228.0,568700.0,-16.0,130812600.0,243.0,234.0,1000.0,0.0,0.0,0.0,1500.0
204,20230113,COCO,228.0,0.0,230.0,214.0,214.0,507900.0,-14.0,109216600.0,108.0,214.0,119700.0,0.0,0.0,0.0,0.0
204,20230116,COCO,214.0,0.0,216.0,200.0,208.0,105000.0,-6.0,21751000.0,139.0,208.0,17700.0,206.0,2100.0,0.0,0.0
204,20230117,COCO,208.0,0.0,232.0,202.0,210.0,254000.0,2.0,55642200.0,192.0,218.0,500.0,210.0,17000.0,0.0,0.0
204,20230118,COCO,210.0,0.0,220.0,210.0,212.0,75400.0,2.0,16026400.0,30.0,216.0,3500.0,212.0,16100.0,0.0,0.0
204,20230119,COCO,212.0,0.0,214.0,212.0,212.0,69500.0,0.0,14734600.0,15.0,216.0,6000.0,212.0,38500.0,0.0,0.0
204,20230120,COCO,212.0,0.0,216.0,210.0,216.0,93900.0,4.0,20273200.0,17.0,216.0,15200.0,212.0,2000.0,0.0,0.0
204,20230124,COCO,216.0,0.0,244.0,216.0,228.0,1028700.0,12.0,241164600.0,572.0,228.0,195000.0,226.0,900.0,0.0,0.0
204,20230125,COCO,228.0,0.0,250.0,226.0,228.0,248300.0,0.0,58463600.0,173.0,232.0,8400.0,228.0,32400.0,400.0,0.0
204,20230126,COCO,228.0,0.0,246.0,226.0,230.0,306100.0,2.0,71033200.0,132.0,234.0,700.0,230.0,92100.0,1100.0,0.0
204,20230127,COCO,230.0,0.0,240.0,230.0,238.0,68500.0,8.0,16267200.0,55.0,240.0,3700.0,238.0,53200.0,50000.0,0.0
204,20230130,COCO,238.0,0.0,244.0,238.0,244.0,77400.0,6.0,18751400.0,50.0,244.0,13700.0,242.0,52100.0,0.0,0.0
204,20230131,COCO,244.0,0.0,244.0,234.0,236.0,167100.0,-8.0,39739800.0,33.0,236.0,400.0,234.0,15100.0,0.0,0.0
204,20230201,COCO,236.0,0.0,236.0,226.0,228.0,141400.0,-8.0,32265600.0,51.0,228.0,56500.0,226.0,15500.0,0.0,0.0
204,20230202,COCO,228.0,0.0,232.0,226.0,226.0,12100.0,-2.0,2758400.0,20.0,230.0,3400.0,226.0,17700.0,0.0,0.0
204,20230203,COCO,226.0,0.0,234.0,230.0,234.0,29900.0,8.0,6896200.0,26.0,234.0,3200.0,230.0,90200.0,0.0,0.0
204,20230206,COCO,234.0,0.0,234.0,230.0,234.0,9800.0,0.0,2267800.0,23.0,234.0,8700.0,230.0,25500.0,0.0,0.0
204,20230207,COCO,234.0,0.0,240.0,234.0,238.0,16900.0,4.0,4012400.0,19.0,240.0,3000.0,238.0,2500.0,0.0,0.0
205,20230208,COCO,238.0,0.0,248.0,234.0,234.0,115100.0,-4.0,27824400.0,110.0,234.0,4700.0,232.0,20200.0,0.0,0.0
205,20230209,COCO,234.0,0.0,238.0,232.0,232.0,7400.0,-2.0,1729200.0,19.0,238.0,600.0,232.0,9200.0,0.0,0.0
205,20230210,COCO,232.0,0.0,234.0,230.0,230.0,7400.0,-2.0,1716800.0,14.0,234.0,21000.0,230.0,31300.0,0.0,0.0
205,20230213,COCO,230.0,0.0,232.0,228.0,232.0,56200.0,2.0,12925000.0,17.0,230.0,1200.0,228.0,2400.0,0.0,0.0
205,20230214,COCO,232.0,0.0,236.0,232.0,232.0,36200.0,0.0,8399600.0,15.0,236.0,105700.0,228.0,300.0,0.0,0.0
205,20230215,COCO,232.0,0.0,234.0,226.0,230.0,27200.0,-2.0,6208200.0,31.0,230.0,300.0,228.0,100.0,0.0,0.0
205,20230216,COCO,230.0,0.0,246.0,218.0,234.0,181500.0,4.0,42414000.0,206.0,234.0,2500.0,232.0,600.0,0.0,100.0
205,20230217,COCO,234.0,0.0,234.0,228.0,228.0,12700.0,-6.0,2897200.0,16.0,230.0,2200.0,228.0,13200.0,0.0,0.0
205,20230220,COCO,228.0,0.0,228.0,224.0,224.0,33200.0,-4.0,7541400.0,20.0,228.0,45500.0,224.0,7800.0,0.0,0.0
205,20230221,COCO,224.0,0.0,226.0,220.0,220.0,40700.0,-4.0,9106800.0,30.0,226.0,200.0,220.0,43400.0,0.0,0.0
205,20230222,COCO,220.0,0.0,248.0,220.0,222.0,260600.0,2.0,62082800.0,256.0,226.0,17200.0,222.0,300.0,0.0,0.0
205,20230223,COCO,222.0,0.0,238.0,220.0,224.0,72900.0,2.0,16706600.0,137.0,230.0,3000.0,224.0,3300.0,0.0,0.0
205,20230224,COCO,224.0,0.0,240.0,222.0,224.0,49200.0,0.0,11250200.0,60.0,226.0,4300.0,224.0,1900.0,0.0,0.0
205,20230227,COCO,224.0,0.0,230.0,222.0,228.0,65400.0,4.0,14698600.0,35.0,230.0,2300.0,228.0,3700.0,0.0,0.0
205,20230228,COCO,228.0,0.0,238.0,222.0,222.0,163200.0,-6.0,37649000.0,100.0,230.0,2600.0,222.0,53000.0,0.0,0.0
205,20230301,COCO,222.0,0.0,228.0,222.0,228.0,29500.0,6.0,6628400.0,19.0,228.0,10800.0,226.0,8600.0,0.0,0.0
205,20230302,COCO,228.0,0.0,228.0,224.0,228.0,21600.0,0.0,4843200.0,15.0,228.0,14700.0,224.0,7000.0,0.0,0.0
206,20230303,COCO,228.0,0.0,228.0,226.0,226.0,18400.0,-2.0,4159000.0,11.0,230.0,6000.0,226.0,19400.0,0.0,0.0
206,20230306,COCO,226.0,0.0,230.0,222.0,222.0,10700.0,-4.0,2413000.0,11.0,230.0,21800.0,222.0,10300.0,0.0,0.0
206,20230307,COCO,222.0,0.0,234.0,218.0,228.0,65600.0,6.0,14872400.0,89.0,228.0,12000.0,220.0,2000.0,0.0,0.0
206,20230308,COCO,228.0,0.0,228.0,220.0,222.0,13100.0,-6.0,2913600.0,30.0,222.0,300.0,220.0,27100.0,0.0,0.0
206,20230309,COCO,222.0,0.0,226.0,218.0,224.0,17700.0,2.0,3910400.0,20.0,224.0,2700.0,222.0,300.0,0.0,0.0
206,20230310,COCO,224.0,0.0,224.0,216.0,218.0,4300.0,-6.0,939600.0,16.0,224.0,1400.0,218.0,500.0,0.0,0.0
206,20230313,COCO,218.0,0.0,220.0,216.0,220.0,13900.0,2.0,3043600.0,27.0,220.0,15500.0,218.0,1000.0,0.0,0.0
206,20230314,COCO,220.0,0.0,222.0,218.0,218.0,105700.0,-2.0,23245400.0,19.0,220.0,500.0,218.0,5300.0,0.0,0.0
206,20230315,COCO,218.0,0.0,240.0,214.0,226.0,93200.0,8.0,21317800.0,148.0,222.0,2000.0,218.0,5000.0,0.0,0.0
206,20230316,COCO,226.0,0.0,224.0,220.0,220.0,3800.0,-6.0,844000.0,12.0,224.0,1000.0,220.0,5400.0,0.0,0.0
206,20230317,COCO,220.0,0.0,220.0,214.0,218.0,2100.0,-2.0,459000.0,7.0,224.0,500.0,218.0,4100.0,0.0,0.0
206,20230320,COCO,218.0,0.0,232.0,216.0,216.0,17800.0,-2.0,3955200.0,25.0,226.0,1300.0,216.0,1800.0,0.0,0.0
206,20230321,COCO,216.0,0.0,238.0,216.0,226.0,88500.0,10.0,20522200.0,77.0,234.0,600.0,226.0,1400.0,0.0,0.0
206,20230324,COCO,226.0,0.0,234.0,228.0,230.0,17800.0,4.0,4078000.0,27.0,232.0,4600.0,230.0,2500.0,0.0,0.0
206,20230327,COCO,230.0,0.0,230.0,220.0,228.0,4000.0,-2.0,901600.0,16.0,226.0,500.0,222.0,1000.0,0.0,0.0
206,20230328,COCO,228.0,0.0,228.0,228.0,228.0,500.0,0.0,114000.0,3.0,228.0,22500.0,222.0,500.0,0.0,0.0
206,20230329,COCO,228.0,0.0,270.0,218.0,266.0,749600.0,38.0,189445000.0,307.0,266.0,9000.0,264.0,700.0,3700.0,49200.0
206,20230330,COCO,266.0,0.0,266.0,248.0,264.0,269900.0,-2.0,69517200.0,117.0,266.0,39800.0,264.0,2100.0,45500.0,8300.0
206,20230331,COCO,264.0,0.0,264.0,246.0,260.0,44300.0,-4.0,11043000.0,37.0,260.0,18300.0,252.0,1000.0,0.0,10600.0
206,20230403,COCO,260.0,0.0,258.0,242.0,248.0,54900.0,-12.0,13748600.0,46.0,254.0,4000.0,244.0,3500.0,0.0,0.0
206,20230404,COCO,248.0,0.0,260.0,242.0,244.0,5800.0,-4.0,1420800.0,16.0,248.0,400.0,242.0,700.0,0.0,1500.0
206,20230405,COCO,244.0,0.0,254.0,250.0,250.0,2300.0,6.0,576400.0,7.0,250.0,13900.0,238.0,100.0,0.0,0.0
206,20230406,COCO,250.0,0.0,250.0,240.0,248.0,34100.0,-2.0,8314200.0,40.0,248.0,5800.0,242.0,100.0,2100.0,3100.0
206,20230410,COCO,248.0,0.0,266.0,232.0,246.0,320200.0,-2.0,82098400.0,165.0,246.0,1000.0,244.0,400.0,20900.0,0.0
206,20230411,COCO,246.0,0.0,256.0,236.0,246.0,13000.0,0.0,3198000.0,34.0,246.0,500.0,236.0,700.0,0.0,3400.0
206,20230412,COCO,246.0,0.0,256.0,236.0,250.0,102400.0,4.0,24996400.0,24.0,248.0,100.0,244.0,5100.0,0.0,0.0
206,20230413,COCO,250.0,0.0,250.0,234.0,246.0,141500.0,-4.0,33738800.0,118.0,246.0,17500.0,244.0,12400.0,0.0,1500.0
206,20230414,COCO,246.0,0.0,258.0,242.0,248.0,13700.0,2.0,3385400.0,24.0,248.0,19000.0,242.0,200.0,2900.0,0.0
206,20230417,COCO,248.0,0.0,252.0,234.0,240.0,6400.0,-8.0,1591000.0,14.0,248.0,43800.0,238.0,500.0,0.0,0.0
207,20230418,COCO,240.0,0.0,242.0,232.0,242.0,63800.0,2.0,15251000.0,30.0,244.0,24500.0,240.0,7100.0,2000.0,0.0
207,20230426,COCO,242.0,0.0,254.0,240.0,244.0,13900.0,2.0,3396800.0,24.0,248.0,4900.0,242.0,200.0,0.0,0.0
207,20230427,COCO,244.0,0.0,252.0,238.0,246.0,6400.0,2.0,1588600.0,29.0,246.0,1300.0,244.0,800.0,0.0,0.0
207,20230428,COCO,246.0,0.0,248.0,244.0,244.0,2600.0,-2.0,642000.0,11.0,248.0,8100.0,244.0,100.0,0.0,0.0
207,20230502,COCO,244.0,0.0,244.0,240.0,240.0,15100.0,-4.0,3637600.0,32.0,242.0,5000.0,240.0,100.0,0.0,0.0
207,20230503,COCO,240.0,0.0,248.0,238.0,240.0,6900.0,0.0,1668200.0,29.0,242.0,1600.0,238.0,100.0,0.0,0.0
207,20230504,COCO,240.0,0.0,248.0,240.0,248.0,13600.0,8.0,3340600.0,17.0,248.0,58700.0,242.0,100.0,0.0,0.0
207,20230505,COCO,248.0,0.0,252.0,232.0,232.0,69300.0,-16.0,16303400.0,49.0,242.0,100.0,232.0,64700.0,0.0,14100.0
207,20230508,COCO,232.0,0.0,252.0,232.0,236.0,159100.0,4.0,39161800.0,89.0,246.0,2300.0,236.0,3000.0,1000.0,12400.0
207,20230509,COCO,236.0,0.0,240.0,236.0,236.0,9700.0,0.0,2314400.0,23.0,238.0,800.0,236.0,1400.0,0.0,0.0
207,20230510,COCO,236.0,0.0,238.0,236.0,238.0,3200.0,2.0,757200.0,9.0,242.0,28300.0,238.0,100.0,0.0,0.0
207,20230511,COCO,238.0,0.0,242.0,236.0,238.0,17600.0,0.0,4192400.0,19.0,238.0,2000.0,234.0,20700.0,0.0,0.0
207,20230512,COCO,238.0,0.0,244.0,234.0,244.0,11800.0,6.0,2812800.0,9.0,244.0,5600.0,236.0,100.0,0.0,0.0
207,20230515,COCO,244.0,0.0,244.0,236.0,240.0,5300.0,-4.0,1274200.0,11.0,240.0,400.0,238.0,100.0,100.0,0.0
207,20230516,COCO,240.0,0.0,240.0,234.0,240.0,21900.0,0.0,5144800.0,19.0,240.0,2300.0,238.0,100.0,0.0,0.0
207,20230517,COCO,240.0,0.0,240.0,234.0,240.0,800.0,0.0,190800.0,4.0,240.0,24700.0,236.0,200.0,100.0,0.0
207,20230519,COCO,240.0,0.0,254.0,230.0,240.0,221000.0,0.0,54114600.0,139.0,246.0,192000.0,240.0,600.0,30500.0,0.0
207,20230522,COCO,240.0,0.0,246.0,236.0,238.0,19900.0,-2.0,4711000.0,29.0,238.0,30300.0,236.0,7000.0,600.0,0.0
207,20230523,COCO,238.0,0.0,248.0,232.0,234.0,12700.0,-4.0,2975400.0,30.0,240.0,2100.0,232.0,21900.0,0.0,0.0
207,20230524,COCO,234.0,0.0,238.0,232.0,238.0,20800.0,4.0,4831400.0,22.0,238.0,8000.0,234.0,10000.0,0.0,600.0
207,20230525,COCO,238.0,0.0,240.0,232.0,236.0,26400.0,-2.0,6132000.0,21.0,240.0,2000.0,234.0,2200.0,0.0,0.0
207,20230526,COCO,236.0,0.0,240.0,232.0,240.0,15000.0,4.0,3551600.0,10.0,242.0,2200.0,240.0,300.0,0.0,0.0
207,20230529,COCO,240.0,0.0,242.0,236.0,236.0,2200.0,-4.0,522000.0,8.0,236.0,2500.0,234.0,100.0,0.0,0.0
207,20230530,COCO,236.0,0.0,238.0,232.0,232.0,204100.0,-4.0,48558400.0,9.0,238.0,15800.0,232.0,20600.0,1000.0,0.0
207,20230531,COCO,232.0,0.0,238.0,230.0,238.0,15100.0,6.0,3527800.0,12.0,238.0,19500.0,232.0,100.0,0.0,0.0
207,20230605,COCO,238.0,0.0,240.0,238.0,240.0,33000.0,2.0,7856000.0,13.0,240.0,14000.0,238.0,21500.0,13800.0,0.0
207,20230606,COCO,240.0,0.0,240.0,238.0,238.0,800.0,-2.0,190600.0,3.0,240.0,68800.0,236.0,400.0,0.0,0.0
207,20230607,COCO,238.0,0.0,232.0,220.0,220.0,33000.0,-18.0,7586800.0,24.0,230.0,5900.0,220.0,6800.0,0.0,0.0
207,20230608,COCO,220.0,0.0,244.0,220.0,238.0,51700.0,18.0,12073800.0,70.0,238.0,900.0,236.0,600.0,1700.0,10700.0
207,20230609,COCO,238.0,0.0,238.0,220.0,234.0,36000.0,-4.0,8083600.0,29.0,238.0,5000.0,234.0,2100.0,0.0,900.0
207,20230612,COCO,234.0,0.0,246.0,230.0,232.0,101800.0,-2.0,24382200.0,97.0,232.0,900.0,230.0,300.0,3000.0,1800.0
207,20230613,COCO,232.0,0.0,238.0,230.0,230.0,22700.0,-2.0,5269200.0,12.0,234.0,1800.0,230.0,3900.0,0.0,0.0
207,20230614,COCO,230.0,0.0,242.0,232.0,236.0,1800.0,6.0,425400.0,13.0,236.0,11200.0,232.0,200.0,0.0,0.0
207,20230615,COCO,236.0,0.0,240.0,226.0,236.0,6500.0,0.0,1542000.0,17.0,236.0,10000.0,234.0,2100.0,900.0,0.0
207,20230616,COCO,236.0,0.0,236.0,236.0,236.0,4600.0,0.0,1085600.0,12.0,236.0,200.0,232.0,100.0,1100.0,0.0
207,20230619,COCO,236.0,0.0,240.0,228.0,228.0,3600.0,-8.0,826600.0,11.0,236.0,100.0,228.0,36600.0,0.0,0.0
207,20230620,COCO,228.0,0.0,240.0,228.0,228.0,17000.0,0.0,3907000.0,24.0,236.0,1900.0,228.0,67100.0,0.0,1800.0
207,20230621,COCO,228.0,0.0,244.0,228.0,230.0,18100.0,2.0,4142800.0,25.0,234.0,500.0,228.0,47100.0,0.0,0.0
207,20230622,COCO,230.0,0.0,242.0,228.0,234.0,16600.0,4.0,3858000.0,20.0,234.0,2500.0,232.0,700.0,0.0,0.0
207,20230623,COCO,234.0,0.0,238.0,228.0,234.0,21500.0,0.0,4953800.0,15.0,234.0,2000.0,230.0,200.0,0.0,0.0
207,20230626,COCO,234.0,0.0,260.0,232.0,232.0,1039300.0,-2.0,259050600.0,486.0,232.0,3300.0,230.0,1300.0,11600.0,3600.0
207,20230627,COCO,232.0,0.0,250.0,230.0,234.0,6400.0,2.0,1516200.0,23.0,234.0,1900.0,232.0,10400.0,500.0,0.0
207,20230703,COCO,234.0,0.0,254.0,230.0,236.0,92900.0,2.0,22594200.0,110.0,234.0,600.0,232.0,200.0,8400.0,10500.0
207,20230704,COCO,236.0,0.0,244.0,232.0,234.0,20700.0,-2.0,4843200.0,30.0,236.0,300.0,234.0,2800.0,0.0,1800.0
207,20230705,COCO,234.0,0.0,236.0,230.0,232.0,15400.0,-2.0,3571400.0,18.0,236.0,5000.0,232.0,600.0,0.0,500.0
207,20230706,COCO,232.0,0.0,250.0,232.0,238.0,58300.0,6.0,14031800.0,81.0,238.0,7800.0,236.0,16900.0,4000.0,0.0
208,20230707,COCO,238.0,0.0,238.0,230.0,232.0,48000.0,-6.0,11251400.0,29.0,236.0,39900.0,232.0,400.0,0.0,0.0
208,20230710,COCO,232.0,0.0,244.0,230.0,236.0,10600.0,4.0,2479000.0,22.0,240.0,4100.0,236.0,100.0,0.0,0.0
208,20230711,COCO,236.0,0.0,236.0,230.0,234.0,4200.0,-2.0,988200.0,13.0,236.0,52300.0,232.0,5400.0,0.0,0.0
208,20230712,COCO,234.0,0.0,242.0,230.0,230.0,115100.0,-4.0,27356800.0,53.0,238.0,24700.0,230.0,28200.0,6700.0,6400.0
208,20230713,COCO,230.0,0.0,236.0,226.0,236.0,54900.0,6.0,12533400.0,27.0,236.0,16500.0,228.0,15800.0,0.0,2200.0
208,20230714,COCO,236.0,0.0,236.0,228.0,236.0,13400.0,0.0,3087800.0,19.0,236.0,33800.0,234.0,200.0,0.0,0.0
208,20230717,COCO,236.0,0.0,238.0,224.0,226.0,174100.0,-10.0,39558200.0,109.0,226.0,162800.0,224.0,24900.0,1300.0,10200.0
208,20230718,COCO,226.0,0.0,238.0,220.0,222.0,254900.0,-4.0,57058000.0,96.0,224.0,12500.0,222.0,1000.0,1000.0,4600.0
208,20230720,COCO,222.0,0.0,230.0,222.0,226.0,52500.0,4.0,11807200.0,44.0,226.0,56200.0,224.0,20400.0,6600.0,0.0
208,20230721,COCO,226.0,0.0,232.0,222.0,224.0,16600.0,-2.0,3740000.0,47.0,226.0,900.0,224.0,4100.0,6600.0,800.0
208,20230724,COCO,224.0,0.0,234.0,224.0,226.0,63600.0,2.0,14586200.0,98.0,226.0,200.0,224.0,8500.0,1900.0,0.0
208,20230725,COCO,226.0,0.0,230.0,224.0,228.0,30600.0,2.0,6885000.0,40.0,228.0,12700.0,224.0,4500.0,0.0,0.0
208,20230726,COCO,228.0,0.0,230.0,222.0,226.0,48000.0,-2.0,10686600.0,44.0,226.0,500.0,222.0,36900.0,0.0,0.0
208,20230727,COCO,226.0,0.0,228.0,202.0,212.0,225900.0,-14.0,47983600.0,116.0,212.0,10000.0,210.0,20400.0,1600.0,16600.0
208,20230728,COCO,212.0,0.0,220.0,216.0,218.0,19200.0,6.0,4189400.0,41.0,218.0,5400.0,216.0,2400.0,4300.0,0.0
208,20230731,COCO,218.0,0.0,240.0,216.0,224.0,206900.0,6.0,48328400.0,145.0,226.0,400.0,224.0,900.0,16000.0,5300.0
208,20230801,COCO,224.0,0.0,234.0,218.0,222.0,266500.0,-2.0,60310200.0,83.0,234.0,9500.0,220.0,13100.0,17100.0,23600.0
209,20230802,COCO,222.0,0.0,226.0,218.0,220.0,60400.0,-2.0,13451600.0,19.0,220.0,3400.0,218.0,4900.0,0.0,8800.0
209,20230803,COCO,220.0,0.0,230.0,216.0,228.0,194000.0,8.0,43460800.0,57.0,228.0,49800.0,218.0,200.0,16000.0,700.0
209,20230804,COCO,228.0,0.0,232.0,222.0,226.0,8700.0,-2.0,1966400.0,16.0,226.0,42700.0,224.0,200.0,0.0,0.0
209,20230807,COCO,226.0,0.0,230.0,224.0,226.0,33100.0,0.0,7535400.0,21.0,226.0,5500.0,224.0,33700.0,0.0,1700.0
209,20230808,COCO,226.0,0.0,224.0,218.0,224.0,9200.0,-2.0,2048400.0,20.0,224.0,2100.0,222.0,400.0,0.0,4500.0
209,20230809,COCO,224.0,0.0,236.0,218.0,234.0,157800.0,10.0,35588400.0,74.0,234.0,48500.0,230.0,300.0,900.0,12000.0
209,20230810,COCO,234.0,0.0,234.0,218.0,224.0,173600.0,-10.0,39221600.0,60.0,224.0,100.0,222.0,500.0,25700.0,18800.0
209,20230811,COCO,224.0,0.0,228.0,218.0,224.0,74200.0,0.0,16417400.0,33.0,226.0,1100.0,220.0,10200.0,1000.0,12300.0
209,20230814,COCO,224.0,0.0,236.0,218.0,228.0,219000.0,4.0,50404600.0,165.0,226.0,1000.0,218.0,18500.0,27800.0,14900.0
