No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
205,20221230,CRAB,218.0,0.0,220.0,214.0,220.0,5160900.0,2.0,1122745800.0,262.0,220.0,445600.0,218.0,110200.0,0.0,171000.0
205,20230102,CRAB,220.0,0.0,224.0,216.0,218.0,4757800.0,-2.0,1044161600.0,237.0,218.0,52200.0,216.0,500500.0,0.0,221900.0
205,20230103,CRAB,218.0,0.0,220.0,216.0,220.0,2680800.0,2.0,584962200.0,132.0,220.0,396800.0,218.0,200000.0,0.0,0.0
205,20230104,CRAB,220.0,0.0,224.0,216.0,220.0,9645500.0,0.0,2110460400.0,574.0,220.0,490900.0,218.0,278000.0,0.0,274400.0
205,20230105,CRAB,220.0,0.0,222.0,206.0,214.0,11806100.0,-6.0,2486463800.0,649.0,214.0,261100.0,212.0,100400.0,838400.0,500000.0
207,20230106,CRAB,214.0,0.0,218.0,212.0,216.0,4398000.0,2.0,945934000.0,295.0,216.0,195900.0,214.0,5000.0,287900.0,89000.0
208,20230109,CRAB,216.0,0.0,216.0,210.0,212.0,5446000.0,-4.0,1153922600.0,213.0,212.0,75000.0,210.0,177400.0,500700.0,400000.0
208,20230110,CRAB,212.0,0.0,214.0,208.0,212.0,3337500.0,0.0,702822400.0,216.0,212.0,116500.0,210.0,143400.0,327100.0,200000.0
209,20230111,CRAB,212.0,0.0,212.0,206.0,210.0,2591100.0,-2.0,539985400.0,264.0,210.0,319900.0,208.0,122700.0,279900.0,0.0
209,20230112,CRAB,210.0,0.0,210.0,206.0,210.0,1890200.0,0.0,394253400.0,121.0,210.0,111600.0,208.0,108300.0,174000.0,51700.0
209,20230113,CRAB,210.0,0.0,214.0,206.0,210.0,3425200.0,0.0,715687000.0,264.0,210.0,304400.0,208.0,113500.0,221600.0,0.0
209,20230116,CRAB,210.0,0.0,210.0,206.0,210.0,1269700.0,0.0,264384600.0,111.0,210.0,243800.0,208.0,118600.0,0.0,0.0
209,20230117,CRAB,210.0,0.0,212.0,206.0,212.0,2346100.0,2.0,492212400.0,154.0,212.0,51000.0,210.0,104600.0,0.0,0.0
209,20230118,CRAB,212.0,0.0,214.0,210.0,214.0,1538500.0,2.0,327149000.0,142.0,214.0,618700.0,212.0,169200.0,0.0,0.0
