No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
206,20221230,CSAP,755.0,0.0,885.0,735.0,815.0,2547600.0,60.0,2105523000.0,147.0,815.0,254400.0,810.0,8800.0,0.0,2600.0
206,20230102,CSAP,815.0,0.0,815.0,780.0,800.0,23100.0,-15.0,18138500.0,30.0,795.0,1600.0,785.0,900.0,0.0,0.0
206,20230103,CSAP,800.0,0.0,785.0,775.0,775.0,10800.0,-25.0,8378000.0,10.0,795.0,3500.0,775.0,26300.0,0.0,0.0
206,20230104,CSAP,775.0,0.0,790.0,765.0,785.0,142700.0,10.0,111830500.0,13.0,785.0,6400.0,770.0,10300.0,0.0,130000.0
206,20230105,CSAP,785.0,0.0,785.0,760.0,760.0,162600.0,-25.0,125055500.0,45.0,760.0,9500.0,755.0,11200.0,3700.0,0.0
208,20230106,CSAP,760.0,0.0,780.0,760.0,780.0,93500.0,20.0,71079500.0,21.0,775.0,2500.0,765.0,200.0,0.0,66500.0
209,20230109,CSAP,780.0,0.0,770.0,760.0,765.0,197500.0,-15.0,150864500.0,18.0,770.0,12100.0,760.0,69000.0,1200.0,0.0
209,20230110,CSAP,765.0,0.0,765.0,755.0,765.0,195500.0,0.0,148583000.0,8.0,765.0,9000.0,755.0,24900.0,0.0,193500.0
210,20230111,CSAP,765.0,0.0,780.0,760.0,760.0,166800.0,-5.0,127133500.0,25.0,765.0,1700.0,760.0,3100.0,900.0,130000.0
210,20230112,CSAP,760.0,0.0,800.0,765.0,770.0,39900.0,10.0,31383500.0,23.0,775.0,200.0,770.0,600.0,0.0,0.0
210,20230113,CSAP,770.0,0.0,795.0,785.0,785.0,124200.0,15.0,98184000.0,27.0,800.0,5800.0,785.0,238700.0,3400.0,39400.0
210,20230116,CSAP,785.0,0.0,805.0,790.0,790.0,255100.0,5.0,204075000.0,19.0,800.0,35100.0,790.0,3900.0,2600.0,233000.0
210,20230117,CSAP,790.0,0.0,795.0,770.0,775.0,233600.0,-15.0,183099500.0,29.0,785.0,88800.0,770.0,11200.0,700.0,170000.0
210,20230118,CSAP,775.0,0.0,0.0,0.0,775.0,0.0,0.0,0.0,0.0,790.0,1300.0,775.0,13900.0,0.0,0.0
210,20230119,CSAP,775.0,0.0,780.0,765.0,770.0,115000.0,-5.0,88466000.0,26.0,770.0,3300.0,765.0,25200.0,0.0,0.0
210,20230120,CSAP,770.0,0.0,795.0,770.0,775.0,113000.0,5.0,87678000.0,20.0,780.0,49900.0,775.0,8900.0,0.0,400.0
210,20230124,CSAP,775.0,0.0,800.0,770.0,795.0,33300.0,20.0,26007500.0,19.0,795.0,5800.0,790.0,200.0,0.0,0.0
210,20230125,CSAP,795.0,0.0,800.0,770.0,775.0,4800.0,-20.0,3702000.0,4.0,795.0,7200.0,775.0,12900.0,0.0,0.0
210,20230126,CSAP,775.0,0.0,780.0,770.0,775.0,3000.0,0.0,2324500.0,6.0,790.0,2500.0,775.0,5300.0,0.0,0.0
210,20230127,CSAP,775.0,0.0,790.0,770.0,785.0,60400.0,10.0,46910500.0,27.0,795.0,8200.0,785.0,402500.0,3400.0,30200.0
210,20230130,CSAP,785.0,0.0,795.0,775.0,780.0,953900.0,-5.0,752630000.0,33.0,785.0,20900.0,770.0,19300.0,500.0,579000.0
210,20230131,CSAP,780.0,0.0,785.0,730.0,730.0,670900.0,-50.0,497705500.0,125.0,745.0,200.0,730.0,10300.0,0.0,0.0
210,20230201,CSAP,730.0,0.0,770.0,720.0,725.0,201200.0,-5.0,147157000.0,61.0,725.0,46200.0,720.0,25500.0,0.0,7600.0
210,20230202,CSAP,725.0,0.0,745.0,725.0,740.0,53400.0,15.0,38903500.0,33.0,740.0,23600.0,725.0,2700.0,0.0,0.0
210,20230203,CSAP,740.0,0.0,740.0,705.0,705.0,342300.0,-35.0,244785000.0,121.0,720.0,6500.0,705.0,20100.0,0.0,200.0
210,20230206,CSAP,705.0,0.0,735.0,700.0,710.0,242000.0,5.0,173493500.0,271.0,725.0,400.0,710.0,1900.0,0.0,167300.0
210,20230207,CSAP,710.0,0.0,725.0,700.0,715.0,72500.0,5.0,51563000.0,39.0,715.0,3200.0,700.0,21700.0,0.0,0.0
211,20230208,CSAP,715.0,0.0,715.0,705.0,710.0,622000.0,-5.0,442489000.0,35.0,710.0,39900.0,705.0,169300.0,0.0,288600.0
211,20230209,CSAP,710.0,0.0,730.0,700.0,710.0,110600.0,0.0,78131000.0,46.0,710.0,12700.0,705.0,3400.0,0.0,0.0
211,20230210,CSAP,710.0,0.0,715.0,710.0,710.0,20300.0,0.0,14425000.0,16.0,715.0,25900.0,710.0,3300.0,0.0,0.0
211,20230213,CSAP,710.0,0.0,715.0,705.0,705.0,66300.0,-5.0,46916000.0,28.0,710.0,13700.0,705.0,2600.0,0.0,0.0
211,20230214,CSAP,705.0,0.0,735.0,710.0,715.0,70400.0,10.0,50505500.0,36.0,720.0,3100.0,715.0,4300.0,0.0,0.0
211,20230215,CSAP,715.0,0.0,720.0,705.0,720.0,178900.0,5.0,126583000.0,32.0,720.0,2300.0,705.0,105100.0,0.0,0.0
211,20230216,CSAP,720.0,0.0,720.0,695.0,710.0,264100.0,-10.0,185773500.0,73.0,710.0,4000.0,700.0,21600.0,3400.0,0.0
211,20230217,CSAP,710.0,0.0,710.0,665.0,685.0,409200.0,-25.0,283244500.0,86.0,690.0,100.0,680.0,4900.0,0.0,300.0
211,20230220,CSAP,685.0,0.0,705.0,680.0,695.0,96900.0,10.0,67352500.0,55.0,695.0,2000.0,690.0,2300.0,0.0,100.0
211,20230221,CSAP,695.0,0.0,745.0,650.0,730.0,575300.0,35.0,399056500.0,332.0,730.0,8300.0,710.0,8700.0,32000.0,35000.0
211,20230222,CSAP,730.0,0.0,735.0,715.0,715.0,94200.0,-15.0,68502000.0,26.0,725.0,5200.0,715.0,1200.0,0.0,0.0
211,20230223,CSAP,715.0,0.0,800.0,705.0,800.0,584900.0,85.0,452970000.0,250.0,800.0,28300.0,755.0,10000.0,10700.0,0.0
211,20230224,CSAP,800.0,0.0,800.0,775.0,795.0,1084900.0,-5.0,846657000.0,129.0,785.0,8900.0,780.0,200.0,0.0,960000.0
