No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
207,20221230,CSIS,69.0,0.0,72.0,68.0,72.0,969000.0,3.0,68618400.0,182.0,72.0,72800.0,71.0,10000.0,0.0,0.0
207,20230102,CSIS,72.0,0.0,73.0,69.0,69.0,179800.0,-3.0,12750400.0,81.0,70.0,11400.0,69.0,343300.0,0.0,0.0
207,20230103,CSIS,69.0,0.0,71.0,69.0,70.0,292100.0,1.0,20330100.0,88.0,70.0,21900.0,69.0,118300.0,0.0,0.0
207,20230104,CSIS,70.0,0.0,71.0,66.0,68.0,1478800.0,-2.0,99768700.0,211.0,68.0,49600.0,67.0,26500.0,0.0,0.0
207,20230105,CSIS,68.0,0.0,68.0,64.0,64.0,2790700.0,-4.0,179610400.0,283.0,64.0,80200.0,0.0,0.0,0.0,0.0
209,20230106,CSIS,64.0,0.0,64.0,60.0,61.0,3577000.0,-3.0,216256300.0,291.0,61.0,44500.0,60.0,68600.0,0.0,0.0
210,20230109,CSIS,61.0,0.0,65.0,57.0,60.0,2822000.0,-1.0,170740600.0,286.0,60.0,198800.0,59.0,100.0,0.0,0.0
210,20230110,CSIS,60.0,0.0,61.0,58.0,60.0,501200.0,0.0,29841700.0,107.0,60.0,38000.0,58.0,79500.0,0.0,0.0
211,20230111,CSIS,60.0,0.0,60.0,56.0,57.0,817300.0,-3.0,47020500.0,127.0,59.0,29200.0,57.0,37600.0,0.0,0.0
211,20230112,CSIS,57.0,0.0,58.0,56.0,57.0,975100.0,0.0,55325900.0,97.0,58.0,112200.0,57.0,16100.0,0.0,0.0
211,20230113,CSIS,57.0,0.0,58.0,56.0,58.0,305200.0,1.0,17550400.0,59.0,58.0,55500.0,57.0,2400.0,0.0,0.0
211,20230116,CSIS,58.0,0.0,59.0,57.0,58.0,296000.0,0.0,17135100.0,50.0,58.0,60100.0,57.0,127000.0,0.0,0.0
211,20230117,CSIS,58.0,0.0,60.0,58.0,58.0,929100.0,0.0,54313400.0,118.0,58.0,7400.0,57.0,125800.0,0.0,0.0
211,20230118,CSIS,58.0,0.0,62.0,57.0,62.0,1740600.0,4.0,105226700.0,364.0,62.0,222500.0,60.0,53200.0,0.0,0.0
211,20230119,CSIS,62.0,0.0,63.0,60.0,61.0,754300.0,-1.0,46225300.0,162.0,61.0,337900.0,60.0,101300.0,0.0,0.0
211,20230120,CSIS,61.0,0.0,62.0,59.0,59.0,626900.0,-2.0,37716200.0,92.0,60.0,105400.0,59.0,220200.0,0.0,0.0
211,20230124,CSIS,59.0,0.0,61.0,59.0,60.0,290400.0,1.0,17348300.0,80.0,60.0,17900.0,59.0,73200.0,0.0,0.0
211,20230125,CSIS,60.0,0.0,61.0,59.0,59.0,598300.0,-1.0,35426400.0,85.0,60.0,332700.0,59.0,47700.0,0.0,0.0
211,20230126,CSIS,59.0,0.0,60.0,59.0,59.0,507900.0,0.0,30209500.0,56.0,60.0,169000.0,59.0,64100.0,0.0,0.0
211,20230127,CSIS,59.0,0.0,65.0,60.0,63.0,1726900.0,4.0,107641300.0,335.0,63.0,206000.0,62.0,64500.0,0.0,0.0
211,20230130,CSIS,63.0,0.0,66.0,61.0,63.0,1193100.0,0.0,75718000.0,346.0,64.0,50000.0,63.0,82100.0,0.0,0.0
211,20230131,CSIS,63.0,0.0,68.0,63.0,66.0,1918500.0,3.0,125935600.0,399.0,67.0,190100.0,66.0,327100.0,0.0,0.0
211,20230201,CSIS,66.0,0.0,67.0,64.0,66.0,501900.0,0.0,32765600.0,100.0,66.0,57000.0,65.0,9600.0,0.0,0.0
211,20230202,CSIS,66.0,0.0,66.0,63.0,65.0,2206700.0,-1.0,140800300.0,139.0,65.0,91000.0,64.0,40000.0,0.0,0.0
211,20230203,CSIS,65.0,0.0,69.0,63.0,66.0,2300900.0,1.0,151953700.0,366.0,66.0,84300.0,65.0,66600.0,0.0,0.0
211,20230206,CSIS,66.0,0.0,66.0,64.0,64.0,407700.0,-2.0,26305600.0,97.0,65.0,29400.0,64.0,147900.0,0.0,0.0
211,20230207,CSIS,64.0,0.0,66.0,64.0,64.0,265100.0,0.0,17178900.0,59.0,65.0,123700.0,64.0,187400.0,0.0,0.0
212,20230208,CSIS,64.0,0.0,65.0,64.0,65.0,181100.0,1.0,11594200.0,37.0,65.0,114300.0,64.0,188200.0,0.0,0.0
212,20230209,CSIS,65.0,0.0,65.0,63.0,65.0,116700.0,0.0,7491200.0,38.0,65.0,276700.0,64.0,119200.0,0.0,0.0
212,20230210,CSIS,65.0,0.0,65.0,63.0,64.0,221400.0,-1.0,14159300.0,40.0,64.0,112700.0,63.0,339400.0,0.0,0.0
212,20230213,CSIS,64.0,0.0,65.0,63.0,64.0,210300.0,0.0,13440600.0,27.0,65.0,78100.0,64.0,49600.0,0.0,0.0
212,20230214,CSIS,64.0,0.0,65.0,63.0,63.0,618300.0,-1.0,39006200.0,57.0,64.0,17800.0,63.0,218300.0,0.0,0.0
212,20230215,CSIS,63.0,0.0,64.0,63.0,64.0,12400.0,1.0,789800.0,23.0,64.0,69100.0,63.0,140100.0,0.0,0.0
212,20230216,CSIS,64.0,0.0,65.0,60.0,63.0,357200.0,-1.0,22694900.0,48.0,64.0,223700.0,63.0,179900.0,0.0,0.0
212,20230217,CSIS,63.0,0.0,64.0,62.0,62.0,799800.0,-1.0,49813500.0,77.0,63.0,26700.0,62.0,56700.0,0.0,0.0
212,20230220,CSIS,62.0,0.0,63.0,60.0,62.0,325700.0,0.0,20224400.0,44.0,63.0,67200.0,62.0,115700.0,0.0,0.0
212,20230221,CSIS,62.0,0.0,63.0,61.0,62.0,556200.0,0.0,34504200.0,59.0,63.0,86800.0,62.0,53800.0,0.0,100.0
212,20230222,CSIS,62.0,0.0,63.0,58.0,62.0,387100.0,0.0,24001900.0,43.0,63.0,119800.0,62.0,95900.0,0.0,0.0
212,20230223,CSIS,62.0,0.0,63.0,58.0,62.0,243400.0,0.0,15093900.0,37.0,63.0,106200.0,62.0,89500.0,0.0,0.0
212,20230224,CSIS,62.0,0.0,63.0,60.0,62.0,645800.0,0.0,39977700.0,49.0,62.0,1900.0,61.0,447800.0,0.0,0.0
212,20230227,CSIS,62.0,0.0,65.0,61.0,62.0,542500.0,0.0,34441400.0,117.0,63.0,47500.0,62.0,82300.0,0.0,0.0
212,20230228,CSIS,62.0,0.0,63.0,58.0,62.0,521700.0,0.0,32238000.0,112.0,63.0,10100.0,62.0,570800.0,0.0,0.0
212,20230301,CSIS,62.0,0.0,73.0,62.0,63.0,26441100.0,1.0,1798834600.0,2905.0,63.0,57700.0,62.0,102000.0,0.0,0.0
212,20230302,CSIS,63.0,0.0,64.0,60.0,61.0,3166200.0,-2.0,192341200.0,456.0,62.0,193100.0,60.0,425800.0,0.0,0.0
213,20230303,CSIS,61.0,0.0,62.0,59.0,60.0,1231000.0,-1.0,74290200.0,207.0,60.0,900.0,59.0,697500.0,0.0,0.0
213,20230306,CSIS,60.0,0.0,60.0,58.0,59.0,937100.0,-1.0,54978300.0,120.0,59.0,17200.0,58.0,444300.0,0.0,0.0
213,20230307,CSIS,59.0,0.0,65.0,57.0,64.0,4084000.0,5.0,254896900.0,606.0,64.0,193800.0,63.0,2500.0,0.0,0.0
213,20230308,CSIS,64.0,0.0,65.0,61.0,64.0,1360100.0,0.0,84523900.0,189.0,64.0,528800.0,62.0,500.0,0.0,0.0
213,20230309,CSIS,64.0,0.0,64.0,61.0,62.0,711200.0,-2.0,43578300.0,126.0,62.0,118300.0,61.0,78800.0,0.0,0.0
213,20230310,CSIS,62.0,0.0,62.0,59.0,62.0,731500.0,0.0,43808200.0,92.0,62.0,179000.0,60.0,19000.0,0.0,0.0
213,20230313,CSIS,62.0,0.0,62.0,58.0,58.0,1493800.0,-4.0,87691500.0,137.0,59.0,30100.0,58.0,200300.0,0.0,0.0
213,20230314,CSIS,58.0,0.0,59.0,54.0,57.0,368800.0,-1.0,21338700.0,86.0,58.0,69800.0,57.0,32600.0,0.0,0.0
213,20230315,CSIS,57.0,0.0,58.0,54.0,56.0,391900.0,-1.0,22153300.0,91.0,56.0,7900.0,55.0,80300.0,0.0,0.0
213,20230316,CSIS,56.0,0.0,56.0,53.0,54.0,1748900.0,-2.0,93213400.0,138.0,54.0,135600.0,53.0,500.0,0.0,0.0
213,20230317,CSIS,54.0,0.0,53.0,51.0,51.0,1680500.0,-3.0,86691100.0,117.0,52.0,48900.0,51.0,2412100.0,50000.0,0.0
213,20230320,CSIS,51.0,0.0,56.0,52.0,54.0,1136600.0,3.0,61368500.0,95.0,54.0,178800.0,53.0,100.0,0.0,0.0
213,20230321,CSIS,54.0,0.0,56.0,52.0,55.0,589400.0,1.0,31759400.0,84.0,55.0,63100.0,54.0,13000.0,0.0,0.0
213,20230324,CSIS,55.0,0.0,56.0,52.0,52.0,403500.0,-3.0,21352900.0,74.0,53.0,1657600.0,52.0,3801900.0,0.0,0.0
213,20230327,CSIS,52.0,0.0,53.0,50.0,52.0,2218300.0,0.0,112478400.0,111.0,52.0,999900.0,51.0,619400.0,67000.0,0.0
213,20230328,CSIS,52.0,0.0,55.0,51.0,55.0,593800.0,3.0,31662800.0,94.0,55.0,49800.0,54.0,36400.0,0.0,0.0
213,20230329,CSIS,55.0,0.0,57.0,52.0,55.0,997200.0,0.0,53885800.0,84.0,56.0,63900.0,55.0,184000.0,0.0,0.0
213,20230330,CSIS,55.0,0.0,58.0,53.0,56.0,461000.0,1.0,25694500.0,89.0,57.0,49800.0,56.0,30400.0,0.0,0.0
213,20230331,CSIS,56.0,0.0,60.0,53.0,57.0,3600500.0,1.0,203760200.0,263.0,57.0,99200.0,55.0,99900.0,0.0,0.0
213,20230403,CSIS,57.0,0.0,58.0,57.0,57.0,431600.0,0.0,24638500.0,53.0,58.0,27800.0,57.0,352400.0,0.0,0.0
213,20230404,CSIS,57.0,0.0,67.0,56.0,58.0,22329800.0,1.0,1386222000.0,2266.0,59.0,597600.0,58.0,11400.0,2900.0,0.0
213,20230405,CSIS,58.0,0.0,59.0,56.0,57.0,1968500.0,-1.0,112001300.0,210.0,57.0,60500.0,56.0,266900.0,0.0,0.0
213,20230406,CSIS,57.0,0.0,58.0,55.0,56.0,1470800.0,-1.0,83610600.0,236.0,57.0,107500.0,56.0,100700.0,0.0,0.0
213,20230410,CSIS,56.0,0.0,57.0,54.0,55.0,1373800.0,-1.0,76027100.0,165.0,56.0,98700.0,55.0,59000.0,0.0,0.0
213,20230411,CSIS,55.0,0.0,57.0,55.0,55.0,539700.0,0.0,29831600.0,65.0,56.0,164500.0,55.0,294500.0,0.0,0.0
213,20230412,CSIS,55.0,0.0,57.0,54.0,56.0,1097400.0,1.0,60867300.0,133.0,56.0,43600.0,55.0,286500.0,0.0,0.0
213,20230413,CSIS,56.0,0.0,56.0,54.0,55.0,704400.0,-1.0,38700800.0,107.0,55.0,224400.0,54.0,768200.0,0.0,0.0
213,20230414,CSIS,55.0,0.0,56.0,54.0,54.0,707000.0,-1.0,38240400.0,87.0,55.0,132900.0,54.0,400700.0,0.0,0.0
213,20230417,CSIS,54.0,0.0,54.0,53.0,54.0,539500.0,0.0,28845300.0,62.0,54.0,274700.0,53.0,800000.0,0.0,0.0
214,20230418,CSIS,54.0,0.0,54.0,53.0,53.0,496200.0,-1.0,26516400.0,59.0,54.0,10000.0,53.0,547100.0,0.0,0.0
214,20230426,CSIS,53.0,0.0,54.0,52.0,53.0,566900.0,0.0,30097900.0,79.0,53.0,51600.0,52.0,541700.0,0.0,0.0
214,20230427,CSIS,53.0,0.0,56.0,53.0,55.0,1365900.0,2.0,74617300.0,151.0,55.0,127200.0,53.0,371600.0,0.0,0.0
214,20230428,CSIS,55.0,0.0,55.0,52.0,54.0,1519200.0,-1.0,81127500.0,173.0,54.0,164100.0,53.0,127200.0,0.0,0.0
214,20230502,CSIS,54.0,0.0,54.0,51.0,51.0,2699500.0,-3.0,140331900.0,139.0,52.0,400.0,51.0,1129500.0,0.0,0.0
214,20230503,CSIS,51.0,0.0,53.0,51.0,52.0,934200.0,1.0,48031700.0,61.0,52.0,266100.0,51.0,771600.0,0.0,0.0
214,20230504,CSIS,52.0,0.0,52.0,51.0,52.0,326500.0,0.0,16800500.0,40.0,52.0,236800.0,51.0,635700.0,0.0,0.0
214,20230505,CSIS,52.0,0.0,52.0,50.0,51.0,1458900.0,-1.0,74519200.0,88.0,52.0,207700.0,51.0,39100.0,0.0,0.0
214,20230508,CSIS,51.0,0.0,54.0,51.0,52.0,1660600.0,1.0,87723000.0,136.0,52.0,88600.0,51.0,1990100.0,0.0,0.0
214,20230509,CSIS,52.0,0.0,53.0,51.0,52.0,635900.0,0.0,32863000.0,52.0,53.0,280800.0,52.0,912200.0,0.0,0.0
214,20230510,CSIS,52.0,0.0,54.0,52.0,53.0,1636400.0,1.0,86886200.0,99.0,54.0,483400.0,53.0,7600.0,0.0,0.0
214,20230511,CSIS,53.0,0.0,54.0,52.0,52.0,240900.0,-1.0,12536600.0,30.0,53.0,67600.0,52.0,1534200.0,0.0,0.0
214,20230512,CSIS,52.0,0.0,58.0,52.0,56.0,3708300.0,4.0,206155400.0,245.0,56.0,141800.0,55.0,132200.0,0.0,0.0
214,20230515,CSIS,56.0,0.0,62.0,54.0,59.0,10403200.0,3.0,613232000.0,599.0,60.0,142800.0,59.0,21200.0,0.0,0.0
214,20230516,CSIS,59.0,0.0,62.0,57.0,61.0,5172900.0,2.0,313921400.0,340.0,61.0,76100.0,59.0,124800.0,0.0,0.0
214,20230517,CSIS,61.0,0.0,62.0,58.0,58.0,1661500.0,-3.0,98666000.0,158.0,59.0,200.0,58.0,62900.0,0.0,0.0
214,20230519,CSIS,58.0,0.0,61.0,57.0,58.0,828600.0,0.0,48982900.0,95.0,58.0,121400.0,57.0,201500.0,0.0,0.0
214,20230522,CSIS,58.0,0.0,60.0,58.0,59.0,499600.0,1.0,29328700.0,101.0,59.0,18800.0,58.0,91700.0,0.0,0.0
214,20230523,CSIS,59.0,0.0,59.0,57.0,58.0,118600.0,-1.0,6860300.0,52.0,58.0,314300.0,57.0,116400.0,0.0,0.0
214,20230524,CSIS,58.0,0.0,59.0,57.0,58.0,256200.0,0.0,14775400.0,74.0,58.0,88100.0,57.0,21300.0,0.0,0.0
214,20230525,CSIS,58.0,0.0,58.0,57.0,58.0,294600.0,0.0,16876500.0,88.0,58.0,160800.0,57.0,87800.0,0.0,0.0
214,20230526,CSIS,58.0,0.0,62.0,58.0,61.0,2221100.0,3.0,133247600.0,240.0,61.0,407200.0,60.0,489500.0,0.0,0.0
