No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
209,20221230,CSRA,570.0,0.0,575.0,555.0,570.0,264000.0,0.0,149514500.0,98.0,570.0,3100.0,565.0,2200.0,0.0,0.0
209,20230102,CSRA,570.0,0.0,585.0,565.0,580.0,184100.0,10.0,105624000.0,77.0,585.0,10900.0,580.0,14100.0,0.0,0.0
209,20230103,CSRA,580.0,0.0,590.0,575.0,590.0,250100.0,10.0,145400000.0,104.0,590.0,71800.0,580.0,10500.0,0.0,0.0
209,20230104,CSRA,590.0,0.0,590.0,575.0,575.0,85800.0,-15.0,49550500.0,88.0,580.0,19800.0,575.0,18600.0,3600.0,0.0
209,20230105,CSRA,575.0,0.0,580.0,550.0,555.0,153900.0,-20.0,86868500.0,124.0,555.0,16300.0,550.0,46700.0,0.0,0.0
211,20230106,CSRA,555.0,0.0,560.0,550.0,560.0,116300.0,5.0,64827000.0,67.0,565.0,9100.0,555.0,97300.0,0.0,0.0
212,20230109,CSRA,560.0,0.0,575.0,555.0,560.0,82700.0,0.0,46656000.0,68.0,565.0,1500.0,560.0,3700.0,0.0,0.0
212,20230110,CSRA,560.0,0.0,565.0,545.0,555.0,163200.0,-5.0,90234500.0,100.0,555.0,74200.0,550.0,43900.0,0.0,0.0
213,20230111,CSRA,555.0,0.0,560.0,545.0,555.0,146600.0,0.0,80761000.0,62.0,560.0,24000.0,555.0,20900.0,0.0,0.0
213,20230112,CSRA,555.0,0.0,560.0,550.0,560.0,112600.0,5.0,62574500.0,51.0,565.0,2700.0,560.0,10300.0,0.0,1200.0
213,20230113,CSRA,560.0,0.0,575.0,550.0,560.0,346900.0,0.0,195268000.0,75.0,570.0,200.0,555.0,28000.0,1000.0,300100.0
213,20230116,CSRA,560.0,0.0,580.0,560.0,580.0,382800.0,20.0,220385500.0,96.0,580.0,17300.0,575.0,5000.0,0.0,300000.0
213,20230117,CSRA,580.0,0.0,580.0,570.0,575.0,65900.0,-5.0,37716500.0,62.0,575.0,42500.0,570.0,34200.0,0.0,0.0
213,20230118,CSRA,575.0,0.0,575.0,565.0,565.0,98600.0,-10.0,56149000.0,77.0,570.0,3800.0,565.0,27900.0,1000.0,0.0
213,20230119,CSRA,565.0,0.0,575.0,560.0,575.0,83500.0,10.0,47493500.0,84.0,575.0,76500.0,570.0,10700.0,800.0,0.0
213,20230120,CSRA,575.0,0.0,585.0,575.0,580.0,151600.0,5.0,88098000.0,72.0,585.0,13700.0,580.0,12800.0,3700.0,100000.0
