No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
211,20221230,CTRA,945.0,0.0,955.0,940.0,940.0,3517200.0,-5.0,3327465000.0,771.0,950.0,154300.0,940.0,56700.0,2157900.0,7600.0
211,20230102,CTRA,940.0,0.0,945.0,915.0,920.0,8811300.0,-20.0,8151915000.0,1739.0,925.0,8000.0,920.0,647000.0,1726900.0,2606400.0
211,20230103,CTRA,920.0,0.0,930.0,915.0,930.0,19650100.0,10.0,18127986000.0,2016.0,930.0,110200.0,925.0,60100.0,42100.0,9171000.0
211,20230104,CTRA,930.0,0.0,935.0,900.0,905.0,23543400.0,-25.0,21524224500.0,2534.0,910.0,1800.0,905.0,1198800.0,7079100.0,11809500.0
211,20230105,CTRA,905.0,0.0,920.0,875.0,880.0,26437600.0,-25.0,23612637500.0,3994.0,885.0,4000.0,880.0,1024300.0,9821200.0,14865300.0
213,20230106,CTRA,880.0,0.0,900.0,865.0,890.0,16807000.0,10.0,14852560500.0,2836.0,890.0,509500.0,885.0,123400.0,12828100.0,8384100.0
214,20230109,CTRA,890.0,0.0,910.0,885.0,900.0,11178000.0,10.0,10015834500.0,1640.0,900.0,1578100.0,895.0,399700.0,3260400.0,6390700.0
214,20230110,CTRA,900.0,0.0,910.0,880.0,890.0,20815500.0,-10.0,18516979000.0,1916.0,890.0,1309600.0,885.0,76300.0,13019300.0,8955800.0
215,20230111,CTRA,890.0,0.0,900.0,870.0,875.0,18488200.0,-15.0,16257506000.0,2017.0,880.0,24300.0,875.0,289700.0,11490200.0,4047800.0
215,20230112,CTRA,875.0,0.0,905.0,875.0,900.0,21881800.0,25.0,19552811500.0,2111.0,900.0,1165000.0,895.0,2700.0,12108200.0,5152700.0
215,20230113,CTRA,900.0,0.0,905.0,890.0,900.0,11139200.0,0.0,10010876500.0,1666.0,900.0,6089500.0,895.0,109800.0,5893800.0,5043600.0
215,20230116,CTRA,900.0,0.0,905.0,890.0,895.0,7921700.0,-5.0,7089038000.0,1459.0,895.0,690300.0,890.0,167400.0,5129000.0,3934400.0
215,20230117,CTRA,895.0,0.0,900.0,885.0,890.0,16418500.0,-5.0,14629625500.0,1501.0,890.0,50400.0,885.0,1497700.0,11359200.0,9469200.0
215,20230118,CTRA,890.0,0.0,920.0,890.0,910.0,16410400.0,20.0,14920900500.0,2185.0,910.0,3047100.0,905.0,39900.0,7524600.0,13549200.0
215,20230119,CTRA,910.0,0.0,955.0,905.0,945.0,21625200.0,35.0,20262133000.0,3198.0,945.0,1949600.0,940.0,309100.0,8445300.0,6754700.0
215,20230120,CTRA,945.0,0.0,975.0,935.0,965.0,23657700.0,20.0,22615610500.0,7360.0,965.0,232400.0,960.0,12400.0,4087000.0,10812800.0
215,20230124,CTRA,965.0,0.0,975.0,935.0,945.0,16900300.0,-20.0,15960708000.0,1582.0,945.0,1108900.0,940.0,192200.0,8146100.0,4840500.0
215,20230125,CTRA,945.0,0.0,955.0,930.0,940.0,11809000.0,-5.0,11106512500.0,1042.0,940.0,42600.0,935.0,184600.0,415200.0,1170800.0
215,20230126,CTRA,940.0,0.0,950.0,925.0,935.0,10531400.0,-5.0,9842366500.0,2093.0,940.0,60500.0,935.0,326100.0,724700.0,4193900.0
215,20230127,CTRA,935.0,0.0,985.0,935.0,970.0,29649200.0,35.0,28653327000.0,3834.0,975.0,608800.0,970.0,81600.0,2584200.0,5212800.0
215,20230130,CTRA,970.0,0.0,975.0,950.0,965.0,10247300.0,-5.0,9838139500.0,2151.0,965.0,105600.0,960.0,6100.0,2230000.0,4762700.0
215,20230131,CTRA,965.0,0.0,975.0,955.0,975.0,14384500.0,10.0,13943507000.0,2371.0,975.0,182900.0,970.0,612100.0,5894000.0,9888000.0
