No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
219,20230308,CUAN,220.0,0.0,274.0,240.0,274.0,106402000.0,54.0,28821521800.0,9600.0,0.0,0.0,274.0,67156200.0,169200.0,5320000.0
219,20230309,CUAN,274.0,0.0,342.0,330.0,342.0,52800300.0,68.0,18021321000.0,3207.0,0.0,0.0,342.0,51088200.0,117600.0,423300.0
219,20230310,CUAN,342.0,0.0,426.0,320.0,426.0,677307800.0,84.0,253134850200.0,66745.0,0.0,0.0,426.0,70285100.0,2841800.0,9787400.0
219,20230313,CUAN,426.0,0.0,530.0,412.0,530.0,179128300.0,104.0,86174671900.0,22313.0,0.0,0.0,530.0,19391700.0,1609900.0,3683400.0
219,20230314,CUAN,530.0,0.0,660.0,550.0,660.0,312775700.0,130.0,196915765000.0,41995.0,0.0,0.0,660.0,32333400.0,10904400.0,11060700.0
219,20230315,CUAN,660.0,0.0,825.0,700.0,825.0,161465400.0,165.0,127539263500.0,27215.0,0.0,0.0,825.0,28032300.0,3244200.0,10637500.0
219,20230316,CUAN,825.0,0.0,1000.0,770.0,770.0,318325100.0,-55.0,279814081000.0,65373.0,770.0,15858600.0,0.0,0.0,1660500.0,3082800.0
219,20230317,CUAN,770.0,0.0,755.0,720.0,720.0,42306900.0,-50.0,30962216500.0,3603.0,720.0,38025000.0,0.0,0.0,71300.0,361300.0
219,20230320,CUAN,720.0,0.0,670.0,670.0,670.0,17013900.0,-50.0,11399313000.0,1193.0,670.0,34424900.0,0.0,0.0,100000.0,4207000.0
219,20230321,CUAN,670.0,0.0,790.0,625.0,760.0,332056300.0,90.0,244442988500.0,48421.0,765.0,256400.0,760.0,5891300.0,7226300.0,7064300.0
219,20230324,CUAN,760.0,0.0,805.0,710.0,710.0,84081600.0,-50.0,62620808500.0,16325.0,710.0,3041000.0,0.0,0.0,1981800.0,2084200.0
