No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
238,20240507,DATA,188.0,0.0,252.0,230.0,252.0,58562100.0,64.0,14733866400.0,10418.0,0.0,0.0,252.0,95903200.0,68000.0,135000.0
238,20240508,DATA,252.0,0.0,314.0,262.0,314.0,270925800.0,62.0,81470471400.0,43784.0,0.0,0.0,314.0,20725600.0,1977500.0,3018100.0
238,20240513,DATA,314.0,0.0,390.0,266.0,358.0,159848900.0,44.0,56629272400.0,30840.0,358.0,39400.0,356.0,115200.0,5204400.0,3532400.0
238,20240514,DATA,358.0,0.0,430.0,352.0,410.0,163680300.0,52.0,65446894600.0,28053.0,412.0,200100.0,410.0,545200.0,3941400.0,3493500.0
238,20240515,DATA,410.0,0.0,458.0,410.0,436.0,105728700.0,26.0,46175683400.0,20947.0,438.0,211100.0,436.0,3352200.0,505000.0,575400.0
238,20240516,DATA,436.0,0.0,442.0,328.0,376.0,141586700.0,-60.0,53588140400.0,27421.0,376.0,674100.0,374.0,114200.0,1107400.0,1001200.0
238,20240517,DATA,376.0,0.0,404.0,330.0,330.0,35010600.0,-46.0,12782756800.0,8544.0,332.0,2100.0,330.0,383300.0,145500.0,138300.0
238,20240520,DATA,330.0,0.0,346.0,302.0,302.0,34626700.0,-28.0,11024522200.0,8910.0,304.0,143500.0,302.0,259000.0,1488900.0,880700.0
238,20240521,DATA,302.0,0.0,342.0,260.0,322.0,49805400.0,20.0,15224462000.0,10226.0,324.0,105000.0,322.0,1110700.0,1983000.0,2020000.0
238,20240522,DATA,322.0,0.0,330.0,294.0,294.0,20696200.0,-28.0,6357793800.0,4598.0,296.0,50200.0,294.0,430800.0,652900.0,580800.0
238,20240527,DATA,294.0,0.0,314.0,270.0,282.0,13417900.0,-12.0,3945017400.0,2981.0,284.0,13700.0,282.0,274600.0,57500.0,52900.0
238,20240528,DATA,282.0,0.0,346.0,258.0,340.0,51468900.0,58.0,16620576200.0,9676.0,342.0,127500.0,340.0,201300.0,53500.0,91000.0
238,20240529,DATA,340.0,0.0,362.0,314.0,328.0,22977600.0,-12.0,7701384000.0,5109.0,330.0,88400.0,328.0,61900.0,97600.0,15800.0
238,20240530,DATA,328.0,0.0,368.0,318.0,338.0,35239800.0,10.0,12061522200.0,5980.0,338.0,9600.0,336.0,50200.0,25600.0,95000.0
238,20240531,DATA,338.0,0.0,342.0,304.0,310.0,22171500.0,-28.0,7117809800.0,3857.0,312.0,17200.0,310.0,349900.0,54900.0,47600.0
238,20240603,DATA,310.0,0.0,324.0,294.0,310.0,6496100.0,0.0,2033170000.0,1639.0,312.0,22300.0,310.0,322400.0,63800.0,32100.0
238,20240604,DATA,310.0,0.0,316.0,306.0,308.0,4001400.0,-2.0,1238294600.0,1056.0,308.0,53500.0,306.0,279900.0,18900.0,68500.0
238,20240605,DATA,308.0,0.0,328.0,302.0,314.0,7874000.0,6.0,2486861000.0,1944.0,314.0,184500.0,312.0,39900.0,5200.0,30600.0
238,20240606,DATA,314.0,0.0,322.0,302.0,306.0,5515800.0,-8.0,1719670200.0,1157.0,306.0,28000.0,304.0,155500.0,35600.0,11000.0
238,20240607,DATA,306.0,0.0,312.0,306.0,312.0,2205200.0,6.0,682028600.0,539.0,312.0,217800.0,310.0,15900.0,12000.0,55600.0
239,20240610,DATA,312.0,0.0,314.0,294.0,304.0,5721500.0,-8.0,1725321200.0,1319.0,306.0,500.0,304.0,63100.0,37100.0,11300.0
239,20240611,DATA,304.0,0.0,312.0,296.0,300.0,4845700.0,-4.0,1469594600.0,887.0,300.0,110000.0,298.0,448600.0,17800.0,16100.0
239,20240612,DATA,300.0,0.0,310.0,226.0,300.0,39686500.0,0.0,9996273600.0,2582.0,300.0,22700.0,294.0,11000.0,125600.0,114200.0
239,20240613,DATA,300.0,0.0,308.0,288.0,308.0,2886400.0,8.0,868727800.0,556.0,308.0,257900.0,302.0,600.0,14300.0,11400.0
239,20240614,DATA,308.0,0.0,342.0,306.0,342.0,28537800.0,34.0,9435918800.0,6070.0,344.0,166300.0,342.0,159200.0,23800.0,23600.0
239,20240619,DATA,342.0,0.0,362.0,328.0,348.0,18150100.0,6.0,6329997000.0,3894.0,348.0,81000.0,346.0,57200.0,19500.0,7800.0
239,20240620,DATA,348.0,0.0,390.0,348.0,384.0,22972100.0,36.0,8538600600.0,4916.0,384.0,868300.0,382.0,36800.0,11900.0,25500.0
239,20240621,DATA,384.0,0.0,398.0,358.0,386.0,15215100.0,2.0,5731338000.0,3378.0,386.0,67100.0,384.0,11500.0,23600.0,110600.0
239,20240624,DATA,386.0,0.0,442.0,374.0,440.0,31781300.0,54.0,13316980000.0,6755.0,440.0,236000.0,438.0,13300.0,375000.0,5730300.0
239,20240625,DATA,440.0,0.0,472.0,430.0,448.0,29358700.0,8.0,13392392800.0,6610.0,450.0,48200.0,448.0,11800.0,599400.0,2375900.0
239,20240626,DATA,448.0,0.0,466.0,426.0,464.0,9235100.0,16.0,4147913800.0,2622.0,464.0,419800.0,462.0,690400.0,568700.0,779100.0
239,20240627,DATA,464.0,0.0,492.0,450.0,450.0,23398100.0,-14.0,11010146400.0,5705.0,450.0,208800.0,448.0,109300.0,2012900.0,188700.0
239,20240628,DATA,450.0,0.0,452.0,412.0,414.0,25824600.0,-36.0,11052936200.0,6149.0,414.0,63700.0,412.0,614500.0,1729200.0,989100.0
239,20240701,DATA,414.0,0.0,422.0,380.0,380.0,18599500.0,-34.0,7342513200.0,5189.0,382.0,6700.0,380.0,1494100.0,2326400.0,502200.0
239,20240702,DATA,380.0,0.0,394.0,352.0,360.0,31085200.0,-20.0,11618535200.0,5497.0,362.0,40600.0,360.0,1327600.0,2013000.0,1270600.0
239,20240703,DATA,360.0,0.0,364.0,328.0,348.0,18401800.0,-12.0,6325503400.0,4216.0,348.0,245500.0,346.0,290700.0,2064500.0,682800.0
239,20240704,DATA,348.0,0.0,386.0,322.0,386.0,28146000.0,38.0,10271066200.0,4451.0,388.0,112800.0,386.0,270900.0,978000.0,1810700.0
239,20240705,DATA,386.0,0.0,392.0,370.0,372.0,7704900.0,-14.0,2906964200.0,1816.0,372.0,186600.0,370.0,269100.0,939700.0,23800.0
240,20240708,DATA,372.0,0.0,376.0,300.0,358.0,20124900.0,-14.0,6869886800.0,3558.0,358.0,157900.0,356.0,47500.0,559500.0,2225900.0
240,20240709,DATA,358.0,0.0,358.0,334.0,346.0,5011400.0,-12.0,1755415600.0,1336.0,346.0,77200.0,344.0,401400.0,18200.0,1029900.0
240,20240710,DATA,346.0,0.0,366.0,346.0,354.0,4123500.0,8.0,1481575400.0,1254.0,354.0,50800.0,352.0,144400.0,290400.0,173500.0
240,20240711,DATA,354.0,0.0,372.0,352.0,358.0,5038800.0,4.0,1818722800.0,1219.0,358.0,4800.0,356.0,158400.0,533000.0,795500.0
