No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
219,20221230,DEPO,480.0,0.0,482.0,474.0,480.0,493700.0,0.0,236876000.0,35.0,482.0,26200.0,476.0,10100.0,0.0,0.0
219,20230102,DEPO,480.0,0.0,480.0,456.0,468.0,48900.0,-12.0,22813400.0,30.0,472.0,900.0,468.0,500.0,0.0,0.0
219,20230103,DEPO,468.0,0.0,480.0,472.0,478.0,1700.0,10.0,809000.0,6.0,478.0,12200.0,472.0,500.0,0.0,400.0
219,20230104,DEPO,478.0,0.0,484.0,478.0,484.0,251600.0,6.0,121436800.0,48.0,484.0,24000.0,480.0,500.0,700.0,0.0
219,20230105,DEPO,484.0,0.0,484.0,470.0,472.0,56000.0,-12.0,26514200.0,27.0,474.0,1100.0,472.0,18100.0,2600.0,0.0
221,20230106,DEPO,472.0,0.0,482.0,474.0,482.0,469000.0,10.0,225898200.0,47.0,484.0,37200.0,482.0,54900.0,0.0,3200.0
222,20230109,DEPO,482.0,0.0,490.0,478.0,484.0,441400.0,2.0,214866000.0,83.0,484.0,24400.0,482.0,500.0,29000.0,330000.0
222,20230110,DEPO,484.0,0.0,484.0,472.0,482.0,118900.0,-2.0,57179800.0,37.0,482.0,9100.0,480.0,500.0,600.0,13100.0
223,20230111,DEPO,482.0,0.0,482.0,472.0,482.0,60900.0,0.0,29121000.0,27.0,480.0,2000.0,476.0,176100.0,1100.0,23100.0
223,20230112,DEPO,482.0,0.0,482.0,476.0,482.0,35700.0,0.0,17017400.0,17.0,482.0,70000.0,478.0,3300.0,200.0,28000.0
223,20230113,DEPO,482.0,0.0,480.0,476.0,480.0,33200.0,-2.0,15804400.0,10.0,480.0,9700.0,478.0,200.0,0.0,29600.0
223,20230116,DEPO,480.0,0.0,484.0,472.0,482.0,325700.0,2.0,156963400.0,30.0,482.0,1400.0,476.0,122700.0,600.0,0.0
223,20230117,DEPO,482.0,0.0,484.0,478.0,484.0,295200.0,2.0,142200400.0,28.0,484.0,111900.0,480.0,50200.0,1200.0,0.0
223,20230118,DEPO,484.0,0.0,484.0,476.0,484.0,108100.0,0.0,52040200.0,37.0,484.0,28800.0,478.0,28300.0,700.0,0.0
223,20230119,DEPO,484.0,0.0,482.0,478.0,482.0,11700.0,-2.0,5602000.0,8.0,482.0,43500.0,478.0,19800.0,0.0,0.0
223,20230120,DEPO,482.0,0.0,484.0,478.0,484.0,116200.0,2.0,55779000.0,17.0,484.0,67000.0,478.0,50000.0,1100.0,0.0
223,20230124,DEPO,484.0,0.0,486.0,478.0,486.0,307300.0,2.0,148730800.0,31.0,486.0,13300.0,484.0,104500.0,0.0,0.0
223,20230125,DEPO,486.0,0.0,486.0,482.0,484.0,123400.0,-2.0,59554200.0,21.0,484.0,26400.0,482.0,95700.0,800.0,0.0
223,20230126,DEPO,484.0,0.0,484.0,482.0,482.0,55400.0,-2.0,26718200.0,17.0,482.0,28800.0,480.0,340300.0,0.0,100.0
223,20230127,DEPO,482.0,0.0,486.0,480.0,484.0,488800.0,2.0,237134200.0,48.0,484.0,53300.0,480.0,334500.0,0.0,429000.0
223,20230130,DEPO,484.0,0.0,486.0,482.0,486.0,123600.0,2.0,59878000.0,41.0,486.0,8000.0,484.0,5000.0,0.0,11000.0
223,20230131,DEPO,486.0,0.0,488.0,480.0,484.0,340400.0,-2.0,164738200.0,42.0,484.0,25500.0,482.0,118000.0,0.0,166600.0
223,20230201,DEPO,484.0,0.0,484.0,482.0,484.0,123400.0,0.0,59517200.0,24.0,484.0,97700.0,482.0,16800.0,0.0,104200.0
223,20230202,DEPO,484.0,0.0,484.0,480.0,484.0,45600.0,0.0,22007200.0,23.0,484.0,90300.0,480.0,344700.0,0.0,11800.0
223,20230203,DEPO,484.0,0.0,484.0,482.0,484.0,8600.0,0.0,4162200.0,6.0,484.0,74700.0,482.0,3500.0,0.0,0.0
223,20230206,DEPO,484.0,0.0,486.0,480.0,484.0,181000.0,0.0,87574800.0,19.0,484.0,20800.0,480.0,335900.0,51300.0,170000.0
223,20230207,DEPO,484.0,0.0,484.0,474.0,482.0,25400.0,-2.0,12112400.0,23.0,482.0,313500.0,480.0,326700.0,0.0,3500.0
224,20230208,DEPO,482.0,0.0,484.0,476.0,480.0,359000.0,-2.0,173650200.0,20.0,482.0,24800.0,476.0,1900.0,0.0,330000.0
224,20230209,DEPO,480.0,0.0,482.0,448.0,470.0,160500.0,-10.0,75362800.0,48.0,470.0,1200.0,462.0,8000.0,0.0,0.0
224,20230210,DEPO,470.0,0.0,476.0,438.0,464.0,551300.0,-6.0,247334800.0,71.0,464.0,400.0,460.0,27600.0,0.0,0.0
224,20230213,DEPO,464.0,0.0,470.0,450.0,470.0,73200.0,6.0,33936000.0,48.0,470.0,5400.0,468.0,1400.0,0.0,0.0
224,20230214,DEPO,470.0,0.0,476.0,462.0,476.0,86100.0,6.0,40463600.0,29.0,476.0,13000.0,472.0,1400.0,0.0,0.0
224,20230215,DEPO,476.0,0.0,476.0,460.0,476.0,5900.0,0.0,2768800.0,10.0,474.0,1000.0,472.0,500.0,0.0,0.0
224,20230216,DEPO,476.0,0.0,476.0,460.0,476.0,99700.0,0.0,46695400.0,39.0,476.0,29800.0,472.0,100.0,1400.0,0.0
224,20230217,DEPO,476.0,0.0,470.0,464.0,470.0,70100.0,-6.0,32874400.0,17.0,470.0,10900.0,468.0,10000.0,0.0,0.0
224,20230220,DEPO,470.0,0.0,472.0,468.0,468.0,33500.0,-2.0,15795400.0,13.0,468.0,25000.0,466.0,200.0,0.0,0.0
224,20230221,DEPO,468.0,0.0,468.0,454.0,468.0,16300.0,0.0,7505600.0,22.0,468.0,8000.0,464.0,1000.0,100.0,0.0
224,20230222,DEPO,468.0,0.0,468.0,460.0,468.0,5500.0,0.0,2534800.0,7.0,468.0,30300.0,464.0,100.0,0.0,0.0
224,20230223,DEPO,468.0,0.0,468.0,452.0,468.0,81700.0,0.0,37858400.0,30.0,468.0,25500.0,466.0,100.0,0.0,0.0
224,20230224,DEPO,468.0,0.0,472.0,464.0,472.0,161400.0,4.0,75688200.0,51.0,472.0,49100.0,470.0,3200.0,0.0,0.0
224,20230227,DEPO,472.0,0.0,472.0,458.0,470.0,22900.0,-2.0,10620200.0,15.0,470.0,9400.0,466.0,500.0,4200.0,0.0
224,20230228,DEPO,470.0,0.0,470.0,462.0,470.0,29900.0,0.0,14050200.0,18.0,470.0,14100.0,462.0,300.0,0.0,0.0
224,20230301,DEPO,470.0,0.0,478.0,464.0,478.0,170100.0,8.0,80529400.0,38.0,480.0,30200.0,476.0,5000.0,0.0,0.0
224,20230302,DEPO,478.0,0.0,480.0,464.0,478.0,93100.0,0.0,44446400.0,34.0,480.0,30800.0,470.0,3700.0,2400.0,0.0
225,20230303,DEPO,478.0,0.0,488.0,478.0,486.0,1088300.0,8.0,528667600.0,84.0,488.0,114500.0,486.0,310000.0,0.0,1040200.0
225,20230306,DEPO,486.0,0.0,488.0,460.0,478.0,39500.0,-8.0,18815600.0,28.0,476.0,20000.0,470.0,10000.0,0.0,0.0
225,20230307,DEPO,478.0,0.0,484.0,466.0,482.0,372500.0,4.0,179085200.0,66.0,484.0,60300.0,478.0,1400.0,3400.0,309800.0
226,20230308,DEPO,482.0,0.0,484.0,470.0,480.0,73200.0,-2.0,35038800.0,36.0,480.0,2900.0,472.0,3600.0,0.0,0.0
226,20230309,DEPO,480.0,0.0,480.0,470.0,480.0,288400.0,0.0,136358600.0,26.0,480.0,5300.0,478.0,6000.0,250000.0,0.0
226,20230310,DEPO,480.0,0.0,480.0,472.0,480.0,26900.0,0.0,12860000.0,10.0,480.0,40300.0,472.0,400.0,0.0,0.0
226,20230313,DEPO,480.0,0.0,480.0,466.0,480.0,10900.0,0.0,5138400.0,13.0,480.0,46000.0,472.0,500.0,0.0,0.0
226,20230314,DEPO,480.0,0.0,480.0,462.0,470.0,55000.0,-10.0,26150800.0,31.0,470.0,181200.0,468.0,200.0,0.0,0.0
226,20230315,DEPO,470.0,0.0,476.0,464.0,476.0,69100.0,6.0,32689400.0,31.0,476.0,5000.0,470.0,200.0,0.0,2300.0
226,20230316,DEPO,476.0,0.0,476.0,470.0,470.0,19400.0,-6.0,9178200.0,10.0,470.0,3500.0,468.0,100.0,500.0,0.0
226,20230317,DEPO,470.0,0.0,468.0,462.0,468.0,45800.0,-2.0,21373800.0,25.0,468.0,11800.0,464.0,200.0,800.0,0.0
226,20230320,DEPO,468.0,0.0,468.0,456.0,468.0,31000.0,0.0,14492400.0,6.0,468.0,12000.0,464.0,10200.0,0.0,0.0
226,20230321,DEPO,468.0,0.0,466.0,458.0,466.0,32700.0,-2.0,15206200.0,11.0,466.0,7900.0,464.0,30000.0,0.0,0.0
226,20230324,DEPO,466.0,0.0,470.0,458.0,464.0,33400.0,-2.0,15607400.0,27.0,464.0,9000.0,458.0,1800.0,0.0,0.0
226,20230327,DEPO,464.0,0.0,472.0,458.0,472.0,43600.0,8.0,20129400.0,29.0,472.0,6200.0,470.0,500.0,0.0,900.0
226,20230328,DEPO,472.0,0.0,474.0,452.0,470.0,51800.0,-2.0,24171400.0,30.0,470.0,9300.0,466.0,600.0,0.0,0.0
226,20230329,DEPO,470.0,0.0,470.0,452.0,470.0,51900.0,0.0,24197600.0,14.0,470.0,12700.0,458.0,1200.0,0.0,0.0
226,20230330,DEPO,470.0,0.0,470.0,466.0,468.0,61300.0,-2.0,28627800.0,8.0,468.0,2700.0,466.0,1200.0,0.0,0.0
226,20230331,DEPO,468.0,0.0,470.0,462.0,470.0,61500.0,2.0,28730200.0,26.0,470.0,20600.0,464.0,700.0,0.0,2100.0
