No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
256,20250113,DGWG,230.0,250.0,286.0,250.0,286.0,259560500.0,56.0,71063516800.0,61872.0,0.0,0.0,286.0,35724500.0,2768300.0,1513800.0
256,20250114,DGWG,286.0,290.0,330.0,256.0,314.0,212092500.0,28.0,63544024000.0,30040.0,316.0,218500.0,314.0,16245900.0,1069500.0,108300.0
256,20250115,DGWG,314.0,316.0,320.0,292.0,304.0,48252900.0,-10.0,14726042400.0,9207.0,304.0,1909100.0,302.0,1338200.0,14600.0,16200.0
256,20250116,DGWG,304.0,304.0,304.0,274.0,282.0,29804400.0,-22.0,8504905200.0,6860.0,284.0,245700.0,282.0,10324000.0,185400.0,223700.0
256,20250117,DGWG,282.0,288.0,316.0,284.0,290.0,48082600.0,8.0,14417465400.0,9490.0,290.0,887300.0,288.0,58200.0,814500.0,687700.0
256,20250120,DGWG,290.0,284.0,296.0,282.0,286.0,11358800.0,-4.0,3248671600.0,2762.0,288.0,71800.0,286.0,176000.0,545700.0,552100.0
256,20250121,DGWG,286.0,286.0,290.0,276.0,280.0,9205200.0,-6.0,2580451600.0,2314.0,282.0,153400.0,278.0,112900.0,1050600.0,316600.0
256,20250122,DGWG,280.0,278.0,288.0,276.0,282.0,14166100.0,2.0,4007838800.0,4882.0,282.0,321800.0,280.0,1071200.0,575800.0,72400.0
256,20250123,DGWG,282.0,284.0,310.0,280.0,302.0,25246900.0,20.0,7480021600.0,5265.0,304.0,203600.0,302.0,1100.0,746600.0,1040100.0
256,20250124,DGWG,302.0,304.0,334.0,298.0,310.0,31485100.0,8.0,9765313800.0,7064.0,312.0,68800.0,310.0,1571500.0,773500.0,1090900.0
256,20250130,DGWG,310.0,310.0,370.0,302.0,350.0,44343700.0,40.0,14918381000.0,9445.0,352.0,45400.0,350.0,74400.0,3188900.0,3162900.0
256,20250131,DGWG,350.0,352.0,356.0,334.0,344.0,27440600.0,-6.0,9379857000.0,5633.0,346.0,173500.0,344.0,186500.0,778500.0,2212700.0
256,20250203,DGWG,344.0,342.0,366.0,328.0,358.0,32458600.0,14.0,11251897000.0,8401.0,360.0,231400.0,358.0,454100.0,318900.0,1106900.0
256,20250204,DGWG,358.0,360.0,416.0,360.0,402.0,50719600.0,44.0,19742878200.0,12673.0,404.0,11700.0,402.0,236000.0,1072700.0,3239500.0
256,20250205,DGWG,402.0,404.0,494.0,394.0,480.0,79381400.0,78.0,36081746200.0,16702.0,482.0,11700.0,480.0,4529900.0,6803600.0,12243400.0
256,20250206,DGWG,480.0,484.0,545.0,412.0,430.0,98636400.0,-50.0,47416455700.0,24147.0,432.0,30400.0,430.0,117200.0,10694200.0,11850900.0
256,20250207,DGWG,430.0,430.0,434.0,384.0,408.0,38188800.0,-22.0,15681633800.0,10330.0,410.0,200.0,408.0,14500.0,3585200.0,2743100.0
256,20250210,DGWG,408.0,412.0,446.0,376.0,400.0,27317600.0,-8.0,11024585600.0,6987.0,402.0,176900.0,400.0,77300.0,4253900.0,1779900.0
256,20250211,DGWG,400.0,400.0,404.0,384.0,386.0,31661800.0,-14.0,12373305200.0,9034.0,386.0,24300.0,384.0,284500.0,1001300.0,2239900.0
256,20250212,DGWG,386.0,386.0,434.0,384.0,434.0,40930500.0,48.0,16800209600.0,10939.0,436.0,188000.0,434.0,173100.0,2518200.0,2905900.0
256,20250213,DGWG,434.0,436.0,438.0,402.0,402.0,30794600.0,-32.0,12781922200.0,8482.0,404.0,10000.0,402.0,61200.0,3963100.0,764300.0
