No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
225,20221230,DIGI,50.0,0.0,50.0,50.0,50.0,48500.0,0.0,2425000.0,5.0,50.0,22113700.0,0.0,0.0,0.0,0.0
225,20230102,DIGI,50.0,0.0,50.0,50.0,50.0,5600.0,0.0,280000.0,6.0,50.0,24557600.0,0.0,0.0,0.0,0.0
225,20230103,DIGI,50.0,0.0,50.0,50.0,50.0,30400.0,0.0,1520000.0,7.0,50.0,28046400.0,0.0,0.0,0.0,0.0
225,20230104,DIGI,50.0,0.0,50.0,50.0,50.0,18700.0,0.0,935000.0,9.0,50.0,27846700.0,0.0,0.0,0.0,0.0
225,20230105,DIGI,50.0,0.0,50.0,50.0,50.0,13600.0,0.0,680000.0,5.0,50.0,25058100.0,0.0,0.0,0.0,0.0
227,20230106,DIGI,50.0,0.0,50.0,50.0,50.0,5100.0,0.0,255000.0,2.0,50.0,25079300.0,0.0,0.0,0.0,0.0
228,20230109,DIGI,50.0,0.0,50.0,50.0,50.0,1100.0,0.0,55000.0,2.0,50.0,25985100.0,0.0,0.0,0.0,0.0
228,20230110,DIGI,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,3.0,50.0,32034700.0,0.0,0.0,0.0,0.0
229,20230111,DIGI,50.0,0.0,50.0,50.0,50.0,88900.0,0.0,4445000.0,7.0,50.0,26926000.0,0.0,0.0,0.0,0.0
229,20230112,DIGI,50.0,0.0,50.0,50.0,50.0,20200.0,0.0,1010000.0,4.0,50.0,29779300.0,0.0,0.0,0.0,0.0
229,20230113,DIGI,50.0,0.0,50.0,50.0,50.0,296300.0,0.0,14815000.0,6.0,50.0,28883300.0,0.0,0.0,0.0,0.0
229,20230116,DIGI,50.0,0.0,50.0,50.0,50.0,8700.0,0.0,435000.0,6.0,50.0,28895900.0,0.0,0.0,0.0,0.0
229,20230117,DIGI,50.0,0.0,50.0,50.0,50.0,14400.0,0.0,720000.0,4.0,50.0,22879900.0,0.0,0.0,0.0,0.0
229,20230118,DIGI,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,2.0,50.0,26060500.0,0.0,0.0,0.0,0.0
229,20230119,DIGI,50.0,0.0,50.0,50.0,50.0,201800.0,0.0,10090000.0,8.0,50.0,23625700.0,0.0,0.0,0.0,0.0
229,20230120,DIGI,50.0,0.0,50.0,50.0,50.0,1300.0,0.0,65000.0,6.0,50.0,23452600.0,0.0,0.0,0.0,0.0
229,20230124,DIGI,50.0,0.0,50.0,50.0,50.0,852200.0,0.0,42610000.0,38.0,50.0,25703600.0,0.0,0.0,0.0,0.0
229,20230125,DIGI,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,26500300.0,0.0,0.0,0.0,0.0
229,20230126,DIGI,50.0,0.0,50.0,50.0,50.0,3300.0,0.0,165000.0,7.0,50.0,27224300.0,0.0,0.0,0.0,0.0
229,20230127,DIGI,50.0,0.0,50.0,50.0,50.0,14100.0,0.0,705000.0,79.0,50.0,19408000.0,0.0,0.0,0.0,0.0
229,20230130,DIGI,50.0,0.0,50.0,50.0,50.0,1800.0,0.0,90000.0,13.0,50.0,23815200.0,0.0,0.0,0.0,0.0
229,20230131,DIGI,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,3.0,50.0,28071400.0,0.0,0.0,0.0,0.0
229,20230201,DIGI,50.0,0.0,50.0,50.0,50.0,25500.0,0.0,1275000.0,8.0,50.0,27373800.0,0.0,0.0,0.0,0.0
229,20230202,DIGI,50.0,0.0,50.0,50.0,50.0,20600.0,0.0,1030000.0,2.0,50.0,27016700.0,0.0,0.0,0.0,0.0
229,20230203,DIGI,50.0,0.0,50.0,50.0,50.0,29200.0,0.0,1460000.0,5.0,50.0,24574000.0,0.0,0.0,0.0,0.0
229,20230206,DIGI,50.0,0.0,50.0,50.0,50.0,20800.0,0.0,1040000.0,5.0,50.0,26938300.0,0.0,0.0,0.0,0.0
229,20230207,DIGI,50.0,0.0,50.0,50.0,50.0,20300.0,0.0,1015000.0,3.0,50.0,25515100.0,0.0,0.0,0.0,0.0
230,20230208,DIGI,50.0,0.0,50.0,50.0,50.0,20300.0,0.0,1015000.0,4.0,50.0,25545200.0,0.0,0.0,0.0,0.0
230,20230209,DIGI,50.0,0.0,50.0,50.0,50.0,22200.0,0.0,1110000.0,12.0,50.0,22772400.0,0.0,0.0,0.0,0.0
230,20230210,DIGI,50.0,0.0,50.0,50.0,50.0,28900.0,0.0,1445000.0,4.0,50.0,20296200.0,0.0,0.0,0.0,0.0
230,20230213,DIGI,50.0,0.0,50.0,50.0,50.0,21100.0,0.0,1055000.0,12.0,50.0,21776200.0,0.0,0.0,0.0,0.0
230,20230214,DIGI,50.0,0.0,50.0,50.0,50.0,20300.0,0.0,1015000.0,4.0,50.0,19232400.0,0.0,0.0,0.0,0.0
230,20230215,DIGI,50.0,0.0,50.0,50.0,50.0,31200.0,0.0,1560000.0,10.0,50.0,20449800.0,0.0,0.0,0.0,0.0
