No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
261,20250508,DKHH,132.0,178.0,178.0,178.0,178.0,61016400.0,46.0,10860919200.0,6632.0,0.0,0.0,178.0,584556500.0,6500.0,1000000.0
261,20250509,DKHH,178.0,240.0,240.0,152.0,152.0,398004800.0,-26.0,73297253600.0,61456.0,152.0,68474500.0,0.0,0.0,1040600.0,657400.0
261,20250514,DKHH,152.0,130.0,132.0,130.0,130.0,57074300.0,-22.0,7422128000.0,7758.0,130.0,63512300.0,0.0,0.0,500.0,300000.0
261,20250515,DKHH,130.0,111.0,118.0,111.0,111.0,133607900.0,-19.0,14842894300.0,14336.0,111.0,32800900.0,0.0,0.0,25900.0,9000.0
261,20250516,DKHH,111.0,95.0,95.0,95.0,95.0,122721400.0,-16.0,11658533000.0,6267.0,95.0,66599600.0,0.0,0.0,0.0,0.0
261,20250519,DKHH,95.0,81.0,97.0,81.0,87.0,679519900.0,-8.0,60222729800.0,43051.0,87.0,413900.0,86.0,23921100.0,442200.0,200200.0
261,20250520,DKHH,87.0,88.0,89.0,74.0,74.0,600978400.0,-13.0,49022481900.0,26740.0,74.0,9801500.0,0.0,0.0,32200.0,954000.0
261,20250521,DKHH,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,20250522,DKHH,74.0,74.0,78.0,72.0,74.0,121640700.0,0.0,9212401000.0,8666.0,75.0,304700.0,74.0,1437000.0,135400.0,7425700.0
261,20250523,DKHH,74.0,74.0,76.0,70.0,71.0,39814800.0,-3.0,2901716200.0,4435.0,71.0,387400.0,70.0,2079700.0,130200.0,189900.0
261,20250526,DKHH,71.0,71.0,76.0,62.0,67.0,98504800.0,-4.0,6767406900.0,7725.0,67.0,7500.0,66.0,1567100.0,16998200.0,9099900.0
261,20250527,DKHH,67.0,67.0,73.0,66.0,69.0,41012400.0,2.0,2860572700.0,3654.0,70.0,1214800.0,69.0,589100.0,1114600.0,1715800.0
261,20250528,DKHH,69.0,70.0,72.0,68.0,68.0,21155900.0,-1.0,1469539800.0,2569.0,68.0,2257700.0,67.0,583100.0,715000.0,162400.0
261,20250602,DKHH,68.0,68.0,70.0,65.0,67.0,28842700.0,-1.0,1946360000.0,2371.0,68.0,478900.0,67.0,889400.0,2547100.0,2381600.0
261,20250603,DKHH,67.0,67.0,68.0,65.0,66.0,11423700.0,-1.0,750967200.0,1895.0,66.0,1632100.0,65.0,250600.0,31000.0,87500.0
261,20250604,DKHH,66.0,66.0,67.0,64.0,66.0,14441600.0,0.0,947539800.0,1547.0,67.0,4488700.0,66.0,309800.0,86100.0,234800.0
261,20250605,DKHH,66.0,67.0,78.0,66.0,72.0,137351900.0,6.0,10067032300.0,11375.0,72.0,280700.0,71.0,2009100.0,1098000.0,2380000.0
261,20250610,DKHH,72.0,72.0,72.0,69.0,69.0,28228600.0,-3.0,1985087600.0,2485.0,70.0,614000.0,69.0,4033000.0,2153700.0,975200.0
