No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
230,20221230,DMAS,160.0,0.0,160.0,158.0,159.0,10120000.0,-1.0,1611812900.0,1271.0,160.0,2739700.0,159.0,728500.0,998000.0,9100.0
230,20230102,DMAS,159.0,0.0,160.0,158.0,160.0,6618600.0,1.0,1054006500.0,987.0,160.0,2087500.0,159.0,2211200.0,657600.0,58100.0
230,20230103,DMAS,160.0,0.0,161.0,159.0,160.0,4586400.0,0.0,733350300.0,1361.0,160.0,173900.0,159.0,12302100.0,497100.0,460800.0
230,20230104,DMAS,160.0,0.0,161.0,159.0,159.0,7961000.0,-1.0,1271329800.0,1339.0,160.0,954000.0,159.0,16900900.0,935800.0,367000.0
230,20230105,DMAS,159.0,0.0,160.0,158.0,158.0,22642900.0,-1.0,3598123500.0,2430.0,158.0,275400.0,157.0,3058000.0,3325000.0,1175900.0
232,20230106,DMAS,158.0,0.0,159.0,156.0,159.0,5416400.0,1.0,855839200.0,1047.0,159.0,477300.0,158.0,2404500.0,194900.0,154800.0
233,20230109,DMAS,159.0,0.0,160.0,158.0,159.0,8899900.0,0.0,1413559600.0,1577.0,160.0,2959200.0,159.0,285100.0,1911400.0,273700.0
233,20230110,DMAS,159.0,0.0,161.0,158.0,159.0,8364000.0,0.0,1328892100.0,1454.0,159.0,326200.0,158.0,3163300.0,2560800.0,236400.0
234,20230111,DMAS,159.0,0.0,160.0,157.0,159.0,8846600.0,0.0,1399017800.0,1710.0,159.0,1149700.0,158.0,1752900.0,1079200.0,1054400.0
234,20230112,DMAS,159.0,0.0,159.0,158.0,159.0,7890900.0,0.0,1248956700.0,1361.0,159.0,1059000.0,158.0,4502300.0,2037700.0,341700.0
234,20230113,DMAS,159.0,0.0,159.0,157.0,158.0,13028500.0,-1.0,2059641200.0,2078.0,159.0,1689300.0,158.0,1008300.0,4398000.0,28900.0
234,20230116,DMAS,158.0,0.0,159.0,157.0,158.0,5027500.0,0.0,797303100.0,1070.0,159.0,571900.0,158.0,5142100.0,501400.0,1165500.0
234,20230117,DMAS,158.0,0.0,161.0,158.0,161.0,22170500.0,3.0,3544674400.0,1500.0,161.0,1889200.0,160.0,480600.0,800500.0,3352000.0
234,20230118,DMAS,161.0,0.0,163.0,160.0,161.0,9549200.0,0.0,1544111500.0,1352.0,162.0,1553500.0,161.0,3288000.0,266600.0,10500.0
234,20230119,DMAS,161.0,0.0,164.0,160.0,164.0,19878000.0,3.0,3241832400.0,1825.0,164.0,2479800.0,163.0,5057100.0,105500.0,10500.0
234,20230120,DMAS,164.0,0.0,165.0,162.0,163.0,10540000.0,-1.0,1717928700.0,1277.0,164.0,2144300.0,163.0,224700.0,115200.0,220400.0
234,20230124,DMAS,163.0,0.0,165.0,162.0,165.0,14871500.0,2.0,2434932800.0,1277.0,165.0,2527500.0,164.0,345400.0,0.0,28000.0
234,20230125,DMAS,165.0,0.0,169.0,164.0,165.0,59327600.0,0.0,9857477100.0,39910.0,166.0,748300.0,165.0,1371600.0,1300700.0,20600.0
234,20230126,DMAS,165.0,0.0,166.0,164.0,165.0,12932200.0,0.0,2131455000.0,1480.0,166.0,1668500.0,165.0,1645900.0,603900.0,31200.0
234,20230127,DMAS,165.0,0.0,168.0,165.0,167.0,26513300.0,2.0,4418110100.0,2263.0,167.0,255800.0,166.0,775100.0,3877500.0,967000.0
234,20230130,DMAS,167.0,0.0,168.0,165.0,165.0,9779700.0,-2.0,1621467300.0,1444.0,166.0,489600.0,165.0,3763800.0,330900.0,18000.0
234,20230131,DMAS,165.0,0.0,167.0,164.0,166.0,8730100.0,1.0,1444486500.0,1277.0,166.0,1544700.0,165.0,925900.0,762200.0,1202900.0
234,20230201,DMAS,166.0,0.0,171.0,166.0,170.0,61163100.0,4.0,10307372300.0,2731.0,170.0,486400.0,169.0,2298900.0,13413900.0,10448200.0
234,20230202,DMAS,170.0,0.0,173.0,168.0,171.0,40583000.0,1.0,6925171300.0,3414.0,171.0,259300.0,170.0,1844200.0,10716500.0,265300.0
234,20230203,DMAS,171.0,0.0,179.0,170.0,170.0,30496000.0,-1.0,5236823300.0,2578.0,171.0,113300.0,170.0,4639700.0,2099100.0,114000.0
234,20230206,DMAS,170.0,0.0,174.0,169.0,171.0,18168700.0,1.0,3121335100.0,2028.0,171.0,693700.0,170.0,1687900.0,1154500.0,2308200.0
234,20230207,DMAS,171.0,0.0,173.0,169.0,169.0,20683100.0,-2.0,3516980800.0,2438.0,170.0,1058400.0,169.0,46200.0,1558000.0,254000.0
235,20230208,DMAS,169.0,0.0,171.0,168.0,168.0,10833400.0,-1.0,1831786500.0,1620.0,169.0,112100.0,168.0,3706100.0,2490200.0,346600.0
235,20230209,DMAS,168.0,0.0,170.0,168.0,169.0,16137200.0,1.0,2732508100.0,1114.0,170.0,5555800.0,169.0,1616100.0,3686900.0,321600.0
235,20230210,DMAS,169.0,0.0,171.0,167.0,169.0,20376800.0,0.0,3430409300.0,2022.0,169.0,1320900.0,168.0,1638500.0,3528900.0,248900.0
235,20230213,DMAS,169.0,0.0,170.0,168.0,169.0,9446300.0,0.0,1597044300.0,1310.0,169.0,462500.0,168.0,2677100.0,292600.0,431700.0
235,20230214,DMAS,169.0,0.0,170.0,168.0,169.0,9717800.0,0.0,1638926500.0,1436.0,169.0,1855000.0,168.0,1793300.0,3086900.0,655400.0
235,20230215,DMAS,169.0,0.0,170.0,167.0,169.0,10305500.0,0.0,1734081400.0,1230.0,169.0,4914800.0,168.0,345600.0,84500.0,250600.0
235,20230216,DMAS,169.0,0.0,170.0,167.0,169.0,11488100.0,0.0,1934136300.0,1168.0,169.0,843100.0,168.0,4021700.0,1266700.0,233300.0
235,20230217,DMAS,169.0,0.0,170.0,168.0,168.0,4922400.0,-1.0,828181600.0,972.0,169.0,4274900.0,168.0,370500.0,240700.0,317200.0
