No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
238,20221230,DRMA,585.0,0.0,595.0,575.0,585.0,4922700.0,0.0,2869923500.0,187.0,585.0,54300.0,580.0,614500.0,2299700.0,2521500.0
238,20230102,DRMA,585.0,0.0,590.0,570.0,575.0,3633000.0,-10.0,2090249500.0,262.0,580.0,20800.0,575.0,419300.0,2150500.0,1650500.0
238,20230103,DRMA,575.0,0.0,595.0,570.0,590.0,3388300.0,15.0,1989590500.0,254.0,590.0,35200.0,585.0,623700.0,218800.0,1516300.0
238,20230104,DRMA,590.0,0.0,610.0,590.0,600.0,3794600.0,10.0,2292123000.0,381.0,605.0,1700.0,600.0,157400.0,977400.0,504000.0
238,20230105,DRMA,600.0,0.0,610.0,565.0,575.0,6032300.0,-25.0,3498610000.0,514.0,580.0,68600.0,575.0,678900.0,1775700.0,1164700.0
240,20230106,DRMA,575.0,0.0,585.0,570.0,575.0,1069100.0,0.0,617449000.0,215.0,585.0,33100.0,575.0,1105700.0,131100.0,224700.0
241,20230109,DRMA,575.0,0.0,595.0,575.0,580.0,1127200.0,5.0,659208500.0,184.0,580.0,122900.0,575.0,358200.0,188000.0,757100.0
241,20230110,DRMA,580.0,0.0,580.0,570.0,575.0,923100.0,-5.0,531044000.0,160.0,580.0,43400.0,575.0,1464800.0,78100.0,539800.0
242,20230111,DRMA,575.0,0.0,580.0,570.0,575.0,1595700.0,0.0,916718500.0,263.0,580.0,83700.0,575.0,454900.0,388700.0,1077400.0
242,20230112,DRMA,575.0,0.0,585.0,565.0,575.0,4652600.0,0.0,2655421000.0,274.0,575.0,9300.0,570.0,1080100.0,443900.0,1636300.0
242,20230113,DRMA,575.0,0.0,580.0,575.0,580.0,2016200.0,5.0,1168737000.0,153.0,580.0,64400.0,575.0,126800.0,44300.0,1645600.0
242,20230116,DRMA,580.0,0.0,585.0,570.0,585.0,2381600.0,5.0,1377655500.0,235.0,590.0,11700.0,585.0,672500.0,187800.0,1943200.0
242,20230117,DRMA,585.0,0.0,600.0,585.0,590.0,1992000.0,5.0,1178327000.0,345.0,595.0,110500.0,590.0,6200.0,802600.0,93100.0
242,20230118,DRMA,590.0,0.0,595.0,575.0,580.0,1508500.0,-10.0,876646500.0,380.0,585.0,1000.0,580.0,15800.0,211200.0,494500.0
242,20230119,DRMA,580.0,0.0,590.0,575.0,590.0,1603100.0,10.0,936694500.0,181.0,590.0,111600.0,585.0,20000.0,152200.0,194800.0
242,20230120,DRMA,590.0,0.0,595.0,580.0,580.0,434200.0,-10.0,252408000.0,156.0,585.0,13600.0,580.0,662300.0,35800.0,100600.0
242,20230124,DRMA,580.0,0.0,585.0,575.0,580.0,607700.0,0.0,351825000.0,150.0,585.0,54200.0,580.0,112100.0,135300.0,253300.0
242,20230125,DRMA,580.0,0.0,585.0,565.0,570.0,3504900.0,-10.0,2003572500.0,513.0,575.0,5900.0,570.0,212600.0,869500.0,638700.0
242,20230126,DRMA,570.0,0.0,585.0,570.0,585.0,755400.0,15.0,435100000.0,152.0,585.0,387200.0,580.0,100.0,310400.0,8300.0
242,20230127,DRMA,585.0,0.0,595.0,580.0,585.0,941500.0,0.0,552749000.0,195.0,590.0,205200.0,585.0,129500.0,314400.0,9000.0
242,20230130,DRMA,585.0,0.0,590.0,575.0,585.0,908900.0,0.0,531038000.0,297.0,585.0,487700.0,580.0,12700.0,389400.0,0.0
242,20230131,DRMA,585.0,0.0,585.0,570.0,580.0,3719900.0,-5.0,2146242500.0,613.0,580.0,177700.0,575.0,22800.0,2427800.0,500000.0
242,20230201,DRMA,580.0,0.0,590.0,575.0,585.0,2207000.0,5.0,1288000500.0,286.0,590.0,460100.0,585.0,209600.0,184100.0,506900.0
242,20230202,DRMA,585.0,0.0,625.0,580.0,600.0,15129900.0,15.0,9231407000.0,5138.0,600.0,759400.0,595.0,305600.0,1023500.0,2645400.0
242,20230203,DRMA,600.0,0.0,615.0,595.0,605.0,2804900.0,5.0,1700565500.0,453.0,610.0,1058200.0,605.0,84000.0,323400.0,14100.0
242,20230206,DRMA,605.0,0.0,610.0,580.0,580.0,3813500.0,-25.0,2246434500.0,548.0,585.0,92300.0,580.0,556800.0,418500.0,12500.0
242,20230207,DRMA,580.0,0.0,590.0,575.0,585.0,483000.0,5.0,282193500.0,123.0,590.0,765200.0,585.0,444400.0,153300.0,23900.0
243,20230208,DRMA,585.0,0.0,595.0,585.0,585.0,1337900.0,0.0,784244500.0,202.0,590.0,103300.0,585.0,262000.0,121500.0,78700.0
243,20230209,DRMA,585.0,0.0,605.0,585.0,600.0,4980500.0,15.0,2982963000.0,703.0,605.0,607200.0,600.0,625400.0,699200.0,4064100.0
243,20230210,DRMA,600.0,0.0,605.0,590.0,595.0,907400.0,-5.0,540099000.0,443.0,600.0,114200.0,595.0,400.0,153000.0,1800.0
243,20230213,DRMA,595.0,0.0,605.0,590.0,595.0,2070900.0,0.0,1235535500.0,391.0,600.0,22000.0,595.0,289500.0,259300.0,1296300.0
243,20230214,DRMA,595.0,0.0,600.0,590.0,590.0,1823000.0,-5.0,1082136500.0,354.0,600.0,339300.0,590.0,79000.0,282700.0,582000.0
243,20230215,DRMA,590.0,0.0,650.0,590.0,615.0,14460600.0,25.0,8898685500.0,1372.0,620.0,87700.0,615.0,3100.0,1080900.0,5726500.0
243,20230216,DRMA,615.0,0.0,645.0,605.0,625.0,13936300.0,10.0,8736927500.0,1848.0,625.0,140800.0,620.0,2000.0,1740700.0,2043200.0
243,20230217,DRMA,625.0,0.0,630.0,610.0,610.0,1953200.0,-15.0,1206332000.0,350.0,615.0,97100.0,610.0,418500.0,241200.0,4000.0
243,20230220,DRMA,610.0,0.0,625.0,605.0,610.0,2215300.0,0.0,1356416500.0,485.0,610.0,214400.0,605.0,518500.0,420500.0,185400.0
243,20230221,DRMA,610.0,0.0,650.0,605.0,640.0,13818800.0,30.0,8822637000.0,1363.0,645.0,22400.0,640.0,9000.0,1227300.0,16200.0
243,20230222,DRMA,640.0,0.0,660.0,620.0,625.0,10375700.0,-15.0,6589220500.0,1548.0,625.0,631900.0,620.0,1561800.0,1379500.0,14000.0
243,20230223,DRMA,625.0,0.0,720.0,635.0,720.0,79613300.0,95.0,54616966000.0,6313.0,725.0,713900.0,720.0,3325000.0,1639600.0,2112300.0
243,20230224,DRMA,720.0,0.0,765.0,695.0,740.0,31919100.0,20.0,23428179500.0,3810.0,745.0,4200.0,740.0,315300.0,235200.0,5973400.0
243,20230227,DRMA,740.0,0.0,770.0,725.0,760.0,11179600.0,20.0,8381232000.0,1436.0,760.0,486800.0,755.0,26000.0,2292600.0,4745500.0
243,20230228,DRMA,760.0,0.0,795.0,740.0,760.0,12244400.0,0.0,9410921000.0,1505.0,760.0,256000.0,755.0,61600.0,1767100.0,3136700.0
243,20230301,DRMA,760.0,0.0,780.0,750.0,760.0,10979600.0,0.0,8390917500.0,783.0,760.0,280800.0,755.0,99000.0,265700.0,5077700.0
243,20230302,DRMA,760.0,0.0,805.0,760.0,800.0,28046800.0,40.0,22177026000.0,2056.0,800.0,1369600.0,795.0,1000.0,329000.0,16595300.0
244,20230303,DRMA,800.0,0.0,810.0,765.0,800.0,16244400.0,0.0,12831516500.0,1729.0,800.0,310600.0,795.0,11200.0,735100.0,5351700.0
244,20230306,DRMA,800.0,0.0,810.0,790.0,805.0,5752000.0,5.0,4597466000.0,911.0,810.0,616500.0,805.0,146400.0,113400.0,1517300.0
244,20230307,DRMA,805.0,0.0,845.0,805.0,845.0,18001300.0,40.0,14953934000.0,1210.0,845.0,82800.0,840.0,15000.0,1147600.0,5453000.0
245,20230308,DRMA,845.0,0.0,855.0,800.0,835.0,11197800.0,-10.0,9253460000.0,1648.0,840.0,37700.0,835.0,2864400.0,570000.0,2431300.0
245,20230309,DRMA,835.0,0.0,910.0,830.0,895.0,26427800.0,60.0,23415048500.0,2156.0,895.0,2882500.0,890.0,20800.0,465800.0,13832200.0
245,20230310,DRMA,895.0,0.0,895.0,835.0,835.0,12683800.0,-60.0,10738553500.0,2102.0,835.0,45000.0,0.0,0.0,1477500.0,2491400.0
245,20230313,DRMA,835.0,0.0,830.0,785.0,790.0,10662900.0,-45.0,8500699000.0,1617.0,790.0,408200.0,785.0,254700.0,233800.0,1566300.0
245,20230314,DRMA,790.0,0.0,790.0,750.0,765.0,5404200.0,-25.0,4125741500.0,997.0,770.0,5400.0,765.0,1058000.0,42800.0,1412400.0
245,20230315,DRMA,765.0,0.0,810.0,765.0,770.0,7785100.0,5.0,6076878500.0,1263.0,775.0,9000.0,770.0,1900.0,1042700.0,2535900.0
245,20230316,DRMA,770.0,0.0,785.0,750.0,770.0,6241400.0,0.0,4731680000.0,850.0,770.0,6281100.0,760.0,202000.0,1075100.0,1033900.0
245,20230317,DRMA,770.0,0.0,780.0,755.0,760.0,3479000.0,-10.0,2661007500.0,1109.0,765.0,6000.0,760.0,40500.0,336400.0,122900.0
245,20230320,DRMA,760.0,0.0,765.0,710.0,710.0,17641900.0,-50.0,12694175000.0,1422.0,715.0,282700.0,710.0,5135400.0,100400.0,4037100.0
245,20230321,DRMA,710.0,0.0,745.0,700.0,710.0,10032600.0,0.0,7182032000.0,814.0,715.0,14900.0,710.0,2685800.0,40700.0,2088500.0
245,20230324,DRMA,710.0,0.0,795.0,710.0,780.0,21253500.0,70.0,16570787500.0,1618.0,780.0,1541200.0,775.0,13000.0,2439100.0,12399400.0
245,20230327,DRMA,780.0,0.0,840.0,765.0,795.0,12706000.0,15.0,10228500500.0,1842.0,805.0,1000.0,795.0,243900.0,3366400.0,6458700.0
245,20230328,DRMA,795.0,0.0,825.0,780.0,810.0,3451100.0,15.0,2789042500.0,562.0,815.0,125300.0,810.0,108300.0,908000.0,2053000.0
245,20230329,DRMA,810.0,0.0,830.0,785.0,805.0,1889400.0,-5.0,1514688500.0,456.0,810.0,26200.0,805.0,109700.0,208100.0,351800.0
245,20230330,DRMA,805.0,0.0,810.0,785.0,810.0,1624200.0,5.0,1301692500.0,467.0,810.0,260900.0,805.0,300.0,26200.0,915600.0
245,20230331,DRMA,810.0,0.0,815.0,785.0,800.0,2194400.0,-10.0,1741073500.0,641.0,800.0,124400.0,795.0,29400.0,226800.0,275000.0
245,20230403,DRMA,800.0,0.0,820.0,790.0,810.0,4888500.0,10.0,3928703500.0,1082.0,810.0,276000.0,805.0,219300.0,131900.0,3631100.0
245,20230404,DRMA,810.0,0.0,835.0,815.0,830.0,4368200.0,20.0,3592994000.0,518.0,830.0,2700.0,825.0,266900.0,323700.0,2066400.0
245,20230405,DRMA,830.0,0.0,860.0,820.0,855.0,6668300.0,25.0,5605274000.0,1369.0,855.0,1240700.0,850.0,88600.0,1970200.0,2032900.0
