No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
241,20221230,DSSA,39800.0,0.0,0.0,0.0,39800.0,0.0,0.0,0.0,0.0,39750.0,2100.0,38000.0,100.0,0.0,0.0
241,20230102,DSSA,39800.0,0.0,0.0,0.0,39800.0,0.0,0.0,0.0,0.0,39750.0,2200.0,38000.0,100.0,0.0,0.0
241,20230103,DSSA,39800.0,0.0,0.0,0.0,39800.0,0.0,0.0,0.0,0.0,39750.0,2200.0,38000.0,100.0,0.0,0.0
241,20230104,DSSA,39800.0,0.0,38000.0,38000.0,38000.0,100.0,-1800.0,3800000.0,1.0,39750.0,2200.0,38000.0,100.0,0.0,0.0
241,20230105,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,40000.0,100.0,38000.0,100.0,0.0,0.0
243,20230106,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,39900.0,200.0,36050.0,200.0,0.0,0.0
244,20230109,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,41000.0,100.0,36075.0,100.0,0.0,0.0
244,20230110,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,38000.0,100.0,36000.0,100.0,0.0,0.0
245,20230111,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,38000.0,100.0,36050.0,100.0,0.0,0.0
245,20230112,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,41800.0,200.0,36000.0,200.0,0.0,0.0
245,20230113,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,40000.0,200.0,36000.0,100.0,0.0,0.0
245,20230116,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,40000.0,300.0,36000.0,100.0,0.0,0.0
245,20230117,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,38000.0,100.0,36000.0,100.0,0.0,0.0
245,20230118,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,38000.0,300.0,36000.0,100.0,0.0,0.0
245,20230119,DSSA,38000.0,0.0,38000.0,38000.0,38000.0,200.0,0.0,7600000.0,1.0,40000.0,300.0,36000.0,100.0,0.0,0.0
245,20230120,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,40000.0,100.0,36000.0,100.0,0.0,0.0
245,20230124,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,39800.0,200.0,36000.0,100.0,0.0,0.0
245,20230125,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,40000.0,500.0,36000.0,100.0,0.0,0.0
245,20230126,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,38000.0,2200.0,36000.0,100.0,0.0,0.0
245,20230127,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,40000.0,500.0,36000.0,100.0,0.0,0.0
245,20230130,DSSA,38000.0,0.0,38000.0,38000.0,38000.0,500.0,0.0,19000000.0,3.0,40000.0,200.0,36000.0,100.0,0.0,0.0
245,20230131,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,39900.0,200.0,36000.0,100.0,0.0,0.0
245,20230201,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,39500.0,200.0,36000.0,100.0,0.0,0.0
245,20230202,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,39500.0,100.0,36000.0,100.0,0.0,0.0
245,20230203,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,42500.0,500.0,36000.0,100.0,0.0,0.0
245,20230206,DSSA,38000.0,0.0,38000.0,38000.0,38000.0,100.0,0.0,3800000.0,1.0,38000.0,300.0,36000.0,100.0,0.0,0.0
245,20230207,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,40000.0,200.0,36000.0,100.0,0.0,0.0
246,20230208,DSSA,38000.0,0.0,38000.0,38000.0,38000.0,100.0,0.0,3800000.0,1.0,39500.0,100.0,36000.0,100.0,0.0,0.0
246,20230209,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,39800.0,400.0,36000.0,100.0,0.0,0.0
246,20230210,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,38000.0,500.0,36000.0,100.0,0.0,0.0
246,20230213,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,38000.0,600.0,36000.0,100.0,0.0,0.0
246,20230214,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,37900.0,600.0,36000.0,100.0,0.0,0.0
246,20230215,DSSA,38000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,38000.0,400.0,36000.0,100.0,0.0,0.0
246,20230216,DSSA,38000.0,0.0,38050.0,38050.0,38050.0,300.0,50.0,11415000.0,1.0,38000.0,200.0,36000.0,100.0,0.0,0.0
246,20230217,DSSA,38050.0,0.0,0.0,0.0,38050.0,0.0,0.0,0.0,0.0,38000.0,300.0,36000.0,100.0,0.0,0.0
246,20230220,DSSA,38050.0,0.0,0.0,0.0,38050.0,0.0,0.0,0.0,0.0,38000.0,300.0,36000.0,100.0,0.0,0.0
246,20230221,DSSA,38050.0,0.0,0.0,0.0,38050.0,0.0,0.0,0.0,0.0,37950.0,300.0,36000.0,100.0,0.0,0.0
246,20230222,DSSA,38050.0,0.0,0.0,0.0,38050.0,0.0,0.0,0.0,0.0,37900.0,500.0,36000.0,100.0,0.0,0.0
246,20230223,DSSA,38050.0,0.0,37750.0,37750.0,37750.0,100.0,-300.0,3775000.0,1.0,37600.0,100.0,37000.0,100.0,0.0,100.0
246,20230224,DSSA,37750.0,0.0,0.0,0.0,37750.0,0.0,0.0,0.0,0.0,37575.0,100.0,36000.0,100.0,0.0,0.0
246,20230227,DSSA,37750.0,0.0,37500.0,37500.0,37500.0,100.0,-250.0,3750000.0,1.0,37500.0,400.0,36000.0,100.0,0.0,0.0
246,20230228,DSSA,37500.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37500.0,200.0,36000.0,200.0,0.0,0.0
246,20230301,DSSA,37500.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37400.0,600.0,36000.0,200.0,0.0,0.0
246,20230302,DSSA,37500.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37350.0,600.0,36000.0,200.0,0.0,0.0
247,20230303,DSSA,37500.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37450.0,200.0,36000.0,200.0,0.0,0.0
247,20230306,DSSA,37500.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37500.0,200.0,36000.0,100.0,0.0,0.0
247,20230307,DSSA,37500.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37000.0,100.0,36000.0,100.0,0.0,0.0
248,20230308,DSSA,37500.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37300.0,400.0,36025.0,100.0,0.0,0.0
248,20230309,DSSA,37500.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,37150.0,300.0,36000.0,100.0,0.0,0.0
248,20230310,DSSA,37500.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,36500.0,300.0,36000.0,100.0,0.0,0.0
248,20230313,DSSA,37500.0,0.0,36750.0,35975.0,35975.0,700.0,-1525.0,25517500.0,4.0,35975.0,100.0,34875.0,100.0,0.0,0.0
248,20230314,DSSA,35975.0,0.0,0.0,0.0,35975.0,0.0,0.0,0.0,0.0,35500.0,400.0,33800.0,100.0,0.0,0.0
248,20230315,DSSA,35975.0,0.0,34800.0,34800.0,34800.0,300.0,-1175.0,10440000.0,3.0,34800.0,100.0,34500.0,100.0,0.0,0.0
248,20230316,DSSA,34800.0,0.0,34800.0,34800.0,34800.0,200.0,0.0,6960000.0,2.0,34800.0,100.0,32525.0,200.0,0.0,0.0
248,20230317,DSSA,34800.0,0.0,0.0,0.0,34800.0,0.0,0.0,0.0,0.0,39700.0,300.0,32625.0,200.0,0.0,0.0
248,20230320,DSSA,34800.0,0.0,0.0,0.0,34800.0,0.0,0.0,0.0,0.0,38625.0,100.0,32525.0,100.0,0.0,0.0
248,20230321,DSSA,34800.0,0.0,0.0,0.0,34800.0,0.0,0.0,0.0,0.0,39750.0,400.0,32550.0,100.0,0.0,0.0
248,20230324,DSSA,34800.0,0.0,34800.0,34800.0,34800.0,100.0,0.0,3480000.0,1.0,39000.0,400.0,34800.0,100.0,0.0,0.0
248,20230327,DSSA,34800.0,0.0,0.0,0.0,34800.0,0.0,0.0,0.0,0.0,34800.0,100.0,33950.0,100.0,0.0,0.0
248,20230328,DSSA,34800.0,0.0,0.0,0.0,34800.0,0.0,0.0,0.0,0.0,35225.0,300.0,33975.0,100.0,0.0,0.0
248,20230329,DSSA,34800.0,0.0,34725.0,34725.0,34725.0,100.0,-75.0,3472500.0,1.0,36250.0,400.0,34700.0,2000.0,0.0,0.0
248,20230330,DSSA,34725.0,0.0,34750.0,34750.0,34750.0,100.0,25.0,3475000.0,1.0,39975.0,700.0,34725.0,2000.0,0.0,0.0
248,20230331,DSSA,34750.0,0.0,0.0,0.0,34750.0,0.0,0.0,0.0,0.0,34750.0,300.0,33925.0,100.0,0.0,0.0
248,20230403,DSSA,34750.0,0.0,34750.0,34750.0,34750.0,500.0,0.0,17375000.0,2.0,34750.0,200.0,33950.0,100.0,0.0,0.0
248,20230404,DSSA,34750.0,0.0,0.0,0.0,34750.0,0.0,0.0,0.0,0.0,37925.0,100.0,33925.0,100.0,0.0,0.0
248,20230405,DSSA,34750.0,0.0,0.0,0.0,34750.0,0.0,0.0,0.0,0.0,38500.0,200.0,33925.0,100.0,0.0,0.0
248,20230406,DSSA,34750.0,0.0,0.0,0.0,34750.0,0.0,0.0,0.0,0.0,35725.0,900.0,33925.0,100.0,0.0,0.0
248,20230410,DSSA,34750.0,0.0,0.0,0.0,34750.0,0.0,0.0,0.0,0.0,40975.0,100.0,33925.0,100.0,0.0,0.0
248,20230411,DSSA,34750.0,0.0,34500.0,34500.0,34500.0,200.0,-250.0,6900000.0,2.0,37825.0,100.0,34000.0,100.0,0.0,0.0
248,20230412,DSSA,34500.0,0.0,0.0,0.0,34500.0,0.0,0.0,0.0,0.0,38725.0,100.0,33950.0,100.0,0.0,0.0
248,20230413,DSSA,34500.0,0.0,0.0,0.0,34500.0,0.0,0.0,0.0,0.0,38500.0,200.0,33950.0,100.0,0.0,0.0
248,20230414,DSSA,34500.0,0.0,34250.0,34250.0,34250.0,100.0,-250.0,3425000.0,1.0,38700.0,100.0,34100.0,500.0,0.0,0.0
248,20230417,DSSA,34250.0,0.0,34000.0,34000.0,34000.0,100.0,-250.0,3400000.0,1.0,36000.0,100.0,34000.0,100.0,0.0,0.0
249,20230418,DSSA,34000.0,0.0,34000.0,34000.0,34000.0,300.0,0.0,10200000.0,3.0,34500.0,100.0,33925.0,100.0,0.0,0.0
249,20230426,DSSA,34000.0,0.0,33950.0,33950.0,33950.0,100.0,-50.0,3395000.0,1.0,39000.0,200.0,33950.0,100.0,0.0,0.0
249,20230427,DSSA,33950.0,0.0,0.0,0.0,33950.0,0.0,0.0,0.0,0.0,38975.0,300.0,32250.0,100.0,0.0,0.0
249,20230428,DSSA,33950.0,0.0,0.0,0.0,33950.0,0.0,0.0,0.0,0.0,39975.0,300.0,32250.0,100.0,0.0,0.0
249,20230502,DSSA,33950.0,0.0,33950.0,33950.0,33950.0,100.0,0.0,3395000.0,1.0,35975.0,100.0,32575.0,100.0,0.0,0.0
249,20230503,DSSA,33950.0,0.0,36500.0,36500.0,36500.0,100.0,2550.0,3650000.0,1.0,36500.0,100.0,33950.0,100.0,0.0,0.0
249,20230504,DSSA,36500.0,0.0,37400.0,36500.0,37200.0,600.0,700.0,22225000.0,6.0,38500.0,700.0,36800.0,400.0,0.0,0.0
249,20230505,DSSA,37200.0,0.0,0.0,0.0,37200.0,0.0,0.0,0.0,0.0,37500.0,600.0,0.0,0.0,0.0,0.0
250,20230508,DSSA,37200.0,0.0,0.0,0.0,37200.0,0.0,0.0,0.0,0.0,39000.0,100.0,34650.0,100.0,0.0,0.0
250,20230509,DSSA,37200.0,0.0,0.0,0.0,37200.0,0.0,0.0,0.0,0.0,39000.0,100.0,34600.0,1000.0,0.0,0.0
250,20230510,DSSA,37200.0,0.0,0.0,0.0,37200.0,0.0,0.0,0.0,0.0,37250.0,600.0,34600.0,1100.0,0.0,0.0
250,20230511,DSSA,37200.0,0.0,0.0,0.0,37200.0,0.0,0.0,0.0,0.0,37200.0,100.0,34600.0,100.0,0.0,0.0
250,20230512,DSSA,37200.0,0.0,37200.0,37175.0,37200.0,200.0,0.0,7437500.0,2.0,37200.0,500.0,34625.0,100.0,0.0,0.0
250,20230515,DSSA,37200.0,0.0,0.0,0.0,37200.0,0.0,0.0,0.0,0.0,37200.0,300.0,34650.0,100.0,0.0,0.0
250,20230516,DSSA,37200.0,0.0,0.0,0.0,37200.0,0.0,0.0,0.0,0.0,37200.0,600.0,34625.0,100.0,0.0,0.0
