No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
243,20221230,DUTI,4100.0,0.0,4140.0,4140.0,4140.0,100.0,40.0,414000.0,1.0,4140.0,2400.0,3990.0,300.0,0.0,0.0
243,20230102,DUTI,4140.0,0.0,4140.0,4140.0,4140.0,100.0,0.0,414000.0,1.0,4130.0,500.0,4000.0,200.0,0.0,0.0
243,20230103,DUTI,4140.0,0.0,4020.0,4020.0,4020.0,600.0,-120.0,2412000.0,3.0,4120.0,600.0,4020.0,600.0,0.0,0.0
243,20230104,DUTI,4020.0,0.0,4020.0,4020.0,4020.0,100.0,0.0,402000.0,1.0,4080.0,200.0,4020.0,200.0,0.0,0.0
243,20230105,DUTI,4020.0,0.0,4130.0,3980.0,4090.0,1100.0,70.0,4466000.0,10.0,4090.0,700.0,3980.0,500.0,0.0,0.0
245,20230106,DUTI,4090.0,0.0,4090.0,3990.0,3990.0,1300.0,-100.0,5197000.0,7.0,3990.0,3500.0,3980.0,500.0,0.0,0.0
246,20230109,DUTI,3990.0,0.0,3990.0,3970.0,3970.0,5200.0,-20.0,20690000.0,12.0,3970.0,2700.0,3930.0,100.0,0.0,0.0
246,20230110,DUTI,3970.0,0.0,3970.0,3970.0,3970.0,200.0,0.0,794000.0,2.0,3970.0,3600.0,3960.0,100.0,0.0,0.0
247,20230111,DUTI,3970.0,0.0,4030.0,3940.0,4030.0,3300.0,60.0,13044000.0,11.0,4030.0,100.0,3940.0,300.0,0.0,1600.0
247,20230112,DUTI,4030.0,0.0,4290.0,4080.0,4290.0,20900.0,260.0,86117000.0,22.0,4270.0,1100.0,4150.0,16400.0,0.0,20300.0
247,20230113,DUTI,4290.0,0.0,4600.0,4270.0,4300.0,16900.0,10.0,73239000.0,44.0,4410.0,700.0,4300.0,200.0,0.0,9800.0
247,20230116,DUTI,4300.0,0.0,4300.0,4300.0,4300.0,3500.0,0.0,15050000.0,6.0,4500.0,100.0,4300.0,7300.0,0.0,2700.0
247,20230117,DUTI,4300.0,0.0,4400.0,4310.0,4400.0,10700.0,100.0,46829000.0,11.0,4400.0,600.0,4140.0,200.0,0.0,10000.0
247,20230118,DUTI,4400.0,0.0,4490.0,4280.0,4490.0,3700.0,90.0,16260000.0,8.0,4490.0,200.0,4400.0,7400.0,0.0,2600.0
247,20230119,DUTI,4490.0,0.0,4570.0,4490.0,4550.0,458600.0,60.0,2064096000.0,24.0,4560.0,400.0,4550.0,100.0,0.0,10900.0
247,20230120,DUTI,4550.0,0.0,4700.0,4500.0,4700.0,7400.0,150.0,34245000.0,29.0,4720.0,1200.0,4700.0,3700.0,0.0,6500.0
247,20230124,DUTI,4700.0,0.0,4800.0,4680.0,4800.0,4200.0,100.0,19805000.0,12.0,4780.0,100.0,4600.0,100.0,0.0,3500.0
247,20230125,DUTI,4800.0,0.0,4820.0,4700.0,4700.0,1400.0,-100.0,6679000.0,10.0,4700.0,200.0,4600.0,200.0,0.0,500.0
247,20230126,DUTI,4700.0,0.0,4700.0,4500.0,4700.0,800.0,0.0,3730000.0,4.0,4700.0,4100.0,4400.0,200.0,0.0,0.0
247,20230127,DUTI,4700.0,0.0,4700.0,4700.0,4700.0,800.0,0.0,3760000.0,3.0,4700.0,1900.0,4500.0,200.0,0.0,0.0
247,20230130,DUTI,4700.0,0.0,4700.0,4690.0,4700.0,800.0,0.0,3759000.0,6.0,4700.0,100.0,4500.0,100.0,0.0,0.0
