No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
249,20221230,EDGE,20050.0,0.0,20000.0,19775.0,20000.0,200.0,-50.0,3977500.0,2.0,20000.0,2500.0,18800.0,100.0,0.0,100.0
249,20230102,EDGE,20000.0,0.0,19975.0,19900.0,19975.0,5000.0,-25.0,99837500.0,3.0,19975.0,200.0,19250.0,100.0,4200.0,800.0
249,20230103,EDGE,19975.0,0.0,19975.0,19975.0,19975.0,1600.0,0.0,31960000.0,9.0,19975.0,2200.0,19250.0,100.0,0.0,1000.0
249,20230104,EDGE,19975.0,0.0,19975.0,19975.0,19975.0,200.0,0.0,3995000.0,1.0,19800.0,300.0,18850.0,100.0,0.0,0.0
249,20230105,EDGE,19975.0,0.0,19950.0,19950.0,19950.0,2300.0,-25.0,45885000.0,3.0,19575.0,100.0,18650.0,100.0,0.0,300.0
251,20230106,EDGE,19950.0,0.0,19500.0,19500.0,19500.0,100.0,-450.0,1950000.0,1.0,19500.0,2200.0,18600.0,100.0,0.0,0.0
252,20230109,EDGE,19500.0,0.0,19400.0,19400.0,19400.0,2000.0,-100.0,38800000.0,2.0,19400.0,100.0,18725.0,100.0,0.0,0.0
252,20230110,EDGE,19400.0,0.0,19925.0,19400.0,19925.0,1500.0,525.0,29152500.0,8.0,19925.0,500.0,18625.0,300.0,0.0,0.0
253,20230111,EDGE,19925.0,0.0,19925.0,19925.0,19925.0,1100.0,0.0,21917500.0,2.0,19925.0,1800.0,18650.0,100.0,0.0,0.0
253,20230112,EDGE,19925.0,0.0,0.0,0.0,19925.0,0.0,0.0,0.0,0.0,19925.0,1800.0,18650.0,100.0,0.0,0.0
253,20230113,EDGE,19925.0,0.0,0.0,0.0,19925.0,0.0,0.0,0.0,0.0,19925.0,1900.0,19100.0,100.0,0.0,0.0
253,20230116,EDGE,19925.0,0.0,0.0,0.0,19925.0,0.0,0.0,0.0,0.0,19750.0,600.0,18650.0,100.0,0.0,0.0
253,20230117,EDGE,19925.0,0.0,19900.0,18700.0,19900.0,200.0,-25.0,3860000.0,2.0,19900.0,1100.0,19700.0,100.0,0.0,0.0
253,20230118,EDGE,19900.0,0.0,0.0,0.0,19900.0,0.0,0.0,0.0,0.0,19800.0,100.0,18700.0,100.0,0.0,0.0
253,20230119,EDGE,19900.0,0.0,0.0,0.0,19900.0,0.0,0.0,0.0,0.0,19875.0,700.0,18750.0,100.0,0.0,0.0
253,20230120,EDGE,19900.0,0.0,0.0,0.0,19900.0,0.0,0.0,0.0,0.0,19500.0,1000.0,18700.0,100.0,0.0,0.0
253,20230124,EDGE,19900.0,0.0,19875.0,19875.0,19875.0,100.0,-25.0,1987500.0,1.0,19875.0,500.0,18775.0,100.0,0.0,0.0
253,20230125,EDGE,19875.0,0.0,19800.0,19800.0,19800.0,400.0,-75.0,7920000.0,3.0,19850.0,500.0,18900.0,100.0,0.0,200.0
253,20230126,EDGE,19800.0,0.0,19800.0,19800.0,19800.0,300.0,0.0,5940000.0,2.0,19800.0,1200.0,19325.0,200.0,0.0,0.0
253,20230127,EDGE,19800.0,0.0,0.0,0.0,19800.0,0.0,0.0,0.0,0.0,19800.0,1800.0,19400.0,200.0,0.0,0.0
253,20230130,EDGE,19800.0,0.0,19800.0,19800.0,19800.0,200.0,0.0,3960000.0,2.0,19775.0,300.0,18600.0,300.0,0.0,0.0
253,20230131,EDGE,19800.0,0.0,20300.0,19800.0,20300.0,2900.0,500.0,57842500.0,12.0,20100.0,300.0,18850.0,100.0,0.0,1300.0
253,20230201,EDGE,20300.0,0.0,0.0,0.0,20300.0,0.0,0.0,0.0,0.0,20000.0,500.0,19050.0,300.0,0.0,0.0
253,20230202,EDGE,20300.0,0.0,0.0,0.0,20300.0,0.0,0.0,0.0,0.0,20000.0,300.0,19000.0,100.0,0.0,0.0
253,20230203,EDGE,20300.0,0.0,20000.0,18900.0,19925.0,1400.0,-375.0,27320000.0,11.0,19925.0,500.0,19900.0,100.0,0.0,500.0
253,20230206,EDGE,19925.0,0.0,19800.0,19800.0,19800.0,200.0,-125.0,3960000.0,2.0,19700.0,500.0,19000.0,100.0,0.0,0.0
253,20230207,EDGE,19800.0,0.0,0.0,0.0,19800.0,0.0,0.0,0.0,0.0,19550.0,100.0,19125.0,100.0,0.0,0.0
254,20230208,EDGE,19800.0,0.0,19800.0,19700.0,19800.0,300.0,0.0,5930000.0,2.0,19725.0,500.0,18700.0,100.0,0.0,0.0
254,20230209,EDGE,19800.0,0.0,19800.0,19800.0,19800.0,100.0,0.0,1980000.0,1.0,19800.0,600.0,19150.0,100.0,0.0,100.0
254,20230210,EDGE,19800.0,0.0,0.0,0.0,19800.0,0.0,0.0,0.0,0.0,19700.0,200.0,19125.0,100.0,0.0,0.0
254,20230213,EDGE,19800.0,0.0,19600.0,19575.0,19575.0,200.0,-225.0,3917500.0,2.0,19550.0,2000.0,19125.0,100.0,0.0,0.0
254,20230214,EDGE,19575.0,0.0,0.0,0.0,19575.0,0.0,0.0,0.0,0.0,19575.0,1000.0,18800.0,100.0,0.0,0.0
254,20230215,EDGE,19575.0,0.0,19575.0,19575.0,19575.0,100.0,0.0,1957500.0,1.0,19350.0,300.0,18800.0,100.0,0.0,0.0
254,20230216,EDGE,19575.0,0.0,19550.0,19550.0,19550.0,100.0,-25.0,1955000.0,1.0,19400.0,300.0,18800.0,100.0,0.0,0.0
254,20230217,EDGE,19550.0,0.0,0.0,0.0,19550.0,0.0,0.0,0.0,0.0,19450.0,700.0,18800.0,100.0,0.0,0.0
254,20230220,EDGE,19550.0,0.0,19450.0,19450.0,19450.0,100.0,-100.0,1945000.0,1.0,19325.0,500.0,18800.0,100.0,0.0,0.0
254,20230221,EDGE,19450.0,0.0,19300.0,19300.0,19300.0,100.0,-150.0,1930000.0,1.0,19300.0,500.0,19200.0,300.0,0.0,0.0
254,20230222,EDGE,19300.0,0.0,0.0,0.0,19300.0,0.0,0.0,0.0,0.0,19300.0,1600.0,18050.0,100.0,0.0,0.0
