No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
255,20221230,EMTK,1025.0,1030.0,1045.0,1025.0,1030.0,26364600.0,5.0,27399969500.0,3023.0,1035.0,25100.0,1030.0,72800.0,11195100.0,9022100.0
255,20230102,EMTK,1030.0,1030.0,1035.0,1015.0,1020.0,6717000.0,-10.0,6858487000.0,1927.0,1025.0,2900.0,1020.0,36000.0,1109900.0,1366600.0
255,20230103,EMTK,1020.0,1020.0,1035.0,1010.0,1030.0,21045000.0,10.0,21601820000.0,2885.0,1030.0,242200.0,1025.0,245200.0,8721400.0,6725400.0
255,20230104,EMTK,1030.0,1030.0,1035.0,1005.0,1015.0,14363000.0,-15.0,14585076000.0,2486.0,1020.0,38900.0,1015.0,536500.0,6399600.0,2690400.0
255,20230105,EMTK,1015.0,1015.0,1025.0,945.0,980.0,57328200.0,-35.0,55848644000.0,7596.0,985.0,727900.0,980.0,580600.0,26227400.0,22030600.0
258,20230106,EMTK,980.0,980.0,1010.0,965.0,980.0,19390400.0,0.0,19320701000.0,2748.0,985.0,18200.0,980.0,1050500.0,8951200.0,9078400.0
259,20230109,EMTK,980.0,990.0,1005.0,970.0,995.0,16642300.0,15.0,16482456500.0,2937.0,995.0,83300.0,990.0,62500.0,7568600.0,3896100.0
259,20230110,EMTK,995.0,995.0,1000.0,970.0,990.0,10047500.0,-5.0,9894678500.0,2887.0,990.0,8800.0,985.0,23100.0,3751000.0,3807900.0
260,20230111,EMTK,990.0,995.0,1015.0,980.0,985.0,15882600.0,-5.0,15840736000.0,2752.0,990.0,100.0,985.0,210100.0,6156100.0,1217900.0
260,20230112,EMTK,985.0,990.0,1020.0,990.0,1020.0,22602000.0,35.0,22889366000.0,2978.0,1020.0,390300.0,1015.0,86900.0,10414800.0,6507900.0
260,20230113,EMTK,1020.0,1020.0,1025.0,1000.0,1010.0,14741600.0,-10.0,14914081000.0,2334.0,1010.0,10900.0,1005.0,239000.0,8655000.0,2238400.0
260,20230116,EMTK,1010.0,1015.0,1040.0,990.0,1000.0,16553200.0,-10.0,16711986500.0,3128.0,1005.0,131900.0,1000.0,376200.0,7931600.0,1221700.0
260,20230117,EMTK,1000.0,1010.0,1040.0,1005.0,1010.0,41902700.0,10.0,42842390500.0,4869.0,1015.0,136600.0,1010.0,1070600.0,22779600.0,9459200.0
260,20230118,EMTK,1010.0,1020.0,1025.0,1000.0,1005.0,9672900.0,-5.0,9758695500.0,2060.0,1010.0,620300.0,1005.0,22000.0,2661300.0,453600.0
260,20230119,EMTK,1005.0,1005.0,1015.0,995.0,1010.0,9058400.0,5.0,9118787000.0,1986.0,1015.0,323500.0,1010.0,272900.0,2766700.0,1550800.0
260,20230120,EMTK,1010.0,1010.0,1025.0,1010.0,1025.0,15311100.0,15.0,15597889000.0,2543.0,1025.0,9996900.0,1020.0,36900.0,4695400.0,5848700.0
260,20230124,EMTK,1025.0,1035.0,1075.0,1030.0,1065.0,50901000.0,40.0,54096672000.0,5981.0,1070.0,397700.0,1065.0,410200.0,13637900.0,4717400.0
260,20230125,EMTK,1065.0,1080.0,1100.0,1045.0,1080.0,45895100.0,15.0,49715475500.0,6989.0,1080.0,40600.0,1075.0,596800.0,14817300.0,5142700.0
260,20230126,EMTK,1080.0,1080.0,1130.0,1080.0,1120.0,67232600.0,40.0,74502443500.0,7594.0,1120.0,43500.0,1115.0,1174200.0,22657600.0,14811200.0
260,20230127,EMTK,1120.0,1125.0,1140.0,1085.0,1090.0,29761300.0,-30.0,32787509000.0,4675.0,1090.0,300400.0,1085.0,1063200.0,12619100.0,2764400.0
260,20230130,EMTK,1090.0,1090.0,1095.0,1045.0,1060.0,28466400.0,-30.0,30369731500.0,4316.0,1065.0,138000.0,1060.0,20900.0,10715500.0,3276200.0
260,20230131,EMTK,1060.0,1055.0,1090.0,1055.0,1080.0,13474100.0,20.0,14511176500.0,2565.0,1080.0,1029900.0,1075.0,23400.0,3834000.0,2433600.0
260,20230201,EMTK,1080.0,1080.0,1110.0,1075.0,1090.0,22530000.0,10.0,24576696000.0,5032.0,1090.0,101200.0,1085.0,12500.0,8561900.0,3037300.0
260,20230202,EMTK,1090.0,1105.0,1120.0,1095.0,1100.0,32902700.0,10.0,36486320000.0,3903.0,1105.0,8800.0,1100.0,283500.0,12031000.0,10454500.0
260,20230203,EMTK,1100.0,1125.0,1185.0,1125.0,1175.0,84759800.0,75.0,98637733500.0,9565.0,1175.0,105000.0,1170.0,990500.0,22833400.0,16752600.0
260,20230206,EMTK,1175.0,1175.0,1185.0,1140.0,1165.0,40631200.0,-10.0,47207760500.0,6205.0,1170.0,275100.0,1165.0,83400.0,13719800.0,3523500.0
260,20230207,EMTK,1165.0,1165.0,1175.0,1150.0,1155.0,24311000.0,-10.0,28317153000.0,3840.0,1160.0,14200.0,1155.0,1652700.0,8604300.0,4500400.0
261,20230208,EMTK,1155.0,1170.0,1180.0,1155.0,1170.0,15560100.0,15.0,18170720000.0,2735.0,1175.0,566200.0,1170.0,466300.0,4051200.0,2299600.0
261,20230209,EMTK,1170.0,1170.0,1180.0,1090.0,1090.0,39801900.0,-80.0,44798075500.0,6765.0,1090.0,4031100.0,0.0,0.0,8977000.0,4946700.0
261,20230210,EMTK,1090.0,1060.0,1085.0,1030.0,1080.0,32543600.0,-10.0,34342818000.0,5414.0,1080.0,10900.0,1075.0,284200.0,6812800.0,5717900.0
261,20230213,EMTK,1080.0,1070.0,1110.0,1070.0,1095.0,20939200.0,15.0,22901031000.0,3138.0,1100.0,338300.0,1095.0,114600.0,7070200.0,5191600.0
261,20230214,EMTK,1095.0,1105.0,1110.0,1065.0,1075.0,21070300.0,-20.0,22915136000.0,3591.0,1080.0,35400.0,1075.0,168500.0,6787400.0,936900.0
261,20230215,EMTK,1075.0,1080.0,1100.0,1070.0,1070.0,12549800.0,-5.0,13559426500.0,2905.0,1075.0,114000.0,1070.0,249600.0,3111300.0,3526100.0
261,20230216,EMTK,1070.0,1080.0,1100.0,1070.0,1085.0,15364000.0,15.0,16646932500.0,3356.0,1085.0,150300.0,1080.0,138500.0,8658100.0,4128600.0
261,20230217,EMTK,1085.0,1085.0,1100.0,1070.0,1075.0,9804100.0,-10.0,10603335500.0,1928.0,1080.0,52600.0,1075.0,5400.0,3355500.0,2071000.0
261,20230220,EMTK,1075.0,1075.0,1075.0,1040.0,1055.0,18269800.0,-20.0,19249885000.0,3814.0,1055.0,322300.0,1050.0,65500.0,5613000.0,3290700.0
261,20230221,EMTK,1055.0,1055.0,1070.0,1025.0,1040.0,20113300.0,-15.0,20977990500.0,3900.0,1045.0,525600.0,1040.0,91200.0,7237900.0,3956600.0
261,20230222,EMTK,1040.0,1030.0,1040.0,1005.0,1010.0,32496100.0,-30.0,33082728000.0,4037.0,1015.0,45300.0,1010.0,64200.0,5838300.0,3793500.0
261,20230223,EMTK,1010.0,1015.0,1030.0,970.0,990.0,35272400.0,-20.0,35067775500.0,5147.0,995.0,31600.0,990.0,596700.0,7460500.0,7922300.0
261,20230224,EMTK,990.0,990.0,1010.0,980.0,985.0,27369900.0,-5.0,27179953000.0,5056.0,990.0,94300.0,985.0,813200.0,5792200.0,4750800.0
261,20230227,EMTK,985.0,990.0,1000.0,955.0,970.0,28577400.0,-15.0,27734222500.0,5438.0,970.0,1429300.0,965.0,821600.0,9097900.0,1756200.0
261,20230228,EMTK,970.0,970.0,975.0,935.0,950.0,37715000.0,-20.0,35921840500.0,5731.0,955.0,230300.0,950.0,347900.0,9010800.0,5346200.0
261,20230301,EMTK,950.0,950.0,975.0,940.0,955.0,21625300.0,5.0,20680827000.0,3298.0,960.0,396200.0,955.0,464300.0,5374900.0,4275200.0
